zachary захарий
closer сближава
whites белтъците
minor мала
devices устройства
related свързани
free освободи
storms бури
particles частици
proposed предложена
barometer барометър
public публични
pushkin пушкин
industrial индустриална
location местоположение
beautiful красив
raw гао
south юг
deviation отклонения
documents документи
kidneys бъбреците
maintenance поддръжка
pass преминава
pass пас
hercules херакъл
underlining подчертава
acute остри
sava сава
sex половия
taylor тейлър
nature природата
information информацията
towards насочени
two двете
pursuit стремежът
mountains планините
level иво
beat бие
definition определение
cockle къклица
process процес
same подобно
accountancy счетоводство
sexual полов
jewish еврейската
interpretation тълкувание
alive жив
railway железопътната
ricci ричи
easy лек
dishes ястия
external външната
sugar захарна
award наградата
physics физика
flora флора
underground подземен
telescope телескопа
document документ
copper медни
crime престъпност
music музикалната
edirne одрин
royal царското
broadcasting излъчването
relics мощи
closed затворен
appear появява
road пътищата
protestant протестантски
third третия
reached достигнали
way начина
early ранния
periods периода
intention намерението
minerals полезни
lead оловото
visit посещението
against противопоставят
transports превози
products изделия
aloud гласни
began започнал
actually действително
buddha буда
jar юар
local местният
brazilian бразилското
art изкуството
governors управители
applying прилагането
angels енгелс
bobi боби
leadership ръководството
basileus василевса
couple двойката
motivates подтиква
leaded водена
night нощ
vertebrate гръбначните
focus насоченост
ludwig лудвиг
phil фил
literary литературен
molecules молекулите
enters постъпва
take взима
out излезе
given дадена
euro евро
space космически
increase нарастване
close непосредствена
derived произлиза
thailand тайланд
lost губи
succeed успее
glaciers ледниците
bord борда
diseases болестите
its нейните
del дел
result следствие
named наречено
gate портата
ice лед
national народното
made направено
failure провала
saved запазили
real истини
janeiro жанейро
riots бунтове
differentiated обособява
popularity популярност
section участъка
functions функции
manuscript ръкописи
prepare готви
level ниво
azide азид
choice изборът
firm предприятието
solar слънчеви
dostoevsky достоевски
prohibits забранява
plant растението
electrical електрическите
ecliptic еклиптиката
andorra андора
decline упадък
cited цитирани
diagnosis диагностика
hiv хив
chapel параклиса
triangle триъгълници
emilian емилиян
write напише
private частната
information информационни
back възвръща
communications съобщения
council консул
recorded записано
travels пътувания
institute институт
high високото
valleys долини
mekong меконг
properties свойства
threads нишки
fighter изтребител
active активните
head тила
tin калай
lesson учи
estate съсловие
part част
tolkien толкин
arab арабска
theater театърът
zone зона
was имало
contemporary съвременните
orbits орбити
published пусната
great голямата
price цена
water водата
overcome преодолее
just съвсем
holders носителите
shrinks свива
stop престава
play пиесата
galaxies галактики
back заден
respectively съответно
amazon амазонка
crust кората
gods боговете
celebrate отбелязват
asen асен
control контролира
great големият
scripture писанието
known познат
time времето
first пръв
antonyms антоними
powerful силен
yearly целогодишно
relatively относително
full пълен
cult култ
associations дружества
city бургаско
commercial търговско
de дьо
crete крит
zinc цинков
massive масивни
regiment полк
livestock животновъдството
win победи
exist съществуват
smolyan смолян
true истинската
further допълнително
homosexuality хомосексуалността
consecutive поредни
dues дългове
language езика
senior старши
function функционират
pictured изобразен
skin южни
practice практиката
songs песните
sexual сексуалната
eve ева
disturbed нарушение
freddie фреди
lily момина
vertebrates гръбначните
first първия
life живеят
described описва
fruit плод
outside външен
architect архитект
food хранителните
susan сюзън
hole дупка
peyo пейо
good добър
rockets ракети
typical характерните
numbers числа
name паша
action действие
monosaccharides монозахаридите
architecture архитектурата
poet поетът
organism организма
cult култа
indian индийските
sredets средец
dust прах
customer клиент
london лондон
clara клара
experience претърпяват
agrarian бзнс
vishnu вишну
between между
air въздушните
square пл
hands ръцете
beliefs вярвания
occupy заемат
capital столична
appropriately подходящо
works произведения
range кръг
perceived възприема
suspects съмнение
cases случай
go стигат
sao сао
subject спазване
trade търговци
protists протисти
huge огромни
enterprise предприятие
carbon въглероден
coron корона
function функционира
chess шахматът
densely гъстота
aggregate съвкупност
helmet шлем
resorts курорти
participant участниците
fell попада
insignia отличия
decide реши
arcs дъги
become станат
walking върви
average среден
friendship приятелство
pablo пабло
tour обиколката
minority малцинствата
developed разработен
main главна
sectors сектори
force сила
being битие
get използвали
grain зърно
st. ул
senate сената
facilitates улеснява
members членове
tv тв
player играчът
manufacturing производството
spirit духа
commercial търговски
nacre седеф
gold злато
aches болки
elected избира
personality личност
their техните
peace примирието
record запише
tuya туя
slavs славяните
celebrated празнува
related свързано
socialist социалистическа
triangles триъгълници
command владее
streptococci стрептококи
removed отстранен
peaks върховете
states щати
match съвпада
thinking мисленето
niobe ниоба
romulus ромул
mery мери
cars коли
additional допълнителен
former досегашните
coasts брегове
escape избягват
active активен
homicide убийство
rural селските
act акт
middle средните
literary литературната
page страница
named кръстен
founder основател
size размера
meet посрещнат
magazine магазин
name меконг
make направят
french френският
source извор
acts дела
tower кула
published публикува
heating нагряване
times времена
big голямата
exhibition изложба
winners победителите
progress напредък
boiler котел
aids спин
hectare ар
ground почва
ordinary обикновени
turkish турският
ranking класиране
star звезден
along поречието
eider гага
symbolizes символизира
figures фигурите
francisco франциско
prime премиер
enter навлиза
egyptian египетски
demonstration демонстрация
objects предметите
charles чарлз
plays изиграва
beauty красота
soviet съветска
percentage процентът
rhetoric реторика
tropical тропически
border граница
determined определена
charles шарл
considered смятана
communistic комунистическата
fire огън
repression репресии
liberation освобождаването
singers певци
ottoman османският
military военното
income доход
fernando фернандо
odyssey одисея
mushrooms гъби
open отваря
run изобразява
night нощта
radius радиус
murdered убити
dedicated посветена
name кинг
battles битките
division разделяне
trial опити
applied прилагат
iceland исландия
springs извори
placed поставена
included включени
is бива
treasure богатство
belong принадлежат
taxi такси
chief главнокомандващ
cases случаи
mohammed мохамед
respect почит
electricity електроенергия
sharp остри
discipline дисциплина
court съд
pope папа
industrial индустриални
miguel мигел
five пет
leaded довела
alphabets азбуки
array масиви
cash парични
national националният
removal свалянето
features отличава
nothing нищо
preposition предлог
these тия
metals металите
writings трудове
hispaniola испаньола
sip бтс
involved участва
sacred свещени
dialects диалекти
quests походи
sleeves ръкави
footballer футболист
forces принуждава
remain останат
order строй
survivors оцелелите
financial финансовата
store съхраняват
television телевизия
moderate умерен
necessary необходимо
monks монасите
lie лежат
seasons сезони
surface повърхност
hill хил
lower долен
received получила
conditions условията
any някоя
common честа
germans германците
monasteries манастира
people души
president председателят
affiliation принадлежност
insane луда
run хамилтън
indonesia индонезия
resource средство
cell клетъчна
stretches простира
man мъжките
crossing преминаване
roy рой
located намиращи
achieve постигане
tax данъчен
linen лен
grave гроба
iv. ив
view погледа
gmt гмт
emilia емилия
horatius хораций
make полагат
navy флот
popular популярен
order строи
imperial имперски
amsterdam амстердам
staff състава
rule владичество
milko милко
group дружина
antique античния
pair двойка
cancer рак
beverages напитки
move движи
romans ромеите
tourism туризма
fifth пето
enemies врагове
queen княгиня
protein протеините
reforms нововъведения
place вещество
distillation дестилация
beyond отвъд
born заражда
environmental екологични
formed образували
establishment възстановяване
quantity величина
achievements успехи
minister министър
interaction взаимодействие
calendula невен
relatives роднини
sequence поредица
elementary основния
sebastian себастиан
golden златното
armistice примирието
quarter махала
geographical географски
golf голф
previous предишните
field сферата
version вариант
internal вътрешната
editor редактор
unite обединяват
sometimes понякога
base основа
generality съвкупност
full пълно
clone клон
funeral погребение
liberation освобождението
systems системи
balchik балчик
study статията
levski левски
body трупа
difference разлика
stands стои
moonbeams лунни
gold златарски
designed проектиран
consequences последствия
growth нарастване
english английското
spheres сфери
have окажат
long лонг
medical медицинска
amount възлизат
take заемат
with с
julia юлия
black черноморски
scene сцената
city градът
integration интеграция
guns оръдия
court съда
commercial търговската
to спрямо
done направено
fiber влакна
effects ефекти
global световната
separated отделя
western западните
titles дялове
persons лицата
game играта
twin побратимени
defects дефекти
concerts концерта
measurement измерване
costs разходите
armenia армения
spend отделят
locations местата
dolphins делфините
deliveries доставки
area местност
settles установяват
fail успяват
gives вкарва
mccartney маккартни
homeland родната
international международният
embryo ембриона
capable способен
serbian сръбската
in във
generally общо
f φ
increasing нарастване
football футбол
name николай
neighborhood околността
issue въпроса
surrounded заобиколен
is представлява
after сл
spreads простира
legislative законодателна
achieve достигат
dollar $
turned превърнали
near наблизо
successfully успешно
main начална
military военно
balkan балкански
computers компютрите
rain дъжд
soviet съветски
ally съюзник
class класа
morning сутрин
do направят
same същ
ignatius игнатий
infections инфекции
efficiency ефективност
square квадрат
special специален
west западния
adopt приема
appearance поява
thus така
nature същността
settlement решаване
cucumbers крас
back завърне
details подробности
full пълната
literary литературни
bella бела
hire наема
wear облечени
scott скот
slow забавяне
study изучаване
heart сърцето
black черноморско
strong силна
end цел
point точка
nil нил
geology геология
lat лат
soviet съветските
iron желязото
ministers министерския
pazardzhik пазарджик
conservation опазване
notes бележки
tail опашката
territories териториите
stage стадий
dignity сан
accelerates ускорява
practice практикува
ends завършва
disorder разстройство
disk диск
tour обиколка
blaga блага
heaven рая
different различна
sisters сестри
cost крайбрежните
physical физическа
persians персите
symbol символ
issue издаде
medicines лекарства
young млада
tanagers тангари
top топ
mathematics математика
notions представи
classical класическата
invites кани
konrad конрад
which която
incorrectly неправилно
tourists туристи
stop спират
connections връзки
names имена
beans боб
ie те
industrial индустриалната
as ас
somalia сомалия
history историята
etc. тн
move движат
tuberculosis туберкулозата
cranes жеравоподобни
khalifa халифа
cook кук
levels нивата
shah шах
richard ричард
homes домове
attempt опита
veliko велико
bread хляб
sources извори
bank банка
aristocracy аристокрацията
title сан
unions съюза
interest интерес
temporary временни
warn предупреждава
thracian тракийските
krum крум
sick болен
table таблица
cell клетъчните
maturity падеж
british британска
grows расте
sephiroth шифърът
full пълни
blue сините
vegetation растителността
administrative административните
contains съдържа
nations народите
born родом
duty мита
black черноморие
called наречена
governments правителства
name милев
worship поклонение
venezuela венецуела
team тим
particularly особено
covered покрити
founder създател
bulgarian българският
cause предизвикват
won спечелил
exports изнася
disc диска
gaza газа
ore руди
theoretical теоретично
wins побеждава
decision решението
x х
study изследване
plateau плато
war бойни
simultaneously едновременно
magdalena магдалена
method метод
tripod статив
occur настъпването
relation отношение
features особености
coins монетите
branches клонове
built изграждат
infringement нарушения
series сериала
project проект
church църковни
live живо
paskal паскал
received получили
show представа
presence наличие
floral цветни
explorers изследователи
historical историческите
antiquity античност
organizes провежда
hard тежко
pomegranate нар
seek търсят
ruler владетелят
world планетата
air въздух
gems камъни
return връщат
quiet спокойно
mccarthy маккарти
banks банки
after после
ground земята
nevertheless въпреки
sacred свещена
represents представлява
wrong погрешно
monasteries манастири
u.s. американския
streptococcus стрептококи
steps стъпала
authors авторите
located намираща
returns връща
let нека
twin побратимен
inner вътрешното
solutions решения
damage поражения
production производство
theology богословие
forces войски
stoyan стоян
county окръжен
modifications изменения
basket кош
stresses подчертава
cause нанасят
expeditions експедиции
academician академик
body тялото
disaster катастрофа
gifts дарения
care грижи
capture завладее
weeds плевел
gas газа
rebellion въстание
economy икономика
chinese китайската
appointed назначен
means означава
super супер
determined обуславя
ancient древните
voices гласове
adversaries противници
literature литературата
political политическото
military военни
deer елен
truman труман
union обединението
avoid избягват
roman роман
germanicus германик
exporter износител
mercur меркурий
opponent противника
battle бой
european европейският
shows показва
subjected подчинява
slowdown забавяне
emil емил
considered разглеждат
squad чети
identify идентифицира
coast бряга
used използва
move ход
developed развили
view възглед
used употребяват
ages епохи
afghanistan афганистан
capital капитали
helps помага
gallery галерия
cortex кората
including включваща
shape оформят
its ѝ
dense плътен
borders граници
climate климатични
novel романа
name хамилтън
ball топка
germans немците
edging кант
playwright драматург
reflects отразява
called наречено
varied разнообразен
divine висша
young млади
conduct провеждането
brooches брошови
montenegro черна
cathedral катедрала
discarded изхвърлени
show проявяват
vega вега
cultural културния
considered счита
grammar граматика
tubing тръби
early рано
common срещани
fate съдбата
cultural културните
ban забраната
made направена
moscow москва
typical характерно
voting гласуване
exposed изложени
suburbs покрайнини
pilgrimage поклонение
romanian румънската
heroes урбан
batak батак
expansion разширяване
peace мир
evenly равномерно
record записва
gradual постепенното
synod синод
feet краката
idea представите
impetus тласък
championship шампионат
sentence присъдата
lively жизнен
facilities съоръжения
anomaly аномалия
mandatory задължително
march похода
result резултат
norm норма
well добре
terraces тераси
eclogue буколики
vaccine ваксина
geographical географска
area сфера
ice ледени
maritza марица
irrigation напояване
appears появява
polk полк
entrance влизане
stanley стенли
sold продадени
potential потенциал
meeting посрещането
common срещано
temporary временно
district окръг
sopot сопот
training подготовка
zahari захари
agrippina агрипина
with със
magazines списания
rocks скали
survey обзор
significance значение
affect засягат
nirvana нирвана
functions функционира
markov марков
sphere среда
eu ес
consequences последиците
leading преден
monastery манастирът
convinces убеждава
teachings ученията
scenic живописни
wire тел
sequence последователност
go ходят
city град
vital жизнено
general генерал
en ан
branch клона
traditionally традиционно
number №
times пъти
enemy противника
phoenicians финикийците
hiro хирон
short съкращение
what що
determined определение
rate процент
furrow бразда
increase расте
application прилагане
division делене
losses загуби
haskovo хасково
science научната
maternal майчина
accept възприемат
courses курсове
public обществените
abnormalities аномалии
ministers министри
ethnic етническите
groups групите
physical физически
other другата
collection събиране
geographic географското
fruits плодове
input входа
wife съпруга
vertebrate гръбначни
washington вашингтон
emmanuel емануил
dressed облечени
needed необходими
begin започваща
crossbow арбалет
organization организация
escaped избяга
commissioned въведен
reserve резервата
cuba куба
conducted проведените
sexual половия
fonds фондове
mentions споменава
legislative законодателни
grigor григор
native родната
lambda ламбда
specialists специалистите
dutch нидерландците
completely съвсем
monarchy монархия
describes описва
internal вътрешна
critics критиката
wikipedia уикипедия
attract привлича
rila рилския
no никакво
left левия
attempt предприемат
taxes такси
siege обсадата
crossbows арбалети
animals животните
water водени
read чети
successful успешни
raphael рафаел
cells молекулите
represented представено
translate превежда
baldwin балдуин
rebellion бунт
karst карстови
weak слабата
circumstances обстоятелства
envoys пратеници
east източен
american американският
body телата
native родния
bare голо
reasons разполага
ivo иво
strong силни
bai бай
hoffman хофман
netherlands холандия
involved участвал
hidden скрита
principally предимно
disease болест
government правителство
clytemnestra клитемнестра
contemporary съвременен
deviation отклонение
requirements изисквания
fascism фашизмът
cross кръст
fifth пети
personal личните
ore руда
housing жилища
guatemala гватемала
sciences науките
is му
separation делене
influence влияе
radius радиусът
vary варира
fight борба
occupy заема
people народното
obligations задълженията
board съвета
rhetorics реторика
dinamo динамо
agency агенцията
belt пояса
implemented реализира
healing лекуване
letters буквите
swedish шведски
main главната
northwest северозападната
expressed изразяват
saint св
monarch монарх
encountered срещат
etymology етимологията
scores рекорди
sustains поддържа
temporarily временно
victory победа
borislav борислав
champions шампиони
series сериалът
buzzard мишелови
population население
shore крайбрежие
ready готови
palace палата
shows представите
thracian тракийския
forty четиридесет
eyesight зрение
bulgarians българите
more допълнителна
ends свършва
old старото
based основана
defense отбраната
exports износа
form формират
continuous продължителна
functional функционална
used използвано
heavy тежки
reserves резерви
between помежду
border граничи
summer лятната
gardens градини
garden градина
crimes престъпления
name името
educations образователна
died загинали
official официалната
vein вена
work работната
founded основано
ak ак
comes стига
checkmate шахматът
security сигурност
downwards надолу
gas газовете
hit удари
assets активи
table маса
winters зимите
spread разпространена
mountain планинската
determined решен
organized организираната
lucius луций
multiculturalism мултикултурализъм
locally локално
read чете
failure провал
oxygen кислорода
includes включва
obviously очевидно
peace мира
discovery откритие
rate процентът
september септември
phenomenons явления
volume обема
eagles ийгълс
alive живи
heaven рай
individuals индивиди
cruel жестоко
peony божур
prayer мотиви
coffee кафето
entente антантата
victim жертва
dry суха
goal гол
leo лъв
serious сериозна
ground землището
mouth уста
concentrated концентрирани
diary дневник
steam пара
radioactive радиоактивен
case случаят
survive просъществува
bosnia босна
prophylaxis профилактика
british британската
long продължително
chooses избира
various различни
tradition традиция
war войната
ratio съотношението
arches арки
thirdly трето
story приказка
particularly особена
tarnovo търновската
armed въоръжените
valery валери
transfer преместване
year годишният
trace тракия
masses маси
building изграждат
obtained получен
where къде
plovdiv пловдивски
star звезда
title названия
collaboration сътрудничеството
performer изпълнител
fact факт
obama обама
centuries века
list класацията
focus съсредоточени
captivity плен
additional допълнителна
observer наблюдател
encyclopedia енциклопедия
assen асеневци
ball кълбо
holy светите
divine божествена
plato платон
mercurius меркурий
allow допускат
processing преработка
apply прилага
undoubtedly несъмнено
portugal португалия
would би
turn обръщат
mikhail михаил
taken заето
companies кампании
automobile автомобил
successor приемник
pitt пит
active активни
geographic географска
municipal общинска
begun започна
collective колектив
manifest изповядва
execution изпълнение
dulo дуло
stay престоя
academic академик
natural природните
septum преграда
existent съществувала
because понеже
los лос
skins кожи
execution осъществяването
moesia мизия
inside вътрешния
blockade блокадата
dionysus дионис
young младият
different различно
communities общности
surgery операция
main основен
penetration проникване
depicted изобразен
thracian тракийското
pope папата
works трудове
videos клипове
fever треска
immune имунната
vitamin витамин
twins близнаци
modern съвременния
achieve постигат
world съветска
st. свети
which чиито
stay остане
leader водач
abandon изоставят
download свалянето
agreement споразумение
effect ефектът
slaves робите
rate норма
sense чувство
determines определя
-th та
oecd оиср
average средно
mexico мексико
interface интерфейс
emanuel емануил
certain определени
long продължителни
print печатни
cult култови
aims целите
mercenary наемници
dimitri димитровден
tournaments първенства
april априлското
political политически
belgium белгия
tempered прекалено
recognize признае
cholesterol холестерол
regression упадък
make накара
october октомври
nominated номиниран
chief вожд
path пътят
church църковен
their техни
brazil бразилия
bucuresti букурещ
lead довежда
scientific научен
thin тънки
nuclei ядра
populated населена
aids хив
declaration декларация
my моята
studied изучава
up създадат
border пределите
millennium хилядолетие
stories разкази
which чиято
dwarfs джуджета
taste вкус
glagolitic глаголица
applications приложения
dies умира
seen видял
used използваните
accompanied съпроводено
economic стопански
name павлов
hard усилено
became станали
agent агент
dramatic драматичен
omitted изхвърлени
diagnosis диагностициране
imaret имарет
rain завърне
remarkable забележителна
name калоян
shaft вал
emperor император
cities градове
george георги
yugoslavia югославия
juan хуан
public обществен
representatives представители
ancient дървесина
appears явява
hip шипка
hard тежки
karl карл
environment среда
build гради
quebec квебек
woods гори
look поглед
meetings събрания
lift вдига
including добавяне
rule управление
daugavpils даугавпилс
stop спре
interests интересите
muscles мускулите
rommel ромел
considerably значително
brie бри
inclusion включване
marine военноморски
finish завършват
eight осем
customs обичаи
sinus синус
dog куче
free безплатно
conquer завладее
figures фигури
small малък
embryonic ембрионалното
three три
winter зимен
present настоящ
egg яйце
chemical химични
gorno горно
frequency честотата
copper мед
balsas балсас
award награда
pregnancy бременност
sing пее
planes равнини
independently независимо
kings царете
gabriel гавраил
lentil лещата
vazov вазов
advocates застъпва
season сезон
read чета
secondary вторични
admit признаване
depart заминава
destroyed унищожени
family семейни
horned рогат
votes гласове
standard стандартни
this тази
curd извара
obligation задължение
from откъдето
openly открито
camp лагера
built построяват
turks турците
hetfield хетфийлд
physical физическо
generally изобщо
cares грижи
direction посока
jesus иисус
used използвани
care интересува
sergei сергей
strengthening укрепване
firm фирма
agreement договора
buildings сгради
internal вътрешните
deep дълбоките
exposed подложени
power силата
copy препис
peaks върхове
customs обичай
standard стандартния
reality действителност
standings класиране
explain обяснят
lupus лупус
minimum минимални
facto факто
film филмът
funeral погребението
science наука
important важно
spirits духове
pleiades плеяда
boys момчетата
outer външен
resolution резолюция
success успехите
size размер
can можете
municipality общината
climatic климатична
people народ
returns възвръща
catholicism католицизма
reptiles влечуги
basic основен
topics теми
website сайта
breathing дишането
grants дарения
forces усилията
true христов
source източник
italian италианския
duties мита
son синът
precious скъпоценни
meat месо
situations ситуации
flights полети
remains останки
captivate пленен
pound лира
self-employed издържа
distribution разпространението
port пристанище
quagmire батак
breach нарушение
links свързват
exceeds надвишава
home родното
many многобройни
menelaus менелай
gawain гауейн
planet планетата
engagement сражение
had имала
illuminati илюминатите
centuries вековете
received получен
medical медицински
related свързаните
company предприятие
bearing носещи
population популация
delay забавяне
ranunculus лютикови
top горната
american американска
pavlov павлов
situation обстановката
hers нейно
cristal кристална
administrative административната
busey бързи
leg крак
democracy демокрация
transportation придвижване
traditional традиционната
health здравеопазване
passage проход
captured заловени
stamboliyski стамболийски
kongo конго
dominates преобладава
serious сериозни
disposal разположение
divisions дивизии
internal вътрешно
great великият
message послание
growing нарастването
write писането
by минава
aga ага
shares споделя
calm спокойно
iran иран
prerequisite условие
caravanserai кервансарай
into вземат
psychology психологията
normal нормалното
abundance изобилие
finland финландия
moving движат
urban градското
lands земи
pomegranate калина
inhabited населен
expansion разширение
shoot стреля
laertes лаерт
archipelago архипелаг
imposition налагането
christ христа
next следващият
sydney сидни
back гърба
ratio буталото
cat котката
achievement постигане
farming земеделие
metal метал
long дълга
additional допълнителни
concerts концерти
ptolemy птолемей
supreme върховният
tpp тец
reviewers отзиви
become стана
queen кралица
ancient античната
trends тенденции
containing съдържащи
origin произхода
girls момичетата
matter материята
edition бр
gluons глуон
played изиграва
civilian цивилни
create образува
political политическо
active активна
build построени
invade навлизат
campaigns кампании
snow снежна
diet диета
recognition признаване
stanislav станислав
ejaculation еякулация
are намират
freedoms свободи
split разделя
within рамките
strips ивици
sierra сиера
opens разтваря
economic стопанско
star звездни
poetry поезия
authority органа
name захари
martyr мъченици
go отиде
return завърне
referendum референдум
helm шлем
tolerate търпи
sick болни
byzantine византийската
area местността
twilight полумрак
stage сцената
odysseus одисей
mike майк
parliament парламента
slavic славянския
persia персия
subjected подложени
assembly събрание
property собственост
computers компютри
discography дискография
essen есен
plain равнинна
bureau бюро
st ва
benefit възползва
creation творба
teutons тевтони
rehabilitation рехабилитация
among сред
iskra искра
madeira мадейра
second втората
released пуснат
genres жанрове
firmly твърдо
alive живо
was бях
appropriate съответно
pi пи
cereal зърнени
originates заражда
blood кръвните
sick болните
crude суров
english англ
seraph серафим
populated населени
nickname прозвището
allow позволяват
avoid премахнат
killed убити
metallurgy металургията
underground подземни
manuscripts ръкописи
nikolov николов
co-operative стопанства
plasma плазма
immune имунна
quarter квартал
fate съдба
seven седемте
city смолян
river реката
belongs принадлежи
rectangle правоъгълник
talk говорят
air авиация
lowlands равнини
power властта
saint светия
increases увеличава
are са
charged заредени
player играча
remarkable забележителни
others околните
combination комбинация
tournaments турнири
tanager тангари
domestic вътрешното
great едрата
artillery артилерия
singing пеене
large едър
road пътна
encompassing обхващащ
anaconda анаконда
return връщане
king царят
ultimate крайната
order ордена
predominant преобладаващата
catholic католически
section участък
her нейната
represented представена
compression сгъстяване
different различни
symptoms симптомите
sliven сливен
gender пол
nerva нерва
auschwitz аушвиц
source извора
galaxy галактиката
siege обсада
no никаква
moral морал
monk монах
country родина
optics оптика
point точки
pronouns местоимения
neurophysiology неврофизиология
related сродни
rock скален
spend прекарват
martyrs мъченици
cloves карамфил
alliance съюз
diamonds диаманти
important важни
her ѝ
grain зърнени
east източния
policy политика
continental континенталната
lived живели
birth порода
identity идентичност
grandfather дядо
infection инфекция
matthew матей
south-east югоизток
rural селско
basil василий
rule управлението
giants гиганти
employed назначен
name хъкълбери
road пътя
braun браун
vespasian веспасиан
suppression потушаване
call наричат
information информационен
behind зад
litex литекс
horses коне
sexually полово
mesopotamia месопотамия
charts класацията
mat мат
abdominal коремната
diffusion разпространение
forest гора
climatic климатични
puerto пуерто
audi ауди
ranks нарежда
of на
dissolved разтваря
close близките
passenger пътнически
dispute спор
low слабо
initial първоначалния
man човек
central централните
itself самото
begin започне
largest подправки
romans римляни
terminal краен
no нямало
forcibly насилствено
forest горски
understand разбере
majority мнозинството
demographic демографски
beat победите
founded основани
clear ясно
sets установява
stack стек
average средна
cocaine кокаинът
juridical съдебни
dated датиращи
shape облик
links препратки
designation обозначаване
considerations съображения
administer окажат
continues практиката
normally нормално
apollonia аполония
proposals предложения
images образи
name пелей
taste вкуса
dictator диктатор
created съставено
science науки
reduction намаляване
raises вдига
stoilov стоилов
treaty договорът
allah аллах
start началото
depression депресия
atria предсърдията
rodents гризачи
destroyed унищожена
temporary временна
students студентски
scholar учебни
