mainly galvenokārt
surface virspusē
several vairākas
mib mlb
most vairumā
tennis tenisa
minister ministra
regions reģionu
layer slāņi
appropriate attiecīgās
flow plūsma
dictator diktatoru
effect efekts
netherlands nīderlandi
soul dvēseles
geographical ģeogrāfiskās
color krāsā
tolls maksāšanas
supported atbalstītu
climate klimatu
previous iepriekšējās
oil naftas
fire uguns
military militārās
a kāda
restore atjaunot
amini amīni
news ziņu
obtained iegūti
journey pārvietoties
property īpašumu
electronic elektroniskās
vita vītā
difficulties ietvēra
mobile mobilo
increases palielina
valley ieleja
empire impēriju
finals finālā
speech runa
experienced piedzīvoja
europium eiropijs
mesh tīkliem
bridge tiltu
cable kabeļu
basis pamatu
antique antīko
attitude noskaņoti
upper izveidots
affect iedarbojas
output izejas
turkey turcijā
your savai
elephant ziloņi
areas zonām
looked skaitījās
constitution konstitūcijas
mr. kungs
superpower lielvalsti
birds putniem
nobles muižnieki
authors autoriem
best labākie
satra satura
farm saimniecību
corporations sabiedrībām
faith ticība
give sniegt
vertebrae skriemeļi
feudalism feodālisma
. diciāns
island salās
outside ārpuses
silk zīda
rna rns
peculiar īpatnējā
judge tiesnesis
militari militāri
restrictions ierobežojumiem
space kosmosā
zonda zonde
advertising reklāmas
postmodernism postmodernisma
peninsula pussalu
tick ērču
climate klimats
composition sastāvs
processing apstrādes
judicial tiesas
divided sadalīta
prime pirmskaitļi
changed mainījās
port ostu
chestnut rudā
perspectives perspektīvas
deliver spējām
you tev
occupation okupāciju
refers atsaucās
spiral spirālveida
gemstone dārgakmens
statue statujas
architect arhitekts
changes maina
islands salas
argentine argentīnas
policy politikas
letter vēstule
wind vējiem
bridge tilts
attack uzbrukuma
map karte
horses zirgi
conflicts konfliktiem
began sākusies
whole visa
substantive materiālo
last pēdējā
august augusts
norms normām
pigs jūrascūciņas
by izstrādāja
looks izskatās
not nav
mountains kalns
graphite grafīts
basis pamats
options varianti
primary primārā
changi maiņas
island salu
international starptautiskais
approach pieeja
only vienīgā
historic vēsturiskas
new jauno
balcony balkons
cicero cicerons
features īpatnībām
prismatic prizmas
matisse matiss
emissions emisijas
architectural arhitektūras
managing saimniecisko
citizens pilsoņi
area teritoriju
people cilvēkiem
nickname vārds
victoria viktorijas
acid skābe
different dažādus
sandstone smilšakmens
environment vidi
appreciation atzinību
songs dainās
density blīvums
for priekš
beginning sākumā
indirectly netieši
mentioned pieminēts
equine zirgi
imagine iedomāties
depend atkarīgi
warsaw varšavas
increased pastiprināti
davids dāvids
paintings gleznām
eye acs
dry sausās
almost gandrīz
ricardo ričards
indicate apzīmēt
first pirmā
astronomical astronomijas
unemployment bezdarba
paths ceļus
expose pakļaut
live dzīvās
building ēkas
translators tulkotāji
belarus baltkrievija
april aprīļa
crystal kristāla
by veicot
minority minoritāte
soldier karavīri
wc pč
initially iesākumā
dioxide dioksīdu
packet pakešu
precipitation nokrišņu
air gaiši
formalities formāli
league līgā
social sociālas
beauty skaistuma
brasilia brazīliju
called saukts
float bojā
ring gredzenu
budget budžeta
guard sargā
arabs arābi
adopted aizgūti
nervous nervu
form formas
member lietotāja
regular regulāri
thomas tomass
times laikiem
illustrated attēlotas
bothers brāļa
air gaisu
mesopotamia divupes
property īpašumi
tin alva
away attālinās
leave pamest
liberal liberālisms
dog suns
up izveidotas
number skaitļu
translation tulkojumā
subsidizes doties
latgale latgalē
meeting sēdes
park parks
infrastructure infrastruktūra
dust putekļu
built celtas
indian indijas
study pētī
charge lādiņu
portal portāls
street ielās
regions reģions
tournaments turnīros
started sācis
abdominal vēdera
dictator diktators
projects projektiem
industry rūpniecības
genres žanru
eye acu
socialist sociālistu
goal mērķis
others otram
breed šķirne
hitlers hitlera
brain smadzenes
fire deguns
letter vēstuli
problem problēmu
many daudzu
rail dzelzceļa
temperature temperatūra
registered reģistrēti
minority minoritāšu
connect savienoto
province provincē
for paredzēts
position nostājās
request pieprasījuma
duke hercoga
ladino lādiņš
up klajā
working strādnieku
building celtniecībā
philosophy filozofija
republicans republikāņu
album albumā
henry verpakovskis
strives tiecas
gauja gaujas
documents dokuments
experience pieredze
impact ietekmes
fortification nocietinājumu
symbols simboli
inhabited apdzīvoja
planeta planēta
season sezona
laws likumi
gnome rūķis
magazine žurnālu
arabia arābija
sell pārdot
representation pārstāvniecības
baby mazuļi
attacks uzbrukumi
sadu šādu
links saitēm
gases gāzu
b в
price cenas
snails gliemeži
earlier agrākās
chaos haoss
obtained iegūta
evolution evolūcijas
term termiņš
a izveidotā
musician mūziķis
bed gultnē
antiparticles antidaļiņa
epos eposs
democracy demokrātijas
tape lenta
industry industrija
look redzamo
new jauns
race sacensības
image tēlu
vilnius viļņas
set kopums
poet dzejnieka
center vidus
asia āziju
document dokumenti
stream tvaiks
chip skaidri
vine vīnē
such tādiem
fortresses cietokšņu
nature daba
st.petersburg pēterburgas
questions jautājumi
optical optiskās
wilson vilsons
subway metro
series virknes
correctly pareizi
distance attālumā
joseph jozefs
love mīlas
february februāris
resistance pretestības
develop izstrādāt
november novembris
called saukto
industry nozari
existing esošajiem
positions pozīcijas
land zemē
care rūpes
milan milānā
regular regulāra
stage posma
names nosaukumus
four četros
father tēva
calculate aprēķināt
competition konkurss
waves viļņi
opposition opozīcijas
set noteiktā
sharp krāsas
overland sauszemi
regime režīma
top topā
economics saimnieciskajā
time termiņa
top visaugstāk
different neatšķiras
noise trokšņa
competition konkurences
dentine dentīns
passes pieņem
broad plaša
spanish spāņu
realize realizēt
otherwise citādi
bacterium baktērija
sources avoti
art artemīdas
equals vienāds
have rīcībā
equipment ekipējums
companies uzņēmumus
image tēls
paintings gleznās
stocks krājumi
agriculture lauksaimniecību
deserts tuksneši
admin mārtiņš
compartment nodalījums
density blīvumu
restoration restaurācijas
press preses
set kopumu
george džordžs
up izveidojušās
equipment iekārta
in lt
earthquake zemestrīce
facilities iekārtas
shiite šiīti
mountains kalniem
communications sakaros
specific konkrētu
experience pieredzi
dialects dialektos
making veidojot
secrete izdalīt
stumps celmi
dadaism dadaisma
narrow šaurs
up augšu
constant pastāvīgi
committee komitejas
possible iespējamās
disadvantages trūkumi
spirits gari
angles leņķi
intellectual prāta
management vadībā
model modeli
est lat
drama drāma
california kalifornijā
form forma
however tomēr
terpenes elektronika
they viņām
fish zivis
us mums
revival atdzimšana
academy akadēmijā
departed atkāpās
nasal deguna
enemies ienaidniekiem
secondly otrkārt
neighbor tuvāko
liquor šķīdums
nowhere nekur
selection izlase
city pilsētā
colony kolonija
called sauca
sphere sfēru
states štati
literal literārās
developing izstrādā
achievements sasniegumiem
higher augstākās
elected ievēlē
operations operācijas
equine zirga
predominance pārsvars
code kods
standards standartus
netherlands nīderlandiešu
wisdom gudrības
geographically ģeogrāfiskā
technology tehnoloģijas
alan alans
bisectors bisektrise
deve dēvē
ends galos
seaside piejūras
revolution revolūciju
clubs klubi
tradition tradīcijā
hose hosē
resistance pretošanos
prc ķtr
adolf ādolfs
eifel eifeļa
morris moriss
consume patērē
boga boja
front fronte
co-operation sadarbība
coil tinumā
addition papildus
parallelogram paralelograms
economical ekonomiskajā
house māja
roots meklējami
wei vēl
lower lejtecē
family dzimta
open atklātais
saying sakot
innovations inovācijām
processing apstrādei
international starptautiskie
exceptions izņēmumi
kana kanāls
vowel patskanis
coefficients koeficients
s dēvēja
exposed iedarbojas
partial pieņemta
today šodien
defended aizstāvēja
appointment ieceļ
stomach kuņģa
federation federācijas
judgement spriedumu
why kāpēc
near netālu
slowly lēnām
definitions definīciju
a kādu
natural dabas
different atšķirīgas
file failu
port osta
shell apvalks
living dzīvojošajiem
goods preču
regional reģionālās
left atlikušās
separated atsevišķa
agriculture lauksaimniecībai
my mana
tape lentu
expression izpausmes
proximity tuvumā
there tur
powder pulveri
january janvāris
giving dodot
composers komponisti
warmer siltāks
top augšas
have veikuši
belarusians baltkrievi
province guberņas
develop attīstīt
electron elektronus
andrew andreja
film filma
drug narkotiku
based bāzēts
ethical etniskā
kernel kodolu
minute minūte
cheetah gepardam
explained izskaidrojams
declarations deklarācijas
versions versijām
functions funkciju
field lauks
understanding izpratni
friedrich frīdrihs
elements elementus
rays stariem
product kopprodukta
pulmonary plaušu
genetically ģenētiski
plateau plato
southern dienviddaļā
raina raiņa
crusader krustnešu
lesbian ādams
liv lībiešu
two abās
organization organizācijā
t t°
universe visums
hard cietā
blue zilais
easier vieglāk
me mežs
fluctuates svārstās
only vienīgās
forests mežos
farm saimniecība
more vairākās
statistics statistika
separate atsevišķā
game medību
communication sakari
closer tuvāk
edge malas
submit iesniegt
content saturs
prime pirmskaitļu
lead svina
romania rumānijas
mainland kontinentālajā
artillery artilērijas
lava ļāva
transforms pārveido
senate senāts
frogs vardes
size lieluma
currents straumes
party partijām
fed baro
official oficiālu
thallium tallijs
smith smits
fit derīgie
tasks uzdevumi
passes pāriet
essentially būtības
white balti
tela tēla
highland augstiene
peninsula pussalas
reacts reaģē
air gaiss
wide plašo
s galaktikām
attack uzbrukumu
love mīlestība
observe novērot
thought doma
poor sliktu
members deputātu
cause cēlonis
properties īpašības
essentially būtībā
then tolaik
trees koki
proposed ierosināja
traditionally tradicionāli
time laikus
front priekšējās
artists māksliniekiem
psychology psiholoģija
usually parasti
they tām
quadrangle četrstūris
areas apgabaliem
miles km
core kodolam
union savienībai
engine dzinējs
classicism klasicisma
rock ieži
persia persiju
geisha geišas
use izmantošana
economics ekonomikā
work darbs
sodium nātrija
creation daiļrade
right tiesībām
front fronti
entente antantes
neighborhood apkaimi
up upē
pictures attēli
cemetery kapos
quite pavisam
release atbrīvošanas
isotopes izotopi
fish zivīm
arabic arābijas
ore rūdu
made izgatavotas
understanding izpratne
instrument instrumentu
movement pārvietošanās
classification klasifikācijas
birth piedzimšanas
computers datori
turning pagrieziena
universe visumu
betting derības
thought domāja
peonies peonijas
returns atgriezās
jewel dārgakmeņi
gust gūst
depths dzīlēs
string stīgu
group grupas
official oficiālo
forests mežiem
advice padomi
assistance palīdzības
used izmantoja
transition pārejot
considered uzskatāma
than pārsniedz
different dažādām
two abām
reflexes refleksi
recognized atzīts
quad četrstūris
attack uzbrukums
rock klinšu
bred šķirne
disorders slimībām
will veidos
any jebkuras
eyes acis
two divās
dioxide dioksīda
work darbu
opposite pretējā
push-pull divtaktu
moving pārvietošanās
communication saziņas
tallinn tallinas
physician šādos
ancient senās
images attēliem
turtle bruņurupuči
record pieraksta
small neliela
stopped pārtraukta
years gadu
rail dzelzceļu
wikipedia vikipēdija
capital galvaspilsētā
lands zemēm
political politiskie
develop attīstīta
day dienā
dani dānija
electromagnetic elektromagnētisko
latest jaunāko
fashion modes
said apgalvoja
decreases samazinās
egyptians ēģiptieši
up dz
throne tronī
natural dabiskais
the tam
sanskrit sanskritā
saved saglabāta
daniel daniels
dead mirušo
collapses sabrūk
ecclesiastical baznīcas
polar polārā
fission dalīšanās
research izpēte
involved iesaistījās
see redz
increased palielinātu
speech runas
furthermore turklāt
palaces sociālie
subspecies pasugas
estates muižu
next nākamajā
instrument instruments
strong stipra
protein olbaltumvielas
tennis teniss
angle leņķis
region apgabalu
national nacionālos
climate klimata
origin izcelsmes
about aptuveni
jelgava jelgavas
serbia serbija
rest pārējā
confidence uzticību
moles dzimumzīmes
manner tikumu
flow plūsmu
studies mācības
vitamins vitamīniem
constantine konstantīns
ivan ivans
east austrumiem
models modeļi
expenditure izdevumu
e-mail e-pasts
correspond atbilst
japan japānas
cathedral katedrāles
british angļi
december decembra
density blīvuma
absolute absolūtisms
areas zonās
ed. ed
insular sāļus
graphite grafīta
class klases
conflict konfliktā
johan johans
protect aizsargāt
inside pilsētā
connected savienoja
conquered iekaroja
situation situācijā
crusader krustneši
unemployment bezdarbs
below tālāk
me mani
project projekta
minerals minerāliem
baby mazuļu
openly atklāti
classic klasiskajā
factors faktoriem
defenders aizstāvji
mengele meņģeles
river upe
luxembourg luksemburga
armor bruņas
lutheran luterāņu
processes procesiem
museum muzejs
distribution sadales
director direktors
all visās
these šiem
software programmatūru
border robežu
mentioned pieminēta
slavery verdzības
anatolia anatolijas
ball bumba
diacritic diakritiskās
computers datoru
which kurā
sand smilts
extend apjoms
rock klints
completely pilnīgi
scary balsis
leaving atstājot
power vārds
civilization civilizācijām
black melna
gaza gāza
planning plānošanas
on tālāk
recipients saņēmēji
wax vsk
directions virzienos
shiite šiītu
regionale reģionālo
southwest dienvidrietumos
1272 universitātē
saints svēto
merchants tirgotāji
mining ieguvis
subculture subkultūra
connecting savieno
legend leģendu
distributed izplatīja
exile trimdā
class klase
budget budžetu
entering ienāk
capital kapitāla
united vienots
styles stili
research izpēti
latvian latvijā
volcanic vulkāna
competitiveness konkurētspēja
form formu
nave nāve
atoms atomus
chose izvēlējās
vedic vēdu
pakistan pakistānu
reformation reformām
severe smagas
sheaves skriemeļi
throws metieni
countries valstīs
athens atēnas
statistics statistikas
thus iedzīvotājiem
implemented īstenota
public sabiedrisko
iliad iliāda
flax līnija
ketones ketoni
easy viegli
coin monēta
ruthlessly nežēlīgi
words vārdiem
proportions proporcijas
import importa
gallic gallu
devices ierīces
well labi
receipt saņemšanas
inflation inflācijas
too pārāk
traditional tradicionālās
arts cīņu
from rodas
era ēra
regions reģionos
common kopīga
southwest dienvidrietumiem
period periodam
theory teorijas
prevent nepieļautu
of no
macedonians maķedonieši
motion kustībām
established dibināts
temperature temperatūru
development izstrādes
overcome pārvarēt
tool instruments
surrounding apkārtējās
distribution sadalīšana
balkans balkānu
alpine alpu
case gadījumā
income ienākuma
poetry dzejā
obtained iegūts
icebergs aisbergs
registered reģistrētas
specific specifiska
each katrs
monotheism monoteismu
igor igors
minute minēto
symbol simbola
classification klasifikācija
requirements prasībām
consciousness apziņa
state štata
site vietās
beatles bītlu
recommend iesāka
german vācu
lat lats
more plašākā
specific konkrēta
ball lodveida
offspring pēcnācēju
a sava
type veidiem
mate māte
central centrālās
institution institūcija
technical tehniskās
exports eksportu
a tādas
arnold arnolds
pronounced izrunā
next turpmākos
builds būvē
segment posmtārpi
all visā
low zemā
bothnia botnijas
the attiecas
europe eiropa
warbler dziedātājputni
sad šādās
river upi
organizations organizāciju
chaos haosa
brigade brigādes
physical fiziskās
isi īsi
religion reliģijām
lake ezeram
considered uzskatāmi
parks parki
dead miruši
visit apmeklēt
market tirgū
top virsējā
house nams
derive rodas
who kurš
function funkcija
sovereignty suverenitāti
lateral sānu
two divām
frost salām
content saturu
artemis artemīdas
prey laupījumu
transformer transformators
semiconductor pusvadītāju
effect iedarbība
never nekāda
huge milzīgus
decision lēmumiem
unite apvieno
estonian igaunijas
problem problēma
mind prāta
reserve krājumu
invaded iebruka
tower torni
know ziņā
home galvenā
land zemju
modern modernās
reference atsauces
obtained iegūtu
style stila
caudal astes
vitamins vitamīni
forces spēkus
normal parastās
conception ieņemšana
festival svētki
said atziņas
need nepieciešamība
checks pārbaudes
depth dzīlēs
public sabiedriskais
rulers valdniekiem
breaches pārkāpumiem
all visām
improves uzlabo
refractive atstarošanās
birthmarks dzimumzīmes
so tik
valleys ielejās
single vienota
promote veicina
small nelieli
each katru
albans albāņu
converts pārveido
kingdom karalistē
proceeded noritēja
nature raksturs
cubes kubs
like tāpat
persons personas
that lai
practice prakses
precisely precīzi
gothic gotiskā
fertility auglību
dryness sausums
fact fakts
highlands augstienes
respectively attiecīgi
colonists kolonistu
boson bozoni
not neesot
anthems himnas
game medījumu
mexican meksikas
different dažādās
trip brauciens
france franciju
meant nozīmēja
empty tukšs
liv lībieši
district novadam
determined noteiktas
view viedokli
internal iekšējā
performance izpildes
leaders līderi
can var
recovery atgūšanas
available pieejama
artistic mākslas
region apkaimē
gothic gotu
platform platformas
glucose glikozes
week nedēļu
s uc
methods paņēmieni
chairman priekšsēdētāja
all viss
talks sarunas
symbolism simbolisms
cycle ciklu
sculptor tēlnieks
made izgatavo
coup apvērsumu
objection neviens
difference atšķirības
necessary vajadzīgs
show šovā
king karaļu
relations attiecībām
station staciju
knee ceļi
growth izaugsmes
task uzdevums
carbonates karbonāti
size lielums
connections savienojumus
will gribas
louis luijs
live dzīvot
culture kultūru
whole veselu
occurs notiek
moment brīdi
page lapu
live līvu
dynasty dinastija
vocational profesionālās
theta θ
contracts līgumi
oldest vecākā
style stils
divide dala
archbishop arhibīskapa
idea priekšstats
existing esošās
winds vējiem
block bloka
ms rns
analysis analīze
divided dala
except izņemot
independently patstāvīgi
link saiti
expanding paplašināšanās
campion čempionu
phase fāzē
left atstājis
released atbrīvojas
limited ierobežots
parameter parametri
small nelielu
kristal kristālu
values vērtības
calendar kalendārs
protection aizsardzības
breaking laušanas
two divus
edward eduarda
odds izredzes
russia krievijas
manage pārvalda
place vietā
hand rokā
pickles marineti
all visus
restricted atklātā
crusaders krustnešiem
cycle cikls
cult kults
salinity sāļums
lower zemākas
fry mazuļi
unfortunately diemžēl
agency aģentūra
cooperate sadarbojās
create radītu
operation operācija
specific specifisku
built veidota
director režisors
golf golfa
knew zināja
krypton kriptons
used izmantoti
knowingly apzināti
increase pieaugt
similar līdzīgus
competence kompetencē
disagreement nesaskaņu
development attīstībā
group grupās
urbanization urbanizācijas
plasma plašām
moses mozus
economic ekonomisko
task uzdevumu
married apprecējās
interference traucējumus
amsterdam amsterdama
greek grieķi
fro uzņem
victim upuris
action rīcībā
republic likās
meaning nozīmēja
type tips
asked lūdza
trade tirdzniecība
free brīvie
style stilu
arguments jautājumā
heinrich heinrihs
beings būtnes
rainstorm lietusgāzes
makes makss
completed pabeigts
philosopher filozofi
regional rajonā
sign zīme
tradition tradīcijās
brothers brāļi
feed barības
masses masas
popular populāra
material materiālu
source avota
reasons iemesli
defined definēja
minor mazāzijā
this šā
obtained ieguvuši
mount kalnā
manifested izpaužas
vitamin vitamīnu
socialist sociālistiskā
single-celled vienšūņu
community kopienu
calendar kalendāru
pole poļu
marked apzīmētas
game spēļu
views uzskatos
low zems
black melno
see redzama
drought sausums
farming zemkopību
day diennakts
stock krājumā
longer vairs
severe smagās
exchange apmaiņas
vines vīnes
achieve sasniegtu
tail astes
initially sākotnēji
set noteikt
feature iezīme
low zemo
market tirgu
changing maiņas
medicine medicīnas
classicism klasicisms
ever arvien
markets tirgo
almost tēju
clear saprotams
daugava daugavā
ferry prāmju
wife sievas
words vārdus
poorly vāji
will griba
prussian prūsijas
birth dzimstības
meaning jēgu
previous iepriekšējā
rotary rotācijas
properties īpašība
daughters meitas
geological ģeoloģiskā
steel tērauda
refractive laušanas
combined apvienotas
link saite
bering beringa
station stacijām
separate atsevišķa
be jāveic
fuel degvielas
women sievietes
possible iespējama
mode režīmu
coastal krastā
sacrifice upuris
councils kolēģijas
southeast dienvidaustrumos
given dota
connection sakarību
tax nodokļa
mineral minerāla
babies mazuļiem
california kalifornija
develop attīstīts
antiquity senatnē
a tādām
say teikt
beethoven bēthovena
establishments iestādes
pea zīmi
none nekādas
made guvusi
ministry ministrijas
a α
infrastructure infrastruktūru
circulation apgrozībā
speak runā
hinduism hinduisma
board padomes
able spējīgs
grave kāpa
materials materiāla
assets aktīvi
gives dod
g ģ
serve kalpo
java javas
held turēja
libya lībiju
ladino lādiņu
death nāvei
four četras
positions pozīcijām
views uzskati
lada labā
almost turpat
religion reliģija
vintage antīkā
atoms atomiem
continental kontinentā
bring atnes
attitude attieksme
divided sadalot
community komunisma
passed pieņemts
veins vienas
depending atkarība
ethnic etniskā
newspaper avīze
songbird dziedātājputni
trust tic
geography ģeogrāfiju
arts mākslā
region reģionā
foundations pamatiem
nicholas nikolaja
raised izvirzīja
names nosaukumiem
composers komponistu
size lielumu
catholics katoļi
struggle cīnās
moisture mitruma
last jaunākie
spread izplatīta
saints svētie
protein olbaltumvielu
elected ievēlēja
featured attēloja
mussolini musolīni
sign zīmi
vetra vētras
different atšķirīga
follow jāievēro
growth pieauguma
treatment ārstniecības
consuming patērē
state valstī
negative negaiss
estonians igauņi
five piecas
ment sakšu
breakdown iedalījuma
materials materiāliem
festive svētku
castle pili
decisions lēmumiem
gives piešķir
relatively relatīvi
mongolian mongoļu
ice ledus
connected savienota
motivates motīvs
generalis ģenerālis
settlements apdzīvotas
branch nozarē
dela dēla
germ baktērija
formed izveidojas
speciality speciāla
females mātītēm
internal iekšējiem
stage estrādes
center centram
electronic elektronu
options iespējas
flat vienotas
could varētu
abovementioned minēto
followers sekotāji
living otra
occurred radušies
up izveidošanas
other otram
nest ligzdā
import imports
painting glezniecībā
individuals indivīdu
the esošo
small kājnieku
neutron neitrona
notify paziņo
channels kanāli
mark atzīmē
available pieejami
first pirmoreiz
moderate mērens
subtracted atņem
observation novērojumiem
permit atļaujas
ejects izstaro
driving braukšanas
recently nesen
black melns
communications saziņas
vitamins vitamīns
typical tipiska
there vērojams
hawaiian havaju
estimated lēsts
huge milzīgo
religious reliģiska
shrike čakstes
swamps purvi
livia līvi
new jaunie
capital galvaspilsēta
colder vēsāks
important svarīgākās
property īpašumus
connected savienoto
neighboring kaimiņu
changes pārmaiņas
wikipedia vikipēdijas
used izmantots
vampire vampīrs
proven pierādīts
well-being labklājība
home galveno
originally sākotnēji
remain paliek
adam ādams
equipped iekārta
employees darbiniekus
ella eļļa
homer homēra
yourself sevī
police polisas
community sabiedrību
nitrous slāpekļa
nutrition uzturā
internationally starptautiski
develop attīstīto
administration administrācija
oil nafta
hinge vīra
played aizvadīja
burns deg
israeli izraēlas
north ziemeļu
security drošības
sharp krasi
created radīja
according saskaņa
worship pielūdza
existence eksistenci
poems dzejoļi
federal federālās
different atšķiras
inequality nevienādība
difference atšķirība
declared pieteica
eyes acīs
glasgow glāzgovā
manor muižas
idyll idille
end gals
land zeme
provides sniedz
come nāk
scientists zinātnieki
morales morāles
sads šāds
examples piemēri
particles daļiņas
float plūdi
art māksla
size izmēru
through caur
giving piešķirot
muscles muskuļi
difficulties grūtības
white baltie
artist panta
kidney kāršu
seemingly šķietami
components daļās
territory teritoriālās
owner īpašnieku
pony ponijs
all visi
paper grāmata
affected ietekmējis
own paša
distinguish izdalītas
long ilgus
conflict konfliktiem
music muzikālo
automatically automātiski
day dienu
federal federālo
servers serveros
tada tāda
principles principi
landlords muižnieku
attitude attieksmi
wiki matemātika
habsburg habsburgu
its savs
idea ideja
faith ticību
poland polija
what ko
position pozīcijās
amber dzintars
natures dabas
commonwealth kopvalsts
series sēriju
participation piedalīšanās
frost sārmu
tools darbarīkus
muslims musulmaņi
disease slimība
shadow ēna
also arīdzan
bed gultne
regulations noteikumu
street iela
vanilla vāni
soul dvēseli
wool viļņa
reductive zināmā
short īsu
wife sieva
people cilvēkam
ratio attiecība
originated cēlušies
quality kvalitātes
detailed sīki
need nepieciešamību
mastering apgūt
african āfrikas
traffic satiksmes
stands stāv
projects projektus
introduced ieviests
size izmērs
movement apritē
mexico meksikā
accession pievienošanās
phalanx diciāns
material materiālo
struggle cīņās
majority vairākums
craft laivas
height augstumā
present klāt
koran korānu
slaves vergiem
started sākta
forces spēki
monuments pieminekļus
economy ekonomiku
tax nodokļi
warm siltu
rose palielinājās
local lokālo
newest jaunākie
up izveidots
geographical ģeogrāfiskā
traded apgrozībā
harder grūtāk
scandinavian skandināvu
crosses šķērso
important nozīmīgi
feed barību
rate ātrums
pine priede
confederation konfederācija
analysis analīzi
state stāvokļa
dependence atkarība
director diktators
plausible ticams
districts rajonus
shutter aizslēgs
michelangelo mikelandželo
single vienīgā
consists sastāv
properties īpašībām
spice garšvielu
species sugu
repeated atkārtoti
historical vēsturisku
mutual savstarpējā
point punktiem
dram drāmas
loved mīlēja
invented izgudroja
land zemi
latest jaunākais
wet mitrs
necessary vāja
limb ekstremitātes
institutions iestādes
indicates norāda
other otras
decreased samazinājās
reduce samazināt
well aka
student studentu
groups grupām
helium he
contract līgumu
player spēlētājam
muslim musulmaņu
election ievēlēšanas
break pārtraukuma
managements vadības
indus indas
holy svētās
left kreisā
situation situācija
flight lidojuma
started sākuši
members dalībnieku
satellites pavadoņi
systematic sistemātika
conflict konflikta
black melnie
small mazu
nucleus kodolā
ministry ministrija
europe eiropu
ara ārā
develop attīstīti
ash peļņu
azerbaijan azerbaidžānā
excellent lielisks
science zinātnē
electric elektriskais
mind prātu
saturn saturna
districts novadu
hurricane viesuļvētras
organism organismiem
connected savienoti
grow pieaug
unit vienība
winds vēji
version versija
point punkts
skin ādas
1936 karsts
conquest iekarošanas
ireland īrija
books grāmatas
assembly sapulces
centers centriem
panicle skāra
beginning pirmsākumiem
executive izpildvaras
peace miers
game spēlē
increase pieauga
christians kristieši
views uzskatiem
jura jūra
block bloks
described aprakstīts
widespread izplatītākie
actress aktrise
observed novērojams
step soli
soul dvēsele
third trešo
sign pazīme
end beigās
ions joni
yoga joga
pronunciation izrunas
product produkta
covered aptvēra
security drošību
galaxy galaktikas
banks krastos
indians indiāņi
stockholm stokholma
document dokumentu
browsers pārlūkprogrammu
satisfy apmierināt
dates aizsākumi
managed vadīja
compared salīdzinājumā
person persona
novel romāns
fame slavu
object objekts
mr kuņģa
his savai
molecules molekulas
basketball basketbolā
novel romānu
dej dēj
beer alu
king valdniekam
machiavelli makjavelli
upper augstākais
erythrocyte eritrocītu
articles rakstos
moderate mēreni
culture kultūrai
rights tiesībām
molecules molekulu
friends draugu
constantly pastāvīgi
thinking domāšanas
symbol simbolu
church baznīcai
bear lācis
remained saglabājās
dalai daļai
see redzamo
any jebkurā
understand saprast
contracts līgumus
broadcasts pārraides
diamonds dimantiem
death nāve
fat tauku
cedar ciedri
contains saturēt
magnetic magnētiskā
above iepriekš
mead medaļu
world pasaulei
kernal kodolu
device iekārtu
distributed izplatās
province vojevodiste
bring rastas
criticized kritizēta
requirements prasību
colonel pulkvedis
counties novadi
males tēviņiem
decisive izskatās
survived pārdzīvoja
water ūdeni
poetry dzeja
tax nodokļu
source avots
socially sociāli
km2 km²
level līmeņa
technologies tehniku
passenger pasažieru
technology tehnoloģija
population populācija
be tiktu
argentinas argentīnas
wave vilni
hinduism hinduisms
wife sievai
reign valdīšanas
commits uzņēma
edward eduards
low zema
members locekļiem
document dokuments
raise paceļ
person pers
fluctuation svārstību
reactions reakcijās
bit bitu
never nekādu
board kuģa
generate radīt
provide nodrošināt
form formām
s us
all visa
chairman priekšsēdētājs
extermination iznīcināšanas
press presē
deep dziļas
vienna vīnē
pine priedes
april aprīlī
version versijas
cruelly nežēlīgi
kurzeme kurzemes
leave aiziet
small maziem
symbol simbols
rays starus
instructions norādījumi
decline noriets
nitrogen slāpekli
good labā
fairy pasaku
geography ģeogrāfija
virgin jaunavas
less mazāk
only tikai
complete pilnīga
indo-european indoeiropiešu
leading vadošajiem
repeatedly atkārtoti
exchange apmaiņu
magnetic magnētiskās
borrowed aizgūts
antarctica antarktīdā
inhabited apdzīvota
names nosaukumi
nema ņēma
spring pavasara
steel tērauds
motion kustību
japan japānā
deputy deputāts
insects kukaiņu
jacob jēkabs
orbits apriņķo
tyrrhenian etrusku
also ari
cover sedz
moisture mitrums
court tiešā
religion reliģiju
power barošanās
above augstāk
popular tautas
given dots
companies uzņēmumiem
fertile auglīga
ten desmit
memory atmiņā
or nedz
closely cieši
maynard meinards
next nākamais
than nepārsniedz
reasons iemeslu
muhammad muhameda
lead pārsvaru
come nācis
large lielie
elizabeth elizabete
wind sekmē
january janvāra
evening vakarā
especially it
czar cara
board valdes
sonata sonātes
calender kalendāru
the tajā
his savam
international starptautiskas
irish īrijas
payments maksājumi
high augstā
liberalism liberālisms
owners īpaša
mountains kalnos
ferdinand ferdinands
areas apgabalos
etc utt
council padomē
religious reliģisku
local vietējo
heavy smagā
before senāk
astronomy astronomijā
possible iespējams
intestine zarna
old sēņu
hunting medību
whole veselas
includes ietver
dutch nīderlandiešu
form formās
cities pilsētās
heroes varoņiem
group grupā
milk piens
need vajag
merkel merķelis
magellanic magelāna
iron dzelzi
