states штатах
started розпочалися
process процесі
muscles мязів
supports підтримує
complexes комплекси
opposition протистояння
all усі
rituals обрядів
this цей
revolution перевороту
organizations організаціями
village с
kazakhstan казахстані
evaluation оцінку
directed спрямована
used використовується
close близьких
egis егідою
school школа
proposal пропозиції
received отримала
caused викликало
payments виплати
peninsula півострові
cult культу
great великими
limits рамки
inherent властиві
straight напрямків
caucasia кавказ
construct побудувати
internal внутрішнє
frontier кордон
moscow москвою
individual індивіда
gruiformes журавлеподібні
construction конструкцій
confident певного
carry носить
turn рубежі
outer зовнішня
football футбольний
fleet флот
sure певна
observed спостерігається
literar літературної
designing проектування
universal загального
coming приходом
view зору
successor наступник
prisons вязниці
white білого
populated населені
year роком
theoretical теоретична
igor ігор
harbour порт
spreads поширюється
area площу
verses вірша
minimum мінімуму
place містечко
human людського
avoid уникнути
determined визначені
it он
huge величезна
base основу
flora флори
rights правами
gate ворота
norms нормами
product товару
system системою
finding знахідки
suleiman сулеймана
populated населених
constantinople константинополя
different різний
conclusion висновку
technology технологія
children дітьми
contradict суперечить
hercules геракл
important важливою
theory теорія
singapore сінгапуру
grammar граматики
glory славу
like подібна
possibility можливості
discovery виявлення
quality якостей
terror терор
odessa одеська
ideology ідеологією
participant учасник
domicile житло
broadened поширений
ancient древніх
hungarian угорського
legislation законодавство
fletcher флетчер
constitutes встановлюється
principal провідною
capable здатна
graphic графік
subculture субкультури
black чорний
two двома
hard важко
excitation збудження
conception уявлення
space простору
zone зони
nd го
black чорним
introduction запровадження
divided розділена
hydrogen водню
mass мас
laws закони
depend залежать
evaluations оцінками
sports спортивні
divided поділяється
lvov львівської
between між
acted діяли
occupied займався
ivan івану
statehood державності
instructions вказівки
petliura петлюра
moon місяця
live живим
variety різновидів
status статус
thistle будяк
territory територія
sexual статевий
all всі
help допомогою
contemporaries сучасників
constantinople константинополь
committee комісія
marxism марксизму
justice справедливості
charles карл
wikipedia вікіпедіях
synthesis синтез
tourism туризму
powerful потужні
vladislav владислав
laurels лаври
western західної
grade ступінь
who хто
strengthen змінюють
to до
bach баха
ukrainian українське
name імям
chinese китайський
international міжнародними
operate діють
phenomenons явищ
prevent запобігти
same тож
regional регіональний
based базується
leads веде
implement проводить
conventions договорів
dmitry дмитра
peaceful мирний
belief віра
practical практичної
faster швидше
headed очолює
heads голів
classes класів
that то
ukrainian український
constitution конституція
densely щільно
special спеціальні
roseau розо
cancellation скасування
atmosphere атмосфера
decreases зменшується
mathematical математичні
violence насильства
realized здійснила
convocation скликання
steel сталі
say говорити
fertilizer добрива
played грав
mountain гірська
course курсу
ireland ірландія
xii хіі
realization реалізується
poetry віршів
moral морального
one однієї
inclination потяг
actions діяння
small невеликими
become стають
which котре
russians росіян
truth істини
street вул
bank банку
fork віл
being істоти
nucleus осередок
employees працівників
magazines журналів
universal загальне
department відділ
described описується
struggle боротьби
all вся
laureate лауреат
silver срібні
book кн
this цієї
foresees передбачає
consciousness свідомість
funds фондів
simple простої
collection сукупності
founding знаходження
appeared виникла
graphic графіка
proper саму
included включено
cafe кафе
bodies тіл
carries несе
preparation виготовлення
lake озера
acceptance прийняттям
stories розповіді
industrialization індустріалізації
artists художників
neighbourhood околицях
western західними
most найбільшим
detachment загін
require потребують
worked працювала
responsible відповідальний
respond відповідати
collection збірки
council раду
leading провідні
portraits портрети
others інш
azide азиди
introduced запровадив
central осередків
doctors лікарів
original оригінальний
continental континентального
principal головну
feeling відчуття
days днів
serbia сербії
southern південна
humanism гуманізм
theory теорії
cross хрест
authority органом
temperature температурою
turkey туреччина
idea ідеєю
older старшого
quiver сагайдачного
campaign кампанії
regime режимом
drama драми
new новому
heroes героїв
taste смаку
ships кораблів
essence суть
justice справедливість
leaven розчин
work творі
ready готовий
ottoman османської
gained здобув
achievements досягнень
won переміг
daily щодня
yaroslav ярослав
class класу
keep зберігають
late пізно
england англії
deposits родовища
contradictions протиріччя
vasily василь
political політичних
documents документи
started почався
streptococcus стрептокок
cathedral собору
live живий
names назви
property власністю
increase підвищення
millenary тисячоліть
influenced вплинув
large більшу
allocation розподіл
political політичними
time пори
eastern східних
criticism критиці
german німецької
talk говорити
dj дж
army військовим
dated датується
underground підземних
newspaper газеті
flora флора
soviet радянських
birch березкові
mary марії
document документ
minister міністра
born народилася
heard почуттів
theater театрі
argentina аргентини
pope папи
angles кути
novel роману
organizations організацій
horses коней
reside мешкають
literar літературною
colonies колоній
medical медичний
served служили
marine морська
transfer передача
organic органічних
cinemas кінотеатри
rise виникнення
hunger голоду
defence оборону
met відповідала
technics техніка
palate піднебіння
crowd натовп
embodiment втілення
sounds звуки
showed виявилися
gdp ввп
territory території
named назва
order порядок
iron залізна
force схилах
changed змінили
that ту
biotechnology біотехнологія
carbon вуглецю
written пишуться
reminds нагадує
spheres сферах
technology технології
change змінити
user користувача
financial фінансового
yard двір
aimed прагнули
majority основну
pass передати
european європейська
mirror дзеркало
provide забезпечують
army армії
fountain джерела
fountains джерелах
settlement селище
all всю
traditional традиційно
fedorovich федорович
sphere сферою
engineer інженер
compound сполук
natural природи
commodity товар
visit відвідують
trips поїздки
straight напрямку
higher вище
list список
equally поряд
zone зона
don дону
news новини
river річкою
computers компютерів
vertebral хребетних
considered вважалося
distance відстані
modeling моделювання
henry генріх
world миру
manifested виявлено
western зах
cross хреста
lvov львова
creation твору
absolutism абсолютизму
game гра
speed швидкості
year рік
address адресу
transfer переходу
board колегії
consciousness свідомості
ancient античних
italian італійської
patent патенту
antiquity давнини
marriage шлюб
marxism марксизм
me мене
administration урядом
cathedral кафедральний
combines поєднує
species порід
kazimir казимир
conquest завоювання
once одного
aggregate агрегат
press пресі
workers працівників
sculpture скульптурі
western західною
kirovohrad кіровограді
grounding обґрунтування
institute інституті
dramatic драматичний
received отриманих
etymology етимологія
petliura петлюри
earned заробітної
european європейськими
entente антанти
universal загальних
professor проф
march похідні
ethnical етнічний
poems пєс
scientist вченого
repartition перерозподілу
grow ростуть
ukrainian українську
british британська
time пора
animal тварини
scientists учених
affix афікс
genre жанру
london лондон
received отримавши
minerals копалин
team команди
advertising реклами
died померли
community співдружності
intensively інтенсивно
change змінює
atmosphere атмосфери
aristocracy знать
thought дума
climatology кліматологія
country країною
solution розчин
steppe степова
petrovich петрович
ready готові
played відіграють
one одну
correct правильно
deer олень
institution установи
complex складне
world світова
characteristic характерною
mosaic мозаїки
pablo пабло
others решти
remember згадує
set призначено
house будинку
tsar царський
spirit духа
secretariat секретаріату
sofia софія
kept збереглося
gases газів
necessarily необхідно
flag прапором
frank франк
lead вести
sympathy прихильність
knot вузол
coast побережжя
films фільмів
new нового
like подібне
including включаючи
rocks порід
all-ukrainian всеукраїнський
commercial торговельних
measures заходами
modernity сучасності
army військовий
post посада
formed склав
david девід
object обєкта
active активні
serbia сербія
dominion володіння
act акт
meeting зборів
football футболу
center центру
relations відносини
turkey туреччини
obtain набувають
award премії
which яку
elaboration розробку
property власності
had мала
form складають
investigators дослідники
value цінності
coalition коаліція
domestic міського
native рідною
density густина
universal загальному
dnepropetrovsk дніпропетровської
biological біологічна
contacts контактів
sergiy сергія
theory теорію
limited обмежене
settlement селища
castle замок
comparable порівнянні
document документа
industry промисловість
hryvnia гривня
places місць
sacred святих
independence незалежності
matches матчі
other іншою
universe всесвіт
take беруть
french французькою
regional регіональних
somehow чимось
collection збірка
event подія
applied застосовується
vital життєвих
world мир
america америці
live живі
examines розглядає
democratic демократичний
literature літературного
england англія
mixture суміш
companies компаній
imprisonment полон
volyn волинської
object предмета
seven сім
texts тексті
kinds типів
local місцеві
leader лідера
located розташоване
much набагато
line риса
meetings збори
moscow московський
reach скласти
sports спорту
region регіону
supreme вищу
economic економічну
anthem гімн
reality дійсність
corps корпус
m. m
revolutionary революційних
preceding попередні
side бік
army військових
thunder грім
soviet радянським
council ради
formed утворена
friend друга
rich багата
captives полонених
candidates кандидатів
individuality особистості
understood розумів
sacred свята
originate виникають
commission комісією
popular популярні
courts суді
limited обмежена
little меншою
rugby регбі
origins походить
file файл
technics техніки
cathedral собори
act актом
exactly саме
left лівий
independent самостійна
vienna відня
memorial меморіальний
chain ланцюжка
divisions відділів
for щоб
approach підходу
ukrainian українських
chronicle літописах
tour туру
bounded повязана
einstein ейнштейна
azides азиди
idea ідеї
force силою
bukovina буковина
childish пройшли
nasu нану
masterly майстерні
wanted хотіли
coast берега
sets призначає
h. h
universe всесвіту
cherkasy черкаської
russia росією
fragments рештки
popular народними
archives архіву
base основа
fast швидко
considerable значний
winds вітрів
story розповідь
lake озеро
falls потрапляє
belonging приналежність
elasticity еластичність
used користуватися
systems системи
russian російські
enlightenment просвітництва
valencia валенсія
preamble передмова
fall падіння
conformably стосовно
contrary всупереч
social суспільної
greek грецька
investigation розслідування
dwelling житла
states стане
people людям
authorities органи
expert експерти
economical економічні
lowlands низовини
hours години
struggle боротьбу
andorra андорри
authorities органів
home житло
language мовах
yellow жовтий
molecules молекули
martis мартіс
roentgen рентген
technological технологічних
world світову
writings твори
building будівлі
s.s. сс
like подібно
want хочу
weld зварюванні
presence присутності
precursor попередник
football футбол
september вересень
manufactures виробляє
borrowed запозичені
boundary межу
states державах
german німецькими
xii xxi
plays грає
proof доведення
genres жанрів
world світом
literature літературою
democratic демократичних
medicine медичні
becoming ставши
known відомі
inventory перепису
mosaic мозаїка
remain перебувають
entered входила
these ці
known відомою
passed перейшов
square квадрат
peasantry селянства
tops вершин
elaboration розробки
on темою
gully яр
appearance поява
south півдні
center центри
bolsheviks більшовиків
alone одні
evolution еволюція
november листопада
khon хон
team команда
registration реєстрації
examples приклади
champion чемпіон
traditional традиційна
accumulation накопичення
circle колі
integrity цілісності
variety різновиди
square майдан
opened відкритого
point точка
mentions зазначає
modernity сучасність
executes виконує
clothes одяг
xxi ххі
cherkasy черкасах
civil громадянської
sculptures скульптур
continue продовжується
mortality смертність
headquarters штаб
formula формулою
situated розташованих
transition передачу
revival відродження
fire пожежі
sofia софії
symbol символ
traditions традиції
accuracy точність
citizens громадян
spiral спіралі
social суспільне
mathematics математика
press друком
knots вузлів
poetic поетичний
course хід
coalition коаліції
award премію
faculty факультет
report зведення
happen трапляються
governmental урядових
azerbaijan азербайджану
national народним
inflation інфляція
christian християнські
western західні
approaches підходи
mykolaiv миколаєві
white білі
famine голод
area площі
motive мотив
split розколу
nation нація
gipsy цигани
insurance страхових
started почали
divided поділена
kulish куліша
freely вільно
strokes рисами
vienna відні
hunting полювання
historical історичних
starts починається
supreme вищого
value значення
introductory вступна
reached досягається
bank банківської
temples храми
depth глибині
exile заслання
english англійських
contents вмістом
viruses віруси
hryvnia грн
turkish турецьких
sich січових
independently самостійно
situated розташована
communications звязків
foreign іноземного
stories оповіді
universal загальним
expansion розповсюдження
sculpture скульптури
ore руди
reached дістала
airport аеропорт
biography біографії
occupied зайняла
k. к
plateau плато
common спільні
position позиції
highest найвищого
technological технологічний
whole цілому
age віку
lower нижня
project проект
exception винятком
which який
observation спостереження
council рада
portal портал
mission місії
strength сили
temple храму
defence захист
figure діяч
banks банки
vernadsky вернадський
circle гуртка
movement переміщення
inscriptions написи
selling продажу
refer відносяться
universal загальний
os ос
curium кюрій
crafts судна
creation творчості
pushkin пушкіна
triangle кут
supported підтримував
pen перу
both обох
other іншої
better краще
substance матерії
contemporaries сучасники
game гру
pheasants фазанові
mexico мексики
stepan степан
cases відмінок
ukrainian українським
thoughts думок
victory перевага
muslim мусульмани
tales казок
life життєві
chronicles літописах
sign ознака
national нац
roman роман
formulating формулювання
american американської
caused викликав
life життєвого
represented представлена
one одне
tissue тканини
situation становища
railroad залізниця
original своєрідні
colour колір
fountain джерело
pot горщик
commodity товару
deployment розгортання
using використанні
sergiy сергій
great великого
novel романа
kiev київській
economic економічної
theater театру
society товариства
that того
places міст
affirmed стверджував
regional регіональні
proclamation проголошення
grammar граматика
removal усунення
conservatism консерватизм
early рано
cost ціною
enemies ворогами
reason мотив
which яким
evil зло
states країнах
with з
last останнє
moscow москва
typical характерно
perhaps мабуть
also також
calculation обчислення
mammals ссавців
way шляхом
unitary єдина
cherkasy черкаси
research науковим
exists існує
authority органу
executive виконавчої
specialization спеціалізації
succeeds вдається
bukovina буковини
south півдня
channel протокою
simultaneously одночасно
norm норма
well добре
value цінність
distinguish розрізняють
union союзом
independence незалежність
interpretation інтерпретації
demand вимогам
climatic кліматичні
except окрім
emancipation емансипація
general загальними
prospectus проспект
creations творами
internet інтернету
nouns іменників
leonid леонід
center центр
end припинити
letter письмі
texts текстах
one однією
political політичний
easy легко
methods засобів
kremenchuk кременчуці
situation становище
politicians політики
ivan івана
tools інструменти
low низькою
fathers батьків
different різні
stores запасів
friend другом
legislation законодавства
last останню
district повітів
lower нижньої
love любить
arches арш
doctor доктора
city міського
somehow щось
transformations перетворень
straight напрямки
white білий
general генерал
fourth четвертий
iron залізної
army військовими
hall зал
hone хон
locations місцях
lesser менший
theatre театру
edition ed
entered входили
class класи
contests спори
one одна
cup кубок
construction спорудження
more бл
this цією
fidelity вірність
home головна
appearance появи
evolution еволюції
flatfish камбалові
caucasia кавказі
miller мельник
founds фондів
economic економічне
caspian каспійського
forests лісах
last остання
collection збірку
stage етапом
cuba куба
known відомими
appeared виникли
difference різниці
turn синів
group угруповання
chronicle літопис
attention увага
literary літературній
artists художники
local міські
inflation інфляції
mark марка
statehood державність
hofman гофман
rock скелі
integration інтеграції
enterprise підприємство
ukrainian українська
adverbs прислівники
necessity потреб
faction фракія
bases основ
developed розроблена
lungs легені
poetical поетичної
concepts уявлень
president президентом
girls дівчат
situated розташований
lead вели
joint спільні
registration реєстрація
cellular клітинних
substance матерія
writer письменник
document документом
prairie степ
mexico мексика
principality князівство
question питанням
for задля
roman римські
european європейських
national народних
political політичним
ancient стародавньому
wants хоче
spirit духу
standard стандарт
citizen громадянина
regions районах
games ігри
higher вищу
warm теплим
place містечка
potential потенціалу
developed розвинені
proposal пропозицією
biography біографія
elaboration розробка
position позицію
nation нації
discussion обговорення
manifests виявляється
believers віруючих
stopped опинилася
regions регіонів
classic класичних
ballet балету
monarch монарх
group груповий
alienation відчуження
habakkuk авакум
components компоненти
endeavour намагання
alexey олексій
reason приводом
ethnic етнічна
revolution переворот
led керували
colors фарби
take брати
alexander олександра
crimes злочини
belorussian білоруської
elected проголосив
that тому
grammatical граматичні
scientific наукової
service обслуговування
attitude відношенні
poor бідних
amur амур
unitary єдине
stomach шлунок
data даними
fields полях
xiii хііі
aggression агресії
agricultural сільськогосподарського
be вважатися
realization здійсненні
successfully успішно
sensations відчуттів
opened відкритих
mountain гірські
find знайти
resulted призвели
special спеціальна
births народжуваності
area зона
activity діяльністю
interest інтересах
atmosphere атмосфері
same же
fixed зафіксовані
mihailo михайла
technical технічні
barometer барометр
remembered згадується
used використав
investigations дослідженнями
christian християн
khan хана
accidents аварії
struggle боротьбі
dumy думи
it це
guard охорона
growth росту
world світові
two двоє
systems систем
treated відносяться
using вживається
nation народ
set ставлять
khmelnytsky хмельниччини
background тлі
turks турків
citizen громадян
conducted ведеться
these цих
studio студії
chronicles хроніки
border рубежі
blood кровю
iran ірані
head головою
croatia хорватії
azov азовського
seaweed водорості
character характером
live живими
that чого
fact факт
obama обама
published опубліковані
ridge хребтів
creating створенням
deprivation позбавлення
official офіційні
which якими
letter письмо
creating створенні
acceleration прискорення
france францією
deputies депутатів
activity діяльність
plato платон
diversity різноманітність
bounds повязує
obligations обовязки
plans плани
oxana оксана
shores берегів
brightly яскраво
see див
church церква
study навчального
given даної
consequences наслідків
nuclear ядерних
form форму
provided надавали
absent відсутня
growth піднесення
orthodox православна
italian італійського
japanese японії
as міру
appeared зявилася
railroad залізниці
other другий
hungarians угорці
their їхнього
map мапа
discover виявити
battle боях
great великі
occupation заняття
business справи
independent самостійну
cultural культурне
formed утворилися
bronze бронзи
difference відмінності
informational інформаційна
sumy сумський
manmade штучних
results результатів
main основні
through через
metallurgy металургії
steppe степу
tchaikovsky чайковський
year році
that такого
happened відбувався
state державній
component складова
oil нафт
students студентів
belorussian білоруська
name імя
arrival приходом
sure певні
change зміною
preface передмова
soil ґрунти
turns обертається
third третя
mortgages заклади
britain британія
last останньої
social суспільний
standard стандарту
embassy посольства
monuments памятники
zhitomir житомирської
conditions умовах
judicial судових
object обєкт
consent згодою
cultural культурна
changes змін
union союз
prosperity добробут
remainder решта
place місті
horn рогу
friend друг
house дім
places містами
part частину
tsar царем
principles засад
answering відповіді
saw бачили
weapon зброї
freights вантажів
self-government самоврядування
realized реалізується
created створювали
champions чемпіонів
liberalism лібералізм
orgasm оргазму
share поділяють
camps табори
lightning освітлення
skoropadsky скоропадський
mass масу
religion релігією
which котрі
print друкувати
taiwan тайвань
dramatic драматичні
met відповідати
gathered збиралися
founded засновано
miracles чудес
greek грецької
coin монета
ideal ідеалом
proteins білками
structural структурних
descriptive образотворчого
secular світські
figure фігури
authority повноваження
activity діяльності
three три
difference різницю
european європейським
letter літера
egg яйце
magdeburg магдебурзьке
ancient давня
hungary угорщина
caused призвела
economical господарські
computer компютерних
orthodox православний
ancient стародавня
technics техніку
gas газу
archives архів
compounds складових
attitude відношення
koran корану
season сезон
offered запропонував
boundaries межах
year годин
performance виступи
along по
turns звертається
held відбулися
world світовому
acts діяла
population популяції
small малих
wide широкі
stars зорі
questions питаннях
combination сполуки
point точку
began почав
used застосував
difference різниця
ppp пкс
press преса
gain здобути
sequence послідовність
snail улітку
his своїй
create викликати
science наука
returned повернувшись
david давида
zone поясу
dnipropetrovsk дніпропетровськ
give передають
young молоді
people народ
succession нащадків
attitude відношенню
every кожної
circulation обіг
elaborated розроблений
divided розділені
directions напрямів
epoch ери
dimension розміром
categories категорії
european європейського
evil зла
medium середніх
sound звучить
level рівнем
germany німеччини
state державними
indication ознака
lodging приміщення
regarding щодо
disintegration розпад
came прийшов
absent відсутні
became зявилась
real реальної
council рад
caesar цезаря
performing ведення
expansion розширення
theatre театральні
social суспільна
belonged належали
failure невдачі
capital капітал
league лізі
set поклав
economic економічними
proper власних
duration тривалість
hentai хентай
architect архітектор
icons ікони
achievement досягнення
stone камяні
guard охорони
say говорить
both обидві
sevastopol севастополя
climate клімат
caused призвело
subordinate підпорядкування
dnipropetrovsk дніпропетровської
firms фірми
appointment призначення
board дошки
internet інтернеті
nikita микита
azerbaijan азербайджан
ancient стародавнього
regimes режимів
rockefeller рокфеллер
candidate кандидата
food їжі
witnesses свідчить
sometimes деколи
diaphragm мембрана
some деякий
shipbuilding суднобудування
association спілка
stadium стадіон
united обєднані
heavy важкі
christ христа
previous колишні
marry заміж
diseases хвороб
regiments полків
full повною
pavlo павло
temple храмах
kilometres кілометрів
metal метал
fast швидке
ideology ідеології
concerts концерти
ownership власність
kharkiv харківська
medieval середньовічних
itself сам
occasionally іноді
winds вітри
aristotle арістотель
mainly переважно
ukrainian українському
verbs дієслово
active активна
wealth багатством
fundamental основному
lie лежать
chronicles хроніка
basic основними
new новими
bilberry чорниця
carbides карбіди
parameters параметрів
me мені
edition изд
slovakia словаччини
availability наявності
foresight передбачення
numerous численних
sea морем
seminary семінарії
quickly скоро
commentary коментарі
bronze бронза
responsibility відповідальність
tusks бивні
g. г
white білих
examination розгляд
kuban кубані
depth глибина
wishes бажанням
electric електричного
principality князівства
european європейський
some деяким
little малу
be існувати
bureau бюро
classic класичний
higher верхня
all-ukrainian всеукраїнська
lvov львівська
croatia хорватія
death загибелі
said сказав
production виробничих
use вжитку
sevastopol севастополь
expressively виразно
bloom розквіт
actions заходи
international міжнародної
leading проведення
opened відкритий
among серед
business справ
influence впливають
vsevolod всеволод
english англ
articles статті
punishment покарання
cadmium кадмій
theoretical теоретичні
go піти
middle середину
appreciably суттєво
cossacks козацькі
argentina аргентині
base основою
european європейські
quarter квартал
diversity різноманітністю
supreme вищому
founders засновників
lime липові
school шкільна
lvov львівському
changes змінами
plays відіграє
bounded повязано
philosophical філософський
hetman гетьман
presents представляє
local місцева
boris бориса
this даного
history історію
proteins білки
finishing обробка
crete криті
surfaces поверхні
weapon зброя
e е
lies лежить
developed розвинених
moscow московським
human людської
unit одиницею
ancient давні
order ордена
taras тараса
history історія
chernihiv чернігова
looks поглядах
llc тов
unite єдиний
introduced представлений
church церкви
imports імпорту
means засобом
city м
ancient стародавніх
shore березі
division поділу
metallurgy металургія
ox віл
point точки
civil громадянського
kiev київщині
obliged мусить
kiev київського
commander командира
vision бачення
universal універсальна
socialist соціалістичного
communism комунізму
emperor імператором
weapon зброю
limited обмежені
formally формально
is є
tuberculosis туберкульоз
board дошка
observed розглядається
absolute абсолютної
strategical стратегічних
collective колективу
sermons проповіді
function функціонує
proper своєї
vegetation рослинності
cases обставин
prominent видатні
developed розвинув
renewal оновлення
mathematics математики
greek грецькою
characterized характеризуються
romans римляни
executive виконавчого
russian російська
great яскравим
caused привели
accomplish виконують
recollection згадка
clear ясно
courts судів
cyril кирила
africa африці
money грошові
figure фігура
belly черевце
interpretation трактування
literature письменства
electrochemistry електрохімія
interrelation взаємини
revolutionary революційні
images образи
attachment пристрій
examination розгляду
liquidated ліквідовано
science науки
headed очолював
take займають
recognized визнали
loses втрачає
indications ознаками
britain британії
third третє
institute інститути
images образів
objects предметів
high високої
previous колишня
left дійшли
at na
special спеціально
positions посаді
coin монети
steppe степовий
small дрібних
common спільного
kept зберігається
water водного
dedicated присвячений
equipping обладнання
poles поляків
gland залоз
philosophic філософських
lutsk луцьку
press преси
director директора
hungary угорщини
reforms реформ
company компанія
pages сторінках
search пошуках
find знаходимо
marussia маруся
person людина
special особливий
lips губ
years років
that тій
ancient стародавній
antiquity античності
kitchen кухні
dangers небезпеки
freedom свобода
together разом
alive живим
world світового
rus руське
expeditions походи
shoot зйомка
agency агентство
constructed побудовано
wooden деревяна
indicate вказують
preceding попереднього
conclusions висновки
successes успіхи
warm тепла
often часто
teachers вчителів
poetry поетика
ukrainian українського
page сторінки
ensemble ансамблі
related повязане
period період
citizens громадяни
philip пилипа
international міжнародному
died загинули
head начальник
artists митців
civil цивільного
waste втратила
ensures забезпечується
gods боги
test випробування
large великих
look погляд
accident аварії
application використання
local місцеве
original своєрідним
dragon змій
embassy посольство
persons особах
duties обовязок
realizes здійснює
calendar календаря
individuality особистість
traditions традицій
citizenship громадянства
subject сюжети
designated позначався
cattle худоби
little малий
communal комунальне
informatics інформатики
descriptive образотворче
support підтримання
makalu макалу
contemporary сучасної
orthodox православних
middle середини
iran ірану
addition додаток
go йде
reality дійсності
connection звязку
bounded повязані
tram трамвай
descriptions описи
director режисер
decoration орденом
lands землями
important значними
wind вітру
sure певну
influence впливів
medicine медицини
regulate регулюють
some деяких
army армія
thousands тисячі
museums музеїв
contacts контакти
productive продуктивних
years рр
arms герб
ideology ідеологію
london лондоні
songs піснями
businesses справах
places місцях
thus отже
griddle сковорода
numbers числами
fortress фортеця
version версією
differentiation розмежування
doubt сумнів
construction будівля
gunners стрільців
skoropadsky скоропадського
church церкву
body тіло
income надходження
hungary угорщиною
plants рослин
professor професора
prague празі
industry промисловості
luhansk луганська
macedonia македонія
absorption поглинання
appeared зникли
stag самців
methods методів
mass маси
army армію
libraries бібліотек
ideology ідеологія
depth глибини
fierce лютий
little менші
poles поляки
calendar календар
senate сенату
his своїх
exact точні
several кілька
mode вид
assimilation освоєння
mechanisms механізмів
fortress фортецю
characteristic характерний
process процесом
victim жертву
methods способи
simultaneously водночас
burial поховання
christian християни
entirely повністю
legend легендою
monuments памятки
local міській
months місяців
interests відсотків
obliged повинно
divide поділити
austrian австрійська
distance відстань
summer літо
medical медичних
edge краю
germany німеччині
form складати
form форма
elementary елементарних
volume збірник
poets поетів
bolshevik більшовиками
cretan критський
