january ionawr
established sefydlwyd
destination gyrchfan
last olaf
captain capten
giant gawr
twelve ddeuddeg
germany almaen
right ddu
is yw
building feithrin
integrity cyfanrwydd
portugal mhortiwgal
he rhoddodd
principe príncipe
seed had
promote hyrwyddo
weather dywydd
licence drwydded
valleys cymoedd
set gosod
rarely anaml
chemical gemegol
viruses firysau
insurance yswiriant
social chymdeithasol
migration ymfudo
emission allyrru
wave ton
will ewyllys
powers bwerau
appeal apelio
infection heintiad
stabilize sefydlogi
some peth
located leoli
drowning foddi
facilitate hwyluso
pilgrimage pererindod
transport cludo
score sgôr
examples enghreifftiau
aromatic aromatig
rotation chylchdro
awareness ymwybyddiaeth
folding plygu
ponds pyllau
runs rhed
interesting ddiddorol
molecules foleciwlau
instant gwib
allegation josef
note côte
browsing pori
system gysawd
acetic asetig
names enwau
chart siart
algae algâu
heaven nefoedd
dispute anghydfod
industrial diwydiannol
illness salwch
charity elusen
all pob
denominations enwadau
published cyhoeddi
family theulu
three dair
groundwater daear
mechanism mecanwaith
game gêm
thick trwchus
congress cyngres
sparrows golfanod
cheese caws
pigeon colomen
passionate angerddol
drawing arlunio
electrical trydanol
enjoy mwynhau
resistor gwrthydd
web we
eagle eryr
recorded recordiodd
class ddosbarth
was cafwyd
warty dafadennog
why pam
interaction rhyngweithiad
cultures ddiwylliannau
choline colin
diesel disel
cancer gancr
parthians parthiaid
other llall
various amrywiol
powered gyrrwyd
folk werin
christians gristnogion
written ysgrifenedig
information gwybodaeth
impermeable anathraidd
asian asiaidd
support cymorth
ethnic ethnig
wars rhyfeloedd
climber dringwr
still dal
tom twm
hit taro
complete gyflawn
heather ffoton
wife gwraig
respiration resbiradaeth
great gwych
result ganlyniad
destruction difa
pet anwes
cultures diwylliannau
years flynyddoedd
sleep cwsg
goal nod
forests coedwigoedd
was oedd
derived deillio
governments llywodraethau
considers ystyria
abbot abad
year blwyddyn
magazine cylchgrawn
continental gyfandirol
mari fari
tool offeryn
cry lefant
flowers blodau
branch gainc
privacy preifatrwydd
skeleton gwynegon
actively frwd
monk mynach
code god
four bedwar
performance berfformiad
explode ffrwydro
accompanied cyfeilio
wind gwynt
champions pencampwyr
boards byrddau
land thir
light olau
land of
paper bapur
charles siarl
sons meibion
constantinople nghaergystennin
damage difrodi
strait culfor
reach cyrraedd
published cyhoeddwyd
units unedau
distinguished fri
architectural pensaernïol
waste gwastraff
helium heliwm
joke jôc
welcome croeso
vagina fagina
carthage carthago
chair cadair
grew tyfodd
party barti
subtropical isdrofannol
reaction adwaith
share rhannu
mold wyddgrug
brother brawd
relative cymharol
raids cyrchoedd
eruptions echdoriadau
prophets proffwydi
developments ddatblygiadau
guidance arweiniad
excitement gyffro
to l
fishguard abergwaun
poem gerdd
diseases afiechydon
hardship caledi
cardiff caerdydd
complete cyfiawn
stranded sownd
boundaries ffiniau
tiger teigr
released mad
seen welir
communication cyfathrebu
belt gwregys
word air
limited cyfyngedig
defenses amddiffynfeydd
drier sychach
humor hiwmor
policies bolisïau
wheel rhod
touch cyffwrdd
roasted rhostio
rural wledig
audience cynulleidfa
bad drwg
justice cyfiawnder
rights hawliau
following dilyn
cruise fordaith
judaism iddewiaeth
jerusalem jeriwsalem
tower cyfog
academy academi
elizabeth elisabeth
text testun
possible posibl
flu ffliw
apes epaod
reconstructed ailadeiladwyd
hereditary etifeddol
round rownd
writings ysgrifau
pavilion pafiliwn
decade degawdau
slovenian slofeneg
too rhy
noise sn
california califfornia
forced gorfodir
annually flynyddol
excellent ardderchog
what ba
hope gobeithio
closed caeodd
inflammation llid
african affricanaidd
traditions thraddodiadau
professional proffesiynol
explorer fforiwr
pole pegwn
a dull
plate plat
was daethpwyd
recording recordio
mythology chwedloniaeth
above uwchben
sihor llus
which sy
beaches traethau
baptized fedyddio
weight pwysau
average gyfartaledd
need angen
dust lwch
designation dynodi
funds cronfeydd
area faes
materials defnyddiau
property eiddo
loss cholli
spread lledaenodd
faster gyflymach
poles pwyliaid
evidence tystiolaeth
partition rhaniad
top frig
infection heintiadau
bere there
tanzania tansania
easier haws
affect effeithio
minorities leiafrifoedd
sediment gwaddod
lions llewod
overlap gorgyffwrdd
fermentation eplesu
individual unigolyn
singers ganwyr
to i
see gwelwch
beginnings dechreuadau
azerbaijan aserbaijan
capture cipio
brittany llydaw
oceanic cefnforol
novelist nofelydd
inspire ysbrydoli
atrium atriwm
mankind dynolryw
guide canllaw
better gwell
residents thrigolion
society chymdeithas
paris baris
it arni
imperial ymerodrol
associations chymdeithasau
organs organau
america amerig
basic sylfaenol
queens breninesau
tv deledu
plains gwastadeddau
core craidd
gland chwarren
contrast cyferbyniaeth
whether boed
chess gwyddbwyll
thrush bronfraith
fight frwydro
weak gwan
subjects pynciau
very iawn
estuary aber
years flynedd
all ymhob
ministerial gweinidog
terms nhermau
action gweithredu
turtles crwbanod
front flaen
disease clefyd
training hyfforddiant
suffix olddodiad
doors crysau
caribbean caribî
production cynhyrchu
amendment ddiwygiad
worshiped addolir
bone asgwrn
doctor meddyg
turn throi
ceasefire cadoediad
vocal lleisiol
things pethau
all gyfran
power bŵer
lesbian lesbiaidd
patriotic wladgarol
term dymor
hydrosphere hydrosffer
attend mynychu
cliffs clogwyni
slopes lethrau
worship haddoli
under odan
code côd
valuable gwerthfawr
uniform gwisg
played chwaraewyd
evolve esblygu
it ydyw
heath ros
right dde
autonomy ymreolaeth
millennium fileniwm
a sef
feet troedfedd
amendment diwygiad
bay fae
mixed cymysg
ceased aethant
stage nghyfnod
device ddyfais
there gwelir
quiet dawel
dj troellwr
bible beibl
thinking meddylfryd
pottery crochenwaith
subject goddrych
study astudio
literature lenyddiaeth
farm fferm
overcome gorchfygu
forces heddluoedd
light goleuni
valley fali
services gwasanaethau
relevant berthnasol
new newydd
friday gwener
bonds bondiau
temperature thymheredd
inventor dyfeisiwr
divinity dduwdod
cherry ceirios
faeces ymgarthion
defender amddiffynwr
volcanic folcanig
collaborative cydweithredol
competitors cystadleuwyr
leg goes
complex cymhleth
possession meddiannu
will gaiff
controlled reolir
create chreu
equivalent gyfystyr
order gorchymyn
boat cwch
trials treialon
perspective safbwynt
viewers wylwyr
acid asid
certainly sicr
computing cyfrifiadureg
community gymuned
link cysylltu
coastal arfordirol
lands tiroedd
exaggeration nofel
necessary angenrheidiol
by fesul
serve gwasanaethu
orchestra gerddorfa
fort nghaer
prevented ataliodd
published gyhoeddodd
widow gweddw
mythology fytholeg
service wasanaeth
governance llywodraethu
l fi
essential hanfodol
verbs berfau
possessions meddiannau
station orsaf
busy brysur
belief gred
rings fodrwyau
celtic celtaidd
circular cylchol
speed cyflymder
higher uwch
goose gŵydd
condemned condemniodd
teachers athrawon
began dechreuodd
herons crehyrod
advanced datblygedig
cells celloedd
nation genedl
unemployment diweithdra
francais français
golden euraidd
alkenes alcenau
picture darlun
catalyze cataleiddio
interpreted dehonglir
musical cerddorol
identity hunaniaeth
kinetic cinetig
king brenin
view olygfa
surrounded amgylchynu
secret ddirgel
argue ddadlau
pendent pendant
up fyny
investment buddsoddi
run rhedeg
disruption darfu
no rhif
shipping llongau
ambassadors lysgenhadon
term tymor
gardening garddio
true gwir
bands fandiau
ribs asennau
post swydd
sion siôn
background gefndir
root gwraidd
successor olynu
p tud
moderate cymedrol
concepts gysyniadau
cooling oeri
leukemia liwcemia
taken chymerwyd
line llinell
horn corn
nd il
recorded cofnodir
china rss
passing pasio
tufted copog
native frodorol
terminology terminoleg
specific penodol
asexual anrhywiol
help helpu
attributable briodolir
departure ymadawiad
teapot tebot
narrow cul
everything popeth
too gormod
achieve gyflawni
world fyd
provinces daleithiau
religions crefyddau
in ynddynt
city dinas
ads hysbysebion
gravity glyndŵr
bikers llefydd
spelling sillafu
fighting ymladd
influx mewnlifiad
it arno
vikings llychlynwyr
linguist ieithydd
galatians galatiaid
financial cyllidol
flanker blaenasgellwr
plate blat
actors actorion
criminal droseddol
david ddafydd
races hiliau
wrens drywod
latin lladin
autism awtistiaeth
arid cras
bike beic
dogs cŵn
settle ymgartrefu
visit ewch
similar tebyg
household aelwyd
rocks greigiau
reconstruction ailgreu
mobile symudol
occupied meddiannwyd
friends ffrindiau
evening noswaith
protective amddiffynnol
wings adenydd
and ynghŷd
presenter cyflwynydd
said ddywedodd
infrared isgoch
avocet cambig
park pharc
understand deall
estate stad
kiss cusan
covalent cofalent
believe credu
science gwyddor
somewhat braidd
boats cychod
relationship perthynas
neptune neifion
shared rhannodd
filter hidl
french ffrengig
a mân
mail bost
citizens ddinasyddion
grave bedd
can gallu
chocolate siocled
support chymorth
constantinople caergystennin
proposed gynigiwyd
between rhwng
irrigation ddyfrhau
practical ymarferol
belgium belg
similar cyffelyb
sought ceisiodd
cheap rhad
receive dderbyn
ceremony seremoni
fit ffitio
capital prifddinas
beings fodau
isotopes isotopau
pearl perl
spent treuliodd
merger uniad
orders urddau
exile alltudiaeth
sentence frawddeg
by gan
there ceir
policies polisïau
parallel gyfochrog
links dolennau
successfully llwyddwyd
florence fflorens
centre canolfan
2nd il
application geisiadau
beer gwrw
heavy drwm
canal gamlas
parents rhieni
interest diddordeb
subsequent ddilynol
standard safonol
even fyth
present chyflwyno
north ngogledd
block bloc
hereford henffordd
palaeontology paleontoleg
ensure sicrhau
fire dân
mate cymar
death farwolaeth
evolution esblygiad
management rheoli
attract denu
ukraine wcráin
water dr
practice ymarfer
frigates ffrigad
cardiff nghaerdydd
physicist ffisegydd
sicily sicilia
tradition draddodiad
patagonia mhatagonia
milk llaeth
shrine eglwys
liquids hylifau
chimneys simneiau
tin tun
force rym
allow ganiatáu
peninsula gorynys
canals camlesi
one neb
equivalent cyfatebol
digital ddigidol
thanks diolch
organized trefnodd
rhinoplasty rhinoplasti
who syn
call alw
ese these
please rhowch
combination cyfuniad
music gerddoriaeth
canterbury caergaint
oral lafar
writer llenor
past heibio
focus ganolbwynt
there does
station gorsaf
territory tiriogaeth
trafford traffordd
legends chwedlau
active fywiog
level lefel
vehicles cerbydau
error wall
autobiography hunangofiant
elegy marwnad
russian rwseg
germany almaenwyr
rule rheol
dso ddysgu
pandemic pandemig
species rywogaethau
avoid osgoi
fourth bedwerydd
columns colofnau
mexico mecsico
madam cadarn
horrible erchyll
that hwnnw
wall fur
platform lwyfan
succeeded olynwyd
composers cyfansoddwyr
circulation cylchrediad
granta branta
losses colledion
exchange gyfnewid
private preifat
abbey abaty
should dylai
urethra wrethra
selection ddetholiad
shed collasant
mechanics mecaneg
nine naw
harrier tinwen
eleven unarddeg
powerful nerthol
what be
consistent gyson
white wynion
occur ddigwydd
website gwefan
claimed hawliwyd
albatrosses albatrosiaid
ponty pontydd
feet brawd
further ymhellach
party plaid
date dyddiad
machines beiriannau
cradle grud
panama panamá
center nghanolfan
thermal thermol
miners glowyr
tigers teigrod
stadium stadiwm
numerous niferus
cut torri
when pan
recovered adferwyd
reference cyfeirio
stay aros
genus genws
shape lunio
emigration allfudo
turks tyrciaid
wash golchi
dutch iseldiraidd
inhibitors atalyddion
dropped gollyngwyd
hub hud
protons brotonau
located lleolir
house thŷ
complexity cymhlethdod
appearance ymddangosiad
winds wyntoedd
celebrations dathliadau
salty hallt
stars sêr
goldcrest eurben
take cymeryd
ruins adfeilion
honey mêl
third drydydd
university mhrifysgol
gorse eithin
growth dŵf
daily dyddiol
president llywydd
igneous igneaidd
nazis natsïaid
matthew mathew
strike streic
social cymdeithasol
land tir
husband gŵr
missiles taflegrau
feed bwydo
disappear diflannu
mayor maer
lives bywydau
practice arfer
defense amddiffynfa
eighteen deunaw
military milwrol
africa affrica
during ystod
electronic electronig
breasts bronnau
parliamentary seneddol
physical gorfforol
trophy tlws
transfer drosglwyddo
temple deml
longest hwyaf
town nhref
administration gweinyddiaeth
origin darddiad
given roddir
pressure wasgedd
wren dryw
hay gwair
since ers
hungarians hwngariaid
palestine mhalesteina
headquarters bencadlys
sizes meintiau
but ond
cock ceiliog
tens degau
historian hanesydd
body corff
demand galw
rotation gylchdro
town dre
mining leddfu
banks glannau
low isel
swelling chwyddo
hand law
arrange drefnu
use ddefnydd
pole polyn
championship mhencampwriaeth
molecule moleciwl
red goch
teeth dannedd
compound cyfansoddyn
show dangos
elect ethol
represented chynrychioli
female benywaidd
holly celyn
man dyn
cocoa coco
priestess offeiriades
hot boeth
machinery peiriannau
strongly gryf
cliff clogwyn
russians rwsiaid
actions gweithredoedd
teal corhwyaden
teller geller
racing rasio
proportion cyfran
church eglwys
acceleration cyflymu
autonomous ymreolaethol
glaciers rhewlifoedd
give roi
theme thema
crusade groesgad
made wneir
continental cyfandirol
surf syrffio
cart trol
explain egluro
provided darparwyd
libya libia
holiday gwyliau
was fu
dust llwch
above uchod
stone carreg
village pentref
theft gwyn
own hun
remains erys
guerrilla gerila
christian gristionogol
syndrome syndrom
craft grefft
tourists twristiaid
scope chwmpas
influence dylanwad
thought credai
earlier gynt
membership aelodaeth
triple driphlyg
fourth bedwaredd
advent dyfodiad
damage ddifrodi
meteorology meteoroleg
cathedral gadeiriol
motte mwnt
documents ddogfennau
life fywyd
lane ïonau
blueberries llus
mentioned soniodd
this dyma
enough ddigon
board fwrdd
cause achosi
respiration resbiradu
used defnyddiodd
courier negesydd
invasion goresgyniad
global fydeang
enable galluogi
percent cant
captivity gaethiwed
alphabet wyddor
underlying gwaelodol
guilty euog
cause beri
document dogfen
dynasty linach
dyke offa
day dydd
lists rhestri
yeast burum
can all
landing lanio
rows rhesi
snow eira
territories diriogaethau
edinburgh caeredin
archbishop archesgob
promise addewid
associated gysylltir
sometimes weithiau
materials deunyddiau
received dderbyniodd
nitric nitrig
layers haenau
tooth dant
men ddynion
were aethpwyd
originally wreiddiol
dependent dibynnol
ideas syniadau
entertainment adloniant
offer cynnig
common comin
pig mochyn
used defnyddid
view marn
catholic gatholig
months mis
persuaded perswadiwyd
regions ranbarthau
repair drwsio
scope cwmpas
verb berfol
hat het
bonfire goelcerth
colour lliw
release rhyddhau
ocean nghefnfor
center chanolfan
championship pencampwriaeth
confirmed cadarnhau
leon león
childhood plentyndod
listed restrir
april ebrill
spring ffynnon
allows caniatau
basket fasged
software feddalwedd
captain gapten
basque basgeg
abstract haniaethol
seventh seithfed
attraction atyniad
proteins proteinau
england saeson
portal borth
influence dylanwadu
mid ganolbarth
do wneud
luke luc
close agos
listen wrando
continued parhad
category categori
quarryman chwarelwr
either ychwaith
third trydedd
southern deheuol
fruit ffrwythau
series chyfres
tears dagrau
fermentation eplesiad
were roedden
additions ychwanegiadau
peace heddwch
lung ysgyfaint
prisoner garcharor
table tabl
cairn carnedd
intent fwriad
contraception cenhedlu
menon lennon
rice reis
coming dod
list restr
million filiwn
heart wraidd
courts llysoedd
network rwydwaith
army fyddin
christianity cristionogaeth
career yrfa
giant cawr
jiang wersi
reduce leihau
contrast gyferbyniad
exports allforion
habitats cynefinoedd
between rhyngddi
money arian
politician gwleidydd
factor ffactor
displayed arddangosir
surrendered ildiodd
ox ych
chemistry cemeg
was ydoedd
grandson ŵyr
size faint
related perthynol
dam argae
said ddweud
sediment gwaddodion
justice chyfiawnder
under dân
mexico fecsico
army byddin
women ferched
attacked ymosodwyd
messages negeseuon
syllable sillaf
conclusions casgliadau
tea te
britain phrydain
they gallent
hydroxide hydrocsid
arthritis gwynegon
charge tâl
that bod
bulgarians bwlgariaid
africa affrig
department département
condition amod
contributions gyfraniadau
defined diffinir
drew tynnodd
abrahamic abrahamig
helicopters hofrenyddion
practice arferiad
twin gefeilldref
plants phlanhigion
russel russell
enable alluogi
dance ddawns
primary cynradd
open agored
word gair
sonnet soned
gaelic aeleg
membrane pilen
suffered dioddefodd
economic economi
lithuania lithwania
examples esiamplau
bombs fomiau
topic pwnc
family deulu
periodic cyfnodol
complementary cyflenwol
prisons grisons
spoken siaredid
died farw
sheep defaid
temperature dymheredd
fell syrthiodd
discuss drafod
danube donaw
distance bellter
singer gantores
framework fframwaith
pochard bengoch
province nhalaith
attributed priodolwyd
boby bobi
organizations fudiadau
description disgrifiad
casual achlysurol
nationalists cenedlaetholwyr
fungi ffyngau
mass offeren
chase erlid
concern pryder
founders sefydlwyr
home cartref
suburbs maesdrefi
teachings dysgeidiaeth
after ol
supported gefnogwyd
does dydi
mammal mamal
amusement difyrrwch
god dduw
bone esgyrn
start cychwyn
young ifainc
compete gystadlu
islamic islamaidd
songs caneuon
violent treisgar
drink diod
winger asgellwr
raised codwyd
five pum
body gorff
grew thyfodd
walls furiau
ring cana
success llwyddiant
wallonia walonia
equatorial cyhydeddol
zinc sinc
subcontinent isgyfandir
glyndwr glyndŵr
familiar gyfarwydd
famous enwog
discrimination wahaniaethu
think feddwl
on ar
partitions raniadau
rash frech
sent anfonodd
poetry barddoniaeth
see gweler
magic lledrith
hills bryniau
reverend parchedig
tests profion
the r
management rheolaeth
bladder bledren
order trefn
moral moesol
tree coeden
tanks tanciau
mix cymysgedd
thinking syniadaeth
test brofi
import mewnforio
decade degawd
boycott boicotio
held cynhaliodd
photography ffotograffiaeth
archaeology archeolegol
city ddinas
bank glân
server gwasanaethydd
decline ddirywiad
auk carfil
apocryphal apocryffaidd
head pennaeth
economy economi
lessons gwersi
portraits portreadau
properties briodweddau
originally hanu
devon dyfnaint
some tipyn
spain sbaen
lasted barodd
quite eithaf
geneva genefa
students fyfyrwyr
africans affricanwyr
mathematician mathemategydd
contact cyswllt
clear eglur
east ddwyrain
quarrel cweryl
adapt addasu
apart wahan
holy sanctaidd
journalist newyddiadurwr
wolf blaidd
neighborhood gymdogaeth
independence hannibyniaeth
insisted mynnodd
cuba ciwba
conventional gonfensiynol
later ddiweddarach
earthquake ddaeargryn
crew criw
lan llan
action weithred
books lyfrau
captives caethion
forces arfog
flat fflat
was gwnaed
was rhoddwyd
nausea cyfog
ban wahardd
conflict gwrthdaro
continents gyfandir
exceptions eithriadau
grew dyfodd
leather lledr
intensive dwys
was cafodd
racism hiliaeth
neath laeth
digital digidol
extent graddau
arthurian arthuraidd
influential ddylanwadol
particle gronyn
original gwreiddiol
huge enfawr
ritual defodol
brown frown
nazi natsïaid
was daeth
raise godi
pictures luniau
that fod
guillemot gwylog
specialized arbenigo
under than
minerals actio
husband gwr
pure pur
ring modrwy
muse awen
solve ddatrys
spent threuliodd
priests offeiriaid
success lwyddiant
llyr llŷr
death angau
colourful lliwgar
physical ffisegol
catholics gatholigion
letter llythyren
no unrhyw
threatening bygwth
landed glaniodd
survival goroesi
strip stribed
stood fuodd
testing profi
power bwys
disturbance aflonyddwch
or ai
speakers siaradwyr
glands chwarrennau
chair cadeirydd
was chafwyd
boundary ffin
settlements gwladfeydd
reduced gostwng
armies byddinoedd
legislation ddeddfwriaeth
bottom ngwaelod
estimated amcangyfrifol
boys bechgyn
tenth degfed
flats fflatiau
record recordiau
caesar cesar
way fodd
among plith
engines injans
school ysgol
pocket boced
genius athrylith
manx drycin
over thros
separated gwahanir
fleece gnu
spoon llwy
up garw
beyond hwnt
peoples bobloedd
nation chenedl
acceptable dderbyniol
traditions traddodiadau
animated animeiddiedig
electricity drydan
influence ddylanwad
ivory ifori
released rhyddhaodd
partly rhannol
elderly henoed
improved gwellodd
accent acen
bridges pontydd
techniques technegau
switzerland swistir
principles egwyddorion
piece darn
below isod
contribution cyfraniad
map fap
area fro
total cyfanswm
nun lleian
botany fotaneg
magazines cylchgronau
identical unfath
attached ynghlwm
cycling grisons
shapes siapau
increase cynyddu
object gwrthwynebu
understand ddeall
orphan amddifad
life mywyd
woman ddynes
reduced lleihaodd
glamorgan morgannwg
believe gredu
software meddalwedd
clean lân
latha átha
soft meddal
captured cipiodd
mate gymar
electoral etholiadol
milk llefrith
licenses trwyddedau
italian eidalaidd
tunnels twneli
motor modur
banks lannau
warfare rhyfela
polytheistic amldduwiol
june fehefin
fossils ffosilau
all gwbl
writers lenorion
collection casgliad
birds adar
reports adroddiadau
address cyfeiriad
the y
docks dociau
domestic domesticus
networks rhwydweithiau
meet bodloni
did gwnaeth
princes tywysogion
sports chwaraeon
boers boeriaid
equivalent cyfateb
order nhrefn
blackcap penddu
partnership bartneriaeth
more po
town dref
enterprise menter
species rhywogaethau
semitic semitaidd
individual unigol
parliament senedd
meters metr
celebrated ddethlir
quality ansawdd
dreams breuddwydion
castles gestyll
learning dysg
audit archwilio
leader arweinydd
planet blaned
headed benddu
mitochondria mitocondria
beer cwrw
objects gwrthrychau
distribution ddosbarthu
center ganolfan
systems systemau
magical hudol
atmosphere atmosffer
possible phosibl
used defnyddir
town thref
metallic metelig
amounts symiau
festival gŵyl
persians persiaid
structures strwythurau
dialects dafodieithoedd
seafarers morwyr
cleopatra prwsia
fear ofn
aqueous dyfrllyd
plankton plancton
sacred gysegredig
telephone teleffon
likelihood tebygolrwydd
companies cwmniau
red coch
mixed gymysg
fort gaer
recent diweddar
pigeons colomennod
write ysgrifennu
controlled reolai
current cyfredol
macro marco
chromosomes cromosomau
phrases ymadroddion
played chwaraeodd
seat sedd
club glwb
manager rheolwr
about ynghylch
religion chrefydd
fresh croyw
purpose pwrpas
pembroke penfro
remove gwared
positive positif
diameter tryfesur
finish orffen
without heb
believers credinwyr
images delweddau
manx fanaweg
vicinity cyffiniau
dry sych
described ddisgrifiodd
motion mudiant
ammonia amonia
genome genom
britain mhrydain
probably thebyg
soldier milwr
medal fedal
known adwaenir
adults oedolion
goal nôd
could allen
compound cyfansawdd
theater theatr
started ddechreuodd
pharynx ffaryncs
mixture gymysgedd
lust chwant
revolution chwyldro
oath llw
damage difrod
mentioned crybwyll
congress gyngres
bird aderyn
fifth pumed
eruption echdoriadau
followers ddilynwyr
villages pentrefi
rounds rowndiau
only uniaith
article fannod
succeeded llwyddodd
compounds cyfansoddion
warmest cynhesaf
elements elfennau
supported cefnogir
outbreak tarddiant
inheritance etifeddiaeth
six chwe
unified unedig
way ffordd
turkish twrceg
russian rwsiaidd
interior thu
drugs gyffuriau
from sgìl
fault fai
face wynebu
complete gystadlu
secular seciwlar
study hastudio
opened agorodd
variations amrywiaethau
characters cymeriadau
families teuluoedd
improvement gwelliant
valley dyffryn
king frenin
mutation dreiglad
chamberlain glefyd
trees coed
regular rheolaidd
proportion gyfran
water dŵr
ministers weinidogion
priority blaenoriaeth
past gorffennol
air aer
gospels efengylau
taxonomy tacsonomeg
medication meddyginiaeth
agree gytuno
summer haf
minorities dramodydd
three thri
shuttle gwennol
as môr
learners ddysgwyr
electronics electroneg
author awdur
emergency argyfwng
top uchaf
legendary chwedlonol
diocese esgobaeth
kingdom deyrnas
regional rhanbarthol
secondary uwchradd
ball bel
prices brisiau
deep dwfn
completely llwyr
increasing cynyddu
witchcraft ddewiniaeth
browser porwr
effective effeithiol
growth tŵf
center ganol
notation nodiant
traders masnachwyr
days ddyddiau
continuous parhaus
among ymhlith
consider ystyried
clauses cymalau
composed gyfansoddodd
architect pensaer
germanic germanaidd
ethane ethan
permission caniatâd
spoken siaredir
bird brid
etc. ati
advertising hysbysebu
beauty harddwch
live byw
descendant ddisgynnydd
wax gŵyr
about fin
letters llythyron
taught dysgir
calendar calendr
lord arglwydd
you chi
canada nghanada
explain esbonio
reflect adlewyrchu
tectonics tectoneg
operational gweithredol
deal ddelio
it iddi
considered hystyried
sanctions sancsiynau
if pe
educational addysgol
dates dyddio
japan siapan
continued pharhaodd
built hadeiladu
accountable atebol
pendulum pendil
shirts crysau
black-backed gefnddu
goddesses duwiesau
tall tâl
ready barod
reduce lleihau
willow helyg
birkenhead penbedw
composition cyfansoddi
centuries canrifau
beetle chwilen
heart nghalon
rockets rocedi
nephew nai
cards cordiau
rituals defodau
that honno
colonization gwladychu
friendship cyfeillgarwch
decline edwino
enjoy fwynhau
periods gyfnodau
laws ddeddfau
associated gysylltiedig
fused asio
seven saith
guide tywys
previous flaenorol
park barc
medium gyfrwng
gardens gerddi
bodies chyrff
pagan baganaidd
s ŵyr
situation sefyllfa
located lleoli
cut dorrir
useful defnyddiol
sold werthodd
in yn
citizen dinesydd
dollar doler
rhine rhein
so cymaint
administrative gweinyddol
charities elusennau
pressing enbyd
breast fron
fires thannau
brother frawd
in ym
interesting diddorol
composition cyfansoddiad
landscape dirwedd
severn hafren
fuel danwydd
industry ddiwydiant
ferry fferi
milking brosiect
tome tomé
romania rwmania
marriage priodas
event achlysur
visual gweledol
hunger newyn
attract ddenu
owls tylluanod
million miliwn
debt ddyled
out màs
ball bêl
asked ofynnodd
badgers gyddfgoch
move symyd
croatians croatiaid
surrounded amgylchynir
crude crai
genetic genetig
parking parcio
earlier gynharach
recommendations argymhellion
disruption amharu
manuscripts lawysgrifau
rio río
catalan catalaneg
shallow fas
entrance fynedfa
places lleoedd
amount swm
tennis tenis
norwegian norwyeg
navy llynges
honor anrhydedd
cult gwlt
football peldroed
prevention atal
modern fodern
slate llechfaen
sexuality rhywioldeb
home catref
excluded gwahardd
constantine cystennin
defeated gorchfygwyd
paganism paganiaeth
snowdon wyddfa
license drwydded
killed lladdodd
created grëwyd
nominated enwebwyd
campaigns ymgyrchoedd
followed dilynwyd
newborough niwbwrch
more amlach
package pecyn
exposure datguddiad
applied gymhwysol
moldova moldofa
republica república
doors drysau
edge gyrion
verb ferf
ice iâ
life buchedd
lapwing cornchwiglen
patients gleifion
light fei
ground ddaear
estimates amcangyfrifon
join ymuno
volumes cyfrolau
cambrian cambriaidd
pheasant ffesant
teacher athro
towns drefi
heart calon
disease glefyd
deaths marwolaethau
mixing gymysgu
identified hadnabod
difficult anodd
summit gopa
analysis dadansoddi
animal anifail
view bwriad
commonwealth cymanwlad
ten ddeg
started dechreuwyd
runners rhedwyr
surrounded hamgylchynu
table ford
ridge grib
coal glo
said dweud
celebrated dethlir
creative greadigol
and ab
hemisphere hemisffer
ce cog
walls muriau
buddhism fwdhaeth
chair gadair
blood waed
term derm
wednesday mercher
molecular foleciwlaidd
shrewsbury amwythig
italy eidal
voltage foltedd
kazakhstan casachstan
chad tchad
processes prosesau
glen glyn
path llwybr
who pwy
organisation drefniadaeth
finish gorffen
buddhist bwdhaidd
mutations treigladau
scholarship ysgolheictod
vehicle cerbyd
spiritual ysbrydol
criteria feini
programs raglenni
bias gogwydd
likely tebygol
israelis israeliaid
produced llunio
local leol
september medi
work weithio
geological ddaearegol
music cerdd
serbs serbiaid
latvian latfieg
methods dulliau
various amryw
coming dyfod
religious crefyddol
southern deheubarth
reign deyrnasiad
papers bapurau
future dyfodol
typical nodweddiadol
purpose bwrpas
greek groegaidd
vacuum gwactod
numbers niferoedd
centenary canmlwyddiant
seen welwyd
central chanolbarth
cormorant mulfran
zone cylchfa
referred cyfeiriodd
blues gleision
caucasus cawcasws
cholera colera
responsibility gyfrifoldeb
carved cerfiedig
train trên
sky nen
park mharc
report adroddiad
soul enaid
drop gollwng
bank clawdd
view golygfa
strings tannau
moved symudwyd
nile nîl
suspect amau
responded ymatebodd
libraries llyfrgelloedd
both ill
volcano llosgfynydd
eve noswyl
french ffrancwyr
travel deithio
criteria meini
designated ddynodir
serbian serbeg
circumstances amgylchiadau
beach draeth
phylum ffylwm
silk sidan
examined archwiliwyd
singing gnau
franks ffranciaid
inset hms
father tad
born eni
pigeon colomennod
comments sylwadau
won enillasant
run redeg
to tân
visible weladwy
ascending esgyn
french ffrangeg
collaboration cydweithio
society gymdeithas
not ni
time adeg
ethane cadeirydd
caernarfon gaernarfon
here fân
ask ofyn
biological biolegol
lead arwain
shooting saethu
information wybodaeth
carboniferous carbonifferaidd
about amdano
pony efaill
incorporated ymgorfforwyd
mozambique mosambic
slave gaethweision
dragons dreigiau
wiki wici
opening agoriad
protection amddiffyn
gerald gerallt
links gysylltiadau
rome rufain
sentenced dedfrydwyd
neolithic neolithig
dimension dimensiwn
protect warchod
electrical drydanol
cave ogof
decide penderfynu
entertain adlonni
origin tarddodd
main phrif
gray llwyd
