drinking potable
dried secas
minors menores
distress angustia
astronomical astronómica
precision precisión
sole únicas
happened ocurrió
dance danza
register registrar
yours suyos
phrase sintagma
embarked partió
had tuvieron
releases desprende
attacks atentados
friendship amistad
russians rusos
every cada
forms forma
displayed mostrado
mexican mexicanos
produced producirse
jews judíos
rotate giran
gathered reunió
data datan
railway ferrocarril
negative negativas
issues cuestiones
tag etiqueta
smooth fluido
productive productivo
all totalidad
shortly brevemente
assume asume
appeared aparecido
plane plana
experiences experiencias
experiment experimentó
conversation conversación
support adhesión
catherine catalina
loneliness soledad
specific específicos
transistor transistores
differential diferenciales
take tomás
neighborhood barrios
simple sencilla
strait estrecho
all todo
stomach estómago
study estudiar
samothrace tracia
probability probabilidades
keyboards teclados
ancestor antepasado
hour hora
touched tocado
deeds obras
worse peor
theologians teólogos
japanese japonés
needs necesidades
reward hallazgo
live vivas
searches busca
generals generales
add sumar
and y
saturn saturno
considered considerado
graphics gráficos
fascist fascista
anxiety ansiedad
presented presentaba
permanent permanente
championships campeonatos
neutrality neutralidad
rest resto
consequences consecuente
decrease disminuye
assembly ensamblaje
wizard mago
tournament torneo
protect proteger
to hacia
metals metales
spoked hablado
state afirman
esta be
come provienen
calculate calcular
creates crea
load carga
understanding conocimiento
our nuestros
proposed proponen
siblings hermanos
focus centran
alcala alcalá
line línea
jump salto
met reunió
favored favorecer
cerebral cerebrales
used usadas
studies estudia
duo dúo
audiences audiencias
opposing contrarios
suppose suponer
beginning comienzo
learning aprendizaje
sustain sostenía
term denominar
glossary glosario
alone solos
showing muestra
win alcanzan
graduate licenciado
outskirts afueras
iliad ilíada
graveyard cementerio
left queda
marquis marqués
violin violín
computation computación
executed ejecutado
nephew sobrino
foreskin prepucio
requirement exigencias
reached obtenida
masses masas
rosary rosario
published publicados
romulus rómulo
finalization finalización
first primera
remain quedan
excess exceso
advertisement anuncios
vein vena
act actuar
whether sean
emotions emisiones
condensation condensación
head cabeza
video vídeo
resistance resistencias
huge enormes
created creados
attributes atribuye
similarities semejanzas
ensured aseguró
infected infectado
address dirección
governed gobernó
adaptive adaptado
arts artes
decreases disminuye
living viviendo
equals iguales
surrounded rodeada
printers impresoras
spoke habló
recognized conoció
cosmic cósmica
adequately adecuadamente
plays desempeña
animations animación
symbolism simbolismo
also inclusive
formed formadas
cloak manto
threads hilos
volcanoes volcanes
appear parecer
renounces renuncia
thrown lanzada
critics detractores
knight caballero
subject sujeto
long altas
alter alterar
won ganaron
counted contó
mountain montañosa
humans humanos
feels siente
arrangement arreglo
study estudian
symphony sinfónica
established estableció
remove retirar
fluids fluidos
dethrone derrocar
place puesto
point punta
pleased gusto
starts inicia
have tengan
ireland irlanda
straight liso
metaphysical metafísico
put coloca
western occidental
employees empleadas
equivalent equivalencia
sovereignty soberanía
evade evitar
accurate precisos
considerations consideraciones
failed fracasó
women mujeres
thought creía
bombings bombardeos
numerous numerosos
certain cierto
estimation estimación
warm calientes
vertex vértice
literature bibliografía
cars automóviles
distribution distribución
seeing viendo
mosque mezquita
classic clásicos
velocity velocidad
manor feudo
romanticism romanticismo
polemic polémica
used utilizado
creating creando
recurrent recurrente
branch rama
behavior comportamientos
conception concepción
technological tecnológicos
served desempeñó
rares raras
decreasing reduciendo
parts partes
puede may
related relativos
being siendo
appropriate adecuados
suffers sufre
affect afectan
due deberse
arriving llegando
actions acciones
manipulate manipular
high elevado
shared compartida
handball balonmano
allowed permitió
submitted sometida
protect protege
empires imperios
coal carbón
goal meta
coughing tos
century siglo
troy troya
temporary temporal
palestinians palestinos
scape escape
migrations migraciones
representative representante
school escolar
items cosas
collective colectivos
quickly rápidamente
passion pasión
oven horno
spiral espiral
function función
poetic poética
extraordinary extraordinario
liberalism liberalismo
elimination supresión
oppose oponen
transport transportar
defined definidos
feature destacó
losing perdiendo
education educación
knowledge conocimiento
around alrededor
sustained sostenida
profits ganancias
tens decenas
fruit fruto
hired contrató
center centran
kingdoms reinos
operas óperas
raphael rafael
have poseen
contracting contraer
close cerrar
childish infantiles
propagate difundir
importance trascendencia
bare simple
mentions menciona
southeast sudeste
based apoya
treatment trato
thanks gracias
convergence convergencia
terrains terrenos
victor víctor
transform convertiría
fresh fresco
known conocer
own propio
green verdes
skull cráneo
is halla
wages salarios
entertainment entretenimiento
famous célebres
collective colectiva
dogs perros
throne trono
moments momentos
coastal costeras
richest ricas
change adaptado
died morir
discovered descubierta
denmark dinamarca
geographically geográficamente
groups conjuntos
height altura
psychology psicología
mesoamerican mesoamericanas
vault bóveda
anger ira
board tablero
works obras
minor escasa
sustained sostenido
opening apertura
slavery esclavitud
deduct deducir
materials materiales
fortified encabezado
infantry infantería
recommended recomienda
cash efectivos
warriors guerreros
centered centrado
should debería
dispose determinó
performance actuación
similarity semejanza
fabrication fabricación
whole enteros
juice jugó
successive sucesivos
comedies comedias
modest moderado
inclination inclinación
management manejo
defenders defensores
has tiene
minutes minutos
be fuesen
materialism materialismo
doctors médicos
quinone quinona
engines motores
climatic climáticas
art arte
punctual puntuales
milky láctea
assures asegura
statics estática
collective colectivo
connect conectan
join unir
oceanic oceánica
fulfilled realice
road carretera
vestiges vestigios
microorganisms microorganismos
photographer fotógrafo
estimate estiman
african africano
cooling enfriamiento
dominant dominante
fire fuego
end extremo
spiritual espirituales
movies películas
arm brazo
bars barras
sale venta
be procede
precipitation precipitación
resting apoyado
infected infectan
submitted sometido
roman romana
survival supervivencia
placing colocar
surreal surrealista
student alumno
speakers hablantes
reduced reducido
nets redes
energy vigor
come vienen
admits reconoce
sand arena
honors honores
time jornada
exercises ejerce
americas américas
remarkable notable
sensations sensaciones
neurons neuronas
engravings grabados
suggested sugirió
attractive atractivo
engine motor
ordered ordenada
frequents frecuentes
homonymous homónimo
proliferation proliferación
sphere esfera
got sacó
sonnet sonetos
times veces
principals principales
expressionists expresionistas
about unos
hypothalamus hipotálamo
rehabilitation rehabilitación
basic básico
eliminated eliminado
preclassic preclásico
modifies modifica
identified identifican
representative exponentes
writing escribiendo
controlled dominado
athens atenas
opposites opuestos
glass vidrio
appoint nombrar
consecutive sucesivos
budget presupuesto
cover cubren
transmit transmite
touches mueve
head titular
modifying modificar
happen ocurrir
use manejar
finally definitivamente
uniform uniforme
summary resumen
played jugado
christians cristianos
secondary secundaria
close cercana
affinity afinidad
antiques antiguos
verb verbo
numbering numeración
hard duras
guns armas
emissions emisiones
recommends recomienda
conducted conducido
size calzado
rich ricas
obtain obtenía
main principales
inhabit habitan
fifth quinta
notion noción
dubbing doblaje
door puerta
confronted enfrentó
sociology sociología
external externa
grouping agrupación
forefathers ancestros
short breve
plates láminas
narrations narraciones
fit adaptado
straight directos
assigned asignado
fragment fragmento
named nombró
being serlo
emphasizes destaca
coils bobinas
legend leyenda
expenses gastos
authorities autoridades
relevant relevante
profoundly profundamente
guests invitados
same misma
angiosperm angiospermas
chariot carro
stadium estadio
album álbum
concerning referentes
weaving tejido
uses usa
sympathy simpatía
hit alcanzan
investment inversión
showed mostraron
vatican vaticano
honey miel
recognized reconocidos
appearing apareciendo
independence independencia
antique antigüedad
observing observando
participation participación
commonwealth mancomunidad
agrees coincide
phenomena fenómenos
save evitar
cleaning limpieza
nearby cercano
transportation transportes
documentary documentales
discharge secreción
legislative legislativo
egyptian egipcio
situated situado
found encontrados
begins empieza
exports exportaciones
thin delgada
opposite opuestas
television televisión
follow siguen
olympic olímpico
responsible encargan
energetics energética
obtains obtiene
conduct conducto
representative representar
fission fisión
spontaneously espontáneamente
possibilities posibilidades
potatoes papas
corresponds correspondía
norm norma
even incluso
serious grave
transistors transistores
iron hierro
rotate girar
outstanding destacados
friar fray
plastic plástico
meetings reuniones
assistance ayuda
obvious obvio
mechanical mecánicos
attitude aptitud
tendencies tendencias
such tal
occupation ocupación
alchemist alquimista
declares declara
videotape cinta
hit impacto
built construyeron
system sistema
crete creta
add suman
connect conectar
conjunct conjunto
scheme esquemas
succession suceso
adversary adversario
initiative iniciativa
migration migraciones
appointment nombramiento
issue cuestión
expressed expresarse
known conocidas
ministry ministro
suspicion sospecha
vaccine vacuna
showing emisión
phone teléfonos
fake falsos
codify codifican
moisture hume
species especies
chamber cámara
positions puestos
precise precisa
directly directamente
high altas
specification especificaciones
there allí
devices aparatos
solidarity solidaridad
reports informes
protagonist protagonista
return vuelta
respectability rehabilitación
german alemana
something algo
continued continua
franco franquista
lead plomo
having contando
punctuation puntuación
uncovered descubierto
before anterioridad
think piensan
approximate aproximada
removed desprende
simple sencillo
crystal cristales
suggest sugerir
dedicated temáticas
substratum sustrato
employing empleando
forward adelante
analog análogo
prosecute ejercido
uranium uranio
lagoon laguna
routes rutas
looks mira
koran corán
obtained obtenida
laser láser
authorization autorización
common comunes
survive sobrevivir
neck cuello
weather clima
look mirada
discussion discusión
left retiró
boarded embarcó
type tipo
produced provocada
tower torre
master maestro
tuber tubérculo
settled establecidos
ambit ámbito
theoretic teóricos
accelerate acelerador
previous anteriores
judgements juicios
release lanzamiento
stable estable
named llamado
identified identificar
diode diodos
occur darse
orthography ortografía
chemicals químicas
metabolic metabólicas
antecedents antecedentes
added agregó
december diciembre
acquired adquirido
near próximas
rays rayos
direction dirección
development desarrollos
fishing pesca
motivated inspirados
die morir
truths verdades
includes comprende
lived vivieron
conform conforman
congress congreso
servian serbia
mine mis
statistics estadísticos
negative negativo
led condujeron
barely apenas
similarity similitud
technical técnico
bonds lazos
takes tarda
imperialism imperialismo
limited limitadas
mouse ratón
missions misiones
constitute constituido
spread propagan
theatrical teatrales
subjective subjetiva
dating citas
gray gris
leagues ligas
protocols protocolos
homes hogares
computer computador
calculation cálculo
divine divino
bloody sanguínea
included incluido
widely ampliamente
technics técnicas
issued emitido
capillary mestizaje
children hijas
released salió
behaviors conductas
cut cortar
selections selecciones
punctuality puntuales
shops tiendas
signals signos
confused confundirse
lion león
source proceden
novel novela
top cima
workers trabajadores
makes lleva
grow crece
ursula úrsula
we nosotros
advised consultado
land tierras
stimulated inspirados
abandoned abandona
want quiero
prove comprobar
louis luis
ambiguity ambigüedad
finishes acaba
wounded herido
includes contiene
debts deudas
model modelo
democrat democrático
decides decide
person persona
puts pone
similarity parentesco
strike huelga
take llevar
abundant abundante
consider considerarse
must obliga
spoke hablaba
leading dirigente
councils consejos
subject sujeta
box caja
target objetivo
world humanidad
cloning clonación
brutus bruto
golf golfo
splendor esplendor
thing cosa
additional adicional
settlement asentamiento
react responden
persian persa
faces caras
food alimentos
populated poblado
plant plantae
modern modernos
only solamente
nominees nominaciones
human humanos
warm cálido
only únicas
preservation conservación
promotion promoción
responds responde
moves mueve
influences influye
amplitude amplitud
broke rompió
limited escasas
varies oscila
exterior exteriores
temple templo
diversity diversidad
used usaban
and e
archipelago archipiélago
plane plano
pirates piratas
defense defensa
substances sustancias
pursue ejercido
small pequeñas
intersection intersección
whom quien
relation relación
all toda
km2 km²
vast amplios
dynamism dinamismo
supply suministro
exhaustion agotamiento
undertaken realizado
produce produzca
protein proteína
greek griegos
coke coca
radioactive radiactivos
pillars pilares
doctrines doctrinas
identifies identifica
premiere estreno
could pudieron
protester protestante
have dispone
occasions ocasiones
westerners occidentales
confrontations encuentros
fine bellas
practices prácticas
exemplary ejemplares
immediately inmediatamente
peak cima
photons fotones
adopted adoptaron
clade clado
publicly públicamente
bands bandas
confuse confundir
sure seguros
resolve resolver
considered considerada
ground recinto
carthage cartago
helped ayudaron
diameter diámetro
patricians patricios
seven siete
in dentro
conform conforma
severity gravedad
thin delgado
municipality municipal
you vos
confusion confusión
utilize utiliza
sense sentido
divided dividida
legislative legislativa
subgenre subgéneros
limits límites
mechanized mecanizado
cosine coseno
thermodynamic termodinámico
written escribieron
studied estudia
archive archivo
insulin insulina
imposed impuso
tables tablas
pyramids pirámides
lights luces
reticle retículo
valves válvulas
them ellas
end cabo
thinks piensa
home natal
characters personajes
basilica basílica
insects insectos
courts tribunales
reason motivó
changes cambia
amazon amazonas
sectors sectores
kept mantenido
fundamentally fundamentalmente
linguistics lingüísticas
procedure procedimiento
defeat derrotar
rodriguez rodríguez
try intentan
mirror espejo
own propia
portrait retrato
acid ácida
illumined iluminados
terminally terminales
venezuelan venezolano
judgement juicio
art artístico
referee árbitro
moves propaga
illustration ilustración
mandate mandato
networks cadenas
regular habituales
explosion explosión
having tengan
armed armado
angle ángulo
exploits hazañas
aligned alineados
lonely solitario
aquifer acuíferos
epidemiology epidemiología
stores tiendas
anus ano
vertical verticales
open abiertamente
manufacturing fabricación
biodiversity biodiversidad
ethanol etanol
given dadas
syntagma sintagma
portuguese portuguesa
piece obra
leader dirigente
raised planteó
philosophy filosóficas
loyalty lealtad
name denominar
munich múnich
feminine femeninas
knew conocían
fell cayó
wind eólica
remained quedaba
physical físico
fires incendios
because dado
offspring descendencia
ensuing consiguiente
polemic polémicas
drugs fármacos
critic crítico
protists protistas
court tribunales
catholicism catolicismo
considered considerando
increase aumento
reached llegaron
anthropomorphic antropogénico
am estoy
soviet soviéticos
intentions intenciones
muslim musulmán
heaven cielo
autor arthur
re-election reelección
food alimento
thermidorian termidor
revolutionary revolucionarias
argentinian argentinos
with consigo
plasmatics plasmática
gear vestuario
birds pájaros
intellectual intelectual
projects proyectos
three tres
arising surgiendo
implications implicaciones
arms brazos
consider consideramos
scientists científicos
leisure ocio
presence presencia
beings seres
vicinity cercanías
judicial judiciales
prisoners presos
geographic geográfica
waves ondas
observers observadores
taken llevados
columns columnas
demand demanda
named titulado
independent independiente
investigations investigaciones
emergence surgimiento
engineer ingenieros
surge surgir
chair silla
ninth ix
activation activación
predominant predominante
characterized caracterizada
putting poniendo
disorder desorden
diaz díaz
tribe tribu
stations emisoras
trinity trinidad
wide amplia
scriptures escrituras
opened abierto
hinduism hinduismo
show mostrado
become convierten
prosecutor fiscales
solid sólidos
initiatives iniciativas
systematic sistemática
installed instalado
ejaculation eyaculación
regularly regulares
eliminates elimina
infected infectada
speaking habla
formulas fórmulas
claim postula
famous famosas
speaks habla
less menos
epochs épocas
lyrical lírico
apparition aparición
previous anterior
forest selvas
priority prioridad
manner manera
railways ferrocarriles
niña girl
interface interfaz
biology biología
aluminum aluminio
accurate fieles
organelle orgánulos
resident residentes
body corporal
insert ingresar
bag sacó
established establecerse
statistician estadísticos
brain encéfalo
prevent prevenir
shadows sombras
clothes vestuario
sent enviado
propagation divulgación
boats barcos
flags banderas
intended pretende
humid húmeda
critics críticos
gestation gestación
substituted sustituido
symbol símbolos
olmec olmeca
submarine submarinos
master amo
signing canto
prepared preparado
trade comerciales
axioms axiomas
escape escapar
have deben
expressionism expresionismo
several numerosas
gamma gama
precedent precedente
introduced introducido
considerably considerablemente
remove sacar
scopes ámbitos
order finalidad
halts detiene
fascism fascistas
entailment vinculación
narrow estrechas
flower flor
powerful poderosa
mirrors espejos
changed cambiado
poor pobres
thread hebra
live vivir
carried llevaban
living vivos
nevertheless obstante
explosion explotación
made hicieron
secure asegurar
compulsory obligatoria
females hembras
different diversa
shirt camisas
apostles apóstoles
talked hablaba
particular particulares
million millón
uncovered descubierta
and o
religious religiosas
removed eliminado
discovered descubierto
individual individuos
way manera
gathering reunión
highlights manifiesto
continuation continuación
open abrir
trigonometric trigonométricas
confusion caos
left izquierda
repetition repetición
deduce deducir
self auto
works trabaja
concentrates concentra
primary primaria
existing existen
propagate propagan
armed armada
economists economistas
sign firmar
task tarea
connects conecta
wide amplio
struggle conflictos
nucleotides nucleótidos
famous célebre
exact exacta
later posteriormente
belonged pertenencia
muslims musulmanes
controls controla
effectively efectivamente
sweat sudán
specifically específicamente
authors escritores
in en
physics físico
filming filmación
start iniciar
determination determinación
high elevada
belonging pertenecientes
unknown desconocidos
lagoons lagunas
particularly particularmente
arab árabes
renewal actualización
uptake captación
psychoanalysis psicoanálisis
extreme extremas
distribute distribuir
produced produjo
marble mármol
are denominan
burning quema
wealth riqueza
riots revueltas
similar similares
injury lesión
enormous enorme
devises aparatos
villager campesinos
extended extendió
oxides óxidos
inhabitants habitantes
ease facilidad
marriages uniones
withhold oculta
records discos
corresponding correspondiente
opponent rival
chemical químicas
kept mantienen
chinese chinos
adhesion adhesión
importance importancia
balcony galería
wood madera
spatial espaciales
release estrenó
cancer cáncer
list listado
americans estadounidenses
executive ejecutivos
involved implicados
demands demandas
typically típicamente
appropriate adecuado
denial negación
affect afectar
tax impuesto
legal jurídicas
acts actúan
showed presentarse
opened abrió
write escribe
avenue avenida
olympics olímpicos
practical prácticas
capita cápita
disorder trastorno
homonymous homónima
session sesión
semantics semántica
assistance asistencia
student estudiante
trace huellas
block cerrar
similar semejantes
ordered ordenado
appreciates aprecia
indigenous indígena
show reflejan
called denomina
week débil
plane avión
maturation maduración
shs ave
bombing bombardeo
sediments sedimentos
claim demanda
problem problemática
medics médicas
region zona
school escuelas
creating crear
conjunction conjunción
toke tomar
government gubernamentales
designate designan
nowadays actualmente
pact pacto
few cuantas
range rango
essential imprescindible
acts ejerce
disorders trastornos
even inclusive
volumes volúmenes
armament armamento
engrave grabar
later posteriores
smoke bruma
instruction instrucción
modes modos
temperate templado
ship nave
achieved consiguió
rent renta
functions funciona
drawing cartón
discontent descontento
scientific científica
register registran
numerals numeración
watching ver
ancestors antepasados
thought pensando
proof demostración
promote promueven
french francesas
holes agujeros
investments inversiones
began empezaron
accelerator acelerador
district distrito
most sumo
free liberado
divided dividido
tests pruebas
permanent permanentes
inhibits inhibe
analysis análisis
citadel ciudadela
existing existiendo
assistant auxiliar
served sirvieron
elected elegido
shoe calzado
revolution revolución
plain pleno
five cinco
aesthetics estético
fronts frentes
depend dependen
released estrenada
mitochondria mitocondrias
nights noches
occurs sucede
official oficial
divided divididos
paintings pinturas
lapse lapso
footwear calzado
sad triste
faculties facultades
grade grado
insufficiency insuficiencia
violations violaciones
passover pascua
induction inducción
ambidextrous doble
continues continúa
tiny little
affected afectadas
laws leyes
numeration numeración
stock cepas
wild salvajes
rely cuentan
detained detenido
adapter adaptada
ceremony ceremonia
lost pérdidas
section sección
chequered cuadrada
master maestra
cavity cavidad
castile castilla
oil aceite
scholasticism escolástica
accused acusado
unusual inusual
many cantidad
doubts dudas
humanity humanidad
therefore ende
proposes propone
trigonometry trigonometría
romantic romántico
nearby cercana
erudite eruditos
postulate postulado
defect defecto
round ronda
cores núcleos
talk hablar
reach llegan
facilitate facilita
usa eeuu
summarize recogen
benefit ganancia
isolated aislados
sovereign soberano
conjunct conjunta
deficiency deficiencia
cotton algodón
music músico
incorporated incorporó
came llegó
mathematic matemático
millions millones
right correcta
slope vertiente
gradually paulatinamente
wealth fortuna
designate designar
archeology arqueología
literary literarias
things cosas
forestry forestal
suppose suponen
gallery galería
manners costumbres
memories recuerdos
obviate evitar
percentage porcentaje
original originales
living vivienda
special especiales
accede acceder
sports deportivas
kindergarten escolar
naples nápoles
literally literalmente
egyptian egipcia
clergy clero
symptoms síntomas
experts expertos
should debían
appearance surgimiento
counting cuento
experienced experimentado
encyclopedia enciclopedia
dense densa
painted pintado
throw tiros
monument monumento
remain quedar
keeping manteniendo
ventricle ventrículo
emptiness vacío
link enlace
ramon ramón
murder asesinato
tract tracto
defend defiende
parliament parlamentaria
lips labios
strong fuerte
review revisión
run circula
registrations registros
could pudiese
hole hueco
said afirmó
user usuario
sounds sonidos
advertisement propaganda
attract atraer
labor laborales
vital vitales
based basó
want quiere
byzantine bizantina
crystal cristal
wave ola
shirk evitar
causing causando
existing existentes
juvenile infancia
form constituyen
advances avances
conference conferencia
traditional tradicional
roads carreteras
palace palacio
binds une
trades intercambios
imply implican
storm tempestad
conduction conducción
masks máscaras
aspects aspectos
festival feria
mechanics mecánicos
experimentation experimentación
forum foro
displace desplazan
island isla
variety variedad
dispute disputa
defensive defensiva
usually suelen
issued emitidos
expansion expansión
referees árbitros
words palabras
complications complicaciones
tries intentos
car auto
mathematically matemáticamente
georgians georgianos
asuncion asunción
wound herida
bombardment bombardeo
classification clasificación
as ca
all todas
had tenían
votes votos
active activas
fait fe
meet conocieron
considered consideró
prophet profeta
religious religiosa
war conflicto
polluting contaminante
existed existir
treated tratados
anthem himno
lands territorios
appoints nombra
observed observados
name nombró
ring timbre
figure figuran
morning mañana
hypothesis hipótesis
technique técnica
calendar calendario
operates opera
a una
vincent vicente
nazi nazis
preferably preferencia
demographic demográfico
formed formaron
daria daría
mathematical matemáticos
elect electo
girlfriend novia
soccer fútbol
psychotherapies psicoterapia
odysseus odiseo
cholesterol colesterol
signs signos
advanced avanzadas
indirectly indirectamente
estimated estima
objective objetivos
being estar
january enero
deep profundos
out sale
ideology ideología
contribute contribuyen
taking tomando
computing informático
archaic arcaico
court corte
is sea
way método
method método
chromatids cromátidas
polygon polígono
linguistics lingüística
leaders dirigentes
interval intervalo
dead muerta
rights derechos
abandoned abandono
appear aparecen
say dicen
byzantine bizantino
powerful potente
ordination ordenación
organize organizó
saw veían
safe segura
places lugares
dicks vargas
ceremonial ceremoniales
strip franja
philosophical filosofal
usual habitual
athena atenea
passed pasaba
present plantear
matthew mateo
mere mera
birth nacimiento
linguistic lingüística
seat sedes
achieved obtenidas
ends extremos
museum museo
slave esclavo
towns pueblos
numerical numérica
geographical geográfico
ethnics étnicos
reasons motivos
mood ánimo
transmitted transmite
latin latinos
elements elementos
battles luchas
diagram diagrama
dry secas
phylum filo
rivals rivales
represents representa
truly verdaderas
effects efectos
feelings sensaciones
third tercero
exclusion exclusión
trio trío
transports transportes
sheep cordero
fabric tela
did hizo
embryonic embrionario
although aunque
farmers agricultores
professor profesores
former previo
those esas
carnival carnaval
meat carne
sentences frases
surrounds rodea
low escasas
brute bruto
flaws fallas
those dichos
administrative administrativos
rings anillos
frees libera
failures fallas
won ganó
attribute cualidad
reliable fiable
must debe
slowly lentamente
items partidas
formed formada
humanistic humanista
governed rige
described descrito
old antiguas
watched vistas
jobs labores
drive manejo
translated trasladado
reconciliation reconciliación
considered tratarse
given otorgado
completely completamente
relevance relevancia
philosopher filósofo
elaborated elaborados
town puebla
de of
different distintos
dice dados
correctly correctamente
eucharist eucariota
brethren hermanos
windmills molinos
snakes serpiente
compromise compromiso
stayed permanecieron
title titular
hegemony hegemonía
winter invierno
soviets soviéticos
trials ensayos
graphic gráficas
pronouns pronombres
edge borde
rhodes rodas
surprisingly curiosamente
spontaneous espontánea
applied aplicada
livestock ganadería
democracies democracias
woods maderas
lead encabezado
just recién
table tabla
prisoners prisioneros
andrew andrés
credit crédito
crystals cristales
wish desean
lineage linajes
axons axones
dedicated dedicados
hydroxide hidroxilo
paleolithic paleolítico
hamburg hamburgo
used usaron
romance romances
include incluyó
ask consultar
deployment despliegue
quotient cociente
shorts cortos
situation situaciones
fertile fértil
sensitive sensibles
belonging perteneciente
reputation reputación
regular habitual
effective eficaz
white blanca
spaces espacios
influence influjo
previous previas
collect recogen
conflict contienda
convince convencer
masculine masculino
organic orgánica
includes agrupa
nosotros we
contributed contribuido
gifts regalos
served sirvió
destined destinados
fief feudo
exceptional excepcional
start empieza
fitness aptitud
observations observaciones
realists realistas
automatic automática
internal interno
joins integra
organized organizados
perceived percibido
episode capítulo
several múltiples
drink consumir
white blancas
accidents accidentes
pertaining perteneciente
festivals fiestas
obligated obligado
february febrero
critiqued criticada
candidacy candidatura
thinker pensador
exponent exponente
divide dividirse
types órdenes
races carreras
conceived concibe
bad malas
find encontramos
atom átomo
created creado
deities deidades
star estrella
altered adaptadas
moist húmedos
political políticas
released lanzó
projects trabajos
advance avanza
adding añadiendo
treats trate
wait esperar
seasons estaciones
conserve conservan
pronunciation pronunciación
pandemic pandemia
generic genérico
abstract abstractos
napoleon napoleón
focus centrada
venezuelan venezolana
denominations denominaciones
directive directiva
fine bien
device dispositivos
albums álbumes
rough bruto
ninety noventa
mars marte
children infantiles
quick rápida
minimum mínimo
by haciendo
poland polonia
worries preocupaciones
american americana
destroy destruir
business negocios
good buena
council consejo
average medias
indonesian indonesia
fetch alcanzan
identical idénticos
massive masivos
supposed supuestamente
ministry ministerio
specimen ejemplar
stadiums estadios
hereditary hereditario
pages páginas
comprehend incluir
existed existido
internationally internacionalmente
station estación
experiments experimentos
could podían
aesthetic estética
psychological psicológico
emerged surgieron
genetically genéticamente
deposits depósitos
consumed consume
photos fotos
state estado
parallel paralelo
italy italia
emerge surgen
eliminate retirar
willing dispuesto
presents presentes
experience experiencia
jesus jesús
also asimismo
visit visitar
muscular musculares
iodine yodo
scott sánchez
kept conserva
felt sintió
estimate calcula
comprehension comprensión
service servicio
converted convertido
ordered encargó
assist asistió
argues argumenta
eukaryotes eucariontes
sent enviados
temporal temporales
mountains montañas
trash basura
available dispone
indicating indicando
was encontraba
theoretical teóricos
born nacida
young jóvenes
oriented orientadas
recycled reciclado
focus enfoques
quota cuota
decline descenso
tracks vías
compose componen
country país
euthanasia eutanasia
historical históricas
for destinados
loyal fieles
domestic domésticos
abortion aborto
parameter parámetros
music música
pair pares
ships buques
fit calzado
cells células
ports puertos
applied aplicado
organisms organismos
faith fe
translated traducida
infant infantil
discarded abandona
based justifica
sequel secuela
men's masculinos
pause pausa
lives vive
socrates sócrates
derivates derivados
situate sitúan
beast bestia
got obtenía
left izquierdo
jupiter júpiter
found encontró
compare comparada
mention mención
recordings grabaciones
lower menor
required requiere
lamb cordero
specialist especialistas
falls cae
documentaries documentales
met conoció
attraction atracción
criticized criticada
term plazo
exerted ejercida
career carrera
necessary necesario
return retorno
accurate exacta
list listas
leaves sale
sound sonido
controversial controvertido
desire deseaba
thracians tracia
colors colores
pure puros
previously previamente
miracle milagro
receptors receptores
warden guardia
fighter luchador
faculty facultad
served sirven
interns internas
lead protagonizó
from desde
many muchas
sheet sabana
thought pensamiento
developing desarrollando
launch lanzar
accusation acusación
versions versiones
los em
output salida
orbit órbitas
move mueven
gymnastics gimnasia
precolumbian precolombina
hugely enormemente
sends envía
flooding inundaciones
presented presentó
quoted citada
than superan
respiratory respiratorio
dictatorship dictadura
scholastic escolástica
consistent consistente
formed formaban
ideologies ideología
contender contienda
abandoned abandonado
remove eliminar
structure estructura
incidents incidentes
statement enunciado
manifests manifiesta
retired retiró
canadian canadienses
become volverse
regime régimen
farmers campesinos
acceptance aceptación
leadership protagonismo
eukaryotic eucariota
texts textos
biographer biógrafo
mathematician matemático
houses casas
absolute absoluto
intercourse coito
metallic metálico
fermentation fermentación
work trabajo
gets obtiene
ended finalizó
each cada
dominican dominicano
assume asumió
hoped esperaba
soloists solistas
entries entradas
bought compró
regular regulares
occupy ocupar
primary primario
technical técnicas
surface superficie
noise ruido
hispanic hispana
mathematical matemática
shall deberá
constancy constancia
teams equipos
collection colección
described califica
presidential presidenciales
writes escribe
moved trasladaron
discarded elimina
focuses centra
condition condición
public públicas
retrieval cobra
capitalist capitalista
get adquirir
name nombres
recording discografía
submitted sometidos
contexts contextos
based basadas
thirteen trece
exact exacto
only única
invention invento
millas miles
mathematics matemáticas
converting convirtiendo
easy sencilla
disappears desaparece
tackle abordar
format formato
sanitary sanitario
dead muerto
quotes citas
popularly popularmente
coin moneda
defeating vencer
represented representaba
alloys aleaciones
consulting consulta
inability incapacidad
shock choque
framework marcó
compose componer
majority grueso
services bien
protestant protestantes
depending dependiendo
pretended pretendía
military militares
classism clasicismo
used usó
relate relacionan
can pudo
english inglesas
translation traducción
similar iguales
integrated integrada
antibiotics antibióticos
venice venecia
public publica
dollars dólares
established establecieron
published lanzado
complete cubrir
mechanicals mecánicas
consolidated consolidó
spots manchas
chronicles crónicas
masturbation masturbación
housing vivienda
uniforms uniformes
cicero cicerón
properly correctamente
maintains mantiene
cardinal cardenal
reasoning razonamiento
several varias
like desea
scarce escaso
difficulty dificultad
people pueblo
third tercera
improvement mejora
surname apellido
quantity cantidad
wounded herida
obesity obesidad
genius genio
add agrega
classic clásica
intervals intermedios
otherwise sino
did hacía
curious curioso
string cuerdas
