crum vụn
n. bứt
quote lẩy
dry cỗi
n. duyên
v. quyên
anger nộ
nipple núm
v. xông
anointed xức
pride kiều
aggregate gộp
day đây
milk sứa
thuc thục
khe khê
boat tàu
secretly bí
pillar cột
n. tre
blind đui
v. trảm
bubble bong
situation sự
order trật
venerate tôn
viet pen
summary tóm
martial vỡ
ignored ngơ
move chuyển
letter thư
state bang
basic bazơ
love ái
friction ma
watt oát
taken lấy
confuse túng
interfere thoa
moon nguyệt
menace doạ
v. gắn
knife đáo
appointed định
art nghệ
by đồ
every mọi
confused lúng
voice giọng
maria maría
but mà
beer nhậu
soul vía
regret tiếc
heavy nặc
phoenix phượng
stock khoán
n. móc
v. ngơi
busy bận
sink chìm
stupid ngốc
n giọt
take đem
faculty khoa
bran cám
potential tiềm
are nằm
minute phụt
browser duyệt
goi gói
spread dang
loathsome gớm
corpse hài
hidden khuất
viet việt
disgusting tởm
rock hon
overturn nhào
slave nổ
cover vỏ
cycle chu
word ngữ
company hãng
bird chim
listen nghe
cobbles cuội
disk đĩa
surreptitiously lút
v. đổi
n. chi
create tạo
remind nhở
dear hỡi
lush rì
scream thét
produce chế
trunk vòi
mr. ngài
contain chứa
tighten ghì
period thời
vomit mửa
thank ơn
forging rèn
where chỗ
trench mốt
firecracker pháo
a cách
tat tắt
list danh
entirely hoàn
reform cải
fight đánh
square vuông
n đảo
octopus tuộc
tile ngói
parasol lọng
coward hèn
doa đoa
crisis hoảng
loose lẻo
dunes đụn
v. diệt
white bạch
initiate mào
adj dữ
copyright quyên
tribute nạp
scrap gọt
v. kiểm
never hề
compatriot bào
heels gót
zurich zürich
deer hươu
tree cây
worship phụng
mend vá
pain đau
scrub chà
peaceful ôn
n. bong
rape cưỡng
type lọai
pacify dẹp
operation phẫu
gem ngoc
bare trơ
parade diễu
crave ham
foam bọt
fill điền
countryside quê
trend xu
n cu
n. nhóc
n. mường
greek lap
mortar vữa
adj giầu
completely triệt
genre mảng
original đáo
v. rữa
n. khách
smell bùi
hang trèo
must phải
so sọ
enemy địch
make gây
case trường
state trạng
about chuyện
mask nạ
describe mô
thing đồ
doi đổi
generation lứa
completely hẳn
august tám
n. thuật
include hàm
empty rỗng
black hắc
act cử
hate căm
gallery sửu
eye nhấn
bad dở
small vụn
at ắt
turn luân
splendid lạn
exile đày
quite khá
thirsty khát
peace hoà
external ngoại
sang morning
the những
v. thêu
v. ngừng
casket tráp
rise trỗi
employ thuê
urge giục
dog khuyển
pregnant thai
commas phẩy
protestant lành
ignore ngơ
origin cội
buddha phật
wade lội
hire mướn
adj bẩn
put nhét
journal chí
dollar đôla
cow sửu
only thôi
lemon chanh
fang nanh
clutter xộn
wound vết
behavior vi
moderate ôn
classes vu
granite granit
use xài
v vắt
n. chanh
aim nhằm
fast nhanh
8 viii
intestine phèo
marquetry lẻo
gloomy sầu
length chiều
fleshy bùi
along dọc
n thuế
ocean biển
bomb bom
sticky dính
n. que
testicle dái
chain xích
mustache rìa
v. sát
n. dông
v. tạo
overcrowded chật
announce khai
alike hệt
harm hại
tops ngọn
master ts
not nốt
n chuột
extract chiết
enough đủ
travel trẩy
adventure phiêu
addiction nghiện
medal chương
box hòm
sulfide sulfua
substances chát
corresponding ứng
win thắng
v khinh
thousands nghìn
seven bảy
tolerate chịu
strictly gao
pentagon lầu
humorous dỏm
omelet ốp
parturition đẻ
two nhị
shack lán
peak mỏm
reunite sum
breath thở
prohibit cấm
n. doanh
phnom phnôm
inflammation viêm
n. nhóm
blocked nghẽn
n. đoàn
withdraw rút
travel ngao
hunger đói
n. cáp
term hắn
just vừa
oh hỡi
ash trợ
robot rôbôt
injection tiềm
imitation nhái
squeeze bóp
executioner đao
or quấy
devious quyệt
red đỏ
grave mả
talent khiếu
channel luồng
fall đổ
overseas kiểu
n. đợt
win gianh
material vặt
skin bì
reliable úy
lord chúa
net lưới
casting đúc
disorderly loạn
husband chồng
would nào
target nhắm
thief tặc
matches diễm
choson chosŏn
station ga
intense gắt
youth niên
threatened doạ
certainly hẳn
pu pù
this nay
idea kiến
comply tuân
otherwise kẻo
diaper tã
bleeding chảy
harsh nghiệt
broke vỡ
performing điền
nine cữu
institute viện
waterlogging úng
peer lứa
newspaper báo
clamping xiết
hydrogen hydro
ad quàng
floor sản
v. bày
offset đắp
wage lương
v. đục
city phô
huu hưu
very ngát
engine cỗ
caress mơn
sad sầu
snake tỵ
slip trượt
duke tước
lose thất
clear rõ
stock cp
charcoal than
n hàng
they bọn
in trống
he hắn
left sót
zone múi
wife phu
hammock võng
control điều
mistake lộn
avatars nén
alley hẻm
training đảo
barren cỗi
slender manh
n. võ
cut tỉa
decisively khoát
firm vững
common phổ
blame trách
hole lố
virus virút
sparkle lấp
deported đày
puppet ngụy
fall rơi
basketball rổ
v. uốn
depression trầm
tomorrow mài
n. prôtêin
side phía
austria vienna
bank ngân
intensity tiết
i mình
n em
messy bối
donate tặng
dog cẩu
cancer thư
support trợ
or trở
gutter máng
compare so
marry gả
tap vòi
region vung
adj nửa
dungeon ngục
clever nhuần
bloom nở
village xóm
cancer ung
walk dạo
binh bỉnh
n. mồ
landmark mốc
manner phách
year năm
hundred bách
v xát
should nên
aldehydes anđêhít
calories ca-lo
on lên
worm giun
pirate tặc
mat mặt
candle nến
n. phách
correctly đúng
usually thường
redemption chuộc
touch xát
persist dẳng
antenna ăngten
brat nhóc
n. bước
heron điếc
dot dốt
lights đèn
man mẫn
reason lý
hug ôm
hand tay
threshold ngưỡng
down trút
rampart lũy
n. anorthosit
silk tơ
people nguời
v cắm
radar rađa
cake bánh
den come
city phố
radiate tỏa
beer bia
i l
prophet bụt
student trò
court tòa
v. ngó
locket mề
cell pin
whimper rên
circus xiếc
dental nha
mat mát
oyster hến
reason cớ
n. giặt
spine tủy
prolix rà
smooth mượt
v dựng
date già
n. sứa
forum đần
sperm tinh
anger dữ
rub xát
volleyball chuyền
n. oản
prick vểnh
n. mèo
expert chuyên
foolish ngốc
share sẻ
grapefruit bưởi
edouard édouard
paddy thóc
piggyback cõng
thallium tali
tumbledown xiêu
sacred liêng
italian ý
lead kiềm
n. dòng
style kiểu
stalk bám
disturb quấy
english anh
submitted nộp
effective diệu
n. gốc
coastal duyên
sao são
quick lẹ
evil quỷ
terror khiếp
puncture thủng
n. giòi
stop ngừng
that thắt
stain dấy
n. macma
n. blaise
natural suồng
criticize án
proud hào
crushed bẹp
v. cướp
machine máy
bar vạch
forest rừng
swallow én
arduous truân
destroy huỷ
n. lỗ
diagonally xéo
filthy bẩn
response đáp
guy chàng
v. bênh
rodent nhấm
ready sàng
intervene thiệp
china hán
robber cướp
sink lún
decisive khoát
hurry mau
bother bực
miles dặm
suitable hợp
sufficiency túc
piece miếng
away xôi
period thủa
exhaust xả
farewell giã
ratings xếp
regret nuối
not chớ
worry lò
praise khen
flexible lính
n. roth
adj lộ
n. hoá
n. kỷ
n. mẹ
n dền
v. xử
n bồn
n chúa
cheekbone gò
sentence câu
at tối
nha nhạ
oats yến
swamp lầy
praise ca
high sướng
forced cưỡng
technique kĩ
way cách
heavy nồng
crawl trườn
n. khuyển
girl dứa
choi chọi
tuft búi
support tán
adj tròn
betray bội
london đôn
n rượu
humor hước
ridiculous bịch
train huấn
go đi
literal chiết
follow dõi
algae rộng
journey chặng
n đá
n. phẫu
occipital chấm
stroke vuốt
dig bới
palace dinh
n. phu
n nến
part phần
yell reo
gentle nhàng
bound bó
asthma hen
mountain núi
langurs voọc
hole lỗ
dim mờ
residual sót
v. quét
moral đức
inside trong
stunted lụi
burn đốt
v. mửa
coordinate phối
force lực
n. cộ
slice lát
color mầu
fried rán
thing điêu
injustice oan
training luyện
dune giồng
every mỗi
ban cấm
tofu hũ
turk tuốc
many phồn
respect nể
independence độc
v. xin
car ôtô
bond khế
dense chít
feeling nỗi
stuff đồ
widely rãi
n cua
cycle quần
tube ðảng
situation huống
species loài
shelf thềm
solve quyết
to với
relate liên
noun nessie
light soi
boycott tẩy
fraudulent lận
luxuriant suê
break bẻ
cause bởi
manifesto ngôn
with kèm
battery pin
oysters sỏ
easy dễ
clay sét
ivory ngà
little ỏi
disguised trá
v. lo
mouth miệng
leave dời
armee armée
all các
erection cương
n. loài
mon mơn
blind quáng
trash rưởi
v. miêu
short ngủi
cautious dè
situation trạng
envy ghen
ammonium amoniac
carry bê
interference nhiễu
reversed lại
can thể
spend xài
please xin
kneel quỳ
miss hậu
n. rodríguez
dilute loãng
first i
fighter trục
branch ngành
n. ranh
influence ảnh
against trái
spread rải
she bả
ex cựu
mainly yếu
thin gầy
boy trai
v. quấn
pond đầm
blood huyết
smoking hút
coat khoác
prison nhốt
couple cặp
n. màn
block lô
n. két
against cự
gathering sum
shatter tành
all đều
tender nhừ
open ngò
cloak choàng
close chẽ
rotation luân
myanmar myanma
sensitive nhị
snow tuyết
n. củ
edge mé
learn học
rank ngũ
ataturk atatürk
however nhiên
that rằng
penitent sám
region miền
soviet xôviết
they họ
support yểm
chopped xắt
every hằng
islam hồi
interest lợi
handle chuôi
race nòi
tissue mô
peace ổn
sam sâm
n. dó
petition sớ
meter mét
arduous xôviết
panting họa
uneven lúp
endless dằng
invasion lược
defeat bại
acne mụn
slide trượt
mislead lừa
new tân
level bặc
tubers củ
v. ngập
clever khéo
all muôn
n file
hanging treo
document liệu
if dã
n màng
v. bộc
adjacent kề
rooms thuốc
shallow thiển
other còn
tired mệt
grain thóc
off-shore khơi
n. sòng
start đầu
the tính
push đẩy
god chúa
itchy ngứa
n. gấu
board ủi
initial tắt
fat phì
firework pháo
adj khuất
tumultuous xôn
rest nghỉ
cancel huỷ
n. tần
v. trăn
v. phết
oysters sò
v. ức
sun nẵng
lips môi
syrup sirô
complex chịt
loud rầm
shiny óng
religious ngưỡng
whore đĩ
behead trảm
promote đề
command lệnh
brightly rỡ
always hoài
v dọn
taurus ngưu
nha house
course khóa
disaster hoạ
enemy giặc
zen thiền
movie phim
recommended khuyến
special đặc
n. luỹ
poorly sài
fried xào
n. lít
ellipse elip
swim bơi
ellipse elíp
lucky may
receive nhận
initiate xướng
chan chăn
induce gây
carbon than
ice băng
eggs trừng
happy vui
n. carxtơ
wonder băn
italy knowles
avoid tránh
gradually dà
shippuden shippūden
permanent vĩnh
n. kem
n. trung
drowning đuối
n. tầm
generous rãi
mill phay
pray khấn
diet kiêng
gatun gatún
rowing chèo
in vào
n. chánh
top tốp
silica silic
charm rũ
uproot nhổ
technique kỹ
n. hẻm
soaked đẫm
famous nổi
descendants duệ
encyclopaedia encyclopædia
perplexed lúng
gorbachev gorbachyov
n. amoniac
sheep cừu
