represent melambangkan
his darahnya
hold memegang
slightly agak
dollar dolar
emit memancarkan
forced dipaksakan
fibre serat
corrosive karat
careful teliti
letter aksara
tomatoes tomat
tax cukai
health kesehatan
worship pemuliaan
stack tumpukan
amplifier penguat
christian kristen
archaeology arkeologi
nuance nuansa
tertiary tersier
sent dikirimkan
his pasangannya
suffice mencukupi
celebrated dirayakan
giant raksa
find melacak
commodity komoditas
serve melayani
etymology etimologi
suspension suspensi
teaching pengajaran
realtime langsung
act sikapnya
ideal cita
sewing menjahit
movement gerak
manners krama
pass lulus
govern memerintah
comic komik
silent diam
dizzy pusing
speciation spesiasi
those para
pressing menekankan
interpreted ditafsirkan
while sementara
destroyed dimusnahkan
limit membatasi
respectful dihormati
lawsuit perkara
marry menikah
appreciated dihargai
inherit mewariskan
kick sepak
spirited berjiwa
know mengetahui
draw menggambar
profit keuntungan
translation terjemahan
controlled mengendalikan
fishpond tambak
section seksi
prolonged berkepanjangan
awards penghargaan
acute akut
solution pemecahan
resistance penentangan
concerning berkenaan
increase kenaikan
budget anggaran
clothes pakaian
pioneered dirintis
age berusia
partition partisi
always seringkali
meaning artian
religious religi
recover memulihkan
distributed didistribusikan
horror horor
charcoal arang
strict ketat
destroyed dikalahkan
cover sampul
free gratis
various beragam
perceived dirasakan
believe meyakini
service layanan
throughout keseluruh
slow perlahan
injection suntikan
refinery kilang
input masukan
call menamakan
disability cacat
financing pembiayaan
his pemerintahannya
spread terbentang
assumption anggapan
electronic elektronik
angry marah
infected ditularkan
saving tabungan
alligator buaya
thinking berfikir
delegation delegasi
knight kesatria
courage keberanian
constituent konstituante
writer penulis
publish mempublikasikan
multiplication perbanyakan
referred dirujuk
leaf berdaun
marrow sumsum
ancestor moyang
boundary batas
restoration pemugaran
archive arsip
concern kekhawatiran
known diketahui
search pencarian
winning unggul
geet salam
breakfast serapan
man lelaki
also serta
transportation pengangkutan
goods barang
suicide pati
resource sumberdaya
busy sibuk
shift alih
ear bulir
ranking urutan
reddish kemerahan
directed diarahkan
his barunya
communicate berkomunikasi
drug obat
tragedy tragedi
crazy gila
range ragam
hit kena
miss rindu
chess catur
tactic taktik
castle puri
newcomer pendatang
demand laris
cab taksi
palm sawit
equality pemerataan
xavier xaverius
break memecah
done dikerjakan
with dengannya
lengthwise panjangnya
envelope sampul
wednesday rebo
conservation penangkaran
faithful beriman
briefly sempat
ship kanal
monday senin
reptile reptil
terrestrial kebumian
plateau plato
ability kemampuannya
diamond berlian
ornamental hias
formerly semula
gift pemberian
government kerajaan
buy beli
name syahrir
pull ditarik
defeated dikalahkan
synthesis sintetis
go berjalannya
pointed ditunjuk
discipline disiplin
disappearance hilangnya
skin kulitnya
assassination pembunuhan
resistant tahan
it atasnya
date tanggal
indicate menandakan
dependency ketergantungan
cook masak
statistics statistika
archipelago nusantara
formed terbentuknya
split membelah
dissolved larut
brick bata
popular laris
accuracy akurasi
standard standar
included dimasukkan
wont enggan
trick tipuan
portion porsi
box kotak
female betina
show persembahan
note catatan
tunnel terowongan
controllers pengendali
populist kerakyatan
followers penganut
special istimewa
predict memprediksikan
guess dugaan
office gedung
people rakyatnya
increasing bertambahnya
usage pemakaian
base dasar
insect serangga
want berniat
leukaemia leukemia
dropped menjatuhkan
signing pengesahan
density kerapatan
sepal kelopak
any sembarang
hobby hobi
invasion penyerangan
river sungai
chronos kronos
coordinate koordinat
trigger pencetus
concentrate memusatkan
competition persaingan
programming pemrograman
deer kijang
emergence timbulnya
provide mencukupi
byzantine bizantium
biological biologis
leader penghulu
during semasa
circle lingkar
electricity listrik
gift anugerah
cellular seluler
profits keuntungan
guidance pedoman
selected dipilih
his statusnya
spread persebaran
his hidupnya
director direktur
commonwealth persemakmuran
trees pepohonan
managed dikelola
serf hamba
depiction penggambaran
phoneme fonem
needle duri
enjoy menikmati
converging pertemuan
signature penandatanganan
palm tapak
surrender menyerah
regards salam
received diterima
gate gerbang
save menaruh
current mutakhir
alone sendirinya
repair perbaikan
order ketertiban
sacked diberhentikan
chronicle tarikh
document dokumen
dizziness pusing
geologist geologis
known dikenal
planting penanaman
school bersekolah
helicopter helikopter
compensation kompensasi
implication implikasi
beginning permulaan
impossible mustahil
trajectory lintasan
benefit menguntungkan
responsible bertanggungjawab
classified dikelompokkan
link penghubung
plant bermesin
slab lempeng
life hidup
support menopang
sought dicari
surrounded dikelilingi
presence hadapan
next berikut
adherent penganut
finishing menghabiskan
dance tari
potassium kalium
magazine majalah
record merekam
nutrient hara
fall kejatuhan
field padang
scintillating gemilang
train kereta
wreck merusak
useful bermanfaat
decade dasawarsa
come datanglah
handle mengurus
fare tarif
point poin
arise timbul
rice beras
hundred ratus
blocked dihadang
worker tukang
plane pesawat
replica replika
facing menghadap
light sinar
sport olahraga
adds menambah
wandering merantau
fatherless yatim
barrier penghalang
result mengakibatkan
thick tebal
was sedang
shaykh syaikh
crater kawah
believe percaya
term syarat
rhyme irama
cooling pendinginan
interview wawancara
capita kapita
suitable cocok
trainer pelatih
marker penanda
happiness kebahagiaan
result hasil
fund membiayai
micro mikro
tin timah
death wafatnya
guided terpimpin
furthermore selanjutnya
manipulate memanipulasi
bravery keberanian
sheet lembaran
legislative legislatif
function fungsinya
risk risiko
content kandungan
inclusion penyertaan
heavy lebat
armed bersenjata
descriptive deskriptif
fabric kain
not tak
indicate mengindikasikan
have mempunyai
held dilangsungkan
sharp jitu
hour jam
strike pukulan
experience mengalami
yeast ragi
selective selektif
biology x
absorbed diserap
separate terpisah
miraculous ajaib
architecture arsitektur
intended dimaksudkan
his catatannya
believed dipercayai
profit untung
room serambi
change berubahnya
contra kontra
trail jejak
transportation perhubungan
integral terpisahkan
so supaya
orbit mengitari
life hidupnya
mammal mamalia
sister adiknya
retaliate membalas
defending menahan
contract kontrak
change perubahan
mean berarti
permanent permanen
complementary komplemen
estimating memperkirakan
catalyst katalis
character karakter
individual insan
teenager remaja
gasoline bensin
many banyak
private swasta
conflict pertikaian
cemetery kurukshetra
community bermasyarakat
inhabit mendiami
scatter bubar
cultivated diusahakan
under bawah
ocean perairan
treatment istimewa
curse kutukan
catch menangkap
industry industri
democratization demokrasi
hear mendengar
warn memperingatkan
branch cabang
syntax sintaks
holding berpegang
join memeluk
mastering menguasai
be menjadi
deliver mengantarkan
student pelajar
contagion penularan
an sebuah
move bergerak
support penunjang
fight memperjuangkan
time kalinya
oxidized teroksidasi
ruled diperintah
match cocok
forbidden haram
almost nyaris
public khalayak
august agus
drugs narkoba
testing pengujian
pedestal alas
accelerate memacu
rule pemerintahannya
chain rantai
funded didanai
farming perkebunan
situation situasi
dysplasia horor
lizard biawak
action usahanya
some beberapa
hit melanda
popular populer
split berpisah
range berkisar
short singkat
research meneliti
kava kaya
establish mendirikan
steel besi
division divisi
circle lingkaran
dhritarashtra dretarastra
convection konveksi
sell jual
motorised bermotor
phase fase
participant peserta
questioning meragukan
hemisphere belahan
expelled diusir
savannah sabana
election pemilu
binding mengikat
army tentara
formed dibentuk
stocks saham
solomon sulaiman
island kep
principle prinsip
reach menjangkau
controller pengatur
in di
eventually nantinya
swallowed ditelan
detected mengesankan
clean bersih
derivative derivatif
indies hindia
dominated mendominasi
leader ketua
his perjalanannya
noodle mie
formed dibentuknya
featuring menampilkan
magnitude besarnya
caste kasta
figured bercorak
laugh tertawa
sinister seram
yellowish kekuningan
hold berlangsung
round mengitari
transformation transformasi
gold emas
cutting memotong
related terkait
especially terlebih
classify mengklasifikasikan
normative normatif
magical ajaib
continuation kelanjutan
thought pemikiran
trim merapi
do dilakukan
follower pengikutnya
say berkata
telescope teleskop
founded ditemukan
celled bersel
capillary kapiler
approve menyetujui
oxidation oksidasi
combination gabungan
force kekuatan
predator pemangsa
countermeasure penanggulangan
shelf pajang
fuse pencetus
terminology terminologi
filler pengisi
honest jujur
fierceness keganasan
suspect buruan
carry membawa
clam kerang
yes ya
therefore karenanya
varies serba
buildup penumpukan
other lain
accumulate menghimpun
compiler penyusun
civic kemasyarakatan
manufacture pembuatan
hydrology hidrologi
widow janda
know kenal
plea permohonan
stall warung
begin bermula
side rusuk
isolation isolasi
feedback umpan
depression depresi
threaten terancam
grow beranjak
oriented berorientasi
subsidy subsidi
estimated diperkirakan
doctor dokter
triglycerides trigliserida
stomach perut
do melakukan
lead kepala
stability kestabilan
noon siang
donation sumbangan
translator penerjemah
lofty luhur
connected dihubungkan
dome kubah
focus berfokus
call menyerukan
intend hendak
deviation kelainan
clove cengkeh
reporter wartawan
allowed dibenarkan
availability tersedianya
nephew sepupu
sadness kesedihan
occupation pendudukan
movement pergerakan
narcotics narkotika
get dapat
concrete beton
couple pasangan
flowered berbunga
allele alel
settlement pemukiman
grave kubur
algebra aljabar
evacuation pengungsian
modern mutakhir
cousin sepupu
more lebih
established berdiri
enacted diberlakukannya
germ kuman
do hubungannya
details detil
jewish yahudi
broken dipecah
teaching ajarannya
quote mengutip
leadership kepemimpinan
current arus
neighbor berbatasan
side sampingan
vegetarian vampir
inception lahirnya
immediately seketika
heard terdengar
molecule molekul
reality kenyataan
think mengira
influential berpengaruh
straight tegak
strain benang
his penampilannya
apse keruntuhan
small cilik
longing rindu
resident residen
consensus mufakat
jakarta djakarta
taking pengambilan
doubt meragukan
engineered rekayasa
worn aus
zoology zoologi
responsibility pertanggungjawaban
customer nasabah
asylum suaka
publish mengumumkan
named dinamai
consumer konsumen
understanding pengertian
methodology metodologi
personality pribadinya
mole tanggul
emission pelepasan
interests kepentingannya
who siapa
pest hama
though kendati
complete dilengkapi
transfer pemindahan
material materiil
ovarian ovarium
tread tapak
occupy menempati
disappeared lenyap
liturgy peribadatan
chair kursi
fall jatuhnya
fort benteng
learning pembelajaran
say bilang
weapon senjata
shoreline rantau
hormone hormon
something sesuatu
urine kemih
ant semut
welcome disambut
indication indikasi
do lakukan
unravel terurai
exceed melampaui
breathing bernapas
duration lamanya
terrifying mengerikan
shares sahamnya
worms cacing
tied dikaitkan
menstruation haid
interpreted diartikan
hinduism hinduisme
transition transisi
when sewaktu
black gelap
know tau
archeologist arkeolog
stance jurus
middle tengah
pod kelopak
companies pendamping
guilty bersalah
aerobic aerobik
businessman pebisnis
his kakaknya
opposite seberang
calculus kalkulus
megabytes mb
tradition adat
canceled membatalkan
before tadi
has sudah
periodical periodik
lamp lampu
turbulence gejolak
transcript transkripsi
arc busur
feasible layak
shot tembakan
as layaknya
hold pegangan
complicate menyulitkan
sailing pelayaran
broken hancur
trophy piala
munich münchen
censorship sensor
commemorate memperingati
reputation reputasi
numerical numerik
all kesemuanya
diagnosis diagnosa
words ucapan
exception perkecualian
solved dipecahkan
support dukungan
inability ketidakmampuan
mace lawang
dissociation pemisahan
man insan
parliament parlementer
emission pancaran
father ayah
dress busana
grandfather kakeknya
shine bersinar
suppressed ditekan
check memeriksa
must keharusan
these para
happy bahagia
bad jahat
success sukses
workers pekerja
growing bertumbuh
association perkumpulan
archery memanah
crisis krisis
issues isu
give memberi
induce menginduksi
divorced bercerai
annoyed kesal
automated otomatis
growth kembang
duty tugas
get dapatkan
population populasinya
browse menelusuri
unique keunikan
flagship andalannya
gradient gradien
aggravate memperburuk
alike serupa
and serta
ban pelarangan
esthetic estetika
speculation spekulasi
with beserta
them diantaranya
injured cedera
escort mengantarkan
council dewan
variety berbagai
kidney ginjal
male cowok
entirely keseluruhan
sing bernyanyi
need keperluan
sometimes sesekali
focus fokus
topography topografi
chamber bilik
archives arsip
protocol protokol
instruction arahan
avoided dihindari
release melepaskan
gossip gosip
surgery pembedahan
outside luarnya
provision ketetapan
help pertolongan
stalk tangkai
airliners penerbangan
go pergi
abundant melimpah
than ketimbang
cosmic kosmik
manifestation manifestasi
moslem muslim
skirt pinggiran
vampire kuntilanak
missing ketiadaan
agree sepakat
isolated terpencil
ore bara
outbreak pecahnya
coincidence bertepatan
speaking berbicara
temperate beriklim
disturbed terganggu
continue melanjutkan
idiots pendekar
teenagers remaja
combine menggabungkan
hoop ring
recognized dikenali
peace perdamaian
explosion ledakan
interest ketertarikan
dig menggali
vector agen
clinic klinik
competency kompetensi
material materi
scope cakupan
considering mempertimbangkan
effort payah
like bagaikan
used digunakannya
mechanic mekanik
porn porno
un pbb
china rrc
wait menunggu
enforcement penegakan
load memuat
half setengah
athletic atletik
his kepalanya
static statis
assisted dibantu
patrol patroli
his keluarganya
very amat
completed selesai
cytoplasm sitoplasma
command perintah
driven didorong
production pembuatannya
castle benteng
before sebelum
early dini
hadiths hadist
war berperang
cool sejuk
ago dulu
raised dibesarkan
called disebutkan
review kajian
alliance aliansi
reported diriwayatkan
agreement persetujuan
worship menyembah
ascertained dipastikan
decomposition dekomposisi
confess mengaku
religious pemeluk
should sebaiknya
stop menghentikan
vocabulary kosa
lance tombak
more lagi
slant miring
willpower tekad
curriculum kurikulum
property harta
you bagimu
immune imun
temple kelenteng
refer mengacu
swallow menelan
accurate jitu
directly langsung
gospel injil
dahlin dahlan
specialized dikhususkan
scarcity kelangkaan
rest sisa
bengal benggala
uncle paman
thunder guruh
ellipse elips
melting lebur
custom adat
order tata
declaration deklarasi
ethics etika
verification pembuktian
assembly persidangan
reside bersemayam
outermost terluar
expect mengharapkan
centralized terpusat
compete bertanding
means sarana
paying membayar
thorn duri
error kesalahan
regular reguler
inaugurated diresmikan
cloud awan
enhanced disempurnakan
medicine obat
greece yunani
published mengeluarkan
wife istri
calling memanggilnya
remaining tersisa
inherited bawaan
equality kesetaraan
install memasang
succeed berhasil
flower kembang
riverbed palung
position kedudukan
field medan
management manajemen
britain britania
penalty hukuman
ago dahulu
title judul
among dikalangan
visit kunjungan
meditating bertapa
design desain
copy salinan
his kakeknya
selling penjualan
push dorong
ax kapak
suffer menderita
liberalism liberalisme
maternity bersalin
demonstration demonstrasi
planning perencanaan
economist ekonomis
selection seleksi
content konten
saturated jenuh
love gemar
school padepokan
near dekat
mother ibunya
sailing berlayar
before pasca
while selama
any segala
placed diletakkan
plate piring
intent maksud
rock batuan
race balap
administration pengurusan
group kalangan
week minggu
fertility kesuburan
scout kepramukaan
otherwise dinyatakan
impulse impuls
battle tempur
total jumlah
rupture pecah
sail layar
his hatinya
originally semula
expression ekspresi
booth stan
invited diajak
legitimate sah
having mempunyai
confirmation penetapan
controversy kontroversi
notify memberitahu
also rin
saved disimpan
appropriate pantas
fight berjuang
content isi
raw baku
resin getah
shift mengalihkan
adequate mencukupi
rigid kaku
nursing keperawatan
delinquent badung
inflammation radang
create membentuk
objective ditujukan
direction arab
creation bentukan
regeneration regenerasi
expedition ekspedisi
free terbebas
person orang
rock batu
try coba
a seekor
teaching mengajar
resource daya
required dibutuhkan
intrinsic intrinsik
conquered taklukan
elected terpilih
use gunakan
inherit mewarisi
penetrate menembus
potion ramuan
daughter binti
lessening berkurangnya
we kami
died wafatnya
prosperous sejahtera
imperialist imperialis
drink minum
house panti
degradation degradasi
otherwise sebaliknya
gladstone untung
biosynthesis biosintesis
digestion pencernaan
steep curam
eclipse elips
scientific keilmuan
posture bertubuh
in dalam
demon siluman
save menyelamatkan
continued dilanjutkan
senior atas
incurred dikenai
bakit tercipta
absorbing penyerapan
train mendidik
usually biasanya
her tetangganya
disposal pembuangan
acceptance penerimaan
abortion aborsi
mangrove bakau
potential potensi
curve kurva
machine mesin
now kini
he menurutnya
waste buang
raised ditimbulkan
hate benci
microorganism mikroorganisme
circular edaran
circle mengelilingi
especially terutamanya
preclude menghalangi
honor penghormatan
homer homeros
loss kerugian
unite bersatu
ended berakhirnya
infinity terhingga
belief kepercayaan
stimulating merangsang
health kebugaran
noted tercatat
assumption asumsi
cassette kaset
scattered sebaran
vote perolehan
move memindahkan
by lewat
sequence urutan
sexuality seksualitas
tired kelelahan
norm norma
warehouse gudang
zealand selandia
making menjadikan
southeast tenggara
understand memahami
minister pm
endowed dikaruniai
believer pemeluk
limited terbatas
waste sampah
absorption serapan
fight bertarung
from daripada
oil minyak
display legitimasi
complexion corak
just hanyalah
frame rangka
suppliers pemasok
friction gesek
put meletakkan
pioneer perintis
left ketinggalan
artistic artistik
court istana
part peranan
activity aktivitas
electrolyte elektrolit
protestant protestan
that itulah
alpine alpen
invincible terkalahkan
sickle sabit
bird burung
impacted berakibat
personality kepribadian
conversation pembicaraan
dividing pemisah
fugitive buruan
order orde
gap celah
ocean lautnya
poor miskin
concentrated pekat
presidency kepresidenan
agreement kesepakatan
area daerah
fill mengisi
view pandangan
need membutuhkan
wagon kereta
ownership kepemilikan
memory ingatan
observation pengawasan
market pasaran
concrete konkret
drive menggerakkan
translate menerjemahkan
december desember
freed membebaskan
socrates sokrates
cafe kafe
nickel nikel
moved digerakkan
favourite favorit
mark cap
time saat
his usianya
precisely tepatnya
difficult sulit
challenge menantang
obstruct menghambat
basic asasi
push tolak
bead manik
suspect tersangka
land tanah
attract menarik
permitted diizinkan
compost kompos
complexity kerumitan
strings senar
concerned khawatir
colonialist penjajah
utility utilitas
facility fasilitas
knight satria
guaranteed dijamin
occupy menduduki
antibiotic antibiotik
disposal buang
beside samping
teacher pengajar
caught tertangkap
crown mahkota
sense sehat
prey mangsa
discovery penemuan
sword pedangnya
development perkembangannya
military militer
back balik
circle kalangan
cup piala
spirituality kerohanian
annihilation penghancuran
that nan
congratulations selamat
appointment janji
about berkisar
justify membenarkan
malay melayu
society kaum
fish ikan
energy berenergi
invite mengajak
subject subyek
victim pemangsa
series seri
exactly tepatnya
age umur
nation ordo
output keluaran
ride mengendarai
factory pabrik
dangle gantung
concerns kekhawatiran
radical radikal
income pemasukan
followed dianut
offer tawaran
acceleration percepatan
spoken lisan
prohibited dilarang
earth bumi
residency karesidenan
handsome tampan
filled diisi
pedigree silsilah
official resmi
diversion pengalihan
dj rhoma
elegant anggun
pole tiang
general umumnya
appreciation penghargaan
hoop keranjang
cuisine masakan
equilibrium kesetimbangan
pets peliharaan
forced terpaksa
announcement pengumuman
intercepted dihadang
tired lelah
contest mengadu
misuse penyalahgunaan
broadcasting penyiaran
distribution distribusi
diagnose diagnosis
expenditure pembelajaran
network jaringan
finance membiayai
cultivation penanaman
prevention penanggulangan
talented berbakat
for buat
story gita
separation pemisahan
promote memajukan
door lawang
increasing penambahan
behavior laku
complement pelengkap
reverse balik
girl cewek
spelling penyebutan
environment suasana
mind pikiran
a seorang
packet paket
engineering rekayasa
shovel pala
alcohol alkohol
morning pagi
dissection pemotongan
mystery misteri
physiologic fisiologis
happy senang
civil kependudukan
portfolio portofolio
apostle rasul
whether apakah
reversed terbalik
convinced yakin
manage mengelola
kris keris
plague wabah
reach jangkauan
transmitted ditularkan
answer jawab
lightning penerangan
plant menanam
restriction batasan
i io
storage penyimpangan
culture budayanya
soul norma
most paling
urgent mendesak
restricted dibatasi
impress mengesankan
annulment pencabutan
phase tahap
smoke asap
connection sambungan
news kabar
middle menengah
over berjalannya
plan rancangan
site situs
senate senat
next keesokan
receive menerima
dosage dosis
uniform seragam
amount jumlahnya
department jurusan
pay membayar
stand hadir
billion triliun
air udara
advance muka
west kulon
orchids anggrek
spelling ejaan
services jasa
nickname julukan
offers menawarkan
alms zakat
militia milisi
flakes serpihan
thorough teliti
autonomy otonomi
stiff kaku
manipulation manipulasi
caught tangkap
realize sadar
watching menonton
arms lengan
mixed bercampur
whereas padahal
versus berbanding
kill membunuhnya
follow ikut
region daerahnya
intend bertujuan
earth kebumian
little sedikit
forest rimba
nation bangsa
fail gagal
arthropod arthropoda
spot mengenali
rotate berputar
bean kacang
egypt mesir
memories ingatan
decor hias
professor prof
hundred seratus
us kami
order menyuruh
ordered diperintahkan
hymen himne
color warna
precise tepat
exhausted kehabisan
prefix prefiks
rash ruam
relevant relevan
deducted disimpulkan
satisfy memuaskan
conference konferensi
smelt melebur
syria suriah
worldwide sedunia
participation penyertaan
decline mengecil
marry menikahi
career karier
breed biak
examined memeriksa
collapse runtuh
disband membubarkan
algeria aljazair
dollar $
mentioned dimaksud
caused menyebabkannya
float apung
skull tengkorak
humiliate merendahkan
diarrhea diare
piece potong
czech ceko
fund dana
puppet boneka
move beranjak
box peti
differentiate membedakan
hopeful berharap
onsite penukaran
invasion invasi
period zaman
healing penyembuhan
toward menuju
bony bertulang
add menambahkan
ethanol etanol
charge beban
between diantara
focused berfokus
she dia
piece keping
born dilahirkan
cliff tebing
some sebagian
started mengawali
glad gembira
frightening menakutkan
fidelity kesetiaan
separate tersendiri
indicator penunjuk
conscious sadar
needed diperlukan
sick sakit
colleague rekan
search mencari
mouth mulutnya
share andil
intake asupan
change berganti
versus vs
desire hasrat
burnt dibakar
marketed dipasarkan
shift pergeseran
collection kumpulan
biting menggigit
news berita
student didik
emission emisi
estuary kuala
event ajang
port bandar
neighbors tetangga
reflex refleks
recorder perekam
pretty cantik
setbacks kemunduran
periodic periodik
stitch menjahit
dance tarian
unity keutuhan
andesite andesit
contains berisi
china tiongkok
welcome selamat
formulation rumusan
equipment peralatan
king baginda
examiner pemeriksa
semantics semantik
obligations kewajibannya
bounce lambung
laboratory laboratorium
canal kanal
split membagi
court kraton
remember ingat
requisites syarat
commercial komersial
young jung
mounting pemasangan
revival kebangkitan
whale paus
great ulu
collections perbendaharaan
education pendidikannya
literature bacaan
hinder menghalangi
water perairan
protect berlindung
height tingginya
enforce menegakkan
limited terhingga
marked ditandai
travelling keliling
a sebuah
bear tanggung
constrain mengharuskan
take mengambil
pilgrim ziarah
symbolized dilambangkan
only semata
introduction pengantar
disadvantaged dirugikan
instead malah
i aku
organize menyelenggarakan
deliver menghantarkan
warrior pejuang
like terkesan
iu ui
java jawi
eldest bungsu
extends meluas
long panjang
claiming mengklaim
capture menangkap
alps alpen
rust karat
shore menopang
shatter pecah
treatment perawatan
physicist fisikawan
reflection refleksi
story ceritanya
is adalah
normally biasanya
sender pengantar
origin asal
withheld dipungut
doer pelaku
but tetapi
insemination pembuahan
breeding penangkaran
busy ramai
grandma nenek
him dirinya
resulted diakibatkan
variant varian
city kotamadya
smell bau
closest terdekat
pond kolam
exposure paparan
reached tercapai
waitress pelayan
steps tahapan
warrior kesatria
alkane alkana
several beberapa
partners mitra
grandfather kakek
inheritance pewarisan
service dinas
grouping pengelompokan
funds dana
presence adanya
strait selat
mr pak
finally akhirnya
throughout diseluruh
corpse bangkai
ibn ibnu
intelligent pandai
admission penerimaan
then barulah
organizers penyelenggara
brain otak
united perserikatan
shortage kelangkaan
initially awalnya
storied dikisahkan
continued meneruskan
bc sm
draw melukis
revive bangkit
vandalism perusakan
collision tabrakan
go berangkat
tribe suku
feeling perasaan
receptor pencerap
meet menemukan
commerce niaga
sociology sosiologi
controller pengendali
knee lutut
create mewujudkan
faculty pengajar
user penggunanya
especially terutama
friends temannya
responsible bertanggung
get dikenai
caused dipicu
focus memfokuskan
teak jati
his nya
ornament ornamen
natural bawaan
tried diusahakan
constellation rasi
promoted diangkat
earlier terdahulu
deeper mendalam
sense indera
prefer mementingkan
vomit muntah
formula rumusan
think berfikir
proposed diusulkan
polysaccharide polisakarida
after seusai
single ika
actually sesungguhnya
about mengenai
troop pasukan
jakarta batavia
neat rapi
chemist kimia
symmetry simetris
tried dicoba
fluency kelancaran
his jasanya
assistant pembantu
infect menginfeksi
freed dibebaskan
preach dakwah
peak puncaknya
bundle ikat
when saat
himself dirinya
triggered dipicu
valued dihargai
shuttlecock kok
team regu
justified dibenarkan
drought kekeringan
close ditutup
guerrilla gerilya
valley lebak
missionaries misionaris
launched diluncurkan
spread merambat
attached menempel
written tulis
progressive progresif
crime kejahatan
astronomic astronomis
world sedunia
know ketahui
touch sentuhan
drops tetesan
boat perahu
producer penghasil
cud biak
associated berhubungan
terrorist teroris
sulfate sulfat
to hingga
rose mawar
legalize diresmikan
able sanggup
plan perencanaan
obey taat
primary prima
declare menyatakan
network jejaring
applying penggunaannya
derivatives derivatif
require mewajibkan
represented diwakili
communist komunis
obstacle rintangan
government pemerintahan
noodle mi
critics kritikus
endanger membahayakan
park taman
expert ahli
monkeys kera
observation pengamatan
profile profil
i saya
nucleic nukleat
rank pangkat
friction gesekan
cable kawat
sediment endapan
voice-over pengisi
dice dadu
rescuer penyelamat
hairy berambut
genre beraliran
maritime maritim
surgery bedah
stronghold kubu
needs keperluan
pray sembahyang
command memerintah
discuss membicarakan
ending mengakhiri
tourist wisatawan
is tersebut
clip klip
range jarak
variety bermacam
informatics informatika
java jawa
handling penanganan
avoid menjauhi
hit pukulan
join berpartisipasi
hamper menghambat
shop toko
pacific pasifik
dismissed dibubarkan
jaw rahang
fertilize pembuahan
too terlalu
deal cita
expenses perbelanjaan
around sekitar
paired berpasangan
oxygen oksigen
technique tehnik
opposite lawan
mystical mistik
browse menjelajahi
mother inang
fixed tetap
doubtful diragukan
no tiada
puppetry pewayangan
intelligence kecerdasan
duties tugasnya
before dulu
proceed menempuh
top teratas
farming bercocok
broken patah
plastic plastik
branched bercabang
cooked masak
eruption letusan
known kenal
capital modal
mitochondria mitokondria
discography diskografi
awaken membangkitkan
send mengutus
explanation penjelasan
cancel membatalkan
savanna sabana
following berikut
hold berpegang
democracy kerakyatan
debate perdebatan
vanished lenyap
expelled dikeluarkan
stanza bait
rhino badak
if jika
spread merebak
base basa
virgin perawan
provider penyedia
bombing pengeboman
student mahasiswa
chronicle babad
joining menyertai
occur terjadi
produced dicetak
killed dibunuh
encouragement dorongan
flyover layang
allocation alokasi
theorem dalil
group kumpulan
compared berbanding
sponge spons
burst semburan
pendant liontin
control mengendalikan
respect berkenaan
o'clock pukul
perfect menyempurnakan
appeared muncullah
scary seram
rural pedesaan
networking jejaring
treat rawat
expert mahir
part bagian
purchase pembelian
antique antik
tall tinggi
hatred kebencian
accountant akuntansi
mastery penguasaan
beauty keindahan
false semu
pattern pola
sold terjual
study studi
shelter berlindung
writing penulisan
individual tersendiri
islands kepulauan
defended dipertahankan
included dicantumkan
mastermind dalang
led dipimpin
produce memproduksi
prefix awalan
research riset
relative relatif
evacuate mengungsi
japan jepang
form terbentuk
categorize digolongkan
to pada
deceive menipu
definitely pasti
cellphone hp
tool perangkat
pathology patologi
serial seri
etc dll
dubbed dijuluki
kingdom kerajaannya
depended tergantung
establish menjalin
sing menyanyi
assistance pendamping
not tidaklah
agreement mufakat
neo-classical neoklasik
carrier pembawa
partner pasangannya
interference gangguan
prove bukti
set ditetapkan
collect menghimpun
nursery keperawatan
educators pengajar
noted dicatat
politician politikus
settle mendiami
spread menyebarkan
part belahan
gain memperoleh
meat daging
listed dicantumkan
company maskapai
mountain gunung
confusion kebingungan
immigrant pendatang
closeness kedekatan
study mempelajari
tools perangkat
finished habis
raise kebangkitan
level strata
merchant pedagang
seller penjual
lost tewas
about ten
sale jual
observing diperhatikan
prey buruan
cassava singkong
choice pilihan
legend tambo
death maut
back belakang
marijuana ganja
blowing bertiup
hell neraka
bind berikatan
used digunakan
discharge keluarnya
warriors pendekar
citizen penduduk
avalanche longsor
fear ketakutan
consumption konsumsi
education pendidikan
eye mata
factor faktor
varieties varietas
repair memperbaiki
two duo
carrying mengusung
audible terdengar
flanked diapit
automotive otomotif
starter pemula
surface muka
thousands ribuan
status statusnya
pleasure kenikmatan
missionary misionaris
group kawanan
obtained didapatkan
moreover apalagi
round bulat
drawing melukis
worried khawatir
infringe melanggar
critic kritikus
deserved pantas
nation berbangsa
teach mendidik
had sempat
guy cowok
form bentuk
cough batuk
partner mitra
lucky keberuntungan
healed menyembuhkan
serviced dilayani
hair bulu
need perlu
displacement perpindahan
valued dinilai
represented representasi
polemics polemik
settlement penyelesaian
promised berjanji
cow kerbau
limitation keterbatasan
rent sewa
more lanjut
born lahirnya
atlantic atlantik
sparkle cemerlang
begin dimulai
ghetto perkampungan
advantages keunggulan
settlement perkampungan
observed terpantau
net jaring
aged berusia
psychological psikologis
plants flora
philosophy filosofis
sprott sinta
parenthesis kurung
opportunity kesempatan
soccer sepak
