will vullnetin
sand rërë
zune zunë
period periudhen
end përfundim
males meshkujt
philosophy filozofinë
use shfrytëzimin
and edhe
before perpara
situation situata
broadcasting transmetimi
platon platonit
determinative vendimtare
waste mbeturina
medieval mesjetes
sick sëmurë
streptococci streptokoket
youth rinisë
named quhej
practical praktik
supported përkrahur
exercise ushtrimin
sovereignty sovranitetin
wait prit
recognized njihet
ecumenical ekumenike
classification klasifikimit
majority shumicë
other tjetrin
heights lartësitë
recently fundmi
entertainment argëtim
teams ekipe
community bashkësia
ioannina janinës
our tonin
pasture kullota
neighborhood lagje
place vëndi
protein proteinave
overwhelming dërrmuese
divide ndaheshin
april prill
beginnings fillimet
macedonians maqedonasit
city korçë
capital kryeqytetin
neolithic neolitit
sanjak sanxhakun
attraction tërheqjes
alignment shtrirjes
prevailing mbizotëruese
lake liqeni
build ndërtua
hold mbanë
room dhomë
implemented zbatohet
involved përfshira
experiments eksperimentet
words fjalëve
initial fillestar
traffic trafikut
get marrin
said thënë
collected mblidhen
writers shkrimtarë
genetic gjenetike
flow derdhen
found gjendej
anatomy anatomi
followed ndoqi
ministers ministrat
deep thellë
let lejonte
form formohej
invasion dyndjeve
preferably preferohet
exploitation shfrytëzimit
excluding përjashtuar
privatized privatizuar
overpowering dërrmuese
crates arkansas
martyr dëshmorëve
offering ofruar
inside brendshme
atmosphere atmosferën
holidays festa
narrative tregim
arab arabe
procedures procedurat
castle kalanë
aged vjeç
once dikur
guinea guineja
dynamics dinamike
organisation organizimin
albanian shqipes
named emërohet
includes ngërthen
feed ushqyer
emerged dolën
recognition njohja
as sikurse
canal kanalit
whom cilin
arrival ardhjes
hole vrimë
spaces hapësira
surface sipërfaqen
comparison krahasim
statistics statistikat
helicopters helikopterëve
archeologist arkeologjikisht
except veçse
symbol simboli
research hulumtime
received prit
sharp mprehtë
working punë
units njësit
brightness shkëlqim
rotation rrotullimi
organization organizatave
food ushqim
tell thuaj
careers karriera
cheap lirë
took moren
montenegrin malazez
clay balte
this këtë
excluded përjashtuar
period periudhes
committed përkushtuar
astronomy astronomisë
genes gjenet
wood pylli
request kërkesë
kamal qemali
binding detyrueshme
gallery galeri
behavior sjelljes
contained përmbante
groups grupeve
gulf gjirin
minister ministrit
expectation pritje
property prona
tree drei
stay qëndronin
federation federata
resident banori
epos eposi
belongs përket
contrary përkundrazi
analytic analitik
great madhë
field fushë
grow rriten
weigh peshë
approved miratuar
image imazh
turkey turqi
people popujt
lost humbura
end mbarimi
weak dobëta
fier fierit
female femërore
town qyteza
oxide oksidet
characteristics tipare
behavior sjelljet
cable kabllo
voice zë
computer kompjuterik
handle trajtuar
son birin
text tekstin
did beri
rulers sundimtarët
heads kokat
high larte
rank renditet
furnish furnizuar
assessment vlerësim
career karriera
author shkrimtarin
gypsies rome
league liga
dominates mbizotëron
cause shkak
brilliant shkëlqyer
atmosphere atmosferës
adele adelina
demographics demografia
high larta
pass kalonin
packet paketa
john gjonit
plato platonit
weekly javës
internet internetit
available disponueshme
dante dantes
herbaceous barishtore
kind lloji
ore xehes
able aftë
join lidhte
pythagoras pitagora
society shoqëri
vote votë
turkish turk
life jetësore
number numrin
gave jepte
lake liqenit
researches kërkime
information informacioneve
use shfrytëzimit
citizen qytetar
belong takonin
temperature temperaturave
see shohin
convened mblodh
unknown dihet
recognition njohje
ideological ideologjike
lupine ujku
workshop punishtet
campaigns fushatat
clashes përleshje
approximate përafërt
newspaper gazetë
careful kujdesshëm
mythology mitologjike
korab korabit
appoint emëron
rumelia rumelisë
serve shërbenin
impersonal përveçëm
iran iranit
want dëshironte
citizens qytetarët
infiltrate depërtojnë
use përdorimin
calcium kalciumit
beliefs besimeve
added shtua
stones gurëve
one njërin
other tjetrit
addresses adresave
play luajë
dinamic dinamik
finland finlanda
parties partitë
defend mbrojtja
star yjet
leopard leopardi
struggles lufton
bridge urë
continues vazhdon
behavior sjelljen
following mëposhtme
solid ngurtë
three treve
establishment themelimin
support mbështet
press shtypit
sanjak sanxhakut
certificate certifikata
revolt kryengritjes
mechanical mekanike
national kombëtare
sense ndjenjën
industry industrial
cultivated kultivohen
reflect pasqyruar
pelasgians pellazgët
escape ikur
there aty
noted shquar
point pike
concession korçës
magazine revista
exist ekzistojë
intellectual intelektuale
capital kryeqytetit
service shërbimi
dome kubë
unknown dihen
advised këshillohet
albanian shqipëtar
provide parashikon
means mjete
lies qendron
macedonian maqedone
personality personaliteti
meters katrore
display shfaqin
accurate sakta
culture kulturës
options mundësitë
optical optikë
telescopes teleskopët
teachings mësimet
christopher kristofor
united bashkuan
age moshës
search kërkimit
force forcës
defines përkufizon
signature nënshkrimi
fallen rënë
generally përgjithësisht
votes vota
assigned caktohet
posted shpallën
displaced shpërngulur
only vetëm
posted dërguar
middle mesi
gulf gjirit
capital kryeqendra
case lëndës
inserted futet
double dyfishtë
reside banojnë
object objekti
because përshkak
founded themeluar
your tënd
ancestors paraardhësve
zealand zelanda
astrophysics astrofizika
commission komisionit
unified unifikuar
hours orët
phillip filipit
past kaluara
ted përhap
southeast juglindore
statistical statistike
preschool parashkollor
than përpos
reforms reformat
estimate vlerësohet
please lutem
bedroom gjumi
height lartësi
kingdom mbretërisë
solution zgjidhjes
organs organi
launched nisur
had pat
permission lejen
friend mikut
title titullin
issued lëshuar
oath be
saltwater deti
for për
green gjelbër
goal qëllimit
valiant trima
mythological mitologjik
porte portën
league ligës
more gjithnjë
frequent shpeshta
drinking pijshëm
optics optikë
prices çmime
inhabitants banorë
knowledge njohuri
romanian rumun
union bashkimin
since meqenëse
alliance aleance
pets kafshë
shows shfaqjet
substance lënda
counties qarqe
tribal fisnor
british britanike
formula formulë
august gusht
time kohore
summary përmbledhur
immediately menjehere
it ate
origin prejardhjen
up ngritur
coast bregun
teachers mësuesve
england anglisë
kosovo kosovar
average mesatarisht
macedonian maqedonas
partly pjesërisht
world botërorë
students studentëve
starch amidoni
made bërë
context kontekstin
myth mit
trial gjykim
educated shkolluar
allows lejon
whole tërë
media medina
garbage mbeturina
ismail ismaili
kumanovo kumanova
writer shkrimtarë
byzantine bizantit
protective mbrojtës
trouble përleshje
surround rrethojnë
enemy armikut
genes gjene
lived banonin
narration rrëfimi
currents rrymat
somewhere diku
accurate sakte
delegates delegatë
item send
players lojtarëve
portrait portet
czar car
service shërbimit
constitutional kushtetues
forefront ballë
income hyrat
aftermath rrjedhojë
talk flitet
cells qelizave
covered mbuluara
did bëra
luxembourg luksemburgu
chancellor kancelari
somewhat disi
recognized njohu
load ngarkesë
united bashkuar
minister ministri
burst dilnin
advances përparime
ceremonial ceremoni
changed ndryshonin
realizes realizon
views pikëpamjet
exert ushtroi
fear frikë
bacteria bakteret
german gjermane
evidenced dëshmohet
ruling regjimi
musical muzikor
today sotëm
pluto plutoni
won fituan
described përshkruhet
pose hodhi
form formohet
head kryetari
glucagon glukagoni
union bashkimit
effort përpjekje
crucial kyçe
tasks detyrave
austrian austrohungarez
largest madhja
case lëndën
regards perket
live banojnë
rarely rrallë
drink pihet
contacts kontaktet
back mbrapa
rome romë
civilization qytetërimit
community bashkësinë
skender skenderaj
require kërkonte
twist kthesë
sculpture skulptura
up takon
saiyans sajanëve
document dokumenti
spread përhapet
eat ha
found gjejmë
approach qasje
and und
weight pesha
card karta
turned kthye
down poshtë
judaica çifutët
english anglisht
frozen ngrirë
austrians austriakët
which cilëve
castle kalaja
society shoqata
dog qenit
tries përpiqet
hump humb
play luani
efforts mundin
defeat mundin
world bote
whom cilit
heavenly qiellorë
acted vepronin
use përdorimit
anywhere kudo
influence ndikojnë
permit leja
hosts pret
jerome jeronim
sword shpatën
poets poetëve
unprecedented paparë
culture kulturën
horizon horizont
molecular molekulare
beyond përtej
quality cilësia
details hollësi
lacked mungonte
weight peshën
movement lëvizjeje
dynamics dinamika
information informatave
close afërta
landlady pronarë
calculated llogaritur
extremely tejet
caught zunë
health shëndetësor
legend legjendë
greece greqinë
alliance aleanca
approved miratoi
similar njësoj
name marku
stop ndaluar
domestic shtëpiake
mobile lëvizshme
massive masiv
state shtet
host mori
scottish skocez
verified vërtetohet
complicated ndërlikuara
ship anijes
report raport
networks rrjetë
back mbështetur
displayed shfaqet
muslims myslimanëve
ticket muaj
press shtypin
verses vargje
publisher botuese
according sipas
telecom telekomit
times kohët
observable observueshme
bayram bajramit
control kontrollonte
sar sharrit
opposes kundërvihet
persian persiane
universe gjithësi
weapons armëve
balkan ballkanikë
muscle muskulit
italians italianë
messenger dërguarit
malesia malësia
con çon
literature letërsisë
seek kërkonte
model modeli
germany gjermania
action aksion
risks rreziqet
later vone
form forma
cubes kuba
survived shpëtoi
surrounding rrethon
symbols simbole
institute titullin
men burra
tasks detyrat
indonesia indonezia
this ketë
variant varianti
speaking fliste
education edukimit
congressman deputeti
ducks rosa
but pos
skill aftësisë
tens dhjetëra
judicature juridiksionin
had dashur
legend legjendës
served shërbenin
difference dallimin
figure figurën
education arsimi
readers lexuesit
content përmbajtjen
centipede njëqindkëmbëshi
supplied furnizuar
island ishullore
holding durrës
slaves robërit
keep mbajë
players lojtarë
opinion mendimin
right djathta
things gjera
excel shquhen
decade dekadave
presented paraqit
defined përkufizuar
tool vegël
governor guvernatori
alert shënim
biological biologjik
general tërësi
types lloje
manufacturer prodhuesi
systems sistemet
carl karl
saranda sarandës
achieved shënuan
football futbollit
increase rritet
resources burimeve
crossing kalonin
issued lëshohen
problem problemi
carrying mbante
promote nxitur
back ktheu
remember kujtuar
organized organizuar
correct saktë
are je
forms formave
zela zelës
depends varet
saved ruhen
cost kushtoi
population popullatën
adaptation përshtatje
warmer ngrohta
opponent kundërshtar
mediterranean mesdhetar
mosque xhamisë
varied larmishme
byzantine bizantin
pass kalojnë
electronic elektronik
institutions institucioneve
louis luigji
autonomy autonomi
ban ndalimi
kills vret
approach qasja
paper punimi
tough ashpra
world bota
thus kështu
wrote shkruanin
slice thelle
nucleus bërthamën
all gjithash
tone tonin
oneself vetveten
violence dhunës
men meshkujt
cross kryqit
act akt
next pranë
museum muzeu
slaveholder skllavopronar
serbs serbëve
about gati
nuclear nukleare
undergone pësuar
role roli
rain shiut
close mbyllet
nato natos
collection mbledhja
distance largësia
service shërbimin
withstood ballë
core thelbi
writing shkrimi
line vijës
pride krenaria
reduced reduktuar
premature parakohshme
velocities shpejtësisë
as sa
personality personalitet
throw hedhin
vegetables perimet
same po
automotive automobilistike
plant bima
empire perandoria
risen ngjallur
students nxënësit
liberation çlirimit
testify dëshmuar
liquor pijeve
nutritional ushqyese
lead udhëhoqën
lezhë lezhës
employee nëpunës
religious besimtarë
administrative administrativ
through përmes
meeting takimit
legislative legjislativ
order menyrë
find gjet
work punes
news lajmin
federative federativ
topographic topografike
vary ndryshon
sky qiell
issue çështjen
honey mjalti
suppressed shtyp
theater teatrit
teacher mësuesi
animals kafshësh
portugal portugalisë
common zakonshëm
holds zhvillon
express shpreh
memoir kujtime
peace paqes
heads krerët
school shkollor
chance mundesi
senses shqisave
deep thellësi
cattle bagëti
houses shtëpitë
project projekti
neighborhood lagjen
statistics statistika
already veç
period periudha
find gjeni
show tregojë
kings mbretërit
spread përhapen
draw barazim
developments zhvillime
consequence rrjedhim
day dita
castles kështjellat
muhammad muhameti
page faqe
hellenes helenët
difficult vështira
figure figurë
paraphernalia vegla
breast gji
played luajtën
translation përkthimi
is përbën
terrestrial tokësore
tourism turizmi
baron banori
rule sundimin
listed radhitura
subject subjekt
born lindi
soldiers ushtarë
organized organizuan
parliamentary parlamentare
gheg gegërishtja
shown treguar
champions kampionëve
aspirations aspiratat
reborn ringjallje
environmental mjedisore
thanks fale
figures shifra
nov novi
order rendi
burning djegies
donor donatore
times kohërave
widespread përhapura
channel kanalit
prepare përgatiti
parameters parametrat
damages dëmet
browser shfletues
phase etapa
own vetjake
strictly rreptësisht
nucleus bërthamës
stance qëndrimin
strategy strategji
inscription mbishkrim
revolt kryengritjen
give jep
front fronti
social shoqërore
pitch zinin
problem probleme
coast brigjeve
ship anijen
proposal propozimin
estonia estonisë
bitola manastirit
dry thatë
turned kthyen
behave sillen
jerk hov
pottery qeramikë
back sfond
trees pemët
travel udhëtim
illyrian ilir
mirror pasqyra
cards karta
formation formacion
live jetojë
delivery dorëzimi
prime kryeministër
seal vulën
which cilen
yes po
african afrikane
behind prapa
fluctuate luhatet
opposed kundërshtonte
programs programe
character karakterit
style stil
decrease rënë
figure figurës
origin prejardhjes
proteins proteinave
remaining mbetur
occupied zinte
pagan pagane
community komitetet
they ata
taken mor
languages gjuhëve
determination vendosmëria
resolution rezoluta
day dite
danger rreziku
presence prezenca
also gjithashtu
intersection kryqëzimin
interpretation interpretimi
air ajri
borrowings huazime
austrian austriake
virtues virtyte
child fëmijët
studies studime
interest interesimi
link lidhjen
above sipër
not mos
island islanda
was vinte
vocabulary fjalorit
useful dobishme
help ndihmë
room dhomat
colonies kolonitë
heart zemra
fact fakti
symbols simboleve
rays rrezet
plant bime
items sendet
thought mendim
armies ushtritë
era ere
body trupi
stories tregime
verb foljes
ours sonë
style stili
kestrel sokol
excavation gërmimet
name agim
yours tënd
key kyçe
government qeveritare
gave jepnin
occur ndodh
dramatic dramatike
symbol shenjë
child fëmijës
difference dallim
lines vijat
did bënte
europeans evropianët
was un
ministry ministri
altitude lartesi
london londrës
supported mbështetet
benefit dobi
be behet
say thuaj
empty bosh
return kthimit
failure dështimi
grasses kullosa
currencies monedhave
smooth lëmuar
home shtëpia
implementation zbatimin
described përshkruhen
grater rëndë
notifications njoftime
london londra
discoveries zbulimet
studies studimet
name emin
doctor mjek
openly haptas
issued nxjerrjen
however sidoqoftë
unite bashkonte
like dëshironte
line vijën
reminding kujtuar
lowest ulëta
problems problemet
users shfrytëzuesit
collect mblodh
wheat gruri
hoti hotit
regions treva
diabetes diabeti
emerged doli
reigned mbretëror
investments investimet
extended zgjatur
had kisha
out dale
current aktual
dangerous rrezikshëm
door derë
statement thënie
learned mësojnë
broadcasts transmeton
coronary koronare
computer kompjuterin
average mesatar
friends shokët
who cilet
medieval mesjeta
similarity ngjashmëri
appropriate duhura
operations operacionet
moment momenti
earth tokë
post postin
accounting kontabël
foundation themelimin
spheres sferave
immediately fill
increase rritej
differences dallime
contemporary bashkëkohore
abraham ibrahimi
eastern lindor
nations popuj
island ishulli
find gjejë
may majit
protected mbronin
average mesatarja
intensity intensiteti
serenity qetësi
find gjen
me ma
wear vesh
maximal maksimale
order urdhrin
occurred ndodhur
known njiheshin
opportunity mundësi
its saja
balzac balzaku
officially zyrtarisht
apart veçohen
mention përmend
look duken
supported mbështetej
surface sipërfaqet
career karrierën
extended shtri
small vogël
had lindën
childhood fëmijërisë
meanwhile ndërkohe
cultivate kultivohen
number numër
seed farë
increase ngritje
diagnosis diagnoza
assumed supozohet
pronouncing shqiptimi
definite përcaktuar
want kërkojnë
christianity krishterimi
newtonian njutoni
industry industri
penetrate depërtojnë
resistance rezistencë
dialect dialekt
led çoi
be vihet
issue lëshojë
sources burime
latin latinishtes
white bardha
sultan sulltanin
kanun kanuni
regardless pavarsisht
properties vetitë
realized realizuara
skanderbeg skënderbeu
human humane
seated ulur
mental mendore
environment ambienti
american amerikane
test prove
held mbahen
separate veçohet
administration administrimin
feelings ndjenjat
friends miqtë
hands duar
members anëtarë
summer vere
populations popullsitë
accepts pranon
light drita
are jeni
hope shpresë
scotland skocisë
egypt egjipti
house shtepi
transition tranzicioni
matter materie
errors gabime
data dhënave
industry industrinë
hour orë
bird zogut
came vinte
collective kolektive
first par
causes shkaqet
written shkruar
governing udhëheqëse
canada kanadaja
contacts kontakte
height lartesi
research kërkimet
making marrjes
disposed hodhën
heiress trashëgimtare
albanians shqiptareve
summer diellndalimi
hoped shpresonte
assembly kuvendit
feels ndihet
which cilet
inlay aplikacion
pages paqes
berlin berlinit
monastic manastiri
used perdoret
reconstruction rindërtimi
moved zhvendos
wind erës
metropolis metropolet
rights drejtat
aforementioned lartpërmendur
centuries shekujt
boundary kufirin
voices zëra
controls kontrollon
e elegjia
lake liqenin
separated ndanë
medina medinës
provided marrë
son birit
event ngjarjes
wide gjërë
size përmasave
world botës
severely rende
history historiku
by anë
suitable përshtatshme
ie gjegjësisht
visit vizitojnë
remote largët
convince bind
foreign huaj
includes përfshin
vicinity afërsi
revenues hyrat
plants bimët
accompanied shoqëruar
molecules molekula
access qasje
convince bindi
autonomy autonomisë
read lexuar
moon hënës
france franca
pictures piktura
created krijua
official zyrtarë
protect mbrojtur
movies filmat
thousands mijëra
word fjale
settlements vendbanimet
musical muzikore
commencement fillimit
followers ndjekësit
answer përgjigj
poverty varfërisë
progress përparimin
holiday pushimi
shows tregon
materials materialeve
municipality komuna
terrible tmerrshme
turkish turq
union unionit
today sot
stages etapa
never kurrë
passing kalonte
pure kulluar
served shërbeu
entirety tërësia
luigi luigji
despite megjithë
implementation zbatimit
quran kurani
surface sipërfaqe
aim synimin
occupied pushtuara
hers veta
judge gjykatës
idea idenë
chief shefit
democratic demokratike
shui shiut
sit ulej
gruda grudës
settlement vendbanimit
spirit frymën
left majta
motives motive
stalkers vërtetës
displacement zhvendosjen
thousand mijë
prayer namazi
informed njoftoi
effective efektive
sideways anash
picture pamje
mohammed muhammed
improvement përmirësimin
writing shkrime
core qëndrore
divided ndarë
westmoreland durrësit
extremely jashtëzakonisht
coins monedha
landlords pronarë
white bardhe
globe tokësor
favorites preferuar
aim synim
four katër
basis baza
philosophy filozofia
passing kalimit
computer kompjuterit
light drite
railway hekurudhor
present paraqesin
cars makinat
peace paqen
movements lëvizjeve
novels romanet
made vihet
easily lehtë
speed shpejtësia
affected prekur
surface sipërfaqes
integral integrali
army ushtrise
heaven qiellit
cause shkaktonte
exercise ushtronte
phenomena dukurive
wine verërat
lower poshtme
win fiton
while përderisa
volume vëllimi
pasture kullosa
autonomous autonome
length gjatësi
mud baltë
faculty fakulteti
pyramids piramidave
contribution kontribut
morava moravës
character karakterin
damage dëm
concentrated përqendruar
coalition koalicionit
top maje
during gjate
facial fytyrës
rocks shkëmbinjve
year vjeçar
ornamentals zbukurime
cites përmend
organizational organizimit
fight luftonte
director drejtor
parts pjesëve
issue çështjes
olive ulliri
held mbahet
teenager riu
belongs takon
sacred shenjta
quality cilësisë
streets lagjet
budapest pogradec
cattle bagëtive
holidays festave
text tekstit
involvement përfshirjen
activity aktiviteti
chromosomes kromozomeve
changed ndryshoi
widower ve
rule sundimit
duck rosa
attribute atribute
line vijë
deal marrëveshjen
us shba
librazhd librazhdit
composed përbërë
or ose
interesting interesante
buy blerë
play luanin
metal metaleve
methods metodat
geographical gjeografik
early fillimi
end fundi
actions veprime
nervous nervor
increase shtimin
plants bimëve
possible mundshëm
meanwhile ndersa
newspapers gazeta
mediterranean mesdheut
belong përkasin
included përfshire
breast gjirit
number numri
story tregim
revenues ardhurat
morning mëngjesit
damage dëme
disbursement lëvrimin
committees komitetet
write shkruanin
english anglishtes
capital kryeqyteti
july jul
norway norvegjisë
movement lëvizjeve
projected projektuar
baptised pagëzua
genetically gjenetikisht
subject nënshtrohen
completed plotësuar
variations variacionet
priority përparësi
complex ndërlikuara
loss humbje
predecessor paraardhësve
powerful fuqishem
reflected pasqyruar
air ajrit
enabled mundësoi
magic magjia
tried munduar
released lëshuan
signs shenjat
necessary nevojshme
extraction nxjerrjes
through përmasave
bey bëj
gray gri
years vite
ourselves vetvetes
converted shndërrua
all gjithe
unique unike
monarchy monarkisë
observer vëzhgues
periodical periodik
youth rinjve
translated përkthehet
law ligjin
nature natyrë
asian aziatike
management drejtimit
geological gjeologjik
signed nënshkroi
knew njihnin
release lirimin
married martua
leadership udhëheqjen
shown tregohet
gases gazrave
ensure siguruar
elementary elementare
inhabited banuar
local vendorë
reaction reaksioni
through anë
places vende
presentation paraqitjes
preliminary paraprake
foundation themeli
time kohes
expanded zgjeruar
inclination prirje
workers punëtore
conflict konfliktit
career karrierës
cultivated kultivuar
ruler sundimtar
absent mungonte
food ushqimin
greater madhë
assembly kuvendi
assistant asistent
started nisi
success sukses
relieve çliruar
france francës
people popullit
moon hënë
fast shpejte
combination kombinimi
exception përjashtim
air ajrore
year viti
predicated paraparë
impede pengoi
student studenti
grid rrjetës
had pati
the fmn
activity veprimtaria
stephen stefanit
significant konsiderueshme
establishment ngritja
studied studioi
arrested arrestuan
climatic klimatike
monuments monumenteve
literature literaturën
branch degë
australia australisë
submission paraqitjes
fight luftuar
islands ishuj
volumes vëllime
monarchy monarki
cutting prerje
radical radikalë
researcher studiuesi
age mosha
marx marksi
rome romen
upon tek
chairman kryetarin
currency monedhave
link lidhin
along përgjatë
set komplet
ancient lashta
wish dëshirë
heat nxehtësi
follows pason
size madhësitë
framework kornizë
religion fesë
common përbashkëta
rivers lumenjëve
territory territor
witnesses dëshmitarë
experience përvojë
biography biografia
system sistemi
defeat disfatë
described përshkon
latin latine
pristina prishtinës
surrounding rrethuese
fire zjarr
switching kalimi
husband burri
illness sëmundje
heavy rënda
brother vëllai
fully plotësisht
volume vëllim
brings sjell
traditions traditave
epos eposin
least paku
muktar muhtar
arts artet
ireland irlanda
asked kërkua
here na
fid binar
theater teatër
reasons arsyet
increase rrit
night natën
die vdesin
leader udhëheqës
genuine mirëfilltë
management menaxhimin
have ketë
location vendndodhja
family familjeje
district rrethi
skopje shkupi
subject nënshtrohet
debt borxhi
creation krijimit
propose propozoi
do kryente
friends miq
third treti
africa afrikë
tour turne
mechanic mekanik
chairman kryetarit
residence qëndrimi
current tanishme
headquarters selia
include përfshinë
wars luftëra
method metodë
military ushtarakë
jewish hebraike
france francën
placed vendosën
romans romaket
trying përpjekur
branch rama
rejected kundërshtoi
muslims myslimanët
practice praktika
reason arsyen
ramadan ramadani
extraction nxjerrjen
directorate drejtori
lines linjat
fleet kelmendi
personal personale
patriotic patriotike
bar bari
english anglezë
nitrogen azoti
governmental qeveritare
escape shpëtuar
all gjitha
louse morri
regions regjionet
aircraft avionët
property pasurisë
exit dalje
asian azia
genius gjeni
butrint butrinti
more teper
animals kafshët
regulation rregullimi
fighters luftëtarët
compliance pajtim
happen ndodhë
position pozita
eve prag
general pergjithshme
communes komunave
passion pasion
boy djalë
help ndihmojnë
plus +
planetary planetare
others tjerat
journalist gazetari
aimed synonte
device paisje
serbian serbe
saved shpëtoi
definitions përkufizime
time kohen
poets poetët
programs programeve
cutting prerjen
people njerëzit
they ato
fossil fosile
get marrë
judicial gjyqësor
ethics etika
withdraw tërhiqte
inorganic inorganike
pyramids piramidat
franciscan françeskan
tantalus tantali
animals kafshëve
feed ushqehen
acid acidin
age moshe
organized organizohet
thought mendonin
tradition traditën
submitted dorëzoi
governor guvernator
denomination emërtimi
fid binarët
aspiration synojnë
office zyra
mesh rrjetë
saturn saturni
insurgency kryengritje
archeology arkeologjia
wonders mrekullitë
presentation paraqitjen
dignity dinjitet
england angli
proud krenare
degree °
reality realitet
population popullata
months muajsh
criticism kritikë
consist përbëhen
dog qenien
devotion përkushtim
preserving ruajtja
depend varësisht
catholic katolikë
kaons kaonët
raise ngrirë
fell ra
may maj
between mes
courts gjykatave
promised premtuar
storage ruajtjes
purpose objektiv
recognition njohjen
god zotin
membranes membranës
plant bimës
debt borxhe
proclamation shpallja
published botohet
words fjalët
increased shtuar
women gratë
glaciers akullnajave
root rrënjë
extension shtrirjes
dish enë
europe evropa
condition gjendje
continent kontinentet
russia rusinë
pogradec pogradecit
horrible tmerrshme
concept konceptet
marked shënuan
disease sëmundje
director kryetari
taught mësoi
serbia serbi
thirty tridhjetë
special vecanta
have ke
taught mësohet
geometry gjeometrisë
guard roje
interruption ndërprerje
acid acidit
world botëror
fires zjarre
models modeleve
accept pranojë
iron hekurit
shoot kosovo
measured matur
oil nafta
right drejte
quick shpejta
wide gjere
regime regjimit
englishmen anglezëve
pastures tokat
ownership pronësi
destructive shkatërruese
none asnjëri
contents përmbajtjen
federation federatës
night natës
divided nda
no asnje
work punojnë
classification klasifikohen
we në
history historiani
hazel kaltër
ema ëma
rivers lumenjve
istambul stamboll
groupings grupimeve
use përdor
value vlerën
decisions vendimeve
safety siguri
philosophers filozofë
at át
who kush
herzegovina hercegovinës
free falas
call thirrjes
law ligjit
included përfshinë
played luante
kosovo kosove
study studimin
ninja ninxha
restraint përmbajtur
responsible përgjegjës
monastery manastirit
signals shenjave
statements deklarata
northside malësisë
city kaçanikut
ritual rituale
spiders merimanga
freedom lirisë
prefecture prefekturës
accept pranojnë
herodotus herodotit
requirements kërkesa
solving zgjidhjen
song kënga
unity unitetin
container enë
slip shkas
beginner fillestar
meet takohen
geography gjeorgjia
contact kontaktit
stable qëndrueshëm
england anglez
quote thënie
burn djegies
japanese japonez
hepatitis hepatiti
had kish
event ngjarja
middle mes
tradition traditës
oneness njësimin
central qendrore
unit reparte
years vitet
sealing nënshkrimin
gramsci gramshit
organization organizimi
language gjuhë
defenses mbrojtëse
no ska
of prej
forum forumi
antiquity lashtësia
cult kulti
bitola manastir
idea ideja
energy energjise
especially veçanërisht
digestive tretës
component komponente
understood kuptoi
agrarian agrare
sure sigurtë
because ngaqë
feudal feudalë
framework kuadër
experience përvojës
translated përkthyer
entered hynë
brussels bruksel
string fijes
content përmbajtjes
project projektit
ancient dikurshme
mountain dajtit
west perëndimor
possibly kurrsesi
network rrjet
principles parimet
britain britanisë
parliament parlamentare
documents dokumentet
belgrade beogradit
japanese japin
design hartuar
entered hyri
dangling veçuar
ships anijeve
soldier ushtari
agreement marrëveshje
meet takohet
serbian serb
happen ndodhte
departure nisjen
mathematics matematika
frenchman francës
increased shtuan
swedish suedeze
fall binte
residency seli
solar diellore
party parti
mark marksi
norm norma
flotation flotacion
launched nisën
accounting kontabilitetit
paper letra
added shtoi
collaboration bashkëpunim
specific veçante
kruja krujë
administration administratë
special vecante
population popullatës
eurovision eurovizionin
ballet baletit
reduced zvogëlohet
bulgarian bullgare
mongolia mongole
closed mbyllur
poems vjershat
ethane etani
money parasë
stone gurit
was t´u
remains eshtrave
rural fshatare
defended mbronte
allow lejojnë
painted pikturuar
recording regjistrimi
democracy demokracia
kingdom mbreterine
population popull
loss humbja
art arti
strength forca
christians krishterëve
roman romane
europe evrope
project projektin
statement deklaratën
protection mbrojtës
occupation zgjedha
america amerikë
satisfy kënaqet
mine time
january janar
patriotic atdhetare
conditioned kushtëzuar
right drejta
analysis analizë
ceramic qeramike
poverty varfërinë
thrust fut
salihi salih
interest interesit
reproduction riprodhimit
source burimin
particular veçanti
net rrjetat
resulting rezultuar
basketball basketbolli
gene gjeni
committee komitetin
concrete konkret
thermodynamics termodinamikës
examiner pedagog
self vete
sacrifice kurban
geography gjeografinë
actions veprimeve
angle këndi
circumstances rrethana
items artikuj
derived burojnë
singing kënduar
ability aftësinë
leadership udhëheqjes
which cilën
lagoon laguna
praying falurit
opposite kundërta
seas deteve
week javë
macedonians maqedonasve
trader tregimit
increase shtimit
rural rurale
conviction bindjen
national nacionale
pressure trysninë
fast shpejta
soft bute
old plak
decided vendosi
castle kështjella
own vetin
periods periudha
management menaxhimit
substitute zëvendësuar
vilayet vilajetin
event ngjarje
flag flamuri
call thirrjen
illyria ilirisë
mechanisms mekanizma
while ndërkohë
display shfaq
organized organizuara
starting nisur
ion jon
experience përvojën
patriotic atdhetarët
universities universitetet
transforming shndërruar
maps hartat
movements lëvizjet
materials materialet
pristina prishtinën
creation krijimin
ioannina janinë
diplomatic diplomatike
back pasme
conducted realizua
fat shëndoshë
up hapin
epos eposit
muscle muskujve
livestock blegtorisë
medical mjekësore
translated përkthyera
historic historik
pretend pretendonte
light lehta
wilayah vilajetit
wearing veshur
europe europë
young rinjtë
series seri
ancient lashte
advanced avancuar
mandate mandati
radical radikal
communities bashkësitë
lagoon luginës
autonomy autonominë
continue vazhdonte
noble fisnik
rate norma
french franceze
remove hiqte
use përdorë
first pare
