feasts fêtes
seemed apparue
lengths longueurs
though pourtant
pyrenees pyrénées
volcanic volcaniques
regularly régulièrement
grounds terrains
attending présent
electronic électronique
step étape
spain espagne
climate climats
supplier fournisseur
relics vestiges
british britannique
squares carrés
scald brûler
determinant déterminant
christopher christophe
sturdy solides
legislation législations
cause sujets
time moment
mechanical mécaniques
firm firme
seen observées
settlement règlement
series feuilleton
vary varier
cathedral cathédrale
shelter abrite
double doubles
name voltaire
certainly parfaitement
rest repose
berber berbères
alert allant
welcoming accueil
entry portail
metatarsal métatarse
welcomed accueilli
regrouping regroupement
lives réside
judged jugée
comes provient
almost quasi
and und
based fondée
metaphysical métaphysique
built fabriqué
buddhism bouddhisme
regarding concernent
chosen choisie
infection infections
freedom libertés
engineer ingénieur
favorable favorables
controlling contrôler
conscious conscient
monday lundi
upstream montant
graphics graphiques
budgetary budgétaire
skin peau
records enregistre
move déplacer
gave donna
contest contestée
loses perd
granted accordée
estimated estimée
duets duo
inevitable forcément
old anciens
twenty vingtaine
native autochtones
done faites
held tenue
lid couvrent
technology technologie
optic optique
acts actes
predilection prédilection
strengthens renforcé
males masculins
responsible responsable
sets décors
sacred sacré
uphold défend
relatives proches
integral intégrante
myth mythe
represent représente
merchant marchande
steps marches
jointly conjointement
basel bâle
statements déclarations
partnership associations
broad larges
realization réalisation
experiment expérience
definitive décisive
earn gagnent
tall grands
exceptional exceptionnelle
older aîné
give donnent
proofs preuves
precursors précurseurs
steps marchés
leaving sortant
employees employées
classify classée
threesome trio
afro-asiatic afro-asiatique
proclaimed proclame
elevate élevées
death disparition
opera opéra
hopes espère
spoken parlées
alone seules
fresh douce
confirmed confirmée
spectrum spectre
requires oblige
by par
strategical stratégique
lifes vies
entertainment divertissement
composers compositeurs
restore rétablir
railway ferroviaire
authorizes autorise
include comprend
sings chante
shoot pousse
listen écouter
name olivia
men masculin
live vivantes
enormous énorme
senate sénat
yugoslavia yougoslavie
deported déportés
goddess déesse
evokes évoque
characteristic trait
sessions séances
meeting rassemblement
freak monstre
congress congrès
wait attendre
convinced convaincu
workshops ateliers
receiver récepteur
surname piaf
due grâce
symbolism symbolisme
satisfy satisfait
thematic thématiques
transformed transformé
stored conservées
turkish turc
communicate communiquer
incorporated constitués
rating classement
characteristics caractéristiques
army armée
alive vivants
gave donne
sound sonores
public collectifs
had eurent
currency monnaies
night nuit
row couloir
resuming reprenant
channel canal+
attempt tentent
progresses progresse
carve couper
candid candide
by selon
salute salut
seems semble
subdivision subdivisions
handled assuré
legal juridique
freely gratuitement
maximum maximale
frequently fréquent
believe croient
rising montant
numbered comptait
ills maux
admission entrée
written écrit
telemachus télémaque
offered proposées
works travaux
divide partagée
repetition renouvellement
valuable précieux
music musicale
brought apporté
material matériau
public publiques
burning incendie
palaces palais
important importantes
wages salaires
comprehensive exhaustive
deficit déficit
good bien
penalty peine
wield disposent
residence résidence
studied étudiée
helen hélène
manage parviennent
passengers passagers
explains expliquer
go marcher
abandonment abandon
true véritables
towards égard
evoke évoquer
murdered assassinés
the la
rail ferroviaire
definitive décisif
composed composée
lost perdues
integers entiers
garden jardin
habit tenues
avoids échappe
footbridge passerelle
limited exhaustive
intervene intervient
sinking naufrage
meet rencontrent
light léger
experience expérience
skill compétence
translated traduit
decreases diminue
co-written coécrit
stake enjeu
expressed exprimée
play pièce
alimentary alimentaires
return rapporte
realistic réaliste
broad grands
taste connus
shots tirs
men hommes
necessarily forcément
works ouvrages
resume reprendre
naturalist naturaliste
view avis
followed suivies
integrated intégrée
consequence conséquence
arrive atteints
free libres
declaring déclarant
tiredness fatigue
describe décrit
exercise exercer
since puisque
late tardive
carrier vecteur
celtic celtique
writings écrits
friday vendredi
torso buste
geologic géologique
legend légende
replacement remplacement
are sommes
until jusque
legislative législatif
book livre
quits quitté
approximatively approximativement
marks taches
surrounding entourent
main principaux
began commença
striker buteur
must doivent
awards récompenses
determined déterminé
sickness maladie
presidential présidentielles
future futures
exercise exercice
factors éléments
box loge
parallel parallèles
consider considérée
manner manière
whole totalité
practiced pratiquée
steersman réduction
native indigènes
arise montée
biographers biographes
manufactured fabriqué
correct corriger
doctor dr
up constitué
say dits
tracks pistes
coxswain timonier
grouped regroupées
outstanding exceptionnelle
dependence dépendance
allow laissé
stock ayant
range rayon
livestock bétail
extension étendues
volumes tomes
successful réussi
takes prend
clinical cliniques
varied varié
see vu
hunting chasse
plateaus plateaux
asked demanda
foreskin prépuce
vintage millésime
prone sujets
companies compagnies
judges jugés
experience connaître
subject soumis
money monnaies
wi-fi wifi
offices locaux
technology technologique
opportunity occasion
marriage mariage
peak culminant
interiors intérieurs
ecosystems écosystèmes
elder aîné
presence présence
argued valoir
places lieux
know connaissent
take prendre
stars étoiles
inequality inégalités
turk turque
resistance résistance
baths bains
speak parle
miss. mississippi
publicly publiquement
mosque mosquée
cell cellule
politically politiquement
oscar oscars
corn maïs
grows pousse
weapon arme
business établissements
sales vente
crossroad carrefour
proposed proposée
found fondent
videos vidéos
read lus
pollutants polluants
hide cache
artificial synthétique
offices instances
vhs tgv
tramcar tramway
education éducatif
gardens jardins
military militaire
holocaust shoah
regrouped regroupés
size jauge
destiny destin
solid solide
recognised reconnaît
school écoles
guilty coupable
prisoners prisonniers
turns tourne
ordinary médiocre
kindle suscite
dating remontant
the le
known dite
selections sélections
barometer baromètre
remaining resté
households ménages
performance représentation
referendum référendum
gallic gaulois
coronation sacre
various variées
hospital hôpital
forecast prévus
places endroits
ask demander
acts agit
quarrel dispute
elaborated élaboré
family familiale
kept retenue
readings lectures
rule règle
nicknamed surnommé
do faire
ideas notions
clear innocent
high élevée
evening soir
airplanes avions
songs chants
metropolis métropoles
armed armée
site cite
retreat recul
kept conservés
nicknamed surnommée
eat manger
pose poser
guard défend
detained détenu
issue envoie
form forment
entire entiers
promise promet
indirect indirecte
caused posé
overcame vaincu
free libérer
power capacité
bindweed liseron
comprehension compréhension
confined confié
triumph réussir
take prise
argentinian argentin
practicing pratiquant
citizen citoyen
powerful puissants
surely certainement
descended issu
organization établissements
win remporter
castle châteaux
is constitue
scientist savant
presented présenté
immunity immunitaire
record enregistre
way moyen
fossils fossiles
fraction frac
independent autonome
thought pensé
accepted accepté
gestures gestes
refugees réfugiés
using utilisant
circles cercles
heavy gros
largely largement
legislation législation
procurement marchés
return rentrer
resigns démissionne
caused entraînent
wrap couvrent
colonial coloniales
lesser moindre
else sinon
morphology morphologie
expert spécialiste
saplings gaules
context cadre
scholar savant
secret secrète
to visant
taste connaît
sanctuary sanctuaire
guest invité
faults failles
adapted adapté
derives retire
intimate intime
receptors récepteur
separate séparent
said déclaré
repertoire répertoire
breakdown panne
find trouver
white blanche
definitive définitive
shot tiré
modified modifié
profession métier
forbid empêcher
consideration rémunération
topic sujet
husband mari
pregnant enceinte
prey proie
faith foi
poverty pauvreté
proceeding procédure
what quel
since depuis
road route
happened survient
senegal sénégal
includes englobe
names noms
notable notables
trip voyage
product produit
listening écouter
particularity particularités
launched lancée
sicilia sicile
real réelles
have aient
european européennes
germinate germe
tight étroite
involved impliqués
eggs œufs
seas mers
know connut
assured assurée
gravity gravité
edge bordure
be existait
melodies mélodies
surrealist surréalistes
finals finales
knock coup
days journées
theater théâtre
infant enfant
byzantine byzantins
course certes
paris parisiens
transmitted transmis
affected affecté
encompasses regroupe
however toutefois
surname tyler
author auteur
party équipé
judiciary judiciaire
lead plomb
alsatian alsacien
victims victimes
scheduled prévue
significant importante
ed. éd
them eux
lift lever
gospels évangiles
attack attaquer
metropole métropole
serious sérieux
assumes supposé
draw tire
know connus
clothing vêtements
finished finissent
mark marqué
cooperatively simultanément
difficult sorciers
one uns
6th vi
students élèves
protocol protocole
undertaken entrepris
became deviennent
certainty certitude
common commune
powerful puissante
rest reste
consequently consécutives
regional régionaux
true assure
fields domaines
exclusively exclusivement
understand comprise
build faites
yellow jaune
ease faciliter
chosen choisis
designer désigner
regarding concernant
times reprises
benefit bénéfice
knows sait
trails pistes
represents représente
resume reprennent
group groupe
classify classer
holiday férié
professional professionnels
anticipated priori
zenata zénètes
size étendues
works travaille
shoot tir
regulations règlement
brittany bretagne
prayer prière
advertising publicitaires
management gestion
removable mobile
advanced poussées
would voudrait
sensitivity sensibilité
passages passes
fifteen quinze
finds trouve
ses his
no nul
treat soigner
sufficient suffit
piece pièce
avoid fuir
named baptisée
proper originales
sure assure
render rendue
highs sommets
quantities quantités
relate portent
references références
sorcerers sorciers
leader dirigeant
cabin cabine
stimulus relance
defines définit
outgoing descendants
cheops khéops
arrived arrivés
flags drapeaux
districts circonscriptions
radical radicale
dissemination diffusion
staying restant
aids assiste
wards arrondissements
visit visité
tests essais
shops boutiques
notes constate
guardian gardien
fine fins
found retrouvé
petroleum pétrole
founded fondée
jewish juif
offer offrent
even voire
ride tour
active actifs
supervision surveillance
count comptent
organises organise
campaigns campagnes
automatic automatique
exceeds dépassé
reacts réagit
master maître
socrates socrate
retains retient
bit fragments
let laisser
have avons
national nationale
turn tournent
beautiful beaux
looting sac
inhabitant habitant
absolutely absolument
remit remettre
organized organisée
realised réalisés
liberate libérer
outside extérieures
gained acquise
film-maker cinéaste
consecutive consécutifs
switzerland suisse
dealer marchand
ioc cio
related connexes
depot dépôt
slowly progressivement
affected touchée
fair salon
populating peuplement
reprisals représailles
move geste
likelihood probabilité
supported soutenu
we nous
difficult difficiles
free gratuite
aired diffusé
equipped doté
nazism nazisme
rumors rumeurs
medic médicales
translates traduit
theory théorie
naval navale
moscow moscou
or ou
home résidence
will permettra
high-school lycées
functioning fonctionnant
testimonies témoignages
know connaître
festival festivals
metaphors métaphores
certified certifié
fish poissons
tries tente
conduct aboutir
assured assure
evoke évoquée
variety variétés
entries écritures
animal animales
grateful reconnaissant
around vers
natives indigènes
aired diffusés
french-speaking francophone
encourage soutenue
wants voudrait
low bas
optical optiques
giving donnant
danger atteinte
costs frais
composing composant
means désigne
providers fournisseurs
furnished fournie
shows illustre
spills répand
spoke parlait
georgian géorgiens
yardstick critère
vaccines vaccins
recreation loisir
sounds sonorités
was portait
childhood enfance
catholicism catholicisme
last durer
balls balles
helped aidé
consider considérer
components composantes
censor censure
decrease réduction
entities entités
missionaries missionnaires
penetrate traverser
different différent
corpse corps
meditation méditation
snake serpent
use utilise
forming formant
judaism judaïsme
wool laine
agree accepter
geographical géographique
helene hélène
divide partager
u.s. américaines
autonomous autonome
allow accepter
setting mise
epidemics épidémies
angle angles
supposed censé
america amériques
worldwide mondial
started débuté
learn apprendre
declines décline
reclaim réclament
duke ducs
qualifications éliminatoires
priest prêtre
late tardif
work travaillait
commemoration commémoration
place endroit
visual visuel
derivative dérivés
change modifier
argument dispute
thermal thermiques
name franck
socialist socialistes
interests intérêts
occupy occuper
saving économies
characteristics caractéristique
direction orientation
reveal révéler
daily quotidiens
gaul gaule
birth natale
designate désigner
remove supprimer
boroughs arrondissements
earlier précédente
integrated intégré
emirates émirats
finished fini
scheme schéma
here auxquels
recognise reconnus
learning apprentissage
ireland irlande
subject sujets
absolutely strictement
crosses traverse
advanced progressif
transmitted transmise
associates associés
andromeda andromède
appointment nomination
revise corriger
its saisir
hold tiennent
monks moines
protein protéine
jean-pierre jeanpierre
attack attaque
famous fameuse
before devant
fires feux
will restera
administrative administratives
school entraîner
cover reprises
song chant
admit admet
drop envoyée
corresponds correspond
legal légales
start commence
reinforce renforce
mix mélange
dice dès
possessing disposant
community collectivité
cathedrals cathédrales
spared réservée
scholars savants
only seuls
dregs lie
rebels rebelles
hippy hippies
energy énergétiques
exhibitions expositions
heyday apogée
canadian canadiens
maximal maximale
dictator dictateur
resist résiste
beautiful bel
conducted menées
elected élus
made apportées
division découpage
tracks morceaux
sin péchés
marked marqués
sort genres
matches matchs
worker ouvrière
safety sûreté
come venu
includes regroupe
tomb tombeau
markets marchés
loser perdant
described décrite
dam barrages
side côtés
would auraient
spent passait
sectors secteurs
newspapers quotidiens
plate minéralogiques
moviemaker cinéaste
best-selling vendu
gre gré
integrated intégrés
beginning début
permanent permanente
fluently couramment
trouble difficulté
townships cantons
collect rentrer
midst milieu
again ré
embodies incarne
supposed supposée
crossroads carrefour
fated destinées
cats chats
planned envisagé
lasts dure
sounds sons
promised promis
experiments expériences
commission commande
superior supérieures
extension prolongement
plains plaines
widespread répandue
rush entraîner
complex complexes
adventures aventures
record enregistrent
original originaux
long duré
two deux
consequently conséquent
suffered souffert
deals traite
withdrawal retrait
conservator conservateurs
receives accueillent
imperial impériale
area sphère
year millésime
stockholder actionnaires
event événement
attributed attribués
capitalism capitalisme
skipped accède
faults défauts
shrinks diminue
result conséquence
booth cabine
ghosts fantômes
world mondiales
finished terminé
characterized caractérisé
organized organisés
mitigates mitigé
vertebrates vertébrés
renowned réputée
famous réputée
lived vécu
hides cache
movies films
ottoman ottomans
boom essor
raised augmenté
neighbour voisine
records disques
solely seulement
gold lor
attributed attribuer
economics économiques
results résulte
came venait
classified classés
whose dont
entire entières
accused accusé
gathering rassemblement
review examens
account comptes
uncivilized sauvage
definition définitions
money argent
geographical géographiques
superior supérieur
crowds foules
flamand flamande
willingly volontairement
characterize décrite
treat traiter
philosophers philosophes
host accueille
prevent prévenir
movies cinémas
benefits bénéfices
woman femme
present présente
hunger faim
holds tient
opposed opposés
illness mal
weakened affaibli
jew juif
organized organisé
skill technique
fully pleinement
partnership association
octavius octave
there dy
conducted menée
know savent
were étaient
ensuring assurant
latin latine
c do
paper papier
give prêter
numidia numidie
books livres
put mises
rediscovered retrouvée
completed achève
crowne couronne
boss patron
repayment récompense
montee montée
sale vente
western occidental
mentioned mentionne
sharply vivement
went passé
hundred cent
drop-down déroulant
justifies justifie
successful réussit
relics reliques
witnesses témoins
practical pratiqué
light voyant
affects affecté
cooling refroidissement
refusing refusant
capable capacité
years années
declaring affirmant
screens écrans
schizophrenia schizophrénie
examination examens
sweden suède
equipment équipements
counterpart contrepartie
formerly jadis
municipal urbaine
removal suppression
cinema cinéma
sequences séquences
i je
novelist romancier
facades façades
exposes expose
leisure loisir
metal métal
choice choix
navigators navigateurs
defender défenseur
coating couverture
rough rude
university universitaires
researchers chercheurs
sought cherché
goal objectif
lengthy longue
follow suivre
red lue
land poser
open ouverts
vulva vulve
explain interpréter
settler colons
scandinavians scandinaves
might put
edges bords
editor éditeur
base basés
thefts vols
succeeded réussit
put posée
detained détenus
established établies
solid solides
austrian autrichienne
fire flammes
suffer souffert
prehistory préhistoire
new nouveau
previous préalable
browsers navigateurs
representatives représentants
domestic intérieur
fatherhood paternité
import importe
observe observer
crossbars barres
following suivantes
born née
serbian serbe
amongst parmi
ranges massifs
massif massifs
employs emploie
kitchen cuisine
threatened menacé
cape cap
face affronter
ways chemins
financial financier
do fait
repression répression
depends dépendent
gifted donnés
design concevoir
refused refusé
controversial controversée
scottish écossaise
various divers
lower inférieure
devices dispositifs
defeats défaites
commentary commentaire
sure assuré
tactical tactique
qualities qualités
benefits avantages
persian perses
outline profil
joined joint
animated animé
accounts comptes
skull crâne
viewers spectateurs
georgians géorgiens
enter pénétrer
makers fabricants
conquering conquête
next prochaine
yoke moïse
predict prévue
degree °
democrats démocrates
environment ambiance
firm entreprise
understanding rapprochement
delays délais
popular vogue
turn tourne
indication indice
faithful exact
several plusieurs
hosts accueille
mountainous montagneux
longs longueurs
scope étendues
low basses
antigen antigènes
spreads transmet
occupies occupé
noted remarquer
origin provenance
extend accordé
statue statues
limit limiter
emile émile
roles rôles
my mes
admits reconnaît
considers estime
ice glace
scenery décor
classical classiques
declare affirmer
made rendus
municipalities municipalités
victories victoires
dominant dominante
indian linda
imposes impose
texts textes
may mai
israeli israéliens
irish irlandaise
agreement forfait
attracts attire
child filles
wants veut
severe sévères
is situe
elizabeth élisabeth
rocks pierres
hit frapper
tell dits
partly partiellement
famous connus
remain restait
browser navigateur
chamber chambre
pitch donnés
safety salut
designs conceptions
widespread répandu
keen vive
technological technologiques
reactor réacteur
open ouvertes
stride foulée
makes rend
statement communiqué
album disque
abrupt rude
mixture mélange
privileges privilèges
alert actif
tourist touristique
to vue
came venus
guys cubains
difficult difficile
discomfort malaise
follow suit
dogs chiens
triggers déclenche
choose préfère
research recherches
reject rejet
find trouvant
opinion jugement
escape échappe
fauna faune
ten dix
sub sous
support supporter
tasks tâches
acronym tna
resourcefulness ressource
main principales
behaviors comportements
higher supérieures
defining définissant
sign enseigne
germanic germanique
circular circulaire
cells cellules
revocation retrait
boyfriend jules
genius génie
council concile
gaul gaules
tubes hits
capitals capitaux
highlights souligne
suited adaptées
during pendant
recorded enregistré
proposal proposition
very très
research rechercher
causes provoque
procedures procédures
permanently permanence
computer ordinateur
even evan
outside dehors
genetic génétique
opposing opposant
practise pratiqué
described décrit
filed déposé
help secours
testimony témoignage
easel chevalet
give vaut
students étudiants
children enfants
mean moyenne
moves déplace
like aime
overall globale
grave tombeau
intensive intenses
actions actes
buildings monuments
benefit profit
effectiveness efficacité
guarded réservée
lyceum lycée
true conforme
rediscovery redécouverte
share partagée
grown cru
respond réplique
all-round générale
liquid liquide
party parti
name réconciliation
serious grave
possessing possédant
dedicated consacrés
closed fermée
bombardment bombardements
duet duo
accuses accusés
amino aminés
monasteries monastères
trend tendances
indians indiens
investigation enquête
probably probablement
all toutes
sculpture sculpteur
outcome issue
right droites
ultimate ultime
medical médicaux
attempt attentat
personal personnel
filmed tourné
words paroles
earlier précédents
stripe barres
imposed imposée
essentially essentiellement
four quatre
links liens
insurer assuré
eve soir
set-up fondée
asian asiatiques
actual réelles
gender sexe
qualifications qualités
president présidente
theories théories
foundation basés
added ajouté
myocardium myocarde
outside extérieur
named surnommée
heal soigner
all tout
legion légion
greek grecs
preface préface
brought apportées
concerns concerne
windfall manne
continued continua
root racine
net filet
take prend
presidency présidence
control contrôler
name cook
consulate consulat
generic génériques
catch prises
story récit
enough assez
expand développées
serves sert
creates crée
tourists touristes
hearing apprenant
you toi
oath serment
reconcile concilier
special spéciale
injury blessure
provided accordé
front façade
up composent
public publique
scholar savent
planning planification
ecology écologie
damage atteinte
contrast oppositions
me moi
rural rurale
survive survie
municipal municipale
wrath colère
reinforcement renforcement
favorite préféré
conservationist conservatrice
determine détermine
sunday parts
coarse rude
indonesia indonésie
stiffness difficulté
academical académique
optical optique
but or
keep conservé
dedicated spécialisé
old vieil
learned savant
come vient
basis bases
employees employés
wage salaire
final définitive
advice conseils
specially spécialement
teaches apprend
basis basés
afro-american afro-asiatique
receive accueille
totality totalité
describes décrits
pieces morceaux
observed observe
open libres
highest haut
wins gagne
excuse prétexte
bass basse
founded fondés
contain contiennent
done fait
speech propos
wrong fausse
damage dommages
sports sportifs
gray gris
book prendre
remind rappeler
attempt tentative
ship bateau
minds esprits
transformed transformée
appearance apparition
place placer
legal judiciaire
included inclus
willingly volontiers
creator créateur
caribbean caraïbes
century siècle
was trouvait
website site
humanitarian humanitaire
low basés
income revenus
daughters filles
black noir
formulas formules
increased accrue
populated peuplées
vehicle véhicule
variation variante
litters portées
cameroon cameroun
algerians algériens
registered enregistrés
doing faisant
exploits exploite
kin parenté
profit bénéfice
before précédemment
squad équipé
relevant liés
quoted cité
snowfall chutes
fabric tissus
trouble souci
provincial province
transform transformer
unit unité
indexes indices
drawn tirée
magnitude ampleur
from venues
erected érigé
include comportent
secular laïque
progress progresse
performed interprété
limited limitée
authorities autorités
strongly fortement
fails échoue
including lesquelles
chinese chinoises
returns retourne
queries demandes
floor étage
pseudonym pseudonyme
want désire
foresaw prévu
etching gravure
gathering réunissant
held tenait
tooth molaire
causing provoquant
murder meurtre
carry rapporte
choose choisir
peoples peuples
show série
maternal maternelle
mouth bouche
allied engage
vs v
successive successifs
stop arrêt
empty vide
hi salut
remarkable remarquables
eat consommer
number nombre
judge juge
workers ouvriers
store stocker
lifetime vivant
godfather parrain
protest protestation
methane méthane
body organe
knew connut
fire feu
powers puissances
dedicated dédiée
thing chose
age âges
says dit
presentation remise
violence violences
evolve évoluent
five cinq
despite malgré
under sous
battle combat
putting mettant
stores magasins
junction rencontre
books volumes
drastic radicaux
remember rappeler
audience téléspectateurs
conduct conduite
only seule
cut couper
hundred cents
issued émis
slowly lentement
suggest suggèrent
cypress chypre
committee commissions
producing produisant
remake reprise
stranger étranger
natives originaires
resisted opposé
called dite
realism réalisme
backup réserve
season saison
biology biologie
own ayant
challenge défi
city ville
guardianship tutelle
quoted éthique
describe décrivent
athens athènes
agricultural agricole
round ronde
telephone téléphone
all tous
architects architectes
census recensement
text texte
consideration contrepartie
planned prévu
gallery galerie
especially particulièrement
recording enregistrement
accuracy précision
discovery découvrent
shipwreck naufrage
psychology psychologie
buy achète
8th viii
tried essayé
complex complexe
mitigated mitigé
antisemitic antisémite
receive reçoivent
court cour
marketing commercialisation
table tableau
trojan troie
attached rattachée
building bâtiment
family famille
late tard
americans américains
complete parfait
favourite préfère
civilian civiles
languages langues
duration durée
reason motif
botany botanique
feelings sentiments
queries requêtes
countess comtesse
dating datant
interesting intéressant
currently train
word mot
place placés
discontent mécontentement
axis axes
documentary documentaires
interpreter interprète
strong forte
strain souche
coffees cafés
organizations organismes
vote suffrage
savoy savoie
tournament tournoi
commissioner commissaire
should devront
canadian canadien
announce déclarent
practice pratiquer
constructed construit
daughter filles
process processus
earthquake séisme
monde world
strike frappe
changes varie
miserables misérables
number nombres
clime forfait
established fondée
hope espérance
zoster zona
radical radicaux
cosmetic esthétique
except excepté
depth profondeur
pains peines
recognize reconnaître
nearly quasi
owners propriétaire
unattached indépendante
common générale
on relative
open ouverte
requests demandes
class genres
none nul
engines moteurs
complain plainte
swiss suisse
broadcaster télévisée
preparation préparation
global mondiales
director réalisateurs
diffuse diffusés
challenged contestée
exact exacte
nine neuf
strong vives
start démarre
recent récents
people figures
arenas stades
pit mine
nuclear nucléaire
looks ressemble
mask masque
advertising publicités
following consécutive
diamonds diamant
having ayant
try tenter
neighbour voisines
constituent constituant
practice pratiqués
effect effet
wife compagne
name cerf
teenager adolescent
heard entendu
halloween toussaint
steels aciers
religious religieux
persian perse
then donc
platform plateforme
denomination dénomination
intermingled mitigé
written écrites
prove prouvé
replace remplacé
quarry carrières
institution institutions
engineers ingénieurs
try essayer
testing tester
help assister
companies sociétés
chop couper
provisions dispositions
tangier tanger
payment paiement
chiefs chefs
restful reposant
hospital hôpitaux
uncommon inédite
washing lavant
platform tribune
available présente
food aliments
nothing rien
tribe tribu
cotton coton
parties fêtes
trial procès
maintains entretient
marriage noces
cultivate cultivées
appear apparaissent
antibody anticorps
predecessor prédécesseurs
follow succèdent
window fenêtre
poster affiche
island lîle
conserve conservé
stem souches
murdered assassiné
expected prévu
rebuilding reconstruction
perfect préfet
decline déclin
moses moïse
transcript transcription
however pourtant
head tête
beforehand précédemment
devaluation dévaluation
specified définie
reserve réserves
building bâtiments
shared partagée
river rive
current actuels
condemned condamnés
divide divise
costal côtière
media médias
aims vise
thesis thèse
school école
announced annonce
facilitate faciliter
religion religions
give donnait
passed passées
submitted soumise
pain douleur
awarded récompensé
poor médiocre
degradation dégradation
envoy envoyé
compensate compenser
marigold souci
hierarchy hiérarchie
unveiled inaugurée
maintains maintient
territory terrain
sir sr
audience audiences
calculation calcul
mercury mercure
hitting touchant
peak faites
shoot tourner
reports rapporte
seed germe
indicated indique
publicist journaliste
dream songe
interview entrevue
forced forcé
christmas noël
penis pénis
renown réputation
motive motif
olympic olympiques
translation traduire
response réaction
smell flair
home domicile
find conclure
organization associations
dismiss laissé
angels anges
metabolism métabolisme
must doit
justify justifier
trouble peine
request demander
mathematics mathématiques
memorial mémorial
houses résidences
turnover renouvellement
dominate dominent
consecutive consécutives
supply fournir
leaves quitte
ordered commandé
ends fins
spread répandu
preserved conservé
literally littéralement
mark marc
chemical chimiques
swedish suédois
fuhrer führer
request requêtes
annual renouée
islamic islamique
morn matin
affairs liaisons
surroundings environs
emitted émis
plain plaine
room chambre
detective détective
advised conseillé
parallels parallèles
denounces dénonce
fish poisson
legendary légendaire
coordinated coordonnées
daisy marguerite
back arrière
claims réclame
valleys vallées
waits attend
re ré
crowd masses
provided fourni
muslims musulmanes
wear porter
forced obligé
possible possibles
in en
decades décennies
remaining restant
published publié
working exploitation
first premières
closed firent
fight lutte
written écrite
part partie
exist sont
integration intégration
original originale
job métier
name nom
celebration festival
dish plat
spirit esprit
popular populaires
precise précis
obtain obtenir
rewards récompense
getup tenues
existing existants
examination épreuve
german germanique
uses usages
ball balle
poem poème
name flair
billions milliards
gives confère
closed restreint
criteria critères
titular titulaire
relative relatives
occupied occupé
compute calculer
indicate indique
who auquel
whites blancs
plane avion
term périodes
prior préalable
grants accorde
faculty faculté
states états
perform marcher
waters eaux
sell vendre
acquired obtenus
history histoires
work faites
improve développées
oceania océanie
circulation propagation
federate federer
prepuce prépuce
minorities minorités
wishes souhaite
assume prendre
bullet balle
crossing traversé
criticizes critique
keep conservent
think pense
celebrated célébrée
flock foule
performs effectue
own propre
transylvania transylvanie
at aux
reacted réagit
talk parlent
upland plateau
castle tour
assign attribue
disaster catastrophe
association associations
cause causes
adopted adoptée
put faite
dukedom duché
pass passent
romeo roméo
license licence
full pleine
competence compétence
iron fer
hair cheveux
facility court
tile tuileries
consumer consommateur
sinful coupable
beloved aimé
musical musicaux
measures mesures
disaster catastrophes
recorded enregistrées
famous réputé
delay retard
obtaining obtenir
profile profil
attendance fréquentation
etc. brut
evolves évolué
conversation dialogues
between comprise
favourable favorable
encounters rencontres
civilizations civilisations
windows fenêtres
intensity intensité
pathology pathologies
molar molaire
visits visites
tournaments tournois
retirement retraite
pandemic pandémie
obama classées
native originaire
first premiers
boy garçon
substitute remplacé
aircraft avions
orders ordres
replace remplacer
health soins
about quelque
preserved conservées
figures chiffres
founders fondateurs
appearances apparitions
romans romains
prepare prépare
number №
described décrits
nation nations
byzantines byzantins
deposits dépose
passed passé
discussion dialogues
submissive soumis
edition ed
moroccan marocaine
uprising soulèvement
worn portée
preliminary préalable
than que
proved prouvé
bishop lévêque
pastime divertissement
vault voûte
guaranteed garantie
conflict conflit
adopt adopter
england angleterre
separate séparer
plastic plastiques
commitments engagements
montreal montréal
usage utilisation
work marcher
traditional classiques
beloved préfère
legislature législatif
note notera
concentrated concentrent
resistors résistances
hypothesis hypothèse
7th vii
refuse refuser
mechanics mécanique
ticket billet
edition éd
rapper rappeur
complaint plainte
wanting voulant
name fred
mentioned comptes
belt ceinture
independent indépendant
being être
name edmond
quick rapides
reputation renom
hands mains
natural naturels
parks parcs
appreciate apprécié
sound détroit
advocates prône
terminated terminée
pending attendant
noted relevé
miserable misérables
guarantees garantit
spectators spectateurs
sovereigns souverains
down descend
2nd assister
media milieux
remains restes
suffer subit
begins commencé
dubbing doublage
says affirmé
supporters partisans
original originales
mass foule
camera caméra
no aucun
losing perdant
modified modifiées
bern berne
dedicated dédiés
foreign extérieur
beach plage
hold tenues
hold tenait
conservative conservatrice
bring apportent
includes inclut
imagined imagine
wore portait
presidents présidents
organization organisation
born naissent
quit laissé
eating manger
streetcar tramway
romania roumanie
several différentes
avenge venger
ecclesiastical ecclésiastique
colon colons
supervision tutelle
workers travailleurs
try essai
share partage
raising collecte
end finir
reach atteindre
isolated isolés
rise essor
legitimate légitime
surpass dépassent
would ferait
september septembre
practice pratique
class classe
dementia démence
hundreds centaines
term terme
name blake
attributes attribué
fill nourrit
foot pied
strike grève
controversies polémiques
wales galles
attending assister
baltic baltique
salary salaire
reached atteint
revealed révélé
rivers fleuves
character personnage
judgement jugement
beams poutres
criminal criminel
generated suscité
electron électrons
discussed controversé
for pour
mecca mecque
society société
done effectués
financial financière
meaning signifiant
relative relatif
analysis analyse
paint peint
chronology chronologie
bear souffre
flap rabat
performing produisant
derivative dérivé
airline aérienne
humid humide
almost pratiquement
king roi
found trouvée
basis terrain
cupola coupole
series séries
belief croyances
