standalone samostatný
mean priemerný
philosophical filozofických
reformation reformácia
tabor tábor
property majetok
gateway brána
differentiate rozlíšenie
i ja
republic republike
adoption prijatie
orbit obiehajú
department katedra
cave jaskyňa
we môžeme
regularly pravidelne
travel trvalý
china čína
childhood detstvo
outwardly navonok
oct. októbra
england anglického
motion pohybu
judge sudcov
know poznáme
aqueous vodných
rays lúče
location miesta
any akýkoľvek
irish írska
waiting čakali
types typov
can moci
soviet sovietski
svatopluk svätopluk
unduly nevhodné
dictatorship diktatúra
darwin darwina
fled utiekol
galaxy galaxií
personal osobnej
stop ukončiť
physically fyzicky
within rámci
assistant asistent
forced nútení
financially finančne
richly bohatú
constitution ústavy
times dôb
chemical chemickými
mod mód
wood dreva
fights bojoch
individual individuálne
demand dopytu
agat achát
ibex kozorožec
needed potrebné
organ orgán
carbonic uhličitý
peace mier
cards karty
become stanú
stream potok
drugs drog
separated oddelené
yugoslavia juhoslávie
warriors bojovníkov
range rozsahu
little mierne
weeks týždne
protein bielkoviny
footwear obuvi
base základňa
input vstupe
elected volení
two dvoch
meeting stretnutia
railway železničná
then potom
almost skoro
centers centrá
breathing dýchaní
business obchodným
types druhý
ranking rebríčku
commercially komerčne
family rodu
involved podieľal
doctor lekár
sculpture sochárske
degree stupeň
consists pozostáva
osman osmanskej
ukraine ukrajiny
suitable vhodným
pubic ohanbia
promotion podpora
continues pokračuje
historians historici
importance významom
steps kroky
border hranicou
family rodina
towers veže
assumes predpokladá
decision rozhodnutí
english anglickom
figure postava
thereby čím
ottoman osmanskej
lightning blesku
protocol protokol
servers serverov
jobs zamestnania
frederich friedrich
ian ján
baths kúpeľov
march marci
wheel kolesá
inside dovnútra
hungary uhorsko
tracks stopy
ac striedavého
cuba kuby
supported podporovala
pcs počítače
temple chráme
paper papier
underground podzemných
adherence dodržiavanie
known známej
accurate presné
yourself seba
orbits obieha
official oficiálnych
pay platiť
same rovnako
methods metódy
east východný
significance významu
ended skončil
observable pozorovateľný
favorite obľúbené
thousands tisíce
am pn
accessible prístupné
rye ráž
if či
plan plánu
breed plemeno
tradition tradícia
make urobiť
engine motorom
supplies zásob
local lokálne
natural prirodzeného
benedict benedikta
christians kresťania
diodes diódy
certainly určite
poems básne
mountains hory
systems systémami
densely husto
convention konvent
authorities orgánov
one jediného
sequence postupnosti
magnetic magnetickej
reformation reformácie
infantry pechota
sensitivity citlivosť
county župy
wall múru
tributary prítok
ratio pomere
railway železnica
seismically seizmických
a celou
r ®
act zákone
bratislava bratislavského
close blízky
r.j. rj
fighting bojov
microbes baktérie
expensive dráhou
emphasis dôraz
wars vojny
soccer futbalové
national národných
sculpture sochárstvo
mechanism mechanizmus
optical optické
to účelom
killed zabiť
nationality národnosť
captures zachytáva
specialists odborníci
different odlišujú
effectively efektívne
brought priniesla
stretches rozprestiera
slovenian slovenskí
modern moderné
protein proteín
flowers kvetov
elsewhere inde
associated spájajú
position postavenia
mineral nerastné
power sile
used použitá
religion vyznania
teeth zubov
submitted predložil
you ste
purlins väznice
remains zostáva
calcium vápenatý
track dráhu
turn prelome
publish vydávať
charge náboja
kids detí
soviet sovietske
prepared pripravený
soviet sovietskeho
stopped prestal
chemical chemického
technician techník
fourth štvrtej
school učí
appropriate príslušné
completion skončení
plans návrhy
work pracovná
meeting stretnutie
starting východiskom
powers právomoci
holdings pozícii
own vlastnú
also ešte
ideas predstavy
ethics etika
stigmatization stigmatizácia
criteria kritériá
volume objemu
large veľká
significant podstatnú
component zložkou
extinction zániku
slaves otroci
half polovicu
officers dôstojníkov
specific konkrétny
russia ruska
help pomôcť
edge okraj
number počet
frontline front
round kole
paint farbou
following nasledujúcich
average priemerné
ways smeroch
gets dostáva
slaves slovanov
grow rásť
truce prímerie
our našej
no nedošlo
christ krista
arms zbraní
just práve
insufficient nedostatočne
processor procesor
two oboma
fear strachu
iron železa
in vo
creative tvorivej
matthew mateja
organization organizáciou
travels sem
which ktorými
fell padlo
international medzinárodnú
service službu
united spojenom
resolution rozlíšením
tissues tkanivá
woman ženou
central strednej
half polovice
construction konštrukcie
end koncové
ring prstence
sales predaja
rings prstence
commanded velil
easter veľkonočné
sacred svätý
horny horný
spots škvrny
source zdrojom
increase nárast
paul pavol
astronomers astronómovia
natural prírodný
strange zvláštne
monography monografia
second druhý
established založil
chloride chlorid
regular pravidelné
served slúžil
applied zaviedla
yet zatiaľ
states štátoch
which ktorého
forum fórum
emigration vysťahovalectvo
end sklonku
distinguish rozlišujeme
bodies telesá
energetic energetické
scientific vedeckých
artifacts artefakty
engine motora
environment prostredím
abbreviation skratkou
punishment trest
sculptures sochy
met splniť
program programom
causes spôsobil
democracy demokracie
plain roviny
faster rýchlejšie
fourth štvrtý
operation operácia
extensive rozsiahly
proliferate umožňuje
scientific vedecký
arms ramená
equator rovníku
forever navždy
seventies sedemdesiatych
home domácej
layers vrstvách
beings bytosti
run prebiehať
large veľkému
introduced predstavil
conducted vedená
tonne tónu
meeting zhromaždenie
all celej
activity aktivite
tried snažili
run beh
position postavenie
connection spojením
increase zv
influences ovplyvňuje
used trestný
russia rusko
definition výrazu
adopted zaujímal
flows tečie
surface povrchu
lasted trvalý
separate samostatná
about cca
praises slávi
passport pás
couples páry
greek gréckokatolíckej
literature literatúre
circumstances pomery
magnetization magnetizácie
already už
celebrate slávi
general generálneho
phenols fenol
trash koša
beginning začiatkom
ecclesiastical cirkevná
mechanics mechaniky
east východnú
petržalka petržalke
today dnešného
black čiernemu
modernism moderný
bishop zápal
distinctly zreteľne
earth zemskej
font písma
round kola
half polovici
queue front
awards nálezov
has ma
dogs psov
tank tankom
woman žene
changes úpravy
implement realizovať
own vlastní
tax daní
his jeho
helped pomáhali
failure neúspechu
atomically atomárny
produced výrobe
scientifically vedecký
record záznamu
songs skladieb
intonation intonácia
language jazykov
electoral volebný
creativity tvorivosti
football futbal
first prvých
different odlišný
transformation premenu
influence ovplyvniť
came vstúpila
works prác
evangelical evanjelickej
outer vonkajších
ine iné
sometimes občas
twice dvakrát
time časový
file súbor
economic hospodársky
sulfuric sírová
willingly dobrovoľne
korea kórea
advantages výhody
resources prostriedky
sea morské
acids kyselinami
poland poľska
rubbing zemný
mathematics matematika
input vstup
chosen volený
parks parky
norm norma
structure štruktúr
much oveľa
extensive rozsiahlu
last posledným
help pomohol
financial finančných
radically radikálne
climatology klimatológia
view zobrazí
occupation okupácie
enthusiasm elán
fact skutočnosťou
vladimir vladimír
paradise raj
linearly lineárne
carcinoma karcinóm
south južný
containing obsahujúce
had musela
sulfur síry
selected štádia
congress snemu
separate samostatné
themselves samotných
economy ekonomiku
external vonkajšieho
form podobu
large veľkom
international medzinárodný
sculptures sochu
practical praktické
more väčšej
cranes žeriavotvaré
safe bezpečné
julius július
work dielom
democracy demokracia
total celkové
which pričom
small malej
absolute absolútnu
metal kovové
deep hlboko
intensity intenzity
angle uhlom
second druhú
real skutočné
captured zachytené
print tlačiť
associated spojená
commanded prikázal
artistic umeleckého
hard tvrdé
revolutionary revolučné
most najväčšiu
conference konferencie
order príkaz
container nádoby
seems javí
annually každoročne
division oddieli
apparatus prístroja
fully dokonale
adapted upravený
building budova
offensive ofenzívy
engine motorov
religions náboženstiev
mother matku
level pásmo
quiet tichý
german nemeckej
graphic grafické
linked prepojené
cats mačky
tigers tigre
china číne
inappropriate nevhodné
apparatus prístroje
electric elektrického
dependence závislosť
some nejaké
young mladý
definitions definície
hungary uhorsku
specific špecifický
socrates sokrates
can dokážu
operation operačný
crater kráter
vessels cievy
gymnasium gymnázia
conference konferencii
may nech
literature literatúra
finland fínsko
cross kríž
confluence sútoku
activity aktivita
style slohu
czechs čechov
magnetization magnetizácia
asserted presadil
july júli
marijuana marihuana
thousand tisíc
president predsedu
cases prípady
activities činnosti
rain dážď
temperatures teplôt
optical optická
modern moderná
generali generáli
wolf vlk
forced nútené
persian perzskej
use použiť
such také
woman žena
saturn saturna
career kariéry
lake jazera
sure isto
universe vesmír
help pomáhajú
antiquity starovek
marking označenie
elements prvkami
seaway prieplav
job pracovné
finally konečne
victims obeť
south južnú
released pustil
indicates označuje
green zelené
board tabule
are nachádzajú
morality morálka
tiny drobné
poets básnici
views pohľady
standard norma
russian ruský
house domu
worked pôsobí
manufacturer výrobca
easily ľahký
circle kruh
internationally medzinárodné
economic hospodársku
leak uniknúť
attack útoku
wood drevo
then vtedajších
general generálmajor
brigadier brigádny
atomic jadrových
needed potrebný
god boha
picture snímka
nature prirodzený
modern moderných
otherwise opačným
organ orgánom
lakes jazier
novel novela
environment prostredie
medal medaila
lake jazero
most najväčšia
value hudobného
slavery otroctva
yet predsa
immunity odolnosť
first spočiatku
belongs patrí
sarcophagus sarkofág
player hráč
deportation deportácie
what akej
government samosprávy
medieval stredovekej
sculpture sochárstve
document dokumentu
busy obsadené
results výsledkov
back návrat
what co
km km²
task úloh
international medzinárodná
found zistil
wrong zle
showed prejavil
division oddiel
major najväčšími
expositions expozície
františek františka
family rodinu
technological technológia
earth zemský
joined nastúpil
followed nasledujú
alcohol alkohol
suicide samovraždu
results výsledku
mechanics mechanika
appearance vystúpenie
numbers čísla
greek grécky
allowed umožnila
talks rozpráva
which ktoré
independent nezávislá
british britská
library knižnice
prince kniežaťa
letters písmená
enormous obrovskú
winter zimný
inaccurately nepresne
presence svetovú
approaches spôsoby
people národné
we chceme
controlled riadená
government vláde
statements výroky
explosion expozícia
same rovnakým
taught učil
entered vstúpila
culture kultúry
input vstupu
other iné
machine stroja
focus zamerané
direct riadiť
against voči
primary základných
machines strojov
spain španielsky
john johna
edge okraji
theology teológie
thresholds prahy
seismic seizmické
tension napätie
seismic seizmických
gaseous plynné
molecules molekuly
czechoslovak československej
plane rovine
fridge chladenie
complications komplikácie
principles princípy
why prečo
the dané
tried snažila
if aké
multinational medzinárodný
intended určené
connection spojenie
commander veliteľov
based založený
filing podanie
empire impéria
of právnych
treatment úpravy
properties vlastnosťou
truth pravdou
expeditions výprav
level úroveň
close úzke
issue emisií
language jazykom
two obidve
china činu
week týždňa
ensembles súbory
countryside vidieku
material hmotné
combination kombinácii
clarity jasnosť
partisan partizánska
mutual vzájomných
specific špecifické
arts umelecká
department oddelenie
myths mýtu
progress vývoji
scientific vedecká
protect brániť
route trase
famous najznámejších
recognizes uznáva
increases zvyšuje
were dostali
literature literárnych
own vlastnom
track dráha
agreement dohode
aqueous vodný
september septembri
law zákone
edition vydanie
units jednotky
directly priamo
amount množstve
water voda
intensity intenzita
real skutočná
featured vystupoval
terrorism terorizmu
and ánd
organism organizmov
fruits plody
acting správania
pair dvojica
want chcú
get dostaneme
cosmic kozmického
andrew ondrej
it ju
later novšie
worshipping uctievanie
legion légie
long dlhom
reservations rezervácie
antiquity staroveký
be ísť
dressing obliekania
moreover navyše
sphere guľa
ways spôsobov
sorted usporiadaných
solid pevne
ratio pomeru
half polovica
appearance vzhľadu
moment okamihu
orchestra orchester
targets ciele
something niečoho
rate miere
ethanol etanol
use využívanie
thence odtiaľ
page hlavnou
components zložiek
russia rusku
written napísal
instructions inštrukcií
male malé
built postavená
castles zámok
southwestern juhozápadnom
site webu
which ktorým
respect úctu
past bývalí
catch zachytiť
use použití
addicted závislý
finished dokončil
acid kyselín
causes spôsobe
evidence dôkazov
expansion rozšírená
recently nedávno
manager manažér
near blízke
suitable vhodná
conflict rozpore
family rodiny
part diel
purposes účely
library knižnica
versus vs
je is
stand stoja
temple chrámu
soviet sovietsky
francis františka
mountain horských
restoration obnovenie
distribution rozdelení
economic ekonomická
career kariéra
say hovoria
slovak slovanského
gold zlatom
religious náboženských
formula vzorec
significance význame
events udalostí
block bloku
chou čou
complex komplexných
circulation obehu
throne trónu
shot natočený
last minulého
one človek
give dávajú
law zákona
mouth úst
neighboring susedných
longest najdlhšia
opposite opačnom
local miestna
formed tvorila
patterns motívy
smaller menším
success úspechom
misery utrpenie
walls steny
ocean oceán
cloud oblak
government vláda
spiritual duchovných
displayed zobrazená
and a
culture kultúru
serious vážne
inflows prítoky
only samo
partner partnerské
entered vstupuje
her ňu
fills vypĺňa
monitoring sledovanie
circuits obvodov
partisan partizánske
scheduling plánovanie
principle zásada
flood pôvodným
route trasa
surface povrchových
current obežné
base základňu
society spoločnosť
bastion bašta
peace mieru
language jazykových
differences rozdiely
inventory súpiska
true pravý
were boli
rise vzostup
web webových
closely úzko
german nemeckých
filing podania
own vlastné
fully naplno
blunder hrúbka
taking nástupe
only až
supported podporovalo
kernel jadrá
experience prax
photons fotónov
china činy
swiss švajčiarska
one jedným
reduces znižujú
third treťou
track dráhe
belong patria
discovered objavili
review skúmania
said uviedli
statement vyjadrenie
basic základnej
extend považujú
captured zajatí
persia perzie
control správou
mostly moste
hardware hardvéru
secretaries tajomníka
meeting stretnutí
help pomoc
mastiff doga
belongs patrilo
gravitational gravitačná
fields sféry
photo fotografie
taller vyšší
guerilla partizáni
novel román
independent nezávislé
own vlastnou
shows zobrazuje
germany nemecku
economy ekonomika
international medzinárodné
occupied obsadil
christian kresťanskej
house rodu
font písmo
values hodnosti
agricultural poľnohospodárske
example príklad
different rôznym
minerals minerály
poorly nedostatočne
more viacerými
knows vie
following ďalšiu
unemployment nezamestnanosť
new novo
excreted vylučujú
unemployment nezamestnanosti
dissatisfaction nespokojnosť
china číny
form vytvárajú
atlantic atlantického
diseases chorôb
effective účinne
some nejaký
adopted prijala
of zo
vitamin vitamín
demand dopyt
different odlišné
konstantin konštantín
coat srsť
regarding súvislosti
poland poľsku
numerous mnohé
which ktorá
free slobodného
trunk trupu
beauties krásy
spain španielsko
lyceum lýceu
component komponenty
can dokáže
communicate komunikovať
constitution ústava
difference rozdielom
british britské
terms pojmy
mobile pohyblivé
work pracovať
later neskôr
you vás
increase vzrástol
training výcvik
fall pádu
reduction zníženie
level úrovňou
specified udáva
comparison porovnaní
movies filmy
had nechala
terrain terénu
translate finančných
observable pozorovateľné
archive archív
term pojmom
do konať
army armád
nations národov
job prácu
ruled vládol
districts okresy
different líšia
privilegium privilégium
progressing postupujúce
everyone všetci
states uvádza
long dlhých
offer ponúka
probably pravdepodobné
know poznali
woman ženu
closest najbližšie
basins povodia
code kód
model modelu
together dokopy
confidence dôveru
standard štandard
september septembra
grocery potraviny
object objekty
legends legendy
rishi ríši
cover pokryté
password heslo
superior lepší
energy energetické
other inému
page stranu
markedly výrazné
eggs vajíčka
controlled riadené
last posledných
representatives predstaviteľov
gregory gregora
final koncový
historically historicky
railway železničné
visible vidno
nature ráz
finished skončil
chest hruď
character znak
time časové
were bolo
obstacles prekážky
three troma
added pridávajú
writer spisovateľ
poem báseň
lived býval
mass hromadnej
created vytvorili
graphically grafický
life životnosť
current prúdu
equator rovníka
summer leto
extensive rozsiahle
service službe
infinitely nekonečne
masters majstrov
temperature teplota
cancer karcinómu
faith viera
objects objektov
distinguish odlíšiť
than vyše
sacrifice obeťou
conducted prebiehala
perfectly dokonale
considered považujú
provide zabezpečujú
dr. phdr
biography životopis
related spojenými
turned obrátil
devices prístrojov
rate mieru
elections voľby
member členom
one jedny
mutation mutácie
combination kombinácia
tent stanú
directory direktórium
system systémy
is stojí
performances vystúpeniach
cis sns
really skutočné
economy ekonomike
- −
children deti
antique antických
living životného
aircraft lietadlo
several viacerými
traditional tradičných
well dobre
environment prostredia
accurate presná
authority právomoc
economics ekonómia
profile profil
earth pozemského
discs diskov
format formát
gulf záliv
audio zvukových
battery akú
cause príčina
unable nedokáže
consist pozostáva
created vytvorila
depend závislá
quality kvalitné
it nemu
communities obciach
problem problémy
feel cítiť
agricultural poľnohospodárska
dolny dolný
be byť
physical telesná
most najväčšie
node uzol
remote vzdialených
alive nazval
worship uctievanie
spirit duchu
release uvoľnenie
informatics informatika
agreement dohodu
scientific vedecké
victims obetí
they im
constitution ústave
headquarters veliteľstvo
irregular nepravidelné
special osobitné
evidence dôkazom
frequencies frekvencií
prevents zabraňuje
exist existovať
my nech
northwest severozápadnej
wedding svadba
web internetový
ensure zabezpečí
forced nútený
caused vyvolalo
and l
suitable vhodné
professional profesionálne
results výsledky
ussr zssr
towards smerom
some nejakú
are su
all všetkému
groups skupinami
singer spevák
estonian estónska
considerable značná
island ostrov
from od
reaches dosahujú
build budovať
sum súhrn
provided uvedených
success úspech
engine motoru
that čiže
island ostrova
really naozaj
round kolo
chance šancu
natural prírodné
carve vytesať
typhlopidae slepánikovité
writing písma
political politickej
zona zóna
goal cieľa
equip výzbroj
art umeleckej
operation fungovanie
times časy
like chceli
name pomenovanie
connection spojenia
seven sedem
partially čiastočne
absolutely absolútne
blocks blokov
locks zámkov
germany nemecko
greek gréckej
house dome
stability stabilitu
republic republika
gods boží
plane rovina
andrew andrej
desert púšť
lowland nížina
and i
no č
serials seriálu
public ohanbia
such takú
produces produkuje
tanks tankov
extensive rozsiahla
wing krídla
combination kombinácie
service služba
one jednu
area oblasťou
system systému
agreement súhlas
level hladina
southeast juhovýchode
ice ľadovom
union zväzom
close blízko
had muselo
mausoleum mauzóleum
pope pápežom
carpathian karpát
lie spočíva
across používatelia
built postavené
work pracovné
south južné
ocean oceánom
rockets rakety
remained zachovala
european európskou
reaches dosiahne
came pochádzal
nineties deväťdesiatych
resolved rozhodnúť
distinguishes rozlišuje
bearings ložiská
large veľké
political politický
head hlavnou
defense obranné
vienna viedeň
back vracia
achieve dosahujú
ruins ruiny
slavic slovanské
traditional tradičnej
german nemeckou
animals živočíchy
waist písať
recorded natočený
founded založený
indeed skutočné
henrich henricha
continents kontinenty
race plemená
include zahŕňajú
given danom
plane roviny
bank brehu
forcibly násilne
late neskoro
named pomenované
civilisation civilizácie
touch dotyku
cubism kubizmus
star hviezdu
telescope ďalekohľadom
practical praktického
tensions napätie
plant rastlín
article článok
national národného
characters postavy
reactions reakcií
june jún
other iný
medium stredne
government vládu
queen kráľovná
winner víťaza
bottom dňom
main hlavný
normal bežnej
structure štruktúru
separately osobitné
miroslav miloslav
home domovom
increased zvýšená
one jedno
alliance spojenectvo
ill chorých
next nasledujúcom
a si
year rokom
series radu
forward dopredu
scheduled zakázané
organisation organizáciou
parliament parlament
june júni
research výskumné
families rodiny
people obyvateľov
inability neschopnosť
slovak slovák
meters metrov
respectively príslušné
kate katka
ball loptou
penetrates preniká
enrolled zapísal
mean znamenajú
newest najnovšie
right zľava
affect ovplyvňujú
kovac kováč
folk ľud
its svojou
chose vybrali
evening večer
paris paríži
people osôb
who ktorý
days dní
influence vplyvom
languages jazykmi
nothing nijako
external vonkajšia
showed ukázal
size veľkosťou
laws zákony
advancement rozvoja
eu eú
what aká
foot noha
factor faktor
need potrebu
man človekom
grave hrobu
originally pôvodne
history dějiny
since odvtedy
finishes končí
opinion názoru
everyone každého
product produkt
said hovoril
title titulnú
collection zbierka
engines motory
offense číne
galileo galileiho
good dobrým
restriction obmedzenie
upon peňazí
display zobrazená
provides poskytuje
surrounded obklopené
disseminate šíriť
hard tvrdý
equations rovníc
control riadenia
management riadenia
east východná
these tieto
women žien
mass dav
discreet diskrétny
performances vystúpenia
engines motorov
yet už
radical radikálne
perform vykonávať
inner vnútornej
style štýlu
nuclear jadrovej
central stredného
coming pochádza
established založili
production produkcia
some niektorým
ne sv
authority autoritu
patronage patronát
sentence veta
pure čisto
proton protónové
termination interrupcie
ensure zabezpečiť
ideas myšlienok
used použitý
land územím
picture obraz
precipitation zrážok
concerts koncertov
report správe
land pozemných
slovak slovenským
time raz
constantly neustále
skillet panva
three tromi
david dávida
proper správna
car automobilov
temporary dočasne
flag vlajka
action pôsobením
community komunita
climate podnebia
graphic grafický
institution inštitúcií
net čisté
caused spôsobil
before pred
fuel palivo
long dlhá
chambers komory
produce produkovať
troops oddiely
independently samostatne
become stála
dr. phd
atrium štýl
observer pozorovateľ
conversely naopak
bratislava bratislavský
well inú
formats formáty
tensions napätia
personally osobné
come prísť
common spoločným
problem úloha
situation situácii
physical telesné
directly priame
practice prax
construct budovať
intensive intenzívne
correct presná
office úradu
regions oblasťami
sexual pohlavný
see vidí
world svetový
community obce
digitally digitálne
star hviezdy
completed dokončil
orbit dráha
terrorist teroristických
gravels štr
trigger lúč
there existovali
doomed odsúdená
link spojiť
world svetovou
web webové
psychology psychológia
denote označujeme
light svetelný
watch sledovať
radio rádio
classical klasické
selected vybrali
distance vzdialenosť
water vodných
greek gréckom
like chcela
class trieda
down dolu
at úrovni
roads cesty
throne trón
body telesa
light svetlom
letter písmo
classical klasickým
workers robotníkov
small malý
liquid kvapaliny
sadness smútok
successors nástupcu
available dispozícii
climate klimatických
effects vplyvy
places kladie
administration podaní
name názov
savannah savany
hockey hokejové
gland žľazy
states štátmi
user používateľ
normal normálnych
preserved zachované
goals cieľov
hard ťažký
current súčasným
create vytvorí
time čas
holiday sviatku
excludes vylučuje
archives archív
survival prežitie
other inú
conceived chápať
near blízkosti
their ich
rights práv
pulse pulz
at vo
story poviedka
literature literatúry
bands kapiel
news správy
robert roberta
flood pôvod
atlantic atlantický
paul pavel
specifically konkrétne
tributaries prítoky
some niekoľkými
touch dotykom
southern južné
parliamentarian poslanci
point bodom
village obce
troops vojska
fortunately našťastie
reasons dôvodov
caucasus kaukazu
signature podpisom
gravitational gravitačný
parties stranami
animals zvieraťa
multiple viacerých
law právom
physical fyzických
never nikdy
wives manželky
great veľký
client klient
story priebehu
dead mŕtveho
perception vnímania
string reťazec
films filmov
estimates odhady
used nepoužíva
flows preteká
kant kanta
developed vyvinuli
more čoraz
new novému
baggy voľných
band pásma
trova tvoria
israel izrael
writes zapisuje
building stavbou
lost stratili
elements elementov
depends záleží
chemical chemických
for pro
publicly verejne
spreading šírenia
completed ukončená
defeat porážku
study študuje
rate miery
computer počítačová
strange čiže
web-based webových
extended dlhšiu
monuments pamiatky
servers servery
builds stavia
popularity popularitu
compression tlaková
socalled tzv
dinosaurs dinosaury
order poriadku
to k
result výsledok
released vyšiel
montana banskobystrický
politically politický
bay záliv
view názorov
caused spôsobený
two dvomi
february február
surrealism surrealizmus
antiquity antika
german nemeckom
today dodnes
oxidant oxidačné
extreme krajine
budget rozpočet
western západnej
area oblasti
mysticism mystika
case prípad
acid kyseliny
transylvania sedmohradsko
complete úplné
count počítať
community komunite
shooter strelec
killed zahynulo
order objednávku
numbers číslice
constitution ústavou
investments investície
last poslednou
stood stali
force silou
paris paríža
support podporovať
physically telesné
croatian chorvátska
results výsledkom
pressure tlakom
small malú
articles článkoch
banks bank
water vôd
century storočí
stool stolice
objects objekty
essentially zásadne
terrain teréne
decomposes rozkladá
whose ktorého
constitutional ústavných
do urobiť
location umiestnenie
hundred sto
finale finále
documents dokumentov
arch oblúk
daughter dcéru
everywhere všade
lived žlté
participates zúčastňuje
death smrti
constructed vybudované
bombus čmeľ
coast pobrežie
enemy nepriateľa
mentioned uvedených
about zhruba
mode režim
open otvorená
division delenia
designated stanovené
degrees stupňov
tanks nádrže
breeds plemená
goat koža
head hláv
was vznikol
historical historický
bad zlý
nom ňom
seas moria
track stopy
song spev
cat mačka
brought priviedol
project projekt
first prví
peace mieri
sections úsek
world svetovú
projects projekty
cult kult
certain určitom
as pokiaľ
agreed súhlasil
free slobodne
mister pána
sensitive citlivé
too príliš
band pásmo
legal právna
decline poklesu
motif motív
mythology mytológie
arise objavovať
forest lesa
speaking hovoriacich
confident presvedčený
tatra tatranská
fully celé
planning plánovania
up výšky
rest zvyšku
format formovať
regardless ohľadu
back späť
figure obr
plant rastlinných
royal kráľovský
son synovi
materially hmotné
interaction interakcie
change zmene
animal živočíšnych
mass hromadná
connections styku
options možnosti
ambient okolitého
turkey turecká
manage podarí
scene scénu
northern severný
recognize rozoznávame
section úseku
soil pôde
becomes stávajú
errors chýb
causing spôsobuje
venom blanokrídlovce
artistic umelecký
philosophy filozofickej
local miestne
necessarily nevyhnutne
operates prevádzkuje
interest záujmu
continued pokračoval
wife ženou
gout dňa
acid kyselinu
soldier vojakom
crash havárii
lost stratilo
h xv
albanian albánska
bears nesie
support podpory
hit zasiahla
harder ťažšie
antiquity antických
signed podpísaná
method metód
this túto
silicon kremíka
fulfills spĺňa
one jeden
great veľkou
proofs dôkazov
out uvádzajú
liberty lučenec
shows ukazuje
dynasty dynastie
telephones telefóny
sharply prudko
milk mlieko
significantly podstatne
present-day súčasná
country vlasti
writes píše
needs potrieb
translation preklady
nova nová
academic akademický
searches hľadá
there existovala
otherwise inak
border hranicu
planned plánované
valve chlopne
survival prežívanie
reveal zjavenia
drive pohon
them ním
respectively poradí
indeed skutočnosti
genre žáner
first prvého
extremely mimoriadne
one jedna
reached dosiahla
interior vnútra
bet stavali
shown ukázalo
changes zmení
spoken povedané
centre stredom
pakistan pakistanu
or alebo
today dnešnom
benedict benedikt
see pozri
output výstup
outer vonkajšej
coast pobrežia
if keby
protects chráni
income príjem
street ulíc
government vlády
older staršie
history historická
situated nachádzali
by strany
released uvoľňujú
ukraine ukrajina
one-way jednosmerného
settlements sídla
years rokoch
developed vyvinula
command rozkaz
so takže
drummer bubeník
addresses adresy
circles kruhov
originated pochádzali
occupation obsadenie
area areáli
better lepší
similar podobných
save uloženie
oxygen kyslík
concentrate sústrediť
structure štruktúry
special výhradne
expressionism expresionizmus
green zelených
division delenie
svatopluk svätopluka
byzantine byzantská
provinces provincie
lisbon lisabonská
milk mliečnej
usually obvykle
can vie
baroque baroka
media médiá
purports značí
short krátkom
capacities kapacity
mass hmotou
morning ráno
induction úprava
provided uvedená
first prvé
dopamine dopamínu
later neskoršom
realize uskutočniť
procedure postup
announced vyhlásil
dates údaje
founder zakladateľ
tribe kmene
significantly významnú
tattoos tetovania
speech ústnej
hebrew židovskej
combination kombináciu
preserved zachovaná
found založené
streams prúdy
sign znaku
front predná
communism komunizmus
highest najvyšší
what čom
suddenly náhle
completed ukončil
further ďalšieho
appear objavený
solar slnečná
touch dotkne
temples chrámov
sanctified vysvätený
computer počítačové
punishment trase
top začiatok
device zariadenie
maintaining udržanie
full naplno
commanders velitelia
remains ostáva
likely pravdepodobné
prime premiéra
couple niekoľko
includes zahrňuje
wide širokej
agricultural poľnohospodárskej
ukraine ukrajine
finnish fínsku
appliances aparátu
june júna
lived žila
planning plánovanie
prince knieža
springs prameňov
technical technických
management riadenie
support podporu
met zoznámil
areas oblastí
friends priateľmi
above zhora
thirty záporné
italian talianskeho
space priestorom
egyptian egyptské
required potrebná
atmosphere atmosfére
separate samostatnej
rocks skaly
plastic plášťa
scene scény
agreement dohoda
understanding chápanie
phenomenon jav
man človeku
justice dvor
citizens občania
exceptions výnimky
significant využitia
john jána
depth hĺbky
sport športová
our naše
defend brániť
smaller menšie
image snímka
list zoznamu
development rozvoja
focus zameriava
display zobrazení
large veľkú
legal pravom
islam islamu
radioactive rádioaktívnych
first prvými
situation situáciu
properly vhodné
categories kategórie
specific určité
reposition presadiť
decidedly rozhodne
circuit okruh
middle blízkom
show poukazujú
movements hnutia
older staršia
emerges vzniká
functionally funkčné
absolute absolútna
his svojmu
religious náboženského
arts umenia
while zároveň
phones telefóny
sea morom
size veľkosť
angela anjela
hard ťažké
gustav gustáv
valid platňu
communist komunistické
kosice košiciach
resistance odpor
difficult zložité
which ktorou
hormones hormónov
selected volí
budapest budapešti
attended zúčastnilo
ecclesiastical cirkevný
step krokom
people ľudovej
international medzinárodného
magnetic magnetickou
hits hitov
northwest severozápade
suitable vhodný
body teleso
human ľudského
liberated oslobodili
remotely vzdialené
countries krajinách
out mimo
focus sústreďuje
cc úv
republic republiku
format formátu
tomas tomáš
nicholas mikuláša
third tretie
more ďalších
solemnly slávnostne
two dvojice
mouth ústí
i má
transiently prechodné
decide rozhodlo
right pravý
disease ochorenie
pure čistého
media médií
earth zemskom
hungary maďarská
artist maliari
believe verí
mathematics matematike
study štúdium
strong silným
necessarily nutné
relations vzťahov
bacteria baktérie
last poslednom
slovakia slovák
so preto
written písomné
such akými
