insignias obilježja
putting stavlja
father oca
our našem
massive masovne
cold hladnog
cognition spoznaja
over preko
residency stanovišta
pointed ukazao
food hranom
composers kompozitori
philippines filipini
expansion ekspanziju
dose doza
mercury živa
vulcano vulkana
west zapada
sound zvuka
figure likom
dynasty dinastija
new novim
message poruka
mentioning spomen
historic historijsko
bosnians bosanci
union uniji
coalition koalicija
prevails preovladava
mine rudnik
experts stručnjaci
posted objavili
members članove
europe evropi
infarction miokarda
requests zahtjevima
block bloka
external vanjskim
drazen dražen
body tijelo
position položaj
self samim
fatherland domovine
independence nezavisnost
attacked napao
theaters pozorišta
implies podrazumijeva
background podlozi
economic privrednim
companies preduzeća
studies izučava
provoke izazvao
croatia hrvatskoj
red crvene
further daljnje
certain određenih
great veliku
mountain planinskih
international internacionalni
woman ženom
got dobile
i ja
chief šef
winners pobjednika
romania rumuniji
republic republike
department katedra
participated učestvovalo
distribution rasprostranjenost
farming uzgoj
all svim
however međutim
created nastalo
state državni
agreement sporazuma
against protiv
world svijeta
head čelu
announced objavila
initiated pokrenuo
legal pravne
support podržavaju
walls zidina
north sjever
that takav
give davati
fourth četvrtog
prince kneza
amount iznos
experiences doživljava
climatic klimatskim
fort utvrda
taping snimanja
families porodica
important važnu
rebellion pobunu
founded osnovano
wing krilo
new novi
attempted pokušavali
many mnogim
quince dunje
antonia antonija
differentiate razlikovati
administrative administrativno
serbian srbi
appearance pojavu
forbidden zabranjeno
style stilu
stream potok
rebellions bune
cultural kulturnim
right ispravan
comprise činiti
based osnovana
attack napadne
comets komete
elected izabrana
proved dokazao
drought posušje
member član
which kog
definition definicije
depend zavisnosti
then potom
almost skoro
water vodene
european evropske
whom kojima
grandson unuka
also takođe
nanotechnology nanotehnologija
reading čitanje
price cijena
vault preskok
contractors izvođača
written napisan
turning okreće
tests testovi
stamp pečat
originate potječe
came došao
hall dvorana
strongest najjači
centuries vijekova
solar sunčevom
speech govora
olympic olimpijskog
whom kog
secession otcijepljenje
poor loše
building izgradnju
economic ekonomska
people narodi
whom kom
only jedinstvenu
leaguer logori
account račun
dose doze
former bivšoj
live život
certain određenim
muslim muslimanskih
partially djelomično
reading čitanja
north sjeverno
armor oklop
remain ostaju
light svijetli
spindle vretena
system sistemi
similarly slično
lie leže
new novih
final konačnom
parties partije
that tim
internal unutrašnja
middle srednje
task zadaća
other ostalih
derivatives derivati
changes mijenja
state stanja
forms forme
ministry ministarstvo
replace zamijeniti
alkynes alkini
its svoga
macedonian makedonski
participated učestvovali
expressed izražen
massive masovna
depends ovisi
croatia hrvatskom
approve prihvatiti
reputation ugled
type tipu
naples napulj
sine sinus
destructions razaranja
bring dovesti
knot čvor
clearly čisto
striving težnja
graphic grafičkog
composed sastavu
absolute apsolutna
stress naglasiti
hit udar
remake obrada
popularity popularnost
kosovo kosovu
pula puli
increased rastao
many mnogih
numerous brojnih
surely zasigurno
war ratnog
red crvena
pool bazen
construction izgradnje
established utvrđeni
difficult teže
framework okviru
high viša
katarina katarinom
aliens pripadnici
evidence dokaza
development razvoju
name hari
allowing omogućuju
elizabeth elizabetu
invasion invazije
strategies strategije
new nove
barrow nekropola
followed uslijedila
members pripadnici
confess priznaju
terms uslovi
sarajevo sarajevskom
growing rastu
bring dovode
different razlikuje
nature priroda
economical ekonomska
originates potječe
expecting očekuje
hold drže
environment okruženje
coming-out izlaska
slavs slovenaca
admits priznaje
you ste
representative predstavnik
so-called tzv
lasted trajale
mid središnjem
becomes prelazi
names imena
walls zidine
osman osmansko
sounds zvuka
layer sloj
often česta
describe opisivanje
numerous mnogobrojnih
program programski
definition definiciji
water vodeni
quince dunja
european evropski
breakdown raspad
used koristila
own vlastite
legal pravna
end kraja
famous poznato
hard teškim
copy naklada
canton kantonu
records spisi
historians historičara
spiritually duhovni
present prisutan
krupa krupe
prince kraljevića
causes uzroka
prophet poslanika
head čelo
all svih
goražde goraždu
aluminum aluminija
mountainous planinskog
antique antičkoj
periods vremenima
accept prihvatiti
east istočnu
distanced udaljena
sperm spermatozoid
symbol znaka
geneva ženeva
war rat
lived živjelo
nazi nacističke
creator tvorac
equality jednakosti
christ krista
polysaccharides polisaharidi
poor lošeg
pacific tihi
succeeded uspjeli
wheel kolo
that onu
finished završen
processor procesor
ruler vladar
room soba
more još
absolute apsolutno
region nahije
railroad pruga
minority manjina
keeps čuva
manual ručno
may maj
based zasnovan
people narode
manager menadžer
lc mz
service službu
classes nastave
discussing spore
quixote kihot
middle srednja
americans amerikanci
garden gradina
system sistemom
dictionary rječnici
following slijede
different raznih
europe evropa
transfer prijenos
state državno
accordance skladu
lining postava
aim svrha
wolf vuk
binary binarni
writing pisanje
works djela
ethnic etničko
fruitful plodno
west zapadne
yourself sebe
soccer fudbalskog
municipality općinu
dots tačka
standards mjerila
increasing povećanja
residence boravak
rise izvire
horses konji
circles krugovima
which kom
structure građe
surrounded okružen
node čvor
series nizu
additional dodatnim
engine motora
type vrstu
cleaning čišćenja
cheese sira
brotherhood bratstvo
operating operativni
oil nafta
pact pakt
croatians hrvatima
international internacionalna
government vladom
transition prelaska
better bolja
harder teži
pumps pumpe
became nastalo
exchange razmjenu
friday petak
nature prirode
simply jedinstvenu
hardly jedva
parts dijela
strangers stranaca
give dati
imperia imperija
beginning početne
recognition priznanje
fall pada
no nikakvog
speeches govore
calendar kalendar
ovaries jajnici
needs potrebne
analog analogni
artistic umjetničkih
restoration ponovnog
muslim muslimanske
force din
prevent spriječiti
numerous mnogobrojnim
harder teže
develops razvija
stones kamenčiće
hotel hotela
new nova
battler bitki
slowly polako
salt so
sale prodaju
agreements sporazume
massacre masakr
truce primirje
hard teških
calcium kalcijum
everybody svakog
shapes oblici
wife suprugu
research istraživanja
keep održi
needs potrebama
circuit sklopu
environment okruženja
participated učestvovao
lived živjela
achieve postižu
systematic sistematski
begin započela
our našeg
phenols fenol
recording snimka
sunnah sunnet
created stvorena
expression izražaja
economy ekonomskom
lowering smanjenja
scotland škotske
peaceful mirovnog
group ansambl
ethene etan
island otoka
happens događa
marked bilježi
aches boli
reflected očituje
which kojima
includes sadrži
ridges kosa
principles principi
dostoyevsky dostojevski
rewarded nagrađen
gorenje gornje
application aplikacija
affiliation pripadnosti
substantial znatan
jesus isusa
idea ideja
predominantly pretežito
country seoski
consumption potrošnje
districts sreza
perform izvesti
all svega
recently nedavno
danish danski
analyses analizu
citizens građene
many razna
unit jedinice
airport aerodroma
during usljed
youth mladih
republican republičkog
protective zaštitni
secures osigurava
legality zakonitosti
fossil fosili
firstly ponajprije
cross pređe
destruction razaranja
could mogu
decide odlučuje
talk govoriti
physical fizičke
quadrilateral četverougao
encircle okružuju
got dobili
room sobe
shock šok
slovak slovačka
individual pojedinog
nearest najbliže
mathematics matematika
present današnjoj
lasted trajalo
people naroda
name meho
together zajedno
strong snažan
paradise raj
channel kanal
velez velež
country pokrajina
west zapadna
spread rasprostranjenost
popularly popularnoj
city gradu
foundation temelj
islands ostrvima
hits hitovi
carcinoma karcinom
trade trgovinom
whose čija
diamond dijamant
increased povećao
system sistema
awards nagrade
recognition priznanja
stand stoji
red crveni
cleaning čišćenje
east istočno
production proizvodnjom
famous poznatu
lived živjeli
yourself sebi
main glavnim
columbia kolumbija
better bolje
far daleko
arithmetics aritmetika
dynasty dinastije
melting topljenja
founded osnovane
victory pobjedom
electrolyte elektrolit
members članovi
europe evrope
distance udaljenost
nature naravi
illyrians iliri
dugme dugmeta
stones kamenčića
proclaim proglašava
country zemalja
see vidjeti
development izrade
coast brijegu
debate rasprave
crankshaft radilice
singer pjevač
appear pojaviti
discover pronaći
content sastava
nature prirodi
increasing povećanje
district sreza
circumference obim
barley ječam
belly želudac
muslim muslimanski
both obje
taxes porez
web mreže
play-off playoff
conduction provođenje
react reaguje
many brojni
lagoon laguna
glycoside glikozidi
styria štajerskoj
that ono
support potporu
hearts srčanog
females ženke
unit jedinica
forces snage
herbs bilje
lead predvodio
times navrata
circle krug
turns okreće
allows omogućuje
slovakia rumunije
door vrata
no ne
definition definicija
interrogation ispitivanje
mid- sredinom
letters pisma
mixed mješoviti
truce primirja
split splitskom
next sljedećim
legal pravni
looks izgleda
parasites parazita
fact činjenicu
principles principe
antibiotic antibiotik
financial finansijskih
string niz
demands zahtjevima
marine luka
convertibles kabriolet
odor mirisa
handball rukometu
livestock stočarstvo
woman žena
perform vršiti
agricultural poljoprivredni
attraction atrakcija
idea ideje
defense odbranu
moldova moldavija
autumn jesen
ped pedagogija
research istraživanje
experience doživljaj
normal normalan
succeeded uspjela
keep zadržati
vienna beč
expose izražen
classes nastava
family obitelji
lineage roda
neural nervni
lasting trajanja
action radnju
european evropska
philosophical filozofske
bigger veća
join priključuje
scotland škotska
medications lijekovi
kind sorte
issus isa
support podrška
alliance savezu
records snimci
secretion lučenje
beautiful lijep
historians historičari
kingdom kraljevstva
accommodated smješteno
external vanjsko
hydrogen vodonik
then zatim
princess princeza
president predsjednikom
greek grčkog
legend legendi
crossing prelaza
cola čola
sovereignty suverenitet
religions vjera
moment trenutka
faster brže
categories kategorije
views pogleda
fifty pedeset
tracks numera
connecting vežu
served služila
individuals pojedinaca
definition definiciju
order redu
indirectly indirektno
weapons naoružanje
attention pažnju
do obavljaju
binds vezuje
matter obzira
vapors para
enables omogućava
needed potreban
periods periodima
ways načine
elizabeth elizabeta
part procenat
ulcer ulkus
beekeeping pčelarstvo
appliance aparata
that kakav
document dokumentu
penguin pingvina
university univerziteta
that taj
prettiest najljepših
fame slavu
towers kule
presence prisutnost
performed izveden
ivory slonovače
sense smisla
list popisa
merchants trgovci
weapons oružje
achieved ostvario
day dan
plays predstave
importance važnosti
variables varijabla
fact činjenica
react reaguju
walls zidove
mutually međusobno
rhythm ritam
order naredbu
stand stoje
ending krajnjem
acids kiseline
american američka
class stalež
north sjeverna
partly djelomično
disappeared nestao
whole čitav
give daju
significant značajna
creating stvaranju
students studenata
negotiations pregovori
ec ep
face licu
grey sive
special specijalnim
happen događaju
shorter kraće
products proizvodima
hormones hormone
happen desiti
penguins pingvina
posted objavljena
engineering tehnološki
last posljednjem
selenium selen
own svojim
cemeteries groblja
statistic statistika
divided podijeljeni
phenomenon fenomen
arabian arapske
summer ljetnim
danger opasnost
served služio
tower kule
implies izaziva
built sagrađena
body tijela
beside pokraj
philately filatelija
apostles apostola
producers proizvođača
senate senat
known poznatog
capacity kapaciteta
john johna
named nazvana
graveyard groblja
west zapadno
wrapper omotač
european evropsku
started započela
happening događaju
tombstones stećaka
milk mlijeko
allows omogućava
place postavi
north sjeverne
bloodstream krvotok
quite sasvim
agricultural poljoprivrednih
studied studirao
kills ubija
cereals žitarice
theatre pozorište
ep epa
organizes organizira
should trebale
mountain planinske
giving dajući
typical tipični
crusades krstaški
versions verzije
television televiziji
lower nižih
written pisali
economic ekonomsko
building izgradnje
beirut bejrut
salary plaća
successes uspjesi
of dijelu
sites lokaliteta
taking uzimanje
exactly tačno
this toj
encircle okružuje
west zapadu
adoption donošenja
week sedmica
entire cijeloj
materials materijali
pair para
translation prevodi
venus venera
ways načini
agricultural poljoprivredne
attraction atrakcije
medicine medinu
emerged nastale
east istočni
using koristile
well dobro
formation formiranja
cultural kulturne
macromolecule makromolekula
village mjesta
bloc blok
predominate preovladava
viewpoint stanovišta
combination kombinacija
revolutionary revolucionarne
dream san
holder nositelj
economy ekonomiju
microscopes mikroskop
greek grčkoj
back vratio
philosophical filozofska
water voda
particle čestice
aluminum aluminij
downtown čaršija
methylene metilen
end kraju
activities djelatnosti
attractions znamenitosti
flow teče
free slobodna
surrender predaju
thursday četvrtak
stadium stadion
hip šipka
metal metalne
attempt pokušaj
modern savremena
justice pravde
archives arhiva
own vlastitu
testicular testisa
rate stepena
places stavlja
king kralju
dollar $
preparation priprema
it ju
technology tehnika
have ima
arabic ar
last posljednjeg
upbringing odgoj
type vrsta
found nađeni
strong jakog
minister ministara
construction izgradnju
assembly sklapanje
east istočne
chemical hemijsku
gathering sukobe
fat masti
ethanol etanol
agreement dogovor
environment okolina
ways načina
middle središnje
elizabeth elizabete
walls zidovi
constructions građevina
describe opisuje
castle dvorac
tennis teniski
defines definira
hormones hormona
field polju
ali alija
mountain planinska
lips usne
nominate imenuje
fulfill ispuni
sea morem
electric električnog
enabling omogućavaju
tune šlager
cure lijek
happened desio
constant konstantno
besides pored
middle srednju
words riječima
structure sastava
meanings značenja
complex kompleksne
general općim
peninsular poluostrvo
do učini
replaces zamjenjuje
links veže
somewhat donekle
significant značajne
louis luj
evening večera
him njega
noted zabilježena
belonged pripadali
position stav
epos epa
opening otvora
contrary nasuprot
importance značaja
appearance pojave
reflex refleks
air zraku
soldier vojnika
direction smjer
should trebali
journalism novinarstvo
saint svetom
execute izvršiti
composition kompozicije
angles uglova
indicate ukazuju
gone otišli
essentially suštini
atomic atomci
similarity sličnost
objects objekte
divided podijeljeno
volume zapremina
got dobilo
cloud oblak
somebody neko
train željeznička
influences uticajima
allies saveznika
and a
choose biraju
accept prihvati
tower kula
if ukoliko
kosovo kosova
canal kanal
only samo
female ženska
conquer osvoji
agricultural poljoprivredna
lose izgubiti
mention pominje
time vremenskih
remind podsjećaju
greek grčkom
former bivše
lower donjeg
occupied zauzeli
zinc cinka
elisabet elizabetu
gets dobija
variables varijable
phosphate fosfat
revealed otkriveno
fall padu
network mrežom
melodies melodije
created nastala
learning učenje
mark markama
gathering okupljaju
writing pisanja
new novu
december decembru
formation formacija
citizens građanima
prague prag
collapse sloma
biggest najvećim
cause uzrok
heterosexual heteroseksualnost
name semir
proposed predlaže
said govorio
grief patnje
secreting izlučivanje
important bitan
bosnians bošnjani
materials materijale
most najveće
represent predstavlja
left ostavio
companies poduzeća
operative operativni
real peraja
commerce trgovina
arabian arapski
sites nalazišta
several nekoliko
left lijeve
separated podjeljena
tried pokušao
discovered otkrili
virtue vrlina
tribes plemenima
stated navedeno
verse ajet
construction konstrukcije
villages sela
learning učenju
cause uzroka
mass masovnih
olympic olimpijskom
prayer molitva
separate dijeli
economic ekonomske
roads ceste
calculation izračunavanje
producer producent
occasion priliku
type tip
forces nameće
thing stvar
doom propast
religious vjerskim
development razvojem
algeria alžir
purposes svrhe
relative relativno
domestic domaće
point tačkom
chosen izabran
crystals kristala
nature prirodu
shelter skloništa
sana sanskog
new novo
calls poziva
reversed obrnuto
european evropsko
ali alije
settlements naseljima
american američki
cost obala
lower donjem
famous poznati
inmates logoraši
east istočna
wartime ratni
left lijevo
swedish švedskoj
obligations obaveze
sent postala
preparing pripremaju
recorded snimljen
architecture arhitektura
forbade zabranio
elizabeth elizabeti
reserves zadržava
insufficiency insuficijencija
penguins pingvini
denomination denominacije
official službenom
prizes nagrade
wife supruga
suitably shodno
various razna
always uvijek
serbs srbima
chemical hemijski
muscle mišićnih
divided podijeljena
anthropology antropologija
metabolism metabolizam
strong snažnim
volume objema
apricot kajsija
spasm grč
legionaries legionari
increasing povećanjem
term pojmom
found utemeljen
fact činjenici
minerals minerale
ancient antičkog
aristocracy vlastela
dance plesni
copper bakra
sentence rečenice
title naslov
users korisnicima
field polje
describe opisuju
based utemeljena
price cijeni
idea pojma
woman ženu
go ide
creating stvaralaštvo
machines mašine
friendships prijateljstva
popular zabavne
arabic arapskim
original originalni
carry nositi
roman rimskih
unemployment nezaposlenosti
description opisivanje
ministry ministarstva
becomes biva
serb srpska
produce proizvoditi
toys igračke
dry suša
gilgamesh gilgameš
official službenoj
stone kamen
romania rumunija
recording snima
manifestation manifestacije
occupations okupacije
interior unutrašnjosti
onset nastupa
waiting čeka
present naših
explain objašnjava
variables varijabli
own svojih
plane avion
dervish derviša
cyprus kipar
female ženske
worker radnika
same istim
capacity kapaciteti
fluids fluida
arrested uhapšen
communal zajedničkog
seth šit
present predstavljaju
broader šira
started započeli
commerce trgovine
fall pad
yesenin jesenjin
next slijedeća
persian perzijskog
neither nijedan
hall dvorani
considerably znatno
impression dojam
alone sam
melt rastvara
creativity stvaralaštvo
people narodu
paths staze
fortresses utvrđenja
electronic elektronski
service službe
work posla
minority manjinu
living životnog
edition izdanje
fields polja
used koristile
former bivši
constructed izgrađenih
sports sportovi
objects objekti
these ovi
staunchly čvrsto
conquerors osvajači
electricity struje
checks provjere
then tada
edition naklada
furnaces peći
weapon oružje
protein proteina
travelers putnici
attack udara
since još
user korisniku
killed ubijeno
induction indukcija
famous poznate
greece rumunije
meaning značaju
constitution ustavu
profile profil
eaton aton
shallot vlasac
energetic energetski
calcium kalcijuma
anthropology antropologije
kings kraljeva
environment okolini
creon kreont
plant biljka
earths zemljine
crossing prelaze
evidence dokazi
elementary osnovnim
andorra andora
evolution evolventa
hunting lov
appeared pojavio
downtown čaršiji
coat krzno
unknown nepoznato
said rekao
souls duše
sentenced osuđen
used koristili
louis luja
development izradu
unesco unescoa
domestic domaća
religious vjerskih
you tebe
converted pretvaraju
interaction interakcije
inhibited inhibira
modern modernog
negatively negativno
this tog
forces snagama
make napraviti
informatics informatika
week sedmice
thereby time
follicles folikula
house doma
cherry trešnja
mass masovno
atomic atomsko
variant varijanta
american američke
however doduše
established postavio
apply vrijede
internal unutrašnji
rennet sirište
contribution prilog
gear oprema
oxygen oksigen
numbers cifara
assumed pretpostavlja
half polovinom
architecture arhitekture
cheese sir
form oblikom
minerals minerali
mostly uglavnom
wife supruge
name wilhelm
sentence rečenica
hormones hormoni
is iznosi
their svome
plains ravnice
are su
rebellion pobune
works djelo
from od
surface površinski
flows tokovi
public javnosti
speech govoru
negotiations pregovora
business trgovačka
done obavlja
versions verziji
belong pripada
allows dozvoljava
whole cjelinu
idea ideju
these ove
capacities kapaciteti
arabian arapska
come dolaze
name abdullah
traffic prometa
received primio
established nastalo
sacred sveto
whose čijim
distinguished izdvaja
armistice primirje
restored obnovljena
rigidity tvrdoća
ancient antičkoj
should trebala
started krenuo
action radnje
immediate neposrednoj
fields polje
autonomic autonomna
special specijalnih
private privatnog
romania rumunije
republic republika
clerks trgovci
plants biljke
train željeznički
north sjeverni
go išao
high visok
and i
means znači
be postojati
differences razlike
you tebi
ladder ljestvicama
lately nedavno
female ženski
valley ravnica
decide odlučuju
application primjena
service služba
venus venere
one jednu
agreement ugovor
shareholder dioničar
tomb stećak
dissimilarities nejednakost
reached dostigao
adults odrasle
legions legije
narrowly usko
market varoš
helped pomogao
seen gledano
technique tehniku
participated učestvovala
theme tematski
roman rimskim
losing gube
roads cesta
municipality opštine
study obrazuje
means sredstava
west zapadnu
males mužjaci
rule vladaju
district distrikt
defeated poražen
sell prodaje
cultural kulturnih
link povezuju
end završetka
conquered osvojila
cellular ćelijski
senior stariji
across širom
trial suđeno
economy privredno
cultural kulturni
premises prostori
industry industriju
milk mlijeka
adverb prilozi
records zapisi
correspond odgovaraju
heart srcem
socrates sokrat
camps logori
vary variraju
separated odvojene
wolf vuku
emission izlučivanje
skyscrapers nebodera
honour čast
defines definiše
indo-european indoevropski
interpretation interpretaciji
accepted priznata
one jednim
accepts prihvata
chosen biraju
emergence nastajanje
sold prodat
caption natpis
london londona
determine utvrditi
government vlada
british britanske
face lice
archive arhiva
our našoj
fight borbi
ladders ljestvicama
measured izmjerena
surname bešlagić
country državi
immigrants useljenika
defined određenom
parts dijelovima
developed razvijeni
called nazivamo
fruits voće
river rijeka
organization organizaciji
way načinom
railway željeznička
career karijeru
drinks pića
sava savu
nests gnijezda
device uređajima
census popisu
communication komuniciranje
whose čiju
companies kompanije
smith kovač
after potom
compounds spojeva
allows dopušta
plead zalagao
pronouncing izgovara
smaller najmanji
opposing suprotnom
tribes plemena
champion prvaka
colleges fakulteta
one jedno
their njihove
socialistic socijalističkih
modern savremeno
palace dvoru
parliament parlament
dimensions dimenzija
attention pažnje
speed brzine
hears čuje
labor radna
proper pravilna
jewish jevrejska
mountains planinama
spain španije
older starijeg
gas plina
atmosphere atmosferu
travnik travniku
estimate procjenjuje
architecture arhitekturi
name goran
forced prisilio
parish župe
part dio
their njihovoj
teacher učitelj
light svjetlost
hungary ugarskom
browsers pretraživači
socialism socijalizma
host domaćina
fundamental temeljna
believed vjerovao
sports sporta
horse konj
military vojno
scriptures spisi
achievements ostvarenje
has ima
structure sastavu
successful uspješni
entity entiteta
happen ostvariti
factor faktor
need potrebu
fish ribe
month mjesecima
letter pisma
armistice primirja
german njemačkim
sudden naglog
left ostao
occur javljaju
distance udaljenosti
forming formirana
behavior ponašanje
disintegration raspad
papers listova
so dakle
product produkt
esthetics estetika
moving kretanju
item predmeta
conquered prešli
iran irana
sad sadu
answering odgovaraju
country zemlji
game igra
president predsjednika
circuits kola
segments segmentima
months mjesecima
terrain terenu
called nazvati
experts stručnjaka
musical muzičkim
economy ekonomije
series seriju
partisan partizan
our naša
promulgation proglašenje
sky nebeska
subjects nosioci
central centralnom
their njihovog
goitre strume
worth vrijedi
civilization civilizacije
declarations objave
led dovelo
alga alge
citizens građane
work djelo
drive ploču
available dostupne
henrique henriku
rock mramor
convertible kabriolet
motherboard matičnu
free slobodno
ram rama
rule vladavine
council vijeća
folk narodne
paradoxes paradoksi
siege opsada
geometry geometrija
ruled vladala
mass masovne
given dobio
seek tražiti
expressions izraza
flows tokove
water vodenih
directions pravci
egg jajca
local lokalne
regions regije
aluminium aluminija
sports sportova
considered smatralo
special posebnom
relations odnosima
properties posjede
period razdoblje
managed upravlja
retreat povlači
cam brijeg
leadership vrhu
authorities vlasti
northeast sjeveroistočne
governor guvernera
processing obrađuje
revealed otkrivena
achievements ostvarenja
dowry miraz
large veliko
separated odvojeni
error greška
sasha saša
alms zekat
sense smislu
other ostalo
full punu
argentine argentina
feces izmet
coasts obalama
youngster mladić
premier premijer
social socijalna
cultural kulturnu
exit izlaz
time vremena
wave talasne
organization organizacije
executed pogubljena
pages listovima
crucial ključne
ottoman osmanskog
guide vodič
one jedni
learned spoznaje
their njihova
place mjestu
theresa terezija
prussian pruska
composition sastava
should trebaju
russia rusiju
constitutional ustavnog
sights znamenitosti
noted uočio
player igrača
justice pravdu
get dobiti
opponent protivnički
communication komuniciranja
federal saveznih
soon uskoro
devoted posvećena
end krajem
military ratnim
fate sudbinu
her njenih
known poznatiji
main glavna
data datoteke
madrasah medresa
close blizini
monarch monarha
slaves robovi
explanation objašnjenje
deal ugovor
mildly blago
own sami
expanded proširio
muslims muslimana
estuary ušću
did učinili
globally cjelini
suggests predlaže
greek grci
instruction instrukcije
research istraživanjima
evening veće
communism komunizma
spain španiji
etc dr
assembly sabora
penalty kaznu
parish župi
robert roberta
oxygen vodonik
sunset sumrak
indonesia indonezija
province provincija
unknown nepoznati
local lokalna
discovered otkriven
beautiful lijepa
meat meso
molybdenum molibden
free besplatni
same istih
consolidated ujedinjeno
show prikazivanje
ring prsten
approved potvrđena
good dobru
zone pojasom
killed ubijeni
larger većoj
studies izlučuje
smoking pušenja
jewish židovi
japan japanu
most najveću
summer ljeta
rights pravima
final finale
yours tvoje
conducted izvršila
entry ulaznih
whole sav
row nizu
dimensions dimenzije
belgrade beogradu
recordings snimci
own svoga
speed brzina
infection infekcije
mention napomenuti
prishtina priština
free slobodnu
surroundings okoline
collection zbornik
settlement naselje
nowhere nigdje
consisted činili
israel izrael
serbia srbija
ireland irska
meant značilo
stop zaustavlja
causes uzroci
pulls vuče
vergil vergilije
elect biraju
vehicles vozila
egg jajce
program programskih
surrender predaje
published objavljuje
show prikazati
details detalja
acid kiseline
uncovered otkrivena
arab arapskih
massively masovno
quantity količinom
organization organizacija
citizens građani
hungary mađarske
calculate smatralo
application primjeni
mountain planini
formation postava
northern sjevernim
start kreću
birth porođaja
wanted htjeli
plateau visoravan
rule vladavini
on dalje
stable stalno
node tački
borders graniči
brings donosi
director direktor
siege opsade
tradition tradiciju
property svojstvo
religious vjerska
independent samostalnih
lost izgubila
independency nezavisnosti
classic klasične
words riječi
old star
digital digitalnih
computers računari
discovery otkrića
queen queena
springs proljeća
alga algi
ball loptom
defined određeno
determine utvrde
bronchi bronhiole
bronchioles bronhiole
minute minuta
belonged pripadalo
houses kućama
academy akademija
lilac jorgovan
chloroplasts hloroplasti
one jedne
prosthetic proteže
mysticism misticizam
like poput
sword mač
forbidden zabranjenog
discovered otkriveni
mines rudnika
slaves robove
singer pjevača
previously prevashodno
hoof kopito
southern južnim
ottoman osmanlijske
who tko
sinbad sindbad
greece grčke
good dobro
cosmic svemirska
younger mlađem
form obliku
senate senatu
duty dužnost
largest najvećim
september septembru
circumstances okolnostima
hundred sto
known poznatom
comedy komedije
origin nastanku
spread prostirala
sociology sociologije
counting popisa
executions izvođenja
land terra
death smrti
modern savremene
alone samu
artists umjetnici
casts staleža
triangle trougao
populated naselili
crankshafts radilice
temporal vremenskom
supported podržavala
german njemačkih
switzerland švicarska
enable omogućuju
advice kućni
neretva neretve
expressed izražene
held održao
another nekom
congress kongresa
enclosed obuhvatala
country država
votes glasova
gravitation gravitacije
local lokalno
social socijalne
order cilju
considered smatrali
united ujedinjenog
ovaries jajnika
northern sjeverna
drops otpada
middle sredini
epistle poslanica
characteristic karakteristična
male muških
mathematical matematički
expense trošak
project projekt
terrain tereni
lead dovode
remain ostale
more većeg
royal carske
strongly snažno
linearly linearno
held održan
house kuću
known poznatije
cult kult
discoveries otkrića
spends provodi
herzegovina hercegovinom
novellas novele
personal lični
sand pijesak
free slobodne
separated odvojeno
significant značajni
acorn ulkusne
fields sklopovi
pannonian panonske
reactions reakcijama
classic klasična
his vlastitu
ireland irske
insectivorous bubojedi
arab arapskim
northern sjevernih
operative operativnog
performance nastupima
characteristic karakteristične
mistake grešku
directions pravca
constitutes uspostavlja
indonesia indonezije
thomas thomasa
ruin propast
municipalities općine
writes piše
dunav dunava
call zovu
developed razvijeno
concerns tehnika
labor poslove
historical historijskom
mathematics matematici
art umjetnost
theater pozorišni
bans bana
rival protivnika
foul prekršaj
slavic slavenskih
olympic olimpiji
monarchy monarhija
present današnjeg
male muškarac
sideways bočne
branches grane
takes zauzima
military vojnu
rainfall oborina
ruled vladali
seventies sedamdesetih
scientific naučna
work radu
panel ploča
brings navodi
damages štete
fight borba
games igrama
reached dosegla
expressly izričito
method metod
ground kopnene
prayers molitve
territorial teritorijalne
archaeological arheološka
made učinili
religious vjerske
acid kiselina
show seriju
successful uspješna
eastern istočnog
rampart bedema
wake budi
song pjesmu
impacts uticajima
virtue vrline
prevent spreče
competitions natjecanja
kept održana
reign vladavina
factories tvornice
materials materijala
money novca
influence uticajem
marry udaje
plan planu
case slučaju
outside vanjskim
publishing izdavanja
points bodova
government vladi
important važna
neighboring okolnim
banja banjoj
oral usmena
valley nizina
judicial sudska
consisted činilo
did učinila
napoleon napoléon
evening večeri
vine loza
i ii
lost izgubili
next narednih
held održala
language jezički
effort napor
centers centrima
important značajan
birth roda
generally uglavnom
one jedna
prettiest najljepše
architecture arhitekturu
problems problemima
discovered otkrivene
equality jednakost
goods rob
money pare
similar slična
succeeded uspio
rectangular kvadratni
northern sjeverne
modern savremeni
superiority prevlast
ottoman osmanlijska
playing sviraju
greece grčka
cited navode
line pruge
others dugih
material materijalnih
reality stvarnost
party partije
skills vještine
academy akademije
stretches prostirala
panel ploče
adolph adolf
constants konstante
separate posebnom
results proizlazi
country države
classes klasu
flippers peraja
social socijalni
monarchy monarhije
warm topla
ukraine ukrajina
fruits voća
good dobri
convection konvekcija
saint sv
thing predmet
understand podrazumijevaju
charged optužen
member članica
keep držati
design dizajna
alias zvani
executed izvršen
verses stihova
gravity gravitacije
tourney turnir
spreading rasprostranjenost
march marta
worked radili
only jedina
free slobodni
gradually postepeno
their njihovi
run pobjeći
technique tehnika
locality lokalitetu
guinea gvineja
ally savezne
residents stanovnicima
predominance prevlast
attention pažnja
sava savi
middle sredine
germans nijemci
local lokalnim
mountains gorja
wall zid
closing zatvara
eastern istočnom
mostar mostara
miso mišo
border graniči
expressed izražena
direction pravca
