roamed ફર્યો
wwf ડબ્લ્યુડબ્લ્યુએફ
lakshadweep લક્ષદ્વીપ
keeping રાખતા
force જુસ્સો
left છોડી
violation આંદોલનની
12 ૧૨
begging માગે
center મથકો
excluded બાકાત
disturbance ખલેલ
religion ધર્મનો
arrival આવીને
used વાપરી
construct બાંધી
till સુધીના
slow ધીરે
settle જમાવ્યો
difference તરફના
sent મોકલી
root મૂળ
cleft વિભાજિત
welsh વેલ્શ
going જતું
musician સંગીતકાર
gathering ભેગા
volume શાસ્ત્રો
light પ્રકાશ
pandavas પાંડવોના
european યુરોપીયન
leaving છોડવાની
after પશ્ચાત
selected તારવેલા
advertisement જાહેરાતની
times ગણો
52 બાવન
glory મહિમા
back પાછુ
as જેમજેમ
main મુખ્ય
add લગાડી
had નાખ્યાં
bachchan બચ્ચનની
stone પથ્થર
standard કક્ષા
something કંઈક
chapters પ્રકરણો
third ૩જી
appropriate ઉચિત
team ટીમ
believe માની
islamic ઇસ્લામી
characteristic પાસુ
invisible અદ્રશ્ય
sun સૂર્યનું
etc વગેરેના
pair જોડી
arch મેહરાબ
regarding અંગેના
indicating દર્શાવતી
history ઇતિહાસ
1973 ૧૯૭૩
area ક્ષેત્રો
infection ચેપ
about વિષે
green લીલો
who જે
american અમેરિકીઓ
bashaw બાદશાહ
support ટેકા
may મે
energy એનર્જી
natural પ્રાકૃત
portion ભાગને
history હિસ્ટ્રી
microscopic સૂક્ષ્મ
examples ઉદાહરણો
persons વ્યક્તિઓ
round ગોળ
maharshi મહર્ષિ
advertisements જાહેરાતોને
defense બચાવ
available મળતી
achieve પ્રાપ્તિ
application અરજી
central મધ્ય
9 ઇ
study શિક્ષા
maximum ઉચ્ચતમ
diminished ક્ષીણ
weak ક્ષીણ
efficiency કૌશલ
pitt પિત્ત
japan જાપાન
stations સ્ટેશન્સ
unit યુનિટ
bhave ભાવે
noble નોબલ
shi શી
residents રહેવાસીઓ
shakespeare શેક્સપીયરે
at રાતે
future આગવી
image પ્રતિબિંબ
direct નિર્દેશ
honour મોભો
conflict સંઘર્ષ
model મોડલ
fuel ફ્યૂઅલ
chamunda ચામુંડા
cheating છેતરપિંડી
playing રમતોમાં
e.g. ઉદા
plans યોજનાનો
layer લેયર
maker બનાવનાર
term ટર્મ
bengal બેંગાલ
nations રાષ્ટ્રો
area ક્ષેત્રનો
additional મદદનીશ
love પ્રેમને
appoint નિમણૂંક
egypt ઈજીપ્તના
attendant અનુસરે
circular વર્તુળાકાર
started શરૂ
established જમાવ્યો
deduction બાદબાકી
fill ભરી
master વિદ્વાન
multipurpose બહુવિધ
counted ગણ્યા
flows વહેતા
added ઉમેરી
sitting બેઠા
traffic ટ્રાફિક
road રોડ
situation પરિસ્થિતિ
duplicate નકલો
voice ધ્વનિ
climb ચડી
past ભૂતકાળની
exception અપવાદ
attitude રૂપથી
indicate દર્શાવે
way વાટ
some દુર્લભ
roads માર્ગો
dark ડાર્ક
mole તલ
together ભેગા
related સંબંધીત
ceremony સમારંભ
play ખેલ
temple મંદીર
deliberation વિચારણા
credits શ્રેય
speed વેગ
kaal કાલ
recruitment નિમણૂંક
technology ટેક્નોલોજી
much ઘણો
head માથું
joining જોડતો
multiplex બહુવિધ
cricket ક્રિકેટમાં
nehru નહેરૂ
figure આકારમાં
motor મોટર
parts ટુકડા
90 ૯૦
dispute વિવાદ
us આપણા
arm હાથ
island ટાપુઓ
run ચાલી
pollinator પરાગરજ
earlier પહેલાંના
number ક્રમાંક
remarkable અદ્વિતીય
dry શુષ્ક
situation પરિસ્થિતી
now હવે
sample નમૂનો
morarji મોરારજી
kingdom શાસનના
back પાછા
office કાર્યાલય
geography ભૂસ્તરશાસ્ત્રીય
max મેક્સ
elect ચુંટાય
borders સીમાઓ
coach કોચ
district જિલ્લાનો
self જાતે
dismiss પદભ્રષ્ટ
table ટેબલ
constructed બંધાયો
gravity ગુરુત્વાકર્ષણ
ruler શાસક
electric વીજ
78 ૭૮
from પરથી
ocean સાગર
armed સશસ્ત્ર
done લિયા
saga ઋષિએ
see દર્શને
maulana મૌલાના
crust પોપડો
districts તાલુકાનાં
over ઉપરનો
near પાસેના
arrangement ગોઠવવામાં
emissions દહન
honour સન્માન
rural ગ્રામીણ
scholar વિદ્વાન
life જીવનની
gradually ધીમેધીમે
registered નોંધાયો
name મુકેશ
annexe પ્રશિષ્ટ
tent ઉતારો
goods સામાન
litany ભજન
testing પરીક્ષણ
results પરિમાણો
waning અસ્ત
prime પહલા
last લાસ્ટ
grand ભવ્ય
vallabhbhai વલ્લભભાઈ
fertilization પરાગાધાન
krishna કૃષ્ણા
mind મનની
gone ગયેલી
uncommon અસામાન્ય
additional વધારાના
axes કક્ષાએ
ancestor પૂર્વજો
set સેટ
language પરિભાષા
shia શિયા
wrong અયોગ્ય
karamchand કરમચંદ
creation કૃતિ
polling મતદાન
image બિરુદ
effects અસરને
affluent સંપન્ન
in में
cloth વસ્ત્ર
mohamad મુહંમદ
rathod રાઠોડ
party પક્ષના
fourteen ચૌદ
few ઓછી
represent દર્શાવી
earthquake ભુકંપ
uranus યુરેનસ
greater બૃહદ્
epics મહાકાવ્યો
prestige પ્રતિષ્ઠા
mixing મેળવીને
closeness નિકટતા
divided વિભાજિત
essential જરૂરી
golden સોનેરી
clear સ્પષ્ટ
looking જોતા
volcano જ્વાળામુખી
death નિર્વાણ
gas ગેસના
could શકતું
month માસ
religion ધર્મની
architectural વાસ્તુકળા
publicly જાહેરમાં
snake નાગ
mall મોલ
central માધ્યમો
here અહીંયા
agriculture કૃષિ
light પ્રકાશની
gathered એકત્રિત
time સમયના
watcher દર્શકો
named નામનું
include શામિલ
w ડબ્લ્યુ
connect જોડાઈ
first અગ્રેસર
milk દુધ
pratap પ્રતાપ
forests જંગલો
maldive માલદીવ
tell કહી
efforts મહેનત
changes ફેરફારો
have પાસે
jewish યહૂદી
chairmanship અધ્યક્ષપદ
held યોજાયેલ
care કાળજી
meaning પરિભાષા
rishi ઋષિ
lights રોશની
start પ્રારંભિક
revolution બળવા
land ધરતી
continue યથાવત
lust વાસના
way માર્ગે
disapprove ઇનકાર
authorized અધિકૃત
accompanying સાથેના
production ઉત્પાદનની
name ક્વાઇપર
victorious વિજયી
consumers વપરાશકર્તાઓ
original મુળ
vikram વિક્રમ
bridge બ્રિજ
province પ્રાન્ત
billions કરોડો
spoken બોલવામાં
yellow પીળા
cosmos બ્રહ્માંડને
complete પુરું
anything કાંઇ
literature મુદ્રિત
ganpati ગણેશ
related વિશે
insect જીવો
constitutional બંધારણીય
film ફિલ્મ
finger આંગળી
check ચેક
associated જોડાયેલી
box બોક્સ
additional વધારાની
17 ૧૭
employees કર્મચારીઓ
pakistan પાકિસ્તાને
district તાલુકો
a.d. સન
aji આજી
axis ધરી
yavana યવન
like તરીકેની
haphazard ફાંસીની
defense સંરક્ષણ
messages સંદેશાઓ
no ન
organizations સંસ્થાઓ
rights હક્કો
machinery મિશનરી
developed વિકસિત
missionaries મિશનરિઝ
suspect શંકા
occasion ઉત્સવ
iran ઇરાન
television ટેલિવિઝન
types પ્રકારના
sun સૂર્ય
ready સજ્જ
industry ઉદ્યોગ
senior વરિષ્ઠ
joining જોડતા
axis કક્ષા
photo તસ્વીર
alpha આલ્ફા
complexion વર્ણ
fatty મોટાં
expenditure ખર્ચ
ground મેદાનમાં
follower અનુયાયી
time સમયની
east ઈસ્ટ
scanner સ્કેનર
comet ધૂમકેતુના
mathematics ગાણિતિક
sign સાઈન
attack ચડાઈ
link કડીઓ
walk ચાલવાનું
tourists પ્રવાસીઓ
points મુદ્દાને
rice ચોખા
buddha બુદ્ધ
able સક્ષમ
their જેમનું
available પ્રાપ્ય
towards પ્રત્યે
inner અંદરના
accompanying સાથેની
around આસપાસના
girnar ગિરનાર
height ઊંચાઈએ
travel પ્રવાસ
partial ભાગની
conflict વિરોધાભાસ
broke નીકળ્યું
deductive તાર્કિક
world જગતને
production ઉત્પાદનના
knowledge જાણકારી
secondary ગૌણ
often વારંવાર
someone કોઈક
goddess માતાજી
file ફાઈલને
equilibrium સંતુલન
image પ્રતીક
september સપ્ટેમ્બર
conference પરિષદના
building બાંધકામ
pandav પાંડવ
creation નિર્માણ
volunteer સ્વયંસેવકો
talented પ્રતિભાસંપન્ન
gist તાત્પર્ય
instruction સૂચન
gopal ગોપાલ
taluka તાલુકાનું
today ટુડે
transportation પરિવહનની
president રાષ્ટ્રપ્રમુખ
return ફરીને
middle સેન્ટ્રલ
duties કાર્યને
formula ફોર્મ્યુલા
culture સંસ્કૃતિને
fair મેળા
shukla શુક્લ
missed ચૂકેલા
evidences પુરાવા
mahabharata મહાભારત
dialogue સંવાદ
delivered ભાષ્ય
spends વાપરે
submission રજૂઆત
odd દુર્લભ
anandpur આનંદપુર
yogi યોગી
fake કાલ્પનિક
critical વિવેચનાત્મક
volume જથ્થો
female માદા
suspicion શક
march માર્ચે
mother જાનકી
awe પ્રભાવને
work કર્મો
months મહિના
poster પોસ્ટર
found મળતો
rates દરો
virtues ગુણો
blessing આશીર્વાદ
mostly મોટાભાગનો
leading અગ્રેસર
keep રાખે
no ક્રમનું
own પોતાનાં
eyes આંખો
presumption અનુમાન
authentic પ્રમાણભૂત
character સ્વરૂપને
this આઠ
on પાછળ
aids એઇડ્ઝના
distributed વહેંચાયેલું
observation નિરિક્ષણ
guided કહેવાથી
tour પ્રવાસ
given અપાય
healthy તંદુરસ્ત
matching મેળાપ
1960 ૧૯૬૦માં
program કાર્યક્રમની
chat વાત
raw રો
survived બચી
interval સમયાંતરે
photos ફોટા
nearer પાસેના
convict ગુનેગાર
decorate ઓપ
works કાર્યો
both બેય
alone એકલા
positions હોદ્દા
near નજીકના
climb ચડે
regiment દળોને
feeling લાગણી
challenge આહવાન
officer સાહેબ
theft ચોરીથી
nearer નજીકનાં
prefer પસન્દ
star તારા
eye આઈ
sky આકાશ
thieving ચોરીથી
spread ફેલાયેલી
killed માર્યો
india ઈન્ડિયા
some કંઈક
fame ખ્યાતિ
payment ચૂકવણી
can સકતે
information માહિતીઓ
movies ફિલ્મે
decisions નિર્ણયો
writer લેખક
tourists યાત્રિકો
oral મૌખિક
firm પેઢી
innkeeper ધર્મશાળા
began લાગ્યાં
star તારાની
very ઘણા
head વડું
without વગરના
dynasty કુળના
ostracism બહિષ્કાર
instrument સાધન
country દેશ
capturing મેળવ્યા
operate ચલાવવા
reputation યશ
hindus હિન્દુઓ
import આયાત
derived મળેલી
ecological પર્યાવરણીય
one એકજ
they તેઓએ
counting ગણતરીની
moving ચલિત
your યોર
mail મેલ
worship પુજા
turns વળે
available મોજૂદ
calcutta કલકત્તા
did કર્યાં
economical વાણિજ્યિક
globe ગ્લોબ
pronunciation ઉચ્ચારણ
29 ૨૯
marine દરિયાના
same એકસમાન
doing કરવાથી
made બનાવ્યું
agra આગ્રા
night રાતના
expenses ખર્ચ
job નોકરી
change બદલાવો
before પહેલાં
diversity વિવિધતાને
follow પાલન
states સ્ટેટ્સે
1994 ૧૯૯૪
constructive રચનાત્મક
area ક્ષેત્રની
family પરિવાર
chopra ચોપરા
religion ધર્મના
civil સિવિલ
june જુન
geometrical ભૌમિતિક
interval વિરામ
constructed ઘડી
lower નિમ્ન
help સહાયતા
present પ્રસ્તુત
written લખ્યું
seated બિરાજમાન
instability અસ્થિરતા
believe માનવું
comment ટીપ્પણી
shakespeare શેક્સપીયરને
given દીધુ
sarathi સારથિ
movement ચળવળમાં
provides પૂરુ
135 ૧૩૫
second દ્વિતિય
relief રાહત
meet મળવાની
post હોદ્દા
agitation આંદોલન
regions વિસ્તારો
organization સંગઠનો
apparently સ્પષ્ટપણે
name વાલ્મિકી
earlier પહલાં
transport પરિવહન
starts શરૂઆતનું
done કર્યું
known ઓળખાયો
job કાર્ય
time કાળની
kashmir કાશ્મિર
indexing અનુક્રમણિકા
turn વળાંક
declamation ભાષણો
corporations કોર્પોરેશનો
police પોલિસ
substance તત્વો
summer ઉનાળો
regarding અંગેનો
lower નીચેના
duplicate નકલી
hemisphere ગોળાર્ધમાં
shakespeare શેક્સપીયર
racism જાતિવાદ
switch સ્વીચ
body બોડી
photo તસવીર
marshal માર્શલ
informed જણાવ્યું
found જણાયું
accepts સ્વીકારે
vichy વિચી
feelings ભાવના
d પૂર્ણ
youth યુવા
extensive વ્યાપકપણે
standard ગુણવત્તા
developed વિકસાવી
corporation કોર્પોરેશન
governance પ્રશાસન
's નું
book પુસ્તક
green લીલા
combined સંયુકત
anything કશું
previously અગાઉ
movement હિલચાલ
done કિયા
quoted દર્શાવેલા
et એટ
secondly બીજું
parents માતાપિતા
size કદ
independent સ્ત્રોત
thin પાતળી
rich સમૃદ્ધ
big મોટું
nearby આજુબાજુમાં
70 ૭૦
of તેમાંની
bed પટ
life જાન
generally સામાન્યતઃ
old જૂનું
happiness ખુશી
happens શકે
action આઘાત
under હેઠળના
devotional ભક્તિના
germans જર્મનો
witness સાક્ષી
model મોડેલોમાં
square ચો
inspired પ્રેરિત
understanding ઓળખવાની
solar સોલાર
chandragupta ચંદ્રગુપ્ત
started આરંભી
differences વિવિધતા
asana આસન
from પાસેથી
cooperation સહયોગ
got પામેલ
flourish અલંકાર
noticed નોંધાયેલા
incoming આવનારા
weather પર્યાવરણ
alone એકલો
inbetween દરમિયાન
developed બનેલા
basic પાયાના
made બનાવીને
lore વિદ્યા
model મૉડલ
progress વિકાસ
tired થાકી
part ભાગને
living વસે
vedanta ઉપનિષદ
move ચાલ
gone ગયેલ
grammar વ્યાકરણ
economy અર્થવ્યવસ્થા
sitting બેઠો
types પ્રકારમાં
rank ક્રમનું
program કાર્યક્રમ
remained ઘટે
hang ફાંસીની
their તેમનાં
work વર્ક
develop પ્રવર્તે
animals પશુઓ
memorial સ્મારક
surname પારેખ
meaning તાત્પર્ય
s વિડીઓ
jowar જુવાર
times ટાઇમ્સ
banyan વડ
understands સમજે
beyond પાર
alone એકલે
cultivation વાવેતર
part ભાગરૂપે
bagdad બગદાદ
morals નીતિઓ
keeps રાખે
accounts ખાતા
contemporary સમકાલીન
be હોઇ
scholars વિદ્વાનોએ
exchange આદાનપ્રદાન
blogging બ્લોગિંગ
native દેશી
yours તારી
strait સીધી
windows વિન્ડોઝ
handling કારભાર
fast ઝડપે
tip છેડા
communal કોમી
batsman બેટ્સમેન
god ઈશ્વર
royal રોયલ
changes બદલાય
cyclone વંટોળ
wrote લખતા
do કરશે
go ગએ
connect લાગેલા
forgeries બનાવટી
associate વણાયેલી
money પૈસા
reach પહોંચાડવામાં
mate સાથીઓ
come કમ
effectiveness પ્રભાવને
doing ચલાવી
level લેવલ
setting ગોઠવવામાં
same જેટલી
co-operation સહયોગ
surname ખાન
mind મન
ber બેર
chaudhary ચૌધરી
thing વસ્તુઓ
theme થીમ
jin જિન
group સમુદાય
instrument સાધનો
district જિલ્લાના
walls દીવાલો
duty કર્મ
h એચ
bodily શરીરનો
oppression દમન
regulations કાયદાના
basic પાયાની
warming વોર્મિંગની
do કરું
integration એકીકરણ
cosmos બ્રહ્માંડની
come આવેલો
communications કોમ્યુનિકેશન્સ
children સત્તાનો
worship ઉપાસના
matter પદાર્થોને
karnataka કર્ણાટક
make સમજાવ્યા
hitler હિટલરે
accordingly ક્રમશઃ
tourist યાત્રિકોને
portal પોર્ટલ
connected જોડાયેલું
kannada કન્નડ
as તરીકેનું
celebrated ઉજવાય
estate વાડી
media મિડીયા
fast ઝડપથી
words શબ્દોનું
possible શકાયું
book ગ્રંથ
they તેવા
try પ્રયાગ
power શક્તિના
teaching શિક્ષણ
information માહિતીને
greetings અભિનંદન
dates તારીખો
occupy રોકે
keep રાખ્યા
unification એકીકરણ
transmission ટ્રાન્સમિશન
intense ગહન
six છ
him તમણે
teni તેણીની
grill જાળી
top ટોચના
runner ચલાવતા
computer કમ્પ્યૂટર
dot ડોટ
weather ઋતુમાં
chanakya ચાણક્ય
mango કેરી
metal ધાતુ
world જગ
source સ્રોતો
puts મૂકે
collected સંકલિત
ultimate ઉપનિષદ
noted નોંધણી
volcanic જ્વાળામુખીની
player ખેલાડી
of થતો
study અભ્યાસમાં
sudden અચાનક
caroll કેરોલ
period ગાળો
greece ગ્રીસ
it એવું
close બંધ
code મંત્ર
woman કન્યાને
law કાયદાનો
pulls ખેંચે
organisation તંત્ર
art કલા
less ઓછા
find શોધવા
stayed રહેલ
name અર્જુનને
different ભેદ
amba અંબા
logical તાર્કિક
containing વાળા
various વિવધ
amreli અમરેલી
aristotle એરિસ્ટોટલ
ideals આદર્શો
humanity માનવતા
wanted જોઇએ
area વિસ્તારમાં
event સભાના
short-lived અલ્પજીવી
ancient પૌરાણિક
variety વૈવિધ્ય
business ઉદ્યોગ
talukas તાલુકાઓ
could હોઈ
dosage માત્રા
famous પ્રસિદ્ધિ
music સંગીતની
behaviour બોલચાલમાં
20th વીસમી
working કાર્યરત
included સમાવી
mass દળ
was થે
note નોંધ્યું
consonants વ્યંજન
happy ખુશ
living વસતા
periodic આવર્ત
instrument માધ્યમની
happened गया
lack અતિક્રમણ
brought લાવી
existing મોજૂદ
specimens નમૂના
here અહિં
very બહુ
intentions ઉદ્દેશો
top ટોચની
reef ખડક
point મુદ્દાને
ethics આદર્શો
description નિરૂપણ
swami સ્વામીએ
invasions આક્રમણો
injured ઘવાયા
before પાછલા
1959 ૧૯૫૯
shelter શરણ
arya આર્ય
excellence ગુણવત્તા
explained વર્ણવી
happenings ઘટનાઓ
exact પાકો
near પાસે
page પૃષ્ઠ
anger ક્રોધ
environment વાતાવરણ
modern અર્વાચીન
jolt દુઃખ
difficult કઠિન
e-mail ઇમેલ
disappeared લુપ્ત
1937 ૧૯૩૭
meera મીરાં
emblematic સાંકેતિક
surrender શરણાગતિ
andhra આંધ્ર
others બીજા
percentage ટકાવારી
decided નિશ્ચિત
nation દેશને
partner સહભાગી
car મોટર
signature સિગ્નેચર
dwelling નિવાસ
goan ગોઆન
complexion સ્વરુપમાં
foreign વિદેશ
lock તાળું
number ૧૯૩૭
help મદદ
discover શોધો
holy પવિત્ર
less ઓછી
her તેણીની
home ઘેર
describes વર્ણવે
invention સંશોધન
discussions ચર્ચાઓ
place સ્થળનું
stories વાતો
lac લાખથી
december ડિસેમ્બર
co-operation સહકાર
assessment એસેસમેન્ટ
less ઓછુ
co સહ
at પશ્ચિમે
rate દર
gone ગયેલા
fourteen ૧૪
colourful રંગબેરંગી
seated આવેલી
get હાસિલ
teacher શિક્ષક
pearl મોતી
traveling ફરવાનું
resided વસેલા
japanese જાપાની
decision નિર્ણયો
current પ્રવર્તમાન
phone ફોન
roads રસ્તા
data ડાટા
debility નબળાઇ
developed વિકસ્યા
gossip નિંદા
mercury બુધ
student વિદ્યાર્થી
lecture પ્રવચન
cases કિસ્સાઓમાં
attached જોડતો
descends ઉતરે
commonly સામાન્યપણે
institution સંસ્થા
youthful યુવા
presents ભેટો
boys કુમારો
gives આપતું
negated નકારી
france ફ્રાંસ
mughal મુઘલ
happen થવા
got મેળવ્યા
wide વાઈડ
senate સેનેટ
oh ઓહ
positive સકારાત્મક
do કરતે
human માનવીય
eligible લાયક
sun પુત્રને
navy દરિયાઇ
repeatedly વારંવાર
pass પાસ
solutions ઉપાયો
problem સમસ્યાઓ
adoration ભક્તિની
market બજાર
useful ઉપયોગી
unsuccessful નિષ્ફળ
scientific વિજ્ઞાન
radiation કિરણોત્સર્ગ
forces દળોને
advantages લાભો
them તેઓના
poet કવિની
territory પ્રદેશ
yours તમારી
playing રમવા
sky સ્કાય
warming વોર્મિંગને
seen દેખાતું
sitting બેસણા
retire સંન્યાસ
broadly વ્યાપકપણે
less ઓછો
empty અભાવ
done બનાવ્યું
static સ્થિર
saves બચાવે
war યુદ્ધ
sticky ચીકણો
again પાછા
consider ગણાય
showed દર્શાવ્યું
farmer ખેડૂત
saved સલામત
world દુનિયા
government હુકુમત
inflammable જ્વલંત
public પ્રજાને
extensive સઘન
boat વહાણ
festival ફેસ્ટિવલ
then તો
informed જણાવવામાં
claver ચતુર
achieved પામેલ
medieval મધ્યકાલિન
adjusted યુક્ત
fruits ફળો
momentum ગતિ
mum મૌન
united એકીકૃત
guilty ગુનેગાર
wide બહોળા
between વચ્ચેનું
of શોધમાં
line રેખા
noted નોંધાયેલ
satellite ઉપગ્રહો
the ધ
cash કેશ
rock ખડકો
own પોતાના
sindhu સિંધુ
programme પ્રોગ્રામને
england ઇંગ્લેંડ
army લશ્કર
rishi સાધુ
7th સાતમી
russia રૂસ
level સ્તરને
played રમાયેલી
similarity મળતા
from ખાતેથી
deeds કર્મો
practical વ્યવહારુ
country દેશને
dominance પ્રભુત્વને
differentiation વૈવિધ્યતા
brian બ્રાયન
canal કેનાલ
certainly અલબત્ત
made બન્યાં
ganges ગંગાને
plan યોજનાનો
edge ધાર
facilities સુવિધાઓ
across પથરાયેલી
sahajanand સહજાનંદ
completely પૂરી
recharge રિચાર્ડ
staircase દાદરા
foundation સંસ્થાઓએ
mason કડીઓ
god દેવતા
parents વાલી
ten ૧૦
pacific પ્રશાંત
direction ચાલ્યું
conversion રૂપાંતર
india ઇન્ડિયા
ghanshyam ઘનશ્યામ
played ભજવે
accepted અંગીકાર
electricity વીજળી
been રહ્યું
hundred ૧૦૦
affairs કારોબાર
of જૂથના
chauhan ચૌહાણ
incident ઘટના
yours તમારા
leader નાયક
adjoining જોડતો
prevented અટકાવ્યા
programme કાર્યક્રમની
demand માંગે
machine યંત્ર
resistant પ્રતિકાત્મક
later જતા
daring હિંમત
fees શુલ્ક
traditional પરંપરાગત
verb ક્રિયાપદો
constructed બંધાવ્યું
capable નિપુણ
bengal બંગાળ
temple મંદીરની
colorful રંગીન
decades દાયકાઓ
team દળોને
procedure કાર્યવાહી
before પુર્વે
some આટલી
color કલર
prepared તૈયાર
own પોતાની
asia એશિયાઇ
stress તણાવ
a.d. સ
built નિર્મિત
concise સંક્ષિપ્ત
maybe લાગતું
located સ્થીત
presumption ધારણા
done થયુ
region પ્રાદેશિક
sent મોકલેલા
seventy ૭૦
mumbai મુંબઇ
stayed વસી
full અનંત
finding શોધ
shed ખરી
tripathi ત્રિપાઠી
nizam નિઝામ
lodging ઉતારો
there ત્યા
condition અવસ્થામાં
wide બહોળી
daughters દીકરીઓ
rai રાય
king સમ્રાટ
beauty રૂપમાં
books ગ્રંથોમાં
nearer નજીકના
author લેખક
1944 ૧૯૪૪
usa યુએસએ
relatively સાપેક્ષ
picture ચિત્ર
kidnap અપહરણ
again પાછુ
proclaim એલાન
regional પ્રદેશની
crackers ફટાકડા
iranian પારસી
full પૂરો
gradually ધીરેધીરે
junagarh જુનાગઢની
name અંબાલિકા
literacy સાક્ષરતા
vehicles વાહનો
armour કવચ
mahant મહંતો
science શાસ્ત્રો
dull શુષ્ક
prince યુવરાજ
pylon તોરણ
fall ધોધ
reminder યાદ
substances ચીજો
planets ગ્રહોને
see જોઇ
form સ્વરૂપમાં
spreading વિસર્જન
fight લડવું
nineteenth ઓગણીસમી
doing કરું
western પશ્ચિમી
existence અસ્તિત્વ
land ઝમીન
engrossed લીન
reaction પ્રક્રિયાની
left બાકીની
vedic વૈદિક
parts ભાગોનો
mannerism સદાચાર
communication પ્રત્યાયન
building ઈમારત
where જ્યા
light પ્રકાશનો
residual બાકીની
from દ્વારા
dangerous ભયાનક
cession સોંપણી
cataract ધોધ
castle મહાલ
conversation સંવાદ
forest જંગલની
and અને
dandi દાંડી
saw દેખા
viewer દર્શક
http એચટીટીપી
crop પાક
attitude વલણ
construction નિર્માણ
by પાડીને
joined જોડાયેલ
tourism પ્રવાસન
impression સંસ્કાર
famous નામાંકિત
inseparable અભિન્ન
great ગ્રેટ
reached પહોંચ્યો
fighters લડવૈયા
pickle અથાણું
pollution પ્રદુષણ
she તેણી
constructed બંધાયેલ
less ઓછું
concerned લાગતું
rotate ફરે
with સાથેનો
release છોડવા
large મોટુ
we અમારી
ellen એલેન
that કે
sphere ક્ષેત્રને
doing કરશે
eating ખાવામાં
regional પ્રદેશના
regions પ્રદેશો
future ભવિષ્ય
england ઈંગ્લેન્ડ
taken લેવાયા
lake સરોવર
beads માળા
late દસકાના
north ઉતર
god ગોડ
map નકશા
seats બેસણા
heard સાંભળી
gaikwad ગાયકવાડ
organised આયોજીત
film ફિલ્મે
after પછીનો
collapse પતન
ash રાખ
rock પત્થર
essence હાર્દ
public જાહેર
tsunami ત્સુનામી
large મોટા
taking લઇને
sound ધ્વનિ
grace કૃપા
their એના
universe બ્રહ્માંડો
so તેવી
communist સામ્યવાદી
tamilnadu તમિલનાડુ
regional પ્રદેશોના
received મેળવેલી
starts શરૃ
makes કરાવે
trail પ્રયોગ
king મહારાજ
issue જારી
outcome પેદાશ
election ચૂંટણી
complaint ફરિયાદ
material પદાર્થોની
change બદલી
bose બોઝ
supporter સમર્થક
greatest વરિષ્ઠ
index અનુક્રમણિકા
love પ્રણય
skilled કૌશલ્ય
ebb ઓટ
secured સલામત
crores કરોડો
again પાછી
vegetarian શાકાહારી
transport વહન
depend આધીન
internet ઈન્ટરનેટે
movement હેરફેર
product બનાવટ
ethnic એથનિક
mastery કુશળતા
provided પાડવાની
draft ડ્રાફ્ટ
of જાપાનની
poet કવિ
nine ૦૯
by થી
tour પ્રવાસના
momentum ગતિએ
proportion ગુણોત્તર
airport વિમાનમથક
soft હળવા
hidden ગુપ્ત
type જાતને
indirectly આડકતરી
light હલકી
gifts ભેટો
commentary ભાષ્ય
best ઉત્તમ
facility સુવિધાઓ
changes ફેરફારની
wave મોજાં
distributed વહેંચવામાં
president પ્રમુખ
volcano જવાળામુખી
characteristics લક્ષણો
tower ટાવરનું
muni મુનિ
workmanship કારીગરી
issue મુદ્દો
transfer રૂપાંતરણ
child સંતાન
sales વેચાણ
enter પ્રવેશી
period ગાળાના
appeal દલીલો
chance જોખમો
marble આરસની
describe વર્ણવવામાં
media માધ્યમો
diamond હીરો
variety જાત
put મૂકવા
khanpur ખાનપુર
gandhinagar ગાંધીનગર
child બાલ
keen તેજ
pure શુદ્ધ
satellite સેટેલાઇટ
own પોતાને
sports સ્પોર્ટ્સ
kheda ખેડા
breeding સંવર્ધન
rectangle લંબચોરસ
happy પ્રસન્ન
etymology વ્યુત્પત્તિ
islamic ઈસ્લામિક
cross પાર
etc. વગેરેમાં
celibate બ્રહ્મચારી
utilised વપરાય
hight ઉંચાઇ
museum મ્યુઝિયમ
entry પ્રવેશ
understanding ખ્યાલ
sharp તેજ
heads માથા
golden સોના
time સમયને
ample સારો
credit જમા
unesco યુનેસ્કો
number ૩૬૬
actress અભિનેત્રી
died મરી
1945 ૧૯૪૫
task ટાસ્ક
home ગૃહ
commendation વખાણ
sultan સુલતાન
census વસ્તીગણતરી
gone ગયાં
practical પ્રયોગ
mutton માંસ
period અવધિ
bad ખરાબ
surrender વશ
forms રૂપો
take લેવાની
popular જાણીતા
tries પ્રયાસો
physical સ્થૂળ
dome ઘુમ્મટ
noticeable ઉલ્લેખનીય
limited લિ
wwe ડબ્લ્યુડબ્લ્યુઇ
procedure પદ્ધતિ
capacity ક્ષમતાને
father બાપા
follower અનુગામી
di દી
actress અભિનેત્રીનો
them તેઓને
responsibilities જવાબદારીઓ
river નદી
recognised ઓળખાતો
flown વહી
playing ભજવી
team દળોની
pollen પરાગ
steam વરાળ
heat ગરમીની
maya માયા
trust વિશ્વાસ
potter પોટરના
fill ભરાય
say કહો
coastal દરિયાકાંઠાના
filled ભર્યા
power સત્તાનો
persian ફ઼ારસ
movement ભ્રમણ
western પાશ્ચાત્ય
two બે
stood ઊભું
a.d. ઈસવીસન
ganga ગંગા
now હાલનું
being હોવાને
huge મોટુ
mars મંગળ
produce ઉત્પન્ન
1852 ૧૮૬૨
her તેની
after બાદની
slowly ધીમેધીમે
reached પહોંચ્યા
