take nemen
costs kost
parting afscheid
assault offensief
dissolve lossen
smallest kleinste
crimes misdaden
makes maakt
early vroeg
hanged opgehangen
catholics katholieken
traces sporen
accompany begeleid
aldermen schepenen
transfer overgebracht
square plein
maybe misschien
nine negen
highest hoogste
equations vergelijkingen
visit bezoeken
broad brede
branch tak
organized ingericht
cathedral dom
inflammation infectie
adults volwassen
jose josé
divisions verdeeldheid
placed gelegd
his zijn
come kom
peak spits
lift steun
gash jaap
slight lichte
condition toestand
material materieel
rules heerst
forest bosch
unite verenigen
factually werkelijk
universal universele
swiss zwitserse
discovery openbaring
conversely omgekeerd
mutation mutatie
minors minderjarigen
writer schrijfster
chiefly voornamelijk
conclusion conclusie
reign bewind
established gevestigde
executed geëxecuteerd
avoid vermijden
argument ruzie
trend tendens
increase stijgende
was bevond
attempt poging
participant deelnemer
league liga
former toenmalige
bird vogel
goals doelen
small gering
expression uiting
center middelpunt
gland klier
covered vallen
test testen
condemned veroordeeld
possible eventuele
it t
cost koste
ring ringen
beats versloeg
suggested gesuggereerd
known bekend
thought gedacht
soon spoedig
tubers knollen
peoples volken
infection besmetting
llamas lamas
sacred heilig
completely helemaal
succeeded slaagden
collaboration samenwerkingsverband
substitute vervanging
respiration ademhaling
unprecedented eerder
stable stal
meaning betekenissen
angry kwade
yielded leverden
promotes bevordert
heavy zwaar
doings bezigheden
tea thee
singer zangeres
findings vondsten
control regie
second seconden
mainly voornamelijk
and én
differs wijkt
add toevoegen
sheriff schepenen
linguistics letteren
area buurt
chapter hoofdstuk
complex ingewikkelde
look kijk
expanded breidde
tsar tsaar
aristocracy adel
investigation onderzoek
weeks weken
message bericht
such dergelijke
distinguishable herkenbare
name job
cover bedekken
latest laatste
creation scheppen
physical fysische
lift heffen
discussion onenigheid
planned geplande
succession opvolging
psychological psychisch
customer klant
even nog
enamel email
orde order
authoritarian autoritaire
both beiden
chronic chronische
size omvang
spider spin
mentioned noemde
rests resten
categorized ingedeeld
surplus overschot
worry zorgen
holy heilige
dominate domineren
hits treft
busy bezig
thai thaise
ended eindigde
strange vreemde
archeological archeologische
honour eer
butterflies vlinders
latin latijn
collected verzamelde
and en
stress spanning
greek grieks
role capaciteit
led geleid
firm firma
surroundings omgeving
robby robbie
positions stellingen
halfway halverwege
producers fabrikanten
takes neemt
expects verwacht
dependence afhankelijkheid
deposit depot
etic ethisch
provided leverden
prehistory prehistorie
diamond diamanten
bauxite bauxiet
false valse
contributed droeg
yield opbrengst
zoo dierentuin
huge enorme
seattle venlo
labeled bestempeld
act daad
gothic gotiek
crazy gek
flourishing bloeiende
gambler spelers
play spelen
centuries eeuwen
arrival komst
profile profiel
dying sterven
undergone ondergaan
conversion bekering
song lied
fur vacht
cards kaarten
threads draden
systematic systematische
naked naakt
ordinary gewone
make maken
severe ernstige
distinct uitgesproken
goods goederen
below onderstaande
establishes zetelt
faces gezichten
discussion overleg
concrete betonnen
contestant deelnemer
opens opent
supply voorraad
balance saldo
petition verzoek
seems lijkt
repeat herhaling
environmental milieu
sanctify heiligen
counted gold
wishes wenst
strategic strategisch
possibilities mogelijkheden
context kader
ruled geregeerd
insurgents opstandelingen
bond band
banishment ballingschap
started aanvang
scheduled geplande
devise bedenken
quote aangehaald
development uitwerking
correct goed
married getrouwd
sizes formaten
early eerdere
representation volksvertegenwoordiging
spirits geesten
gifted geschonken
term begrip
fits klopt
market markten
belonged hoorde
sustain doorstaan
housed gehuisvest
discharged beëindigd
academic academische
excluded uitgesloten
scored gescoord
distinctive kenmerkende
part dele
little weinig
branches takken
lead hoofdrol
suddenly opeens
cotton katoen
handle hanteren
undergo ondergaan
people volkeren
immediately meteen
including omvat
registered schreven
offer aanbieden
re her
pod vormde
immigrants immigranten
shared gemeenschappelijke
printing boekdrukkunst
stay blijven
evolutionary evolutionaire
outdated verouderde
true ware
statistic statistische
monopoly monopolie
jaren years
perceived beschouwden
thee gij
boy jongen
unborn ongeboren
fireworks vuurwerk
around rondom
ascension hemelvaart
obtained behaalde
emotionally emotioneel
lamps lampen
sample voorbeelden
heartbeat hartslag
prey prooidieren
near nabijgelegen
add voegen
stratification lagen
perform uitvoeren
jewelery sieraden
competent bevoegd
symptom verschijnselen
balance balans
structure structuur
lithuania litouwen
dismissed ontslagen
ear oor
must moeten
publications publicaties
educated opgeleid
compartment vak
residues resten
origin oorsprong
done gedaan
just puur
attacker aanvaller
liquids vloeistof
fascist fascistische
references verwijzingen
victory overwinning
communistic communistisch
the de
surname achternaam
successful succesvolle
interior binnenland
hot warme
riots rellen
confuse verwarren
hours uren
grey grijze
warming opwarming
demanded eiste
fleeing vluchten
well wél
result uitkomst
individual individueel
conviction veroordeling
harassment moeite
kinship verwantschap
east oosten
realism realisme
districts gewesten
well wel
local plaatselijk
increases toeneemt
cycling fietsen
maggot larve
appointment benoeming
made haalden
finnish finse
front voorgrond
some sommigen
founder stichter
breastmilk borstvoeding
mortgages hypotheken
did wisten
moravia moravië
surely immers
socialist socialistisch
released vrijgelaten
plays speelt
guarantee borg
wasps wespen
eggs eieren
scientists geleerden
charged geladen
may mogen
viewer kijker
morale moreel
conditions voorwaarden
technology technologie
emphasis nadruk
looked gekeken
exchange ruil
surpassed voorbij
massive massale
myth mythe
taxes belastingen
heet hot
which waarmee
off stoten
also tevens
taxonomy taxonomie
races rassen
required benodigde
titian titiaan
result uitslag
scores scoort
finance financiering
valuation waardering
documents geschriften
cause veroorzaken
structure bouwwerk
particular bijzonder
archangel beschermheilige
would zou
antennae antennes
proposers voorstanders
including inclusief
easterly oosterse
bruges brusselse
conversation gesprek
finance financiën
blend mengen
stayed bleven
threesome trio
berliner berlijnse
turtles schildpadden
scholarships beurzen
siege belegering
nuts noten
marocco marokko
remaining blijvende
direct richtten
threatened bedreigd
avoided vermeden
easy gemakkelijk
average gemiddelde
command commando
one degene
collapses stort
sovereignty soevereiniteit
trains treinen
psychologically psychisch
com nl
political staatkundig
sufficient tamelijk
foreigners allochtonen
comfort steun
or of
collect verzamelen
architects architecten
yield opleveren
grandfather grootvader
size formaat
survived overleefde
hermione hermelien
crashes stort
mr. mr
played speelde
alongside langs
nearly vrijwel
accompanied begeleid
move zet
filmography filmografie
genetic genetisch
behaviour gedrag
obscure onduidelijk
sections stromingen
maximilian maximiliaan
reverse omgekeerde
against tegen
did deden
appointment aanstelling
aim richten
shown afgebeeld
bosnia bosnië
welcome welkom
traditional traditioneel
prosecuted vervolgd
unemployment werkloosheid
apparently schijnbaar
saw zagen
indirectly indirecte
long geruime
vehicles voertuigen
supervision toezicht
discussed afgesproken
tournaments toernooien
distinction onderscheid
earlier eerdere
published publiceerde
comparable vergelijkbaar
discovery vondst
maximum maximale
dementia dementie
instruction richtlijn
fruit vrucht
concede gelaten
jordania jordanië
corporal korporaal
free gratis
cool coole
so zodanig
traverse afleggen
highlights hoogtepunten
disorders stoornissen
interior interieur
diverges wijkt
faith geloof
favourable gunstige
relationships relaties
graveyard kerkhof
genealogy stamboom
extended uitgestrekte
favour gunste
library bibliotheek
fame bekendheid
about over
agree overeenkomt
ceremony uitvaart
whereby waarbij
improved verbeterde
occupied bezette
whose wier
institute instituut
twos tweeën
vicar dominee
hunting jacht
politician politicus
windows ramen
releases vrij
labor arbeiders
resides rust
welfare welzijn
reign regeerperiode
green groene
millimeter mm
admitted opgevat
aircraft vliegtuigen
validity werkelijkheid
manual handboek
hall zaal
that datgene
crust korst
increase stijging
lacewings netvleugeligen
overcome overwinnen
demanded eisten
encyclopedia encyclopedie
autumn herfst
reverses keert
last duren
usa vs
county graafschap
appearance uitstraling
edit bewerkt
heavier zwaarder
allow rekenen
irreconcilable vrede
cheerful opgewekt
let lieten
population bevolkingsdichtheid
downwards beneden
initiative initiatief
said sprak
enlightened verlicht
episode aflevering
came kwamen
garnished afgezet
critically kritisch
rumour gerucht
establishment formatie
vulcano vulkaan
attracted aangetrokken
lose verlies
actual feitelijke
tournament toernooi
abstract abstracte
older ouder
liberals liberalen
debuted debuteerde
want wil
position opstelling
advert reclame
indicate duiden
senses zintuigen
barret barrett
either hetzij
professor hoogleraar
including oa
lessen afgenomen
consequently bijgevolg
factors kenmerken
mutually onderling
estimates schat
minimal minimaal
known bekende
decreases afneemt
parallel parallelle
choice keus
hour uur
tenth tiende
neck nek
fall daling
airplanes vliegtuigen
asked verzocht
young jong
brought gebracht
high hoge
increased verhoogde
add toegevoegd
prohibition verbod
stipulation voorwaarden
master meester
dolphins dolfijnen
example bijv
throttle gaspedaal
life leven
values waarden
suddenly ineens
escaped ontsnapte
rate tarief
view opvatting
see zie
position betrekkingen
proteins eiwitten
still nog
duties plichten
were lieten
counselor adviseur
exited bestonden
rewards lonen
ever ooit
though alhoewel
monk monnik
described omschreven
focus concentreren
few weinig
unmistakable herkenbare
brought brachten
useful bruikbaar
shark haai
capitalist kapitalistische
moved verplaatst
fatal fatale
synonyms synoniemen
hierarchy hiërarchie
they ze
cause daar
arid dor
bind binden
corn maïs
narrow nauwe
biblical bijbelse
strive beoogde
retained bijgehouden
hunt jagen
liberated bevrijd
files documenten
etcetera enzovoort
garbage afval
ratio verhouding
channel zender
agreements verdragen
monastic monnik
best liefst
amount dosis
english engelsen
military militaire
make trof
variations variëteiten
was vond
excepted uitgezonderd
class klas
legal juridisch
statements verklaringen
armistice wapenstilstand
benefit nut
judgment uitspraak
increased opgetrokken
public publieke
communist communistisch
czech tsjechische
as ter
hills hellingen
materials stoffen
furthermore verder
breath adem
reason rede
reign keizerschap
earthenware aardewerk
govern besturen
notes noten
heal helen
shortened afgekort
pupil leerling
sura soera
same hetzelfde
lifetime levensduur
measurements afmetingen
viewed bekeken
exerted beoefend
engagements afspraken
similar vergelijkbare
controls controleert
tutankhamun toetanchamon
cores kernen
preference voorkeur
building bouw
communicate communiceren
references referenties
pieces stukjes
surname bosch
bowler spelers
cultured gekweekt
retina netvlies
dune duinen
upper bovenste
criticism kritiek
holds houdt
mobile mobiele
portuguese portugese
links verbindt
conventual monnik
neck hals
indirect indirecte
regime staatsbestel
cosmetic schijn
ensuing dien
defined gedefinieerd
touch aanraking
monks monniken
estimated geografisch
double dubbel
affiliation verwantschap
markets markten
bohemians bohemen
amount hoeveelheid
settlement nederzetting
nationalistic nationalistische
each iedere
sends stuurt
military militair
condemnation veroordeling
caused leverden
allies machten
acquisition overname
downfall ondergang
front voorzijde
offering aanbod
fight bestrijden
recovery herstel
entrance ingang
gained verworven
smith smit
inhabitants inwonertal
hit slaan
intended bedoeld
sons zonen
minimal minimum
linger gebleven
proponents voorstanders
always altijd
secondary middelbare
floor verdieping
praised geprezen
unknown onbekende
deeds daden
turn bocht
decreasing dalende
schools scholen
labor moeite
man mens
conference conferentie
appearance uiterlijk
focused richtten
costed kostte
prevailing overheersende
lived leefde
happened gebeurde
is komt
attended bekeken
drain afvoer
said gezegd
methane methaan
battlefield slagveld
buildings panden
forts forten
forces machten
royals koningshuis
states luidt
former voormalige
closest dichtst
black zwart
measurement meting
commercials reclame
ports poorten
break kapot
naples napels
medal onderscheiding
achievements prestaties
survival voortbestaan
peoples volkeren
actions acties
were werd
transfer overdracht
liqueur likeur
anticipated voorzag
stuffed gevuld
stands staat
stain vlek
use gebruikgemaakt
jets iets
throwing gooien
cigarette sigaret
leave verlaten
lips lippen
punishments straffen
tourism toerisme
equipped ingericht
were zaten
mosques moskeeën
strict streng
reaction reactie
powers mogendheden
outermost buitenste
error fout
filming verfilming
simultaneously gelijktijdig
voyage reis
exclusion uitsluiting
was zat
joining toetreding
flat vlakke
houses herbergt
ideas opvattingen
character karakter
emphasizes benadrukt
recently recentelijk
target doelwit
coast kust
convoy begeleid
legal juridische
brewed gebrouwen
anticipate voorzien
pink roze
battle slag
automatic automatisch
brasil brazilië
governed bestuurd
temples tempels
habsburg habsburgse
ducks eenden
executive uitvoerende
minor minderjarigen
made vervaardigd
held behield
chickens kippen
confusion verwarring
arc boog
sadness verdriet
prominent prominente
university universiteit
considerable flinke
severe strenge
demographics demografie
parliaments parlementen
admired geprezen
nighttime nachts
oral orale
usage inzet
plan concept
fundamental fundamentele
anonymous anoniem
postwar naoorlogse
approval goedkeuren
pure zuiver
conversations gesprekken
criticised bekritiseerd
partly mede
manners manieren
matter materie
registered vastgelegd
so dus
pause pauze
symbolism symboliek
should dienen
intervention ingreep
quarrel ruzie
certified verklaarde
threatened bedreigde
came gekomen
draw trokken
before vooraf
lie lag
hight hoogte
named benoemen
depression depressies
brittany bretagne
knight knecht
hidden verstopt
preserve behoud
claimed eiste
persisted voortgezet
prostitute prostitutie
remembered herdacht
controlled gecontroleerd
feathers veren
feminine vrouwelijke
far ver
nationals onderdanen
nursing borstvoeding
abandoned verlaten
entry intocht
conquers veroveringen
abject laag
maximal maximaal
scientific wetenschappelijke
life levenslange
euthanasia euthanasie
insecurity onzekerheid
rooms kamers
painted gekleurd
on op
also daarnaast
just juiste
forests bossen
tissue weefsel
solid vaste
. plassen
combinations combinaties
forty veertig
radical radicale
catalan catalaanse
croatian kroatische
vault kluis
phases fasen
circle kring
winning winst
artwork kunstwerk
cloth doek
capitalistic kapitalistische
i.e. bv
strip banen
cause oorzaak
split splitsing
attacked aangevallen
creator schepper
inner binnenste
besides daarbij
confinement bevalling
contained omvatte
accommodated gehuisvest
guiding begeleiding
louse luis
is bedraagt
migrated getrokken
willing bereid
national nationale
coupe cup
been gezeten
especially name
biological biologische
registered genoteerd
common alledaagse
relate hebben
know kennen
gout jicht
twelfth twaalfde
become word
food eten
possibility mogelijkheid
western westers
lieutenant luitenant
looked zocht
farmer boer
provided verzorgd
pretension aanspraak
ally steeg
execute uitvoeren
offered bieden
consonance klank
ancestors voorouders
brackets haakjes
addition aanvulling
outcome uitkomst
emotional emotioneel
devoted gewijd
religious godsdienstige
grouping groepering
bite beet
amount gehalte
indirectly indirect
regulations regelgeving
accurate goed
speculations speculaties
hills heuvels
direction koers
suited uitkwam
left linkse
publicised publiceerde
put gelegd
presented gepresenteerd
metropolis metropool
displayed gebleken
originally oorspronkelijk
bankruptcy faillissement
involved betrokken
writer schrijver
doctor dokter
darker donkerder
inhabitants inwoners
proceed gaan
forming formatie
leaving vertrekken
comprehension begrippen
teams ploegen
favorable gunstige
changing wisselend
located bevindt
understood begrepen
boss chef
dimensions afmetingen
situation toestand
marked gekenmerkt
countryside platteland
nothing niks
administrative administratieve
ensemble groep
succeed gelukt
preacher dominee
about circa
search zoeken
protects beschermt
wedding bruiloft
busses bussen
frequent veelvuldig
nutrients voedingsstoffen
characteristic karakteristieke
gave gaven
elsewhere elders
shot schot
difficult moeilijke
often dikwijls
appeared verscheen
unrest onrust
name boer
pac parc
concrete beton
village plaatsje
eventual eventueel
milkyway melkweg
modification wijziging
appointed gestelde
manufactured vervaardigd
jurisdiction rechterlijke
held gehouden
fight kampen
activity actie
fall dalen
near nabije
prevent voorkwam
strongest sterkste
compilation samenstelling
consequence consequenties
twinning stedenbanden
autonomous autonome
experience beleving
preserved bewaard
badger das
royal koninklijke
functions fungeert
determining bepalend
goal doel
space ruimte
blockade blokkade
gone gegaan
export uitvoer
musical muzikale
viewpoints standpunten
cyclists fietsers
restricted banden
siege beleg
singer zanger
appointed aangesteld
section snede
families gezinnen
provides verzorgt
pushed geschoven
petrol benzine
experience ervaringen
break breken
inflammations ontstekingen
prevented voorkwam
hundreds honderden
croatia kroatië
required vereist
feels voelt
created gecreëerd
low laag
presidents presidenten
living levende
counterpart tegenhanger
back teruggaat
brands merken
iron ijzer
value norm
interests belangen
behavior gedragingen
optimum optimaal
tried geprobeerd
seats zetels
nightclubs discotheken
moderated opgevangen
lion leeuw
similarities overeenkomsten
strongly sterk
acted opgetreden
girth dikte
adapted aangepast
urged drong
bigger groter
smell geur
toxic giftig
demand aanbod
date datum
great groot
sentences zinnen
hague haag
cairo caïro
childhood kindertijd
gigantic gigantische
magazine weekblad
fixed vaste
fetus foetus
can kunt
blossom uitgroeien
seems blijkt
directive richtlijn
governor regenten
put plaatste
regular regelmatig
decade decennium
institution inrichting
exact precieze
deflect buigen
aims streeft
tragedy drama
liberation redding
list lijst
back achterzijde
biggest grootse
seats zetelt
loop run
steal stelen
cyclone cycloon
bach bachs
ministers geestelijken
deceased overledenen
blazing brandende
opened opende
failure faillissement
lacked ontbrak
mutations mutaties
augustine augustinus
tending neiging
today vandaag
pip raakt
representative gedeputeerde
bell bel
language taal
planet planeet
territory domein
permanent permanente
describe beschrijven
emigration emigratie
sculpt vormde
company onderneming
increase oplopen
decisions besluiten
takings opbrengsten
serbian servische
half-blood halfbloed
accepted geaccepteerde
powers krachten
munich münchen
sees ziet
business bedrijfsleven
used gehanteerd
voice stem
instruction aanwijzing
drastic drastisch
close nauwe
caucasian kaukasus
should moet
scattered her
turkey turkije
scotland schotland
original originele
absolute absoluut
mathematician wiskundige
during loop
titles titels
leadership leiderschap
pale bleek
welfare welvaart
eight acht
telephones telefoons
court rechtbank
contrast tegenstelling
only slechts
reformation hervorming
it daaraan
addition toevoeging
tried trachtte
exemplar voorbeelden
railway spoorlijnen
coming afkomstig
after nadat
branches vestigingen
disorders aandoeningen
olden oud
argentine argentijnse
regents regenten
degrees graden
publish publiceren
provided opgeleverd
driven aangedreven
affected aangedaan
austria oostenrijk
belonged behoorden
department groep
craving drang
fruits vruchten
simultaneously tegelijk
mention vermelding
disappeared verdween
solid vast
statements uitspraken
coordinating overkoepelende
set stellen
jaws kaken
enhanced verhoogt
receive ontvangen
died overleed
serious serieus
hit raakt
history geschiedenis
is behoort
this hiervan
rogation verzoek
whole gehele
density dichtheid
insist aandringen
historians historici
stimulated gestimuleerd
pencil pen
instructions aanwijzingen
harmful schadelijke
two tweetal
right juiste
placed geplaatst
erstwhile vroeger
pump pompen
diminishment achteruitgang
protestantism protestantisme
stay steun
? vervelling
masses massa
acquire krijgt
raised opgevoed
shot schoot
plane toestel
catering horeca
clear zuiver
weekly wekelijks
using behulp
descendants afstammelingen
st. sint
interpretation voorstelling
protected beschermde
conducted voerde
dutchman nederlander
visits bezoeken
paper papier
simultaneous gelijktijdig
crucial cruciaal
some enig
kitchen keuken
accomplished gelukt
heading kopje
condition conditie
body lichaam
consignment overdracht
lighter lichtere
opposition tegenstelling
anal anale
dead daad
observed waargenomen
argues stelt
sine sinus
taken ondernomen
architecture architectuur
right goed
guide begeleid
selection selectie
wet natte
should dienden
east-north-east ono
germanic germaanse
accident ongeval
unfortunately helaas
cosmic kosmische
generously royaal
won gewonnen
self zich
why waarom
obstruct blokkeren
nearby naburige
leaves vertrekt
reincarnation reïncarnatie
mental psychische
ongoing voortdurende
need armoede
higher hoger
translated vertaald
rulers machthebbers
electronic elektronische
liberate vrijgelaten
materials materialen
counts telt
on aan
every elke
companies ondernemingen
bottle fles
proceed vervolgen
sympathy medelijden
deduction aftrek
last laatst
inventor uitvinder
directorate commissarissen
fashion vormde
viruses virussen
diagnosis diagnose
15 xv
assisted bijgestaan
th ste
age ouderdom
thereby daarmee
dialogue dialoog
budget begroting
thread draad
pumps pompen
wounded gewond
introduction invoering
actual werkelijke
tensed gespannen
released uitgebracht
theatre theater
alcoholic alcoholische
broadcasts uitzendingen
excessive overmatige
sang zang
capital kapitaal
alignment richtlijn
necessary benodigde
perhaps wellicht
state staat
inquire onderzoekt
accelerate versneld
conservative conservatief
hereditary erfelijk
cut snede
rather liever
escape ontsnappen
forced genoodzaakt
reserved voorbehouden
adoption aannemen
here her
claim eisen
consequently zodoende
division deling
formed vormde
dies sterft
concern betreffen
brown bruine
accidentally ongeluk
runs draait
hell hel
critics kritieken
distinctive karakteristieke
optic optische
know weten
skeleton skelet
are bent
provinces gewesten
shape vormde
name eros
pull trok
cost prijs
track pad
memories herinneringen
various divers
glands klieren
partly gedeeltelijk
closes sluit
require eisen
maintaining onderhouden
dominating overkoepelende
therapy therapie
let laten
wrong mis
weep wenen
method methode
help helpen
backside achterkant
tactic tactiek
contrary omgekeerde
operations handelingen
levels vlakken
movie filmpje
also eveneens
yugoslavia joegoslavië
is maakt
appointment afspraak
mistrust wantrouwen
inhabited bewoonde
father pater
however niettemin
arena krijt
genome genoom
committed pleegde
debut debuut
gather verzamelen
name heten
dogs honden
fiscal fiscale
time stond
earn verkrijgen
judicial rechterlijke
added toegevoegd
just net
described beschreven
shares aandelen
ask vragen
croatians kroaten
chemical chemische
sectors sectoren
liqueur prijzen
bought gekocht
organised georganiseerde
emperors keizers
function ambt
toren tower
suspended onderbroken
clause voorwaarden
stream beek
structure opbouw
seemed leek
queen koninginnedag
suriname surinaamse
settlements vestigingen
lower lagere
spain spanje
print drukken
dominant dominante
mesh maas
associated geassocieerd
pretty mooi
citizen burger
journey trok
rain regent
arrived aangekomen
selling verkopende
degree mate
ape aap
towers torens
existence bestaan
at ten
travelled reisde
divine hemelse
live leven
format formaat
socialistic socialistische
change wisselen
urge drang
secular wereldlijke
threatens dreigt
behind achter
friendship vriendschap
impulse impuls
replaced verplaatsen
appreciated gewaardeerd
deviate buigen
horses paarden
personal persoonlijk
his diens
closed afgesloten
autumn najaar
professional professioneel
metal metalen
distribution verspreiding
love gehouden
ready gereed
taken opgelopen
engine motor
sequence volgorde
this hierdoor
steel stalen
constructed aangelegd
period menstruatie
subject onderwerpen
needed zodanig
divided verdelen
appeared voorkwam
reliques relieken
broadcast uitzending
essential essentieel
including waaronder
brewing brouwen
theological theologische
function functioneren
results resultaten
developed ontwikkeld
devices toestellen
aztecs azteken
iron ijzeren
hawks haaien
mechanics mechanica
conquered veroverde
vulnerable kwetsbaar
mind gedachten
appeal aanvraag
trade handel
concerning betreffende
heritage afkomst
group groepering
estonian estse
accountability verantwoording
tissues weefsels
applied toegepast
distance afstand
produces produceert
perception beleving
vegetation vegetatie
strictly strikt
end uiteinde
careful voorzichtig
loosely ruim
exception uitzonderingen
issue kwestie
search zoekt
indicate wijst
innovating vernieuwende
destitution armoede
helpers pieten
governing heersende
neighborhood wijk
colours kleuren
priests geestelijken
may mag
accident ongeluk
kingdom vorstendom
naming naamgeving
influence invloed
industries sectoren
convicted veroordeelde
fills vervult
point punten
norwegian noors
shoe schoen
practical praktisch
keep gehouden
contradiction tegenovergestelde
rise stijgen
promote promoten
intensively intensief
richness rijkdom
spread verspreiding
kenya kenia
required verplicht
freedom vrijheden
stations station
opportunity mogelijkheid
completed afgerond
pulse impuls
physiological fysiologische
operate functioneren
opponents tegenstanders
ground basis
ern zuidkant
propagation voortplanting
applied toegepaste
joint gezamenlijk
rise stijging
bury begraven
possibility gelegenheid
granted verleende
denomination aanduiding
gray grijze
control bestrijding
finally eindelijk
rats ratten
human mens
pattern patroon
truces bestanden
religion geloof
comparisons vergelijkingen
vast uitgestrekte
referring verwijst
differences tegenstellingen
happens geschiedt
continues blijft
infantry infanterie
destination bestemming
where waar
exploited geëxploiteerd
mold vormde
mayors burgemeesters
secretion afscheiding
southeastern zuidoosten
airline luchtvaartmaatschappij
walk lopen
premiere première
realize realiseren
moreover trouwens
taste smaak
less min
threesome drietal
civilisation beschaving
actual reële
answers antwoorden
suffers lijdt
administrative bestuurlijk
depot stations
lost verloor
arise ontspringen
students leerlingen
imprisoned gevangengenomen
committee besturen
to erop
sharp scherp
sweden zweden
entire gehele
agreements afspraken
cat poes
meeting ontmoeting
medium middelgrote
feet voeten
clay leem
reached beiden
elevated verheven
mining mijnbouw
reminds herinnert
quiet rustige
order orde
traders handelaren
restored hersteld
classified ingedeeld
advance voorsprong
indicates duidt
function functie
enthusiasm enthousiasme
remains blijft
log logboek
l logboek
closer dichter
therefore hierdoor
had kenden
necessary noodzakelijk
centres centra
improves bevordert
wish dromen
practically praktisch
azores azoren
parts onderdelen
favor gunste
union bond
anton antoine
advise raden
precisely precies
legs benen
fasting vasten
left nagelaten
railroads spoorlijnen
historian historicus
poor armen
categories categorieën
even zelfs
equipment apparatuur
eagle adelaar
ran verlopen
raids invallen
middle midden
facts feiten
thereon daarover
ally bondgenoot
interfere ingrijpen
take innemen
team ploeg
neurological neurologische
attention aandacht
displeasure ongenoegen
elder ouderen
common gewoon
occupied bezet
spices kruiden
occurs voorkomt
optical optische
virgil vergilius
draw teken
dream dromen
competition competitie
influences invloeden
explicit uitdrukkelijk
white wit
maintenance onderhoud
pursuits bezigheden
placed bijgezet
literal literaire
roots wortels
since sindsdien
persons personen
macedonia macedonië
become worden
biggest grootst
dharm dharma
above hierboven
signs tekens
behaviour gedragingen
generated genegeerd
outgrow uitgegroeid
went gegaan
barracks kazernes
kings koningen
against versus
missing ontbreekt
demonstrator assistent
founded stichtte
mutuals wederzijdse
research onderzoek
metaphysics metafysica
behind erachter
motives motieven
serves dient
directors bestuurders
autonomous moord
membership lidmaatschap
caused veroorzaakt
striking opvallend
elections verkiezingen
secondary middelbaar
function fungeren
firefighters brandweer
tibetan tibetaanse
basilisk basiliek
formulas formules
same zelfde
granted verleend
charter afdeling
roff dak
faith geluk
butter boter
length lengte
square vierkant
mixture mengsel
kept hielden
observations waarnemingen
genetically genetisch
fish vis
broad bredere
course verloop
for gedurende
say zeggen
county graafschappen
composites composities
religious religieus
commercially commercieel
commissary commissarissen
urals oeral
army leger
intentional opzettelijk
achieved behaald
found gevonden
hormones hormonen
centipedes rupsen
material materiaal
cause veroorzaakt
exalted verheven
fulfills vervult
animal dierlijke
so-called zogenoemde
policeman agent
binoculars kijker
labor arbeid
had gehad
choice keuze
exhausted uitgeput
genius genie
knights ridders
practically vrijwel
mozart mozarts
occupy bezighouden
succeeding slagen
heterosexual heteroseksuele
create scheppen
theorems stellingen
side zijde
appears schijnt
available beschikking
advanced geavanceerde
outfit tenue
described beschreef
hazards gevaren
matt mat
danger gevaren
bunch groep
dissatisfaction ontevredenheid
knight ridder
powers bevoegdheden
continue vervolgen
population inwoneraantal
recover herstellen
supplanted verdrongen
i ik
attendance opkomst
versions versies
disease ziekte
predominance overheersing
silver zilveren
dosage dosis
edge rand
bile gal
medallion medaillon
found vinden
ill ziek
send gebracht
native inheemse
biology biologie
transport voertuig
devices apparatuur
acquired verwierf
contest wedstrijd
telephone telefoon
terminated verbroken
disturbance verstoring
round ronde
mention vermeld
ether lucht
turkish turkse
earlier voorgaande
learn leer
state beweren
congenital aangeboren
employees werknemers
inheritance erfgoed
emotions emoties
pavilion koepel
stronghold burcht
tried probeerde
helps helpt
psychology psychologie
experimental experimentele
complex complexe
expressionistic expressionistische
crimes misdrijven
drive rijden
belonging behorende
issue vraagstukken
mold schimmel
count graaf
congress congres
infinity oneindig
snow sneeuw
wednesday woensdag
classification classificatie
shiites sjiieten
licking nederlaag
name titiaan
totally helemaal
peruvian peruaanse
slaves slaven
messages boodschappen
refer refereert
follower aanhanger
is zit
corpses lijken
three-quarter driekwart
morning ochtend
ongoing aanhoudende
doctor huisarts
population bevolkt
increase vergroot
generate opwekken
theories theorieën
purposes doeleinden
ethical ethisch
close dicht
earthquake beving
be stond
aboriginal oud
patois plat
poisonous giftige
ukrainian oekraïens
stadium stadion
cover omvatten
influence invloedssfeer
happiness vreugde
conquered veroverd
telling zeggen
ferry pont
annual jaarlijkse
stairs trap
characteristic kenmerkend
adequate geschikte
committed gepleegd
fight gevecht
choice voorkeur
buda boeda
problem problematiek
bid bod
angles hoeken
keep blijven
remotely ver
or oftewel
senators senatoren
derived ontleend
understandings onderdanen
cat katten
when toen
enhanced versterkte
finances financiën
mouth mond
ruler heerser
france frankrijk
mix mengsel
tensions spanningen
recommend aangeraden
suburbs voorsteden
education voorlichting
next volgend
written geschreven
afternoon middag
exact exacte
restore herstellen
experienced ervaren
vote stemmen
system systeem
eleven elf
punch stempel
design opzet
went verliep
employees medewerkers
yield rente
improvements verbeteringen
monkey aap
marshes moerassen
election verkiezingen
titled getiteld
syrie syrië
sustainable duurzame
pluck trok
sight zicht
economical economische
unlike anders
revenge wraak
phenix feniks
